,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
63,2023-02-06 00:00:00,Haute Matsiatra,Ambalavao,0.138976033286391,2023-02-06,02-06
173,2023-02-06 03:00:00,Haute Matsiatra,Ambalavao,0.135925430591063,2023-02-06,02-06
283,2023-02-06 06:00:00,Haute Matsiatra,Ambalavao,0.221843686529956,2023-02-06,02-06
393,2023-02-06 09:00:00,Haute Matsiatra,Ambalavao,0.90845252189181,2023-02-06,02-06
503,2023-02-06 12:00:00,Haute Matsiatra,Ambalavao,1.71611324277252,2023-02-06,02-06
613,2023-02-06 15:00:00,Haute Matsiatra,Ambalavao,1.89795287033,2023-02-06,02-06
723,2023-02-06 18:00:00,Haute Matsiatra,Ambalavao,1.53133090780327,2023-02-06,02-06
833,2023-02-06 21:00:00,Haute Matsiatra,Ambalavao,1.02777335624532,2023-02-06,02-06
943,2023-02-07 00:00:00,Haute Matsiatra,Ambalavao,1.10259227295284,2023-02-07,02-07
1053,2023-02-07 03:00:00,Haute Matsiatra,Ambalavao,0.547929344816588,2023-02-07,02-07
1163,2023-02-07 06:00:00,Haute Matsiatra,Ambalavao,0.375512457685545,2023-02-07,02-07
1273,2023-02-07 09:00:00,Haute Matsiatra,Ambalavao,0.371540398528201,2023-02-07,02-07
1383,2023-02-07 12:00:00,Haute Matsiatra,Ambalavao,0.357573970337398,2023-02-07,02-07
1493,2023-02-07 15:00:00,Haute Matsiatra,Ambalavao,0.641131408229869,2023-02-07,02-07
1603,2023-02-07 18:00:00,Haute Matsiatra,Ambalavao,0.525072865400164,2023-02-07,02-07
1713,2023-02-07 21:00:00,Haute Matsiatra,Ambalavao,0.0536156759536382,2023-02-07,02-07
1823,2023-02-08 00:00:00,Haute Matsiatra,Ambalavao,0.0086092269699466,2023-02-08,02-08
1933,2023-02-08 03:00:00,Haute Matsiatra,Ambalavao,0.0465378807566594,2023-02-08,02-08
2043,2023-02-08 06:00:00,Haute Matsiatra,Ambalavao,0.0451111095525058,2023-02-08,02-08
2153,2023-02-08 09:00:00,Haute Matsiatra,Ambalavao,0.224430537010665,2023-02-08,02-08
2263,2023-02-08 12:00:00,Haute Matsiatra,Ambalavao,1.58054898754788,2023-02-08,02-08
2373,2023-02-08 15:00:00,Haute Matsiatra,Ambalavao,0.464664452730046,2023-02-08,02-08
2483,2023-02-08 18:00:00,Haute Matsiatra,Ambalavao,0.10251330974279,2023-02-08,02-08
2593,2023-02-08 21:00:00,Haute Matsiatra,Ambalavao,0.0935745458908579,2023-02-08,02-08
2703,2023-02-09 00:00:00,Haute Matsiatra,Ambalavao,0.0271316614082371,2023-02-09,02-09
2813,2023-02-09 03:00:00,Haute Matsiatra,Ambalavao,0.0642139970081016,2023-02-09,02-09
2923,2023-02-09 06:00:00,Haute Matsiatra,Ambalavao,0.219241936006472,2023-02-09,02-09
3033,2023-02-09 09:00:00,Haute Matsiatra,Ambalavao,0.333133828033516,2023-02-09,02-09
3143,2023-02-09 12:00:00,Haute Matsiatra,Ambalavao,0.818155527034486,2023-02-09,02-09
3253,2023-02-09 15:00:00,Haute Matsiatra,Ambalavao,0.205691530579878,2023-02-09,02-09
3363,2023-02-09 18:00:00,Haute Matsiatra,Ambalavao,0.152021298689457,2023-02-09,02-09
3473,2023-02-09 21:00:00,Haute Matsiatra,Ambalavao,0.0584396630916412,2023-02-09,02-09
3583,2023-02-10 00:00:00,Haute Matsiatra,Ambalavao,0.285121137754426,2023-02-10,02-10
3693,2023-02-10 03:00:00,Haute Matsiatra,Ambalavao,0.05348285277363,2023-02-10,02-10
3803,2023-02-10 06:00:00,Haute Matsiatra,Ambalavao,0.001506016846092,2023-02-10,02-10
3913,2023-02-10 09:00:00,Haute Matsiatra,Ambalavao,0.0066851347399365,2023-02-10,02-10
4023,2023-02-10 12:00:00,Haute Matsiatra,Ambalavao,0.0123956412010427,2023-02-10,02-10
4133,2023-02-10 15:00:00,Haute Matsiatra,Ambalavao,0.0205070389340454,2023-02-10,02-10
4243,2023-02-10 18:00:00,Haute Matsiatra,Ambalavao,0.0021145776942527,2023-02-10,02-10
4353,2023-02-10 21:00:00,Haute Matsiatra,Ambalavao,9.7679888962635e-05,2023-02-10,02-10
4463,2023-02-11 00:00:00,Haute Matsiatra,Ambalavao,0.0002876395440017,2023-02-11,02-11
4573,2023-02-11 03:00:00,Haute Matsiatra,Ambalavao,0.0001452642498493,2023-02-11,02-11
4683,2023-02-11 06:00:00,Haute Matsiatra,Ambalavao,0.0056668198265556,2023-02-11,02-11
4793,2023-02-11 09:00:00,Haute Matsiatra,Ambalavao,0.0645005180447784,2023-02-11,02-11
4903,2023-02-11 12:00:00,Haute Matsiatra,Ambalavao,0.25291859046861,2023-02-11,02-11
5013,2023-02-11 15:00:00,Haute Matsiatra,Ambalavao,0.24920535117798,2023-02-11,02-11
5123,2023-02-11 18:00:00,Haute Matsiatra,Ambalavao,0.0794066893784995,2023-02-11,02-11
