,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
58,2023-02-06 00:00:00,Diana,Ambanja,0.178684933229863,2023-02-06,02-06
168,2023-02-06 03:00:00,Diana,Ambanja,0.0633487185577349,2023-02-06,02-06
278,2023-02-06 06:00:00,Diana,Ambanja,0.503069617490911,2023-02-06,02-06
388,2023-02-06 09:00:00,Diana,Ambanja,3.1929373148976,2023-02-06,02-06
498,2023-02-06 12:00:00,Diana,Ambanja,6.53364112166621,2023-02-06,02-06
608,2023-02-06 15:00:00,Diana,Ambanja,3.15773737006369,2023-02-06,02-06
718,2023-02-06 18:00:00,Diana,Ambanja,0.398849820354668,2023-02-06,02-06
828,2023-02-06 21:00:00,Diana,Ambanja,0.018362693768945,2023-02-06,02-06
938,2023-02-07 00:00:00,Diana,Ambanja,0.0094290167219195,2023-02-07,02-07
1048,2023-02-07 03:00:00,Diana,Ambanja,0.0198704705001045,2023-02-07,02-07
1158,2023-02-07 06:00:00,Diana,Ambanja,0.334880775485748,2023-02-07,02-07
1268,2023-02-07 09:00:00,Diana,Ambanja,1.97846684974561,2023-02-07,02-07
1378,2023-02-07 12:00:00,Diana,Ambanja,8.65662500113534,2023-02-07,02-07
1488,2023-02-07 15:00:00,Diana,Ambanja,5.33548736292631,2023-02-07,02-07
1598,2023-02-07 18:00:00,Diana,Ambanja,2.26669037071228,2023-02-07,02-07
1708,2023-02-07 21:00:00,Diana,Ambanja,0.202184083264521,2023-02-07,02-07
1818,2023-02-08 00:00:00,Diana,Ambanja,0.0128292522264873,2023-02-08,02-08
1928,2023-02-08 03:00:00,Diana,Ambanja,0.0139277884760415,2023-02-08,02-08
2038,2023-02-08 06:00:00,Diana,Ambanja,0.172169522929946,2023-02-08,02-08
2148,2023-02-08 09:00:00,Diana,Ambanja,1.85599926000756,2023-02-08,02-08
2258,2023-02-08 12:00:00,Diana,Ambanja,7.14576604048014,2023-02-08,02-08
2368,2023-02-08 15:00:00,Diana,Ambanja,1.90564959702125,2023-02-08,02-08
2478,2023-02-08 18:00:00,Diana,Ambanja,0.92548894045081,2023-02-08,02-08
2588,2023-02-08 21:00:00,Diana,Ambanja,0.717373246844972,2023-02-08,02-08
2698,2023-02-09 00:00:00,Diana,Ambanja,0.23546250763335,2023-02-09,02-09
2808,2023-02-09 03:00:00,Diana,Ambanja,0.0363036546599576,2023-02-09,02-09
2918,2023-02-09 06:00:00,Diana,Ambanja,0.139966410723733,2023-02-09,02-09
3028,2023-02-09 09:00:00,Diana,Ambanja,2.88237076776687,2023-02-09,02-09
3138,2023-02-09 12:00:00,Diana,Ambanja,8.77406736571408,2023-02-09,02-09
3248,2023-02-09 15:00:00,Diana,Ambanja,4.59281703270972,2023-02-09,02-09
3358,2023-02-09 18:00:00,Diana,Ambanja,1.31330868792696,2023-02-09,02-09
3468,2023-02-09 21:00:00,Diana,Ambanja,0.409121008510274,2023-02-09,02-09
3578,2023-02-10 00:00:00,Diana,Ambanja,0.330754292448175,2023-02-10,02-10
3688,2023-02-10 03:00:00,Diana,Ambanja,0.273557715171387,2023-02-10,02-10
3798,2023-02-10 06:00:00,Diana,Ambanja,0.126092237074698,2023-02-10,02-10
3908,2023-02-10 09:00:00,Diana,Ambanja,1.02209531286332,2023-02-10,02-10
4018,2023-02-10 12:00:00,Diana,Ambanja,2.79340147755551,2023-02-10,02-10
4128,2023-02-10 15:00:00,Diana,Ambanja,2.75128966836943,2023-02-10,02-10
4238,2023-02-10 18:00:00,Diana,Ambanja,2.86557800435266,2023-02-10,02-10
4348,2023-02-10 21:00:00,Diana,Ambanja,0.715256899165237,2023-02-10,02-10
4458,2023-02-11 00:00:00,Diana,Ambanja,0.199895338936975,2023-02-11,02-11
4568,2023-02-11 03:00:00,Diana,Ambanja,0.0349235755227487,2023-02-11,02-11
4678,2023-02-11 06:00:00,Diana,Ambanja,0.0977361836751011,2023-02-11,02-11
4788,2023-02-11 09:00:00,Diana,Ambanja,1.79715818982472,2023-02-11,02-11
4898,2023-02-11 12:00:00,Diana,Ambanja,5.82269463100238,2023-02-11,02-11
5008,2023-02-11 15:00:00,Diana,Ambanja,2.42573916758363,2023-02-11,02-11
5118,2023-02-11 18:00:00,Diana,Ambanja,0.186447924816724,2023-02-11,02-11
