,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
51,2023-02-06 00:00:00,Boeny,Ambato Boeni,3.02615637231541,2023-02-06,02-06
161,2023-02-06 03:00:00,Boeny,Ambato Boeni,1.72973568670529,2023-02-06,02-06
271,2023-02-06 06:00:00,Boeny,Ambato Boeni,1.52674056687004,2023-02-06,02-06
381,2023-02-06 09:00:00,Boeny,Ambato Boeni,0.543509575906986,2023-02-06,02-06
491,2023-02-06 12:00:00,Boeny,Ambato Boeni,1.37295594109921,2023-02-06,02-06
601,2023-02-06 15:00:00,Boeny,Ambato Boeni,2.90474252335339,2023-02-06,02-06
711,2023-02-06 18:00:00,Boeny,Ambato Boeni,7.5400474389107,2023-02-06,02-06
821,2023-02-06 21:00:00,Boeny,Ambato Boeni,7.79264149807083,2023-02-06,02-06
931,2023-02-07 00:00:00,Boeny,Ambato Boeni,1.82637265306975,2023-02-07,02-07
1041,2023-02-07 03:00:00,Boeny,Ambato Boeni,0.151498039873162,2023-02-07,02-07
1151,2023-02-07 06:00:00,Boeny,Ambato Boeni,1.4245215129115,2023-02-07,02-07
1261,2023-02-07 09:00:00,Boeny,Ambato Boeni,2.23221729943762,2023-02-07,02-07
1371,2023-02-07 12:00:00,Boeny,Ambato Boeni,4.52388701523887,2023-02-07,02-07
1481,2023-02-07 15:00:00,Boeny,Ambato Boeni,3.85034754037547,2023-02-07,02-07
1591,2023-02-07 18:00:00,Boeny,Ambato Boeni,1.95818046508978,2023-02-07,02-07
1701,2023-02-07 21:00:00,Boeny,Ambato Boeni,0.493498024141106,2023-02-07,02-07
1811,2023-02-08 00:00:00,Boeny,Ambato Boeni,0.121257007992826,2023-02-08,02-08
1921,2023-02-08 03:00:00,Boeny,Ambato Boeni,0.0417731552912543,2023-02-08,02-08
2031,2023-02-08 06:00:00,Boeny,Ambato Boeni,0.005174561162324,2023-02-08,02-08
2141,2023-02-08 09:00:00,Boeny,Ambato Boeni,0.0275510352531758,2023-02-08,02-08
2251,2023-02-08 12:00:00,Boeny,Ambato Boeni,2.86810350372999,2023-02-08,02-08
2361,2023-02-08 15:00:00,Boeny,Ambato Boeni,10.1187037021155,2023-02-08,02-08
2471,2023-02-08 18:00:00,Boeny,Ambato Boeni,14.3071499606944,2023-02-08,02-08
2581,2023-02-08 21:00:00,Boeny,Ambato Boeni,6.21131912228651,2023-02-08,02-08
2691,2023-02-09 00:00:00,Boeny,Ambato Boeni,0.524274225193852,2023-02-09,02-09
2801,2023-02-09 03:00:00,Boeny,Ambato Boeni,0.0449938332941383,2023-02-09,02-09
2911,2023-02-09 06:00:00,Boeny,Ambato Boeni,0.0289185369891735,2023-02-09,02-09
3021,2023-02-09 09:00:00,Boeny,Ambato Boeni,0.0197386699829561,2023-02-09,02-09
3131,2023-02-09 12:00:00,Boeny,Ambato Boeni,0.929947701010387,2023-02-09,02-09
3241,2023-02-09 15:00:00,Boeny,Ambato Boeni,13.099769787294,2023-02-09,02-09
3351,2023-02-09 18:00:00,Boeny,Ambato Boeni,12.7464420628478,2023-02-09,02-09
3461,2023-02-09 21:00:00,Boeny,Ambato Boeni,5.73482393320805,2023-02-09,02-09
3571,2023-02-10 00:00:00,Boeny,Ambato Boeni,1.37596294995009,2023-02-10,02-10
3681,2023-02-10 03:00:00,Boeny,Ambato Boeni,0.074144219760783,2023-02-10,02-10
3791,2023-02-10 06:00:00,Boeny,Ambato Boeni,0.0759752424014732,2023-02-10,02-10
3901,2023-02-10 09:00:00,Boeny,Ambato Boeni,0.0210274367197417,2023-02-10,02-10
4011,2023-02-10 12:00:00,Boeny,Ambato Boeni,0.0341883811098523,2023-02-10,02-10
4121,2023-02-10 15:00:00,Boeny,Ambato Boeni,0.255924460797881,2023-02-10,02-10
4231,2023-02-10 18:00:00,Boeny,Ambato Boeni,3.88262840225982,2023-02-10,02-10
4341,2023-02-10 21:00:00,Boeny,Ambato Boeni,8.11443923853338,2023-02-10,02-10
4451,2023-02-11 00:00:00,Boeny,Ambato Boeni,0.838089455306375,2023-02-11,02-11
4561,2023-02-11 03:00:00,Boeny,Ambato Boeni,0.0896961987158284,2023-02-11,02-11
4671,2023-02-11 06:00:00,Boeny,Ambato Boeni,0.0719863413646817,2023-02-11,02-11
4781,2023-02-11 09:00:00,Boeny,Ambato Boeni,0.0621417333333132,2023-02-11,02-11
4891,2023-02-11 12:00:00,Boeny,Ambato Boeni,0.146324481543464,2023-02-11,02-11
5001,2023-02-11 15:00:00,Boeny,Ambato Boeni,0.0480362072074786,2023-02-11,02-11
5111,2023-02-11 18:00:00,Boeny,Ambato Boeni,0.0273869394759337,2023-02-11,02-11
5221,2023-02-11 21:00:00,Boeny,Ambato Boeni,0.0907145222711066,2023-02-11,02-11
5331,2023-02-12 00:00:00,Boeny,Ambato Boeni,0.042470095421498,2023-02-12,02-12
5441,2023-02-12 03:00:00,Boeny,Ambato Boeni,0.0112931559762607,2023-02-12,02-12
5551,2023-02-12 06:00:00,Boeny,Ambato Boeni,0.196044066787387,2023-02-12,02-12
5661,2023-02-12 09:00:00,Boeny,Ambato Boeni,0.322160783141541,2023-02-12,02-12
5771,2023-02-12 12:00:00,Boeny,Ambato Boeni,0.216926269719843,2023-02-12,02-12
5881,2023-02-12 15:00:00,Boeny,Ambato Boeni,0.0712777820726236,2023-02-12,02-12
5991,2023-02-12 18:00:00,Boeny,Ambato Boeni,0.0018716141007219,2023-02-12,02-12
6101,2023-02-12 21:00:00,Boeny,Ambato Boeni,0.0034214493903952,2023-02-12,02-12
6211,2023-02-13 00:00:00,Boeny,Ambato Boeni,0.0107110798723685,2023-02-13,02-13
6321,2023-02-13 03:00:00,Boeny,Ambato Boeni,0.0079000869245889,2023-02-13,02-13
6431,2023-02-13 06:00:00,Boeny,Ambato Boeni,0.195941348881461,2023-02-13,02-13
6541,2023-02-13 09:00:00,Boeny,Ambato Boeni,0.123487627198144,2023-02-13,02-13
6651,2023-02-13 12:00:00,Boeny,Ambato Boeni,0.124436991234931,2023-02-13,02-13
6761,2023-02-13 15:00:00,Boeny,Ambato Boeni,0.0754303030646406,2023-02-13,02-13
6871,2023-02-13 18:00:00,Boeny,Ambato Boeni,0.753064901667337,2023-02-13,02-13
6981,2023-02-13 21:00:00,Boeny,Ambato Boeni,0.658147038817406,2023-02-13,02-13
7091,2023-02-14 00:00:00,Boeny,Ambato Boeni,1.43709497332573,2023-02-14,02-14
7201,2023-02-14 03:00:00,Boeny,Ambato Boeni,0.175856449229177,2023-02-14,02-14
7311,2023-02-14 06:00:00,Boeny,Ambato Boeni,0.133021648415985,2023-02-14,02-14
7421,2023-02-14 09:00:00,Boeny,Ambato Boeni,0.0385884184033299,2023-02-14,02-14
7531,2023-02-14 12:00:00,Boeny,Ambato Boeni,0.014211519692714,2023-02-14,02-14
7641,2023-02-14 15:00:00,Boeny,Ambato Boeni,0.0728134633732649,2023-02-14,02-14
7751,2023-02-14 18:00:00,Boeny,Ambato Boeni,0.0266445852202984,2023-02-14,02-14
7861,2023-02-14 21:00:00,Boeny,Ambato Boeni,0.113877635753403,2023-02-14,02-14
7971,2023-02-15 00:00:00,Boeny,Ambato Boeni,0.189520031864134,2023-02-15,02-15
8081,2023-02-15 03:00:00,Boeny,Ambato Boeni,0.0412913449201733,2023-02-15,02-15
8191,2023-02-15 06:00:00,Boeny,Ambato Boeni,0.0580445275781676,2023-02-15,02-15
8301,2023-02-15 09:00:00,Boeny,Ambato Boeni,0.0999297230356994,2023-02-15,02-15
8411,2023-02-15 12:00:00,Boeny,Ambato Boeni,0.683331383822175,2023-02-15,02-15
8521,2023-02-15 15:00:00,Boeny,Ambato Boeni,1.28671708034429,2023-02-15,02-15
8631,2023-02-15 18:00:00,Boeny,Ambato Boeni,0.845652117128484,2023-02-15,02-15
8741,2023-02-15 21:00:00,Boeny,Ambato Boeni,2.12015641621935,2023-02-15,02-15
8851,2023-02-16 00:00:00,Boeny,Ambato Boeni,0.601332578268678,2023-02-16,02-16
8961,2023-02-16 03:00:00,Boeny,Ambato Boeni,0.122106232491788,2023-02-16,02-16
9071,2023-02-16 06:00:00,Boeny,Ambato Boeni,0.328498556897199,2023-02-16,02-16
9181,2023-02-16 09:00:00,Boeny,Ambato Boeni,0.601680734176189,2023-02-16,02-16
9291,2023-02-16 12:00:00,Boeny,Ambato Boeni,3.94096483914725,2023-02-16,02-16
9401,2023-02-16 15:00:00,Boeny,Ambato Boeni,0.907703918949701,2023-02-16,02-16
9511,2023-02-16 18:00:00,Boeny,Ambato Boeni,0.582779734871195,2023-02-16,02-16
9621,2023-02-16 21:00:00,Boeny,Ambato Boeni,0.499612112539665,2023-02-16,02-16
9731,2023-02-17 00:00:00,Boeny,Ambato Boeni,0.120848234354829,2023-02-17,02-17
9841,2023-02-17 03:00:00,Boeny,Ambato Boeni,1.56647861323552,2023-02-17,02-17
9951,2023-02-17 06:00:00,Boeny,Ambato Boeni,1.79444899882888,2023-02-17,02-17
10061,2023-02-17 09:00:00,Boeny,Ambato Boeni,0.159142365709413,2023-02-17,02-17
