,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
5,2023-02-06 00:00:00,Amoron I Mania,Ambatofinandrahana,0.673658367164139,2023-02-06,02-06
115,2023-02-06 03:00:00,Amoron I Mania,Ambatofinandrahana,0.352145095769589,2023-02-06,02-06
225,2023-02-06 06:00:00,Amoron I Mania,Ambatofinandrahana,0.291903623601842,2023-02-06,02-06
335,2023-02-06 09:00:00,Amoron I Mania,Ambatofinandrahana,0.828564513586689,2023-02-06,02-06
445,2023-02-06 12:00:00,Amoron I Mania,Ambatofinandrahana,4.99322100462071,2023-02-06,02-06
555,2023-02-06 15:00:00,Amoron I Mania,Ambatofinandrahana,2.48680256900274,2023-02-06,02-06
665,2023-02-06 18:00:00,Amoron I Mania,Ambatofinandrahana,2.32136287500528,2023-02-06,02-06
775,2023-02-06 21:00:00,Amoron I Mania,Ambatofinandrahana,0.984892726420936,2023-02-06,02-06
885,2023-02-07 00:00:00,Amoron I Mania,Ambatofinandrahana,0.494250860714364,2023-02-07,02-07
995,2023-02-07 03:00:00,Amoron I Mania,Ambatofinandrahana,0.12047709535324,2023-02-07,02-07
1105,2023-02-07 06:00:00,Amoron I Mania,Ambatofinandrahana,0.119629079216595,2023-02-07,02-07
1215,2023-02-07 09:00:00,Amoron I Mania,Ambatofinandrahana,1.41654334766993,2023-02-07,02-07
1325,2023-02-07 12:00:00,Amoron I Mania,Ambatofinandrahana,6.49510130237816,2023-02-07,02-07
1435,2023-02-07 15:00:00,Amoron I Mania,Ambatofinandrahana,2.21790854327391,2023-02-07,02-07
1545,2023-02-07 18:00:00,Amoron I Mania,Ambatofinandrahana,1.29988416362207,2023-02-07,02-07
1655,2023-02-07 21:00:00,Amoron I Mania,Ambatofinandrahana,0.892797384245964,2023-02-07,02-07
1765,2023-02-08 00:00:00,Amoron I Mania,Ambatofinandrahana,0.0821094891523345,2023-02-08,02-08
1875,2023-02-08 03:00:00,Amoron I Mania,Ambatofinandrahana,0.0049528960428332,2023-02-08,02-08
1985,2023-02-08 06:00:00,Amoron I Mania,Ambatofinandrahana,0.0044445302090658,2023-02-08,02-08
2095,2023-02-08 09:00:00,Amoron I Mania,Ambatofinandrahana,0.145698410948566,2023-02-08,02-08
2205,2023-02-08 12:00:00,Amoron I Mania,Ambatofinandrahana,4.96103524017646,2023-02-08,02-08
2315,2023-02-08 15:00:00,Amoron I Mania,Ambatofinandrahana,7.8441365651575,2023-02-08,02-08
2425,2023-02-08 18:00:00,Amoron I Mania,Ambatofinandrahana,2.59454975504638,2023-02-08,02-08
2535,2023-02-08 21:00:00,Amoron I Mania,Ambatofinandrahana,0.493217996882816,2023-02-08,02-08
2645,2023-02-09 00:00:00,Amoron I Mania,Ambatofinandrahana,0.0761421601529709,2023-02-09,02-09
2755,2023-02-09 03:00:00,Amoron I Mania,Ambatofinandrahana,0.0038779479617242,2023-02-09,02-09
2865,2023-02-09 06:00:00,Amoron I Mania,Ambatofinandrahana,0.0603233425347792,2023-02-09,02-09
2975,2023-02-09 09:00:00,Amoron I Mania,Ambatofinandrahana,0.395735339998678,2023-02-09,02-09
3085,2023-02-09 12:00:00,Amoron I Mania,Ambatofinandrahana,6.73071000759766,2023-02-09,02-09
3195,2023-02-09 15:00:00,Amoron I Mania,Ambatofinandrahana,7.34454159434624,2023-02-09,02-09
3305,2023-02-09 18:00:00,Amoron I Mania,Ambatofinandrahana,2.80059913981582,2023-02-09,02-09
3415,2023-02-09 21:00:00,Amoron I Mania,Ambatofinandrahana,0.493442340225042,2023-02-09,02-09
3525,2023-02-10 00:00:00,Amoron I Mania,Ambatofinandrahana,0.197649287731822,2023-02-10,02-10
3635,2023-02-10 03:00:00,Amoron I Mania,Ambatofinandrahana,0.0335458219424649,2023-02-10,02-10
3745,2023-02-10 06:00:00,Amoron I Mania,Ambatofinandrahana,0.0097644275545304,2023-02-10,02-10
3855,2023-02-10 09:00:00,Amoron I Mania,Ambatofinandrahana,0.0480504929158918,2023-02-10,02-10
3965,2023-02-10 12:00:00,Amoron I Mania,Ambatofinandrahana,1.00996529395912,2023-02-10,02-10
4075,2023-02-10 15:00:00,Amoron I Mania,Ambatofinandrahana,0.335791621169926,2023-02-10,02-10
