,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
97,2023-02-06 00:00:00,Vakinankaratra,Ambatolampy,0.20946278624559,2023-02-06,02-06
207,2023-02-06 03:00:00,Vakinankaratra,Ambatolampy,0.11954868110255,2023-02-06,02-06
317,2023-02-06 06:00:00,Vakinankaratra,Ambatolampy,0.466967126927697,2023-02-06,02-06
427,2023-02-06 09:00:00,Vakinankaratra,Ambatolampy,1.01542470567913,2023-02-06,02-06
537,2023-02-06 12:00:00,Vakinankaratra,Ambatolampy,1.59409444395883,2023-02-06,02-06
647,2023-02-06 15:00:00,Vakinankaratra,Ambatolampy,0.758768369291479,2023-02-06,02-06
757,2023-02-06 18:00:00,Vakinankaratra,Ambatolampy,0.826876710831689,2023-02-06,02-06
867,2023-02-06 21:00:00,Vakinankaratra,Ambatolampy,1.43013736569376,2023-02-06,02-06
977,2023-02-07 00:00:00,Vakinankaratra,Ambatolampy,0.458506654262937,2023-02-07,02-07
1087,2023-02-07 03:00:00,Vakinankaratra,Ambatolampy,0.304682225768024,2023-02-07,02-07
1197,2023-02-07 06:00:00,Vakinankaratra,Ambatolampy,0.422032944764046,2023-02-07,02-07
1307,2023-02-07 09:00:00,Vakinankaratra,Ambatolampy,0.569394521101808,2023-02-07,02-07
1417,2023-02-07 12:00:00,Vakinankaratra,Ambatolampy,0.540803835709364,2023-02-07,02-07
1527,2023-02-07 15:00:00,Vakinankaratra,Ambatolampy,0.164379701627275,2023-02-07,02-07
1637,2023-02-07 18:00:00,Vakinankaratra,Ambatolampy,0.260192235466093,2023-02-07,02-07
1747,2023-02-07 21:00:00,Vakinankaratra,Ambatolampy,0.111558153549245,2023-02-07,02-07
1857,2023-02-08 00:00:00,Vakinankaratra,Ambatolampy,0.106983015251059,2023-02-08,02-08
1967,2023-02-08 03:00:00,Vakinankaratra,Ambatolampy,0.083682464046153,2023-02-08,02-08
2077,2023-02-08 06:00:00,Vakinankaratra,Ambatolampy,0.164411825705499,2023-02-08,02-08
2187,2023-02-08 09:00:00,Vakinankaratra,Ambatolampy,0.173164258442389,2023-02-08,02-08
2297,2023-02-08 12:00:00,Vakinankaratra,Ambatolampy,1.33452328250636,2023-02-08,02-08
2407,2023-02-08 15:00:00,Vakinankaratra,Ambatolampy,0.367133805434255,2023-02-08,02-08
2517,2023-02-08 18:00:00,Vakinankaratra,Ambatolampy,0.171423237542443,2023-02-08,02-08
2627,2023-02-08 21:00:00,Vakinankaratra,Ambatolampy,0.159389179119339,2023-02-08,02-08
2737,2023-02-09 00:00:00,Vakinankaratra,Ambatolampy,0.200538441802984,2023-02-09,02-09
2847,2023-02-09 03:00:00,Vakinankaratra,Ambatolampy,0.104387414686453,2023-02-09,02-09
2957,2023-02-09 06:00:00,Vakinankaratra,Ambatolampy,0.328781127056573,2023-02-09,02-09
3067,2023-02-09 09:00:00,Vakinankaratra,Ambatolampy,0.4118345369755,2023-02-09,02-09
3177,2023-02-09 12:00:00,Vakinankaratra,Ambatolampy,0.781137551763095,2023-02-09,02-09
3287,2023-02-09 15:00:00,Vakinankaratra,Ambatolampy,0.274186029331759,2023-02-09,02-09
3397,2023-02-09 18:00:00,Vakinankaratra,Ambatolampy,0.225335095950868,2023-02-09,02-09
3507,2023-02-09 21:00:00,Vakinankaratra,Ambatolampy,0.0632027222936113,2023-02-09,02-09
3617,2023-02-10 00:00:00,Vakinankaratra,Ambatolampy,0.0022198493556621,2023-02-10,02-10
3727,2023-02-10 03:00:00,Vakinankaratra,Ambatolampy,0.0004146065016706,2023-02-10,02-10
3837,2023-02-10 06:00:00,Vakinankaratra,Ambatolampy,0.0006556906513511,2023-02-10,02-10
3947,2023-02-10 09:00:00,Vakinankaratra,Ambatolampy,0.0307679972924794,2023-02-10,02-10
4057,2023-02-10 12:00:00,Vakinankaratra,Ambatolampy,0.0317350360878313,2023-02-10,02-10
4167,2023-02-10 15:00:00,Vakinankaratra,Ambatolampy,0.168343743725787,2023-02-10,02-10
4277,2023-02-10 18:00:00,Vakinankaratra,Ambatolampy,0.0628455094276713,2023-02-10,02-10
4387,2023-02-10 21:00:00,Vakinankaratra,Ambatolampy,0.0229870125946875,2023-02-10,02-10
4497,2023-02-11 00:00:00,Vakinankaratra,Ambatolampy,0.0131486273513964,2023-02-11,02-11
4607,2023-02-11 03:00:00,Vakinankaratra,Ambatolampy,0.0007642327915303,2023-02-11,02-11
4717,2023-02-11 06:00:00,Vakinankaratra,Ambatolampy,0.0010149514060825,2023-02-11,02-11
4827,2023-02-11 09:00:00,Vakinankaratra,Ambatolampy,0.0146305234878897,2023-02-11,02-11
4937,2023-02-11 12:00:00,Vakinankaratra,Ambatolampy,0.0794561678104891,2023-02-11,02-11
5047,2023-02-11 15:00:00,Vakinankaratra,Ambatolampy,0.238321383058344,2023-02-11,02-11
5157,2023-02-11 18:00:00,Vakinankaratra,Ambatolampy,0.14338894429742,2023-02-11,02-11
5267,2023-02-11 21:00:00,Vakinankaratra,Ambatolampy,0.0398929245062531,2023-02-11,02-11
5377,2023-02-12 00:00:00,Vakinankaratra,Ambatolampy,0.000830911225281,2023-02-12,02-12
5487,2023-02-12 03:00:00,Vakinankaratra,Ambatolampy,0.0002782257506623,2023-02-12,02-12
5597,2023-02-12 06:00:00,Vakinankaratra,Ambatolampy,4.11318615078926e-06,2023-02-12,02-12
5707,2023-02-12 09:00:00,Vakinankaratra,Ambatolampy,4.2063810934241e-06,2023-02-12,02-12
5817,2023-02-12 12:00:00,Vakinankaratra,Ambatolampy,0.0009098495043312,2023-02-12,02-12
5927,2023-02-12 15:00:00,Vakinankaratra,Ambatolampy,0.0219524174463004,2023-02-12,02-12
6037,2023-02-12 18:00:00,Vakinankaratra,Ambatolampy,0.0387376094317565,2023-02-12,02-12
6147,2023-02-12 21:00:00,Vakinankaratra,Ambatolampy,0.0139815865191989,2023-02-12,02-12
6257,2023-02-13 00:00:00,Vakinankaratra,Ambatolampy,0.0018952462929659,2023-02-13,02-13
6367,2023-02-13 03:00:00,Vakinankaratra,Ambatolampy,0.0009091181564144,2023-02-13,02-13
6477,2023-02-13 06:00:00,Vakinankaratra,Ambatolampy,0.0003647353912058,2023-02-13,02-13
6587,2023-02-13 09:00:00,Vakinankaratra,Ambatolampy,3.92140937037766e-05,2023-02-13,02-13
6697,2023-02-13 12:00:00,Vakinankaratra,Ambatolampy,0.0152978940481822,2023-02-13,02-13
6807,2023-02-13 15:00:00,Vakinankaratra,Ambatolampy,0.0282792410938642,2023-02-13,02-13
6917,2023-02-13 18:00:00,Vakinankaratra,Ambatolampy,0.0412897659385075,2023-02-13,02-13
7027,2023-02-13 21:00:00,Vakinankaratra,Ambatolampy,0.0209764189561471,2023-02-13,02-13
7137,2023-02-14 00:00:00,Vakinankaratra,Ambatolampy,0.0026897229254245,2023-02-14,02-14
7247,2023-02-14 03:00:00,Vakinankaratra,Ambatolampy,0.0006008811447267,2023-02-14,02-14
7357,2023-02-14 06:00:00,Vakinankaratra,Ambatolampy,0.100718882149802,2023-02-14,02-14
7467,2023-02-14 09:00:00,Vakinankaratra,Ambatolampy,0.182401142405489,2023-02-14,02-14
7577,2023-02-14 12:00:00,Vakinankaratra,Ambatolampy,0.307831760146655,2023-02-14,02-14
7687,2023-02-14 15:00:00,Vakinankaratra,Ambatolampy,0.192747463512485,2023-02-14,02-14
7797,2023-02-14 18:00:00,Vakinankaratra,Ambatolampy,0.142675540401027,2023-02-14,02-14
7907,2023-02-14 21:00:00,Vakinankaratra,Ambatolampy,0.0099775005812541,2023-02-14,02-14
8017,2023-02-15 00:00:00,Vakinankaratra,Ambatolampy,0.0002539773525383,2023-02-15,02-15
8127,2023-02-15 03:00:00,Vakinankaratra,Ambatolampy,4.16255967978102e-05,2023-02-15,02-15
8237,2023-02-15 06:00:00,Vakinankaratra,Ambatolampy,0.0001928577324948,2023-02-15,02-15
8347,2023-02-15 09:00:00,Vakinankaratra,Ambatolampy,0.0216365756977421,2023-02-15,02-15
8457,2023-02-15 12:00:00,Vakinankaratra,Ambatolampy,0.758096146003272,2023-02-15,02-15
