,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
76,2023-02-06 00:00:00,Melaky,Ambatomainty,0.872246082531425,2023-02-06,02-06
186,2023-02-06 03:00:00,Melaky,Ambatomainty,0.260845552577649,2023-02-06,02-06
296,2023-02-06 06:00:00,Melaky,Ambatomainty,0.130336321275624,2023-02-06,02-06
406,2023-02-06 09:00:00,Melaky,Ambatomainty,0.273842421739374,2023-02-06,02-06
516,2023-02-06 12:00:00,Melaky,Ambatomainty,0.926404551617097,2023-02-06,02-06
626,2023-02-06 15:00:00,Melaky,Ambatomainty,0.90068421801467,2023-02-06,02-06
736,2023-02-06 18:00:00,Melaky,Ambatomainty,0.947747132562033,2023-02-06,02-06
846,2023-02-06 21:00:00,Melaky,Ambatomainty,1.18773598879968,2023-02-06,02-06
956,2023-02-07 00:00:00,Melaky,Ambatomainty,0.329935080647219,2023-02-07,02-07
1066,2023-02-07 03:00:00,Melaky,Ambatomainty,0.0139965350092275,2023-02-07,02-07
1176,2023-02-07 06:00:00,Melaky,Ambatomainty,0.0979088986982455,2023-02-07,02-07
1286,2023-02-07 09:00:00,Melaky,Ambatomainty,0.481957659830919,2023-02-07,02-07
1396,2023-02-07 12:00:00,Melaky,Ambatomainty,1.10251926264311,2023-02-07,02-07
1506,2023-02-07 15:00:00,Melaky,Ambatomainty,0.322999802172445,2023-02-07,02-07
1616,2023-02-07 18:00:00,Melaky,Ambatomainty,1.20557804630712,2023-02-07,02-07
1726,2023-02-07 21:00:00,Melaky,Ambatomainty,0.996977135097528,2023-02-07,02-07
1836,2023-02-08 00:00:00,Melaky,Ambatomainty,0.0920364344492555,2023-02-08,02-08
1946,2023-02-08 03:00:00,Melaky,Ambatomainty,4.11716130811994e-06,2023-02-08,02-08
2056,2023-02-08 06:00:00,Melaky,Ambatomainty,0.0193529898732355,2023-02-08,02-08
2166,2023-02-08 09:00:00,Melaky,Ambatomainty,0.0239913675028308,2023-02-08,02-08
2276,2023-02-08 12:00:00,Melaky,Ambatomainty,0.505485698204522,2023-02-08,02-08
2386,2023-02-08 15:00:00,Melaky,Ambatomainty,2.22634359941358,2023-02-08,02-08
2496,2023-02-08 18:00:00,Melaky,Ambatomainty,7.80612635022319,2023-02-08,02-08
2606,2023-02-08 21:00:00,Melaky,Ambatomainty,10.9325509628099,2023-02-08,02-08
2716,2023-02-09 00:00:00,Melaky,Ambatomainty,4.19488093994342,2023-02-09,02-09
2826,2023-02-09 03:00:00,Melaky,Ambatomainty,0.0751619310453307,2023-02-09,02-09
2936,2023-02-09 06:00:00,Melaky,Ambatomainty,0.120497307423559,2023-02-09,02-09
3046,2023-02-09 09:00:00,Melaky,Ambatomainty,0.056461879999161,2023-02-09,02-09
3156,2023-02-09 12:00:00,Melaky,Ambatomainty,2.07645913943927,2023-02-09,02-09
3266,2023-02-09 15:00:00,Melaky,Ambatomainty,7.25289219712396,2023-02-09,02-09
3376,2023-02-09 18:00:00,Melaky,Ambatomainty,11.8558797589191,2023-02-09,02-09
3486,2023-02-09 21:00:00,Melaky,Ambatomainty,13.6231856879256,2023-02-09,02-09
3596,2023-02-10 00:00:00,Melaky,Ambatomainty,2.47024239068453,2023-02-10,02-10
3706,2023-02-10 03:00:00,Melaky,Ambatomainty,0.165646163743875,2023-02-10,02-10
3816,2023-02-10 06:00:00,Melaky,Ambatomainty,0.0012949390192061,2023-02-10,02-10
3926,2023-02-10 09:00:00,Melaky,Ambatomainty,0.0019936472143432,2023-02-10,02-10
4036,2023-02-10 12:00:00,Melaky,Ambatomainty,0.0258422129781826,2023-02-10,02-10
4146,2023-02-10 15:00:00,Melaky,Ambatomainty,0.0439359575379413,2023-02-10,02-10
4256,2023-02-10 18:00:00,Melaky,Ambatomainty,0.237600879620181,2023-02-10,02-10
4366,2023-02-10 21:00:00,Melaky,Ambatomainty,3.70272680834254,2023-02-10,02-10
4476,2023-02-11 00:00:00,Melaky,Ambatomainty,0.572020730296173,2023-02-11,02-11
4586,2023-02-11 03:00:00,Melaky,Ambatomainty,0.194821255987158,2023-02-11,02-11
4696,2023-02-11 06:00:00,Melaky,Ambatomainty,0.181873174355842,2023-02-11,02-11
4806,2023-02-11 09:00:00,Melaky,Ambatomainty,0.0850393678524486,2023-02-11,02-11
4916,2023-02-11 12:00:00,Melaky,Ambatomainty,0.34522215057897,2023-02-11,02-11
5026,2023-02-11 15:00:00,Melaky,Ambatomainty,0.25516852392338,2023-02-11,02-11
5136,2023-02-11 18:00:00,Melaky,Ambatomainty,0.0240298435560473,2023-02-11,02-11
5246,2023-02-11 21:00:00,Melaky,Ambatomainty,3.10482786650338e-05,2023-02-11,02-11
5356,2023-02-12 00:00:00,Melaky,Ambatomainty,0.0015042562168318,2023-02-12,02-12
5466,2023-02-12 03:00:00,Melaky,Ambatomainty,0.0006591490052481,2023-02-12,02-12
5576,2023-02-12 06:00:00,Melaky,Ambatomainty,0.204576497515607,2023-02-12,02-12
5686,2023-02-12 09:00:00,Melaky,Ambatomainty,0.592968753509212,2023-02-12,02-12
5796,2023-02-12 12:00:00,Melaky,Ambatomainty,0.389569055483529,2023-02-12,02-12
5906,2023-02-12 15:00:00,Melaky,Ambatomainty,0.0354046339634806,2023-02-12,02-12
6016,2023-02-12 18:00:00,Melaky,Ambatomainty,0.0112888384184505,2023-02-12,02-12
6126,2023-02-12 21:00:00,Melaky,Ambatomainty,0.0395565226534949,2023-02-12,02-12
6236,2023-02-13 00:00:00,Melaky,Ambatomainty,0.0464389997466308,2023-02-13,02-13
6346,2023-02-13 03:00:00,Melaky,Ambatomainty,0.0021158706612612,2023-02-13,02-13
6456,2023-02-13 06:00:00,Melaky,Ambatomainty,0.157070272318201,2023-02-13,02-13
6566,2023-02-13 09:00:00,Melaky,Ambatomainty,0.106151316597456,2023-02-13,02-13
6676,2023-02-13 12:00:00,Melaky,Ambatomainty,0.524625188509207,2023-02-13,02-13
6786,2023-02-13 15:00:00,Melaky,Ambatomainty,0.145554480780336,2023-02-13,02-13
