,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
0,2023-02-06 00:00:00,Alaotra Mangoro,Ambatondrazaka,0.404104469845112,2023-02-06,02-06
110,2023-02-06 03:00:00,Alaotra Mangoro,Ambatondrazaka,0.143942715385018,2023-02-06,02-06
220,2023-02-06 06:00:00,Alaotra Mangoro,Ambatondrazaka,0.503796307205567,2023-02-06,02-06
330,2023-02-06 09:00:00,Alaotra Mangoro,Ambatondrazaka,2.55968721215765,2023-02-06,02-06
440,2023-02-06 12:00:00,Alaotra Mangoro,Ambatondrazaka,3.26062766008924,2023-02-06,02-06
550,2023-02-06 15:00:00,Alaotra Mangoro,Ambatondrazaka,0.722968680091941,2023-02-06,02-06
660,2023-02-06 18:00:00,Alaotra Mangoro,Ambatondrazaka,0.545421717917476,2023-02-06,02-06
770,2023-02-06 21:00:00,Alaotra Mangoro,Ambatondrazaka,0.671988061894966,2023-02-06,02-06
880,2023-02-07 00:00:00,Alaotra Mangoro,Ambatondrazaka,0.549515762584,2023-02-07,02-07
990,2023-02-07 03:00:00,Alaotra Mangoro,Ambatondrazaka,0.369607295890329,2023-02-07,02-07
1100,2023-02-07 06:00:00,Alaotra Mangoro,Ambatondrazaka,0.416964385199168,2023-02-07,02-07
1210,2023-02-07 09:00:00,Alaotra Mangoro,Ambatondrazaka,0.384416713995565,2023-02-07,02-07
1320,2023-02-07 12:00:00,Alaotra Mangoro,Ambatondrazaka,0.28508544018563,2023-02-07,02-07
1430,2023-02-07 15:00:00,Alaotra Mangoro,Ambatondrazaka,0.0931437770334963,2023-02-07,02-07
1540,2023-02-07 18:00:00,Alaotra Mangoro,Ambatondrazaka,0.187362394362698,2023-02-07,02-07
1650,2023-02-07 21:00:00,Alaotra Mangoro,Ambatondrazaka,0.157309561152942,2023-02-07,02-07
1760,2023-02-08 00:00:00,Alaotra Mangoro,Ambatondrazaka,0.0904777876136865,2023-02-08,02-08
1870,2023-02-08 03:00:00,Alaotra Mangoro,Ambatondrazaka,0.212515398443666,2023-02-08,02-08
1980,2023-02-08 06:00:00,Alaotra Mangoro,Ambatondrazaka,0.261085638825771,2023-02-08,02-08
2090,2023-02-08 09:00:00,Alaotra Mangoro,Ambatondrazaka,0.393473760513386,2023-02-08,02-08
2200,2023-02-08 12:00:00,Alaotra Mangoro,Ambatondrazaka,0.562110092516219,2023-02-08,02-08
2310,2023-02-08 15:00:00,Alaotra Mangoro,Ambatondrazaka,0.0664932819946325,2023-02-08,02-08
