,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
59,2023-02-06 00:00:00,Diana,Ambilobe,0.111428795225133,2023-02-06,02-06
169,2023-02-06 03:00:00,Diana,Ambilobe,0.0476579201892505,2023-02-06,02-06
279,2023-02-06 06:00:00,Diana,Ambilobe,0.466524990018346,2023-02-06,02-06
389,2023-02-06 09:00:00,Diana,Ambilobe,5.08366047306448,2023-02-06,02-06
499,2023-02-06 12:00:00,Diana,Ambilobe,5.99419129917958,2023-02-06,02-06
609,2023-02-06 15:00:00,Diana,Ambilobe,1.6698309783928,2023-02-06,02-06
719,2023-02-06 18:00:00,Diana,Ambilobe,0.51914916974197,2023-02-06,02-06
829,2023-02-06 21:00:00,Diana,Ambilobe,0.026884082262578,2023-02-06,02-06
939,2023-02-07 00:00:00,Diana,Ambilobe,0.0025195307254707,2023-02-07,02-07
1049,2023-02-07 03:00:00,Diana,Ambilobe,0.083384857552974,2023-02-07,02-07
1159,2023-02-07 06:00:00,Diana,Ambilobe,0.608092578865567,2023-02-07,02-07
1269,2023-02-07 09:00:00,Diana,Ambilobe,4.01238847347741,2023-02-07,02-07
1379,2023-02-07 12:00:00,Diana,Ambilobe,4.21122419036953,2023-02-07,02-07
1489,2023-02-07 15:00:00,Diana,Ambilobe,1.70737778276132,2023-02-07,02-07
1599,2023-02-07 18:00:00,Diana,Ambilobe,0.386340379004311,2023-02-07,02-07
1709,2023-02-07 21:00:00,Diana,Ambilobe,0.186756034333905,2023-02-07,02-07
1819,2023-02-08 00:00:00,Diana,Ambilobe,0.0064028987327396,2023-02-08,02-08
1929,2023-02-08 03:00:00,Diana,Ambilobe,0.0051110870858181,2023-02-08,02-08
2039,2023-02-08 06:00:00,Diana,Ambilobe,0.174046921507289,2023-02-08,02-08
2149,2023-02-08 09:00:00,Diana,Ambilobe,1.02753011956064,2023-02-08,02-08
2259,2023-02-08 12:00:00,Diana,Ambilobe,6.1212701967721,2023-02-08,02-08
2369,2023-02-08 15:00:00,Diana,Ambilobe,0.869746691582954,2023-02-08,02-08
2479,2023-02-08 18:00:00,Diana,Ambilobe,0.279757517438604,2023-02-08,02-08
2589,2023-02-08 21:00:00,Diana,Ambilobe,0.152748144649616,2023-02-08,02-08
2699,2023-02-09 00:00:00,Diana,Ambilobe,0.0139408157773511,2023-02-09,02-09
2809,2023-02-09 03:00:00,Diana,Ambilobe,0.0005459368599008,2023-02-09,02-09
2919,2023-02-09 06:00:00,Diana,Ambilobe,0.0495645873146062,2023-02-09,02-09
3029,2023-02-09 09:00:00,Diana,Ambilobe,1.46125239856305,2023-02-09,02-09
3139,2023-02-09 12:00:00,Diana,Ambilobe,5.52573141867448,2023-02-09,02-09
3249,2023-02-09 15:00:00,Diana,Ambilobe,1.83199464901761,2023-02-09,02-09
3359,2023-02-09 18:00:00,Diana,Ambilobe,0.40665826843982,2023-02-09,02-09
3469,2023-02-09 21:00:00,Diana,Ambilobe,0.0835757441940342,2023-02-09,02-09
3579,2023-02-10 00:00:00,Diana,Ambilobe,0.207116309509077,2023-02-10,02-10
3689,2023-02-10 03:00:00,Diana,Ambilobe,0.139308881959808,2023-02-10,02-10
3799,2023-02-10 06:00:00,Diana,Ambilobe,0.250373221424742,2023-02-10,02-10
3909,2023-02-10 09:00:00,Diana,Ambilobe,0.420201168931611,2023-02-10,02-10
4019,2023-02-10 12:00:00,Diana,Ambilobe,2.56806788101546,2023-02-10,02-10
4129,2023-02-10 15:00:00,Diana,Ambilobe,3.094031901488,2023-02-10,02-10
4239,2023-02-10 18:00:00,Diana,Ambilobe,0.418048064575406,2023-02-10,02-10
4349,2023-02-10 21:00:00,Diana,Ambilobe,0.091082515574665,2023-02-10,02-10
4459,2023-02-11 00:00:00,Diana,Ambilobe,0.0898151594707603,2023-02-11,02-11
4569,2023-02-11 03:00:00,Diana,Ambilobe,0.0119761278559176,2023-02-11,02-11
4679,2023-02-11 06:00:00,Diana,Ambilobe,0.119074638508983,2023-02-11,02-11
4789,2023-02-11 09:00:00,Diana,Ambilobe,1.07558325179783,2023-02-11,02-11
4899,2023-02-11 12:00:00,Diana,Ambilobe,7.04714818198561,2023-02-11,02-11
5009,2023-02-11 15:00:00,Diana,Ambilobe,7.11162990153639,2023-02-11,02-11
5119,2023-02-11 18:00:00,Diana,Ambilobe,1.28244944134859,2023-02-11,02-11
5229,2023-02-11 21:00:00,Diana,Ambilobe,0.0839976151795266,2023-02-11,02-11
5339,2023-02-12 00:00:00,Diana,Ambilobe,0.0282514929248423,2023-02-12,02-12
5449,2023-02-12 03:00:00,Diana,Ambilobe,0.0024599092578126,2023-02-12,02-12
5559,2023-02-12 06:00:00,Diana,Ambilobe,0.128519493230765,2023-02-12,02-12
5669,2023-02-12 09:00:00,Diana,Ambilobe,0.769396343467403,2023-02-12,02-12
5779,2023-02-12 12:00:00,Diana,Ambilobe,1.23580473398619,2023-02-12,02-12
5889,2023-02-12 15:00:00,Diana,Ambilobe,0.148903021735744,2023-02-12,02-12
5999,2023-02-12 18:00:00,Diana,Ambilobe,0.0576299368360413,2023-02-12,02-12
6109,2023-02-12 21:00:00,Diana,Ambilobe,0.126764938138849,2023-02-12,02-12
6219,2023-02-13 00:00:00,Diana,Ambilobe,0.0325056435479504,2023-02-13,02-13
6329,2023-02-13 03:00:00,Diana,Ambilobe,0.0037427004774226,2023-02-13,02-13
6439,2023-02-13 06:00:00,Diana,Ambilobe,0.0849881916491092,2023-02-13,02-13
6549,2023-02-13 09:00:00,Diana,Ambilobe,0.468417298414487,2023-02-13,02-13
6659,2023-02-13 12:00:00,Diana,Ambilobe,6.77817817797377,2023-02-13,02-13
6769,2023-02-13 15:00:00,Diana,Ambilobe,12.0304029057777,2023-02-13,02-13
