,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
25,2023-02-06 00:00:00,Anosy,Amboasary-Atsimo,0.144450219528933,2023-02-06,02-06
135,2023-02-06 03:00:00,Anosy,Amboasary-Atsimo,0.0206868748493781,2023-02-06,02-06
245,2023-02-06 06:00:00,Anosy,Amboasary-Atsimo,0.0356115508814886,2023-02-06,02-06
355,2023-02-06 09:00:00,Anosy,Amboasary-Atsimo,0.181895261376797,2023-02-06,02-06
465,2023-02-06 12:00:00,Anosy,Amboasary-Atsimo,3.34926563830855,2023-02-06,02-06
575,2023-02-06 15:00:00,Anosy,Amboasary-Atsimo,3.94367059298869,2023-02-06,02-06
685,2023-02-06 18:00:00,Anosy,Amboasary-Atsimo,0.745000806674527,2023-02-06,02-06
795,2023-02-06 21:00:00,Anosy,Amboasary-Atsimo,0.431976374686374,2023-02-06,02-06
905,2023-02-07 00:00:00,Anosy,Amboasary-Atsimo,0.425571810770115,2023-02-07,02-07
1015,2023-02-07 03:00:00,Anosy,Amboasary-Atsimo,0.291268899180328,2023-02-07,02-07
1125,2023-02-07 06:00:00,Anosy,Amboasary-Atsimo,0.235922520267888,2023-02-07,02-07
1235,2023-02-07 09:00:00,Anosy,Amboasary-Atsimo,0.257498327857493,2023-02-07,02-07
1345,2023-02-07 12:00:00,Anosy,Amboasary-Atsimo,0.423117946751604,2023-02-07,02-07
1455,2023-02-07 15:00:00,Anosy,Amboasary-Atsimo,0.10583380704061,2023-02-07,02-07
1565,2023-02-07 18:00:00,Anosy,Amboasary-Atsimo,0.0847753424008953,2023-02-07,02-07
1675,2023-02-07 21:00:00,Anosy,Amboasary-Atsimo,0.293473603993854,2023-02-07,02-07
1785,2023-02-08 00:00:00,Anosy,Amboasary-Atsimo,0.2127037058741,2023-02-08,02-08
1895,2023-02-08 03:00:00,Anosy,Amboasary-Atsimo,0.0117428815886212,2023-02-08,02-08
2005,2023-02-08 06:00:00,Anosy,Amboasary-Atsimo,0.0694012676429425,2023-02-08,02-08
2115,2023-02-08 09:00:00,Anosy,Amboasary-Atsimo,0.237528207762461,2023-02-08,02-08
2225,2023-02-08 12:00:00,Anosy,Amboasary-Atsimo,2.48841579568328,2023-02-08,02-08
2335,2023-02-08 15:00:00,Anosy,Amboasary-Atsimo,1.39204054535782,2023-02-08,02-08
2445,2023-02-08 18:00:00,Anosy,Amboasary-Atsimo,1.31212531399312,2023-02-08,02-08
2555,2023-02-08 21:00:00,Anosy,Amboasary-Atsimo,0.243339992105445,2023-02-08,02-08
2665,2023-02-09 00:00:00,Anosy,Amboasary-Atsimo,0.183776941488586,2023-02-09,02-09
2775,2023-02-09 03:00:00,Anosy,Amboasary-Atsimo,0.10353158750721,2023-02-09,02-09
2885,2023-02-09 06:00:00,Anosy,Amboasary-Atsimo,0.0161079875729878,2023-02-09,02-09
2995,2023-02-09 09:00:00,Anosy,Amboasary-Atsimo,0.0336998865109525,2023-02-09,02-09
3105,2023-02-09 12:00:00,Anosy,Amboasary-Atsimo,0.230238496255229,2023-02-09,02-09
3215,2023-02-09 15:00:00,Anosy,Amboasary-Atsimo,0.013729850338201,2023-02-09,02-09
3325,2023-02-09 18:00:00,Anosy,Amboasary-Atsimo,0.0006327246214606,2023-02-09,02-09
3435,2023-02-09 21:00:00,Anosy,Amboasary-Atsimo,0.0013111980522461,2023-02-09,02-09
3545,2023-02-10 00:00:00,Anosy,Amboasary-Atsimo,0.173910988417837,2023-02-10,02-10
3655,2023-02-10 03:00:00,Anosy,Amboasary-Atsimo,4.98819212052262e-06,2023-02-10,02-10
3765,2023-02-10 06:00:00,Anosy,Amboasary-Atsimo,5.53633019860302e-06,2023-02-10,02-10
3875,2023-02-10 09:00:00,Anosy,Amboasary-Atsimo,0.0006747285092604,2023-02-10,02-10
3985,2023-02-10 12:00:00,Anosy,Amboasary-Atsimo,0.0071240700906076,2023-02-10,02-10
4095,2023-02-10 15:00:00,Anosy,Amboasary-Atsimo,0.0069091510203655,2023-02-10,02-10
4205,2023-02-10 18:00:00,Anosy,Amboasary-Atsimo,4.94698684806714e-05,2023-02-10,02-10
4315,2023-02-10 21:00:00,Anosy,Amboasary-Atsimo,5.23594402087231e-06,2023-02-10,02-10
4425,2023-02-11 00:00:00,Anosy,Amboasary-Atsimo,5.2399000629694e-06,2023-02-11,02-11
4535,2023-02-11 03:00:00,Anosy,Amboasary-Atsimo,4.97721096811195e-06,2023-02-11,02-11
4645,2023-02-11 06:00:00,Anosy,Amboasary-Atsimo,0.000415608871013,2023-02-11,02-11
4755,2023-02-11 09:00:00,Anosy,Amboasary-Atsimo,0.0096835671498584,2023-02-11,02-11
4865,2023-02-11 12:00:00,Anosy,Amboasary-Atsimo,0.012826572919342,2023-02-11,02-11
4975,2023-02-11 15:00:00,Anosy,Amboasary-Atsimo,0.0089811370077465,2023-02-11,02-11
5085,2023-02-11 18:00:00,Anosy,Amboasary-Atsimo,0.0102720800600114,2023-02-11,02-11
5195,2023-02-11 21:00:00,Anosy,Amboasary-Atsimo,6.03181390380043e-05,2023-02-11,02-11
5305,2023-02-12 00:00:00,Anosy,Amboasary-Atsimo,5.19219056947068e-06,2023-02-12,02-12
5415,2023-02-12 03:00:00,Anosy,Amboasary-Atsimo,7.85311671539343e-05,2023-02-12,02-12
5525,2023-02-12 06:00:00,Anosy,Amboasary-Atsimo,0.001077516797869,2023-02-12,02-12
5635,2023-02-12 09:00:00,Anosy,Amboasary-Atsimo,0.0099488810394957,2023-02-12,02-12
5745,2023-02-12 12:00:00,Anosy,Amboasary-Atsimo,0.0662635603034037,2023-02-12,02-12
5855,2023-02-12 15:00:00,Anosy,Amboasary-Atsimo,0.0232298681630276,2023-02-12,02-12
5965,2023-02-12 18:00:00,Anosy,Amboasary-Atsimo,0.0018409889578054,2023-02-12,02-12
6075,2023-02-12 21:00:00,Anosy,Amboasary-Atsimo,2.67819753692796e-05,2023-02-12,02-12
6185,2023-02-13 00:00:00,Anosy,Amboasary-Atsimo,6.59789504771609e-05,2023-02-13,02-13
6295,2023-02-13 03:00:00,Anosy,Amboasary-Atsimo,6.01879014755555e-05,2023-02-13,02-13
6405,2023-02-13 06:00:00,Anosy,Amboasary-Atsimo,0.0041890169183413,2023-02-13,02-13
6515,2023-02-13 09:00:00,Anosy,Amboasary-Atsimo,0.0376390521885783,2023-02-13,02-13
6625,2023-02-13 12:00:00,Anosy,Amboasary-Atsimo,0.164925282692864,2023-02-13,02-13
6735,2023-02-13 15:00:00,Anosy,Amboasary-Atsimo,0.0697782123017879,2023-02-13,02-13
6845,2023-02-13 18:00:00,Anosy,Amboasary-Atsimo,0.0001370434058896,2023-02-13,02-13
6955,2023-02-13 21:00:00,Anosy,Amboasary-Atsimo,0.0003033485021054,2023-02-13,02-13
7065,2023-02-14 00:00:00,Anosy,Amboasary-Atsimo,1.52967286772937e-05,2023-02-14,02-14
7175,2023-02-14 03:00:00,Anosy,Amboasary-Atsimo,4.07791736679861e-05,2023-02-14,02-14
7285,2023-02-14 06:00:00,Anosy,Amboasary-Atsimo,0.0020166391443039,2023-02-14,02-14
