,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
9,2023-02-06 00:00:00,Analamanga,Ambohidratrimo,0.0753037686275396,2023-02-06,02-06
119,2023-02-06 03:00:00,Analamanga,Ambohidratrimo,0.0995034572163907,2023-02-06,02-06
229,2023-02-06 06:00:00,Analamanga,Ambohidratrimo,0.469763746844061,2023-02-06,02-06
339,2023-02-06 09:00:00,Analamanga,Ambohidratrimo,1.30097081631538,2023-02-06,02-06
449,2023-02-06 12:00:00,Analamanga,Ambohidratrimo,2.26278150626361,2023-02-06,02-06
559,2023-02-06 15:00:00,Analamanga,Ambohidratrimo,2.59903308861249,2023-02-06,02-06
669,2023-02-06 18:00:00,Analamanga,Ambohidratrimo,0.539125657441521,2023-02-06,02-06
779,2023-02-06 21:00:00,Analamanga,Ambohidratrimo,0.45510511470881,2023-02-06,02-06
889,2023-02-07 00:00:00,Analamanga,Ambohidratrimo,0.729459769043994,2023-02-07,02-07
999,2023-02-07 03:00:00,Analamanga,Ambohidratrimo,0.505930414913261,2023-02-07,02-07
1109,2023-02-07 06:00:00,Analamanga,Ambohidratrimo,0.292538921062563,2023-02-07,02-07
1219,2023-02-07 09:00:00,Analamanga,Ambohidratrimo,0.193302682586364,2023-02-07,02-07
1329,2023-02-07 12:00:00,Analamanga,Ambohidratrimo,0.108925204481541,2023-02-07,02-07
1439,2023-02-07 15:00:00,Analamanga,Ambohidratrimo,0.0559281560611756,2023-02-07,02-07
1549,2023-02-07 18:00:00,Analamanga,Ambohidratrimo,0.0495006761242015,2023-02-07,02-07
1659,2023-02-07 21:00:00,Analamanga,Ambohidratrimo,0.187970062155121,2023-02-07,02-07
1769,2023-02-08 00:00:00,Analamanga,Ambohidratrimo,0.263534432805803,2023-02-08,02-08
1879,2023-02-08 03:00:00,Analamanga,Ambohidratrimo,0.033728913772696,2023-02-08,02-08
1989,2023-02-08 06:00:00,Analamanga,Ambohidratrimo,0.0519843485720533,2023-02-08,02-08
2099,2023-02-08 09:00:00,Analamanga,Ambohidratrimo,0.101033300559114,2023-02-08,02-08
2209,2023-02-08 12:00:00,Analamanga,Ambohidratrimo,0.453231939827674,2023-02-08,02-08
2319,2023-02-08 15:00:00,Analamanga,Ambohidratrimo,0.127459817692094,2023-02-08,02-08
2429,2023-02-08 18:00:00,Analamanga,Ambohidratrimo,0.0411974884579346,2023-02-08,02-08
2539,2023-02-08 21:00:00,Analamanga,Ambohidratrimo,0.240578974529247,2023-02-08,02-08
2649,2023-02-09 00:00:00,Analamanga,Ambohidratrimo,0.175291940235184,2023-02-09,02-09
2759,2023-02-09 03:00:00,Analamanga,Ambohidratrimo,0.0315885558278145,2023-02-09,02-09
2869,2023-02-09 06:00:00,Analamanga,Ambohidratrimo,0.134244604773509,2023-02-09,02-09
2979,2023-02-09 09:00:00,Analamanga,Ambohidratrimo,0.156321682860532,2023-02-09,02-09
3089,2023-02-09 12:00:00,Analamanga,Ambohidratrimo,0.182339971487333,2023-02-09,02-09
3199,2023-02-09 15:00:00,Analamanga,Ambohidratrimo,0.182364250732159,2023-02-09,02-09
3309,2023-02-09 18:00:00,Analamanga,Ambohidratrimo,0.154771165631246,2023-02-09,02-09
3419,2023-02-09 21:00:00,Analamanga,Ambohidratrimo,0.0138447583109761,2023-02-09,02-09
3529,2023-02-10 00:00:00,Analamanga,Ambohidratrimo,0.0232019203637416,2023-02-10,02-10
3639,2023-02-10 03:00:00,Analamanga,Ambohidratrimo,0.0471014641613389,2023-02-10,02-10
3749,2023-02-10 06:00:00,Analamanga,Ambohidratrimo,0.235457754393186,2023-02-10,02-10
3859,2023-02-10 09:00:00,Analamanga,Ambohidratrimo,0.0858337858274657,2023-02-10,02-10
3969,2023-02-10 12:00:00,Analamanga,Ambohidratrimo,0.0484372914458315,2023-02-10,02-10
4079,2023-02-10 15:00:00,Analamanga,Ambohidratrimo,0.0138159723671076,2023-02-10,02-10
4189,2023-02-10 18:00:00,Analamanga,Ambohidratrimo,0.0171263521430471,2023-02-10,02-10
4299,2023-02-10 21:00:00,Analamanga,Ambohidratrimo,0.0164430638445386,2023-02-10,02-10
4409,2023-02-11 00:00:00,Analamanga,Ambohidratrimo,0.0009969352831831,2023-02-11,02-11
4519,2023-02-11 03:00:00,Analamanga,Ambohidratrimo,0.0050277381718236,2023-02-11,02-11
4629,2023-02-11 06:00:00,Analamanga,Ambohidratrimo,0.0537211549672065,2023-02-11,02-11
4739,2023-02-11 09:00:00,Analamanga,Ambohidratrimo,0.0295873947422175,2023-02-11,02-11
4849,2023-02-11 12:00:00,Analamanga,Ambohidratrimo,0.0060971771551218,2023-02-11,02-11
4959,2023-02-11 15:00:00,Analamanga,Ambohidratrimo,0.0426771289979418,2023-02-11,02-11
5069,2023-02-11 18:00:00,Analamanga,Ambohidratrimo,0.0686941912523859,2023-02-11,02-11
5179,2023-02-11 21:00:00,Analamanga,Ambohidratrimo,0.0309874642795573,2023-02-11,02-11
5289,2023-02-12 00:00:00,Analamanga,Ambohidratrimo,0.0124840857994665,2023-02-12,02-12
5399,2023-02-12 03:00:00,Analamanga,Ambohidratrimo,0.0024035109284644,2023-02-12,02-12
5509,2023-02-12 06:00:00,Analamanga,Ambohidratrimo,0.060325401253067,2023-02-12,02-12
5619,2023-02-12 09:00:00,Analamanga,Ambohidratrimo,4.44550823885947e-06,2023-02-12,02-12
5729,2023-02-12 12:00:00,Analamanga,Ambohidratrimo,6.01806580865135e-06,2023-02-12,02-12
5839,2023-02-12 15:00:00,Analamanga,Ambohidratrimo,0.0010680305567802,2023-02-12,02-12
5949,2023-02-12 18:00:00,Analamanga,Ambohidratrimo,0.0525154167504904,2023-02-12,02-12
6059,2023-02-12 21:00:00,Analamanga,Ambohidratrimo,0.0073913102144918,2023-02-12,02-12
6169,2023-02-13 00:00:00,Analamanga,Ambohidratrimo,0.0058194510105143,2023-02-13,02-13
6279,2023-02-13 03:00:00,Analamanga,Ambohidratrimo,0.0689376023656223,2023-02-13,02-13
6389,2023-02-13 06:00:00,Analamanga,Ambohidratrimo,5.41462213732302e-06,2023-02-13,02-13
