,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
64,2023-02-06 00:00:00,Haute Matsiatra,Ambohimahasoa,0.268023232042861,2023-02-06,02-06
174,2023-02-06 03:00:00,Haute Matsiatra,Ambohimahasoa,0.430486690208244,2023-02-06,02-06
284,2023-02-06 06:00:00,Haute Matsiatra,Ambohimahasoa,0.948224178376572,2023-02-06,02-06
394,2023-02-06 09:00:00,Haute Matsiatra,Ambohimahasoa,2.38751292396605,2023-02-06,02-06
504,2023-02-06 12:00:00,Haute Matsiatra,Ambohimahasoa,7.07552065900885,2023-02-06,02-06
614,2023-02-06 15:00:00,Haute Matsiatra,Ambohimahasoa,1.80773232539202,2023-02-06,02-06
724,2023-02-06 18:00:00,Haute Matsiatra,Ambohimahasoa,1.01936709442928,2023-02-06,02-06
834,2023-02-06 21:00:00,Haute Matsiatra,Ambohimahasoa,1.95062613746939,2023-02-06,02-06
944,2023-02-07 00:00:00,Haute Matsiatra,Ambohimahasoa,1.01855571934273,2023-02-07,02-07
1054,2023-02-07 03:00:00,Haute Matsiatra,Ambohimahasoa,0.687796683870077,2023-02-07,02-07
1164,2023-02-07 06:00:00,Haute Matsiatra,Ambohimahasoa,0.749217433648972,2023-02-07,02-07
1274,2023-02-07 09:00:00,Haute Matsiatra,Ambohimahasoa,0.75801741057792,2023-02-07,02-07
1384,2023-02-07 12:00:00,Haute Matsiatra,Ambohimahasoa,0.469791709852871,2023-02-07,02-07
1494,2023-02-07 15:00:00,Haute Matsiatra,Ambohimahasoa,0.308558809539626,2023-02-07,02-07
1604,2023-02-07 18:00:00,Haute Matsiatra,Ambohimahasoa,0.666846161081384,2023-02-07,02-07
1714,2023-02-07 21:00:00,Haute Matsiatra,Ambohimahasoa,0.0414971903978417,2023-02-07,02-07
1824,2023-02-08 00:00:00,Haute Matsiatra,Ambohimahasoa,0.0040897722490346,2023-02-08,02-08
1934,2023-02-08 03:00:00,Haute Matsiatra,Ambohimahasoa,0.0197066826871238,2023-02-08,02-08
2044,2023-02-08 06:00:00,Haute Matsiatra,Ambohimahasoa,0.105100388459575,2023-02-08,02-08
