,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
6,2023-02-06 00:00:00,Amoron I Mania,Ambositra,0.226206223717712,2023-02-06,02-06
116,2023-02-06 03:00:00,Amoron I Mania,Ambositra,0.314601440584878,2023-02-06,02-06
226,2023-02-06 06:00:00,Amoron I Mania,Ambositra,1.46966717330864,2023-02-06,02-06
336,2023-02-06 09:00:00,Amoron I Mania,Ambositra,3.58651572971184,2023-02-06,02-06
446,2023-02-06 12:00:00,Amoron I Mania,Ambositra,6.80518412045561,2023-02-06,02-06
556,2023-02-06 15:00:00,Amoron I Mania,Ambositra,2.46205997204435,2023-02-06,02-06
666,2023-02-06 18:00:00,Amoron I Mania,Ambositra,1.05807954774802,2023-02-06,02-06
776,2023-02-06 21:00:00,Amoron I Mania,Ambositra,1.68031942483503,2023-02-06,02-06
886,2023-02-07 00:00:00,Amoron I Mania,Ambositra,1.37495885524326,2023-02-07,02-07
996,2023-02-07 03:00:00,Amoron I Mania,Ambositra,0.734694379740037,2023-02-07,02-07
1106,2023-02-07 06:00:00,Amoron I Mania,Ambositra,0.511801451451342,2023-02-07,02-07
1216,2023-02-07 09:00:00,Amoron I Mania,Ambositra,0.590339755099894,2023-02-07,02-07
1326,2023-02-07 12:00:00,Amoron I Mania,Ambositra,1.3222504727623,2023-02-07,02-07
1436,2023-02-07 15:00:00,Amoron I Mania,Ambositra,0.993385470671525,2023-02-07,02-07
1546,2023-02-07 18:00:00,Amoron I Mania,Ambositra,0.49966981138837,2023-02-07,02-07
1656,2023-02-07 21:00:00,Amoron I Mania,Ambositra,0.0567348526360897,2023-02-07,02-07
1766,2023-02-08 00:00:00,Amoron I Mania,Ambositra,0.0588990377996547,2023-02-08,02-08
1876,2023-02-08 03:00:00,Amoron I Mania,Ambositra,0.0183592291007069,2023-02-08,02-08
1986,2023-02-08 06:00:00,Amoron I Mania,Ambositra,0.0912585325489859,2023-02-08,02-08
2096,2023-02-08 09:00:00,Amoron I Mania,Ambositra,0.257869509330843,2023-02-08,02-08
2206,2023-02-08 12:00:00,Amoron I Mania,Ambositra,1.14525702927942,2023-02-08,02-08
2316,2023-02-08 15:00:00,Amoron I Mania,Ambositra,0.347163998730069,2023-02-08,02-08
2426,2023-02-08 18:00:00,Amoron I Mania,Ambositra,0.699532368847241,2023-02-08,02-08
2536,2023-02-08 21:00:00,Amoron I Mania,Ambositra,0.12676345275115,2023-02-08,02-08
2646,2023-02-09 00:00:00,Amoron I Mania,Ambositra,0.0791184121827917,2023-02-09,02-09
2756,2023-02-09 03:00:00,Amoron I Mania,Ambositra,0.189472752654603,2023-02-09,02-09
2866,2023-02-09 06:00:00,Amoron I Mania,Ambositra,0.389482314559595,2023-02-09,02-09
2976,2023-02-09 09:00:00,Amoron I Mania,Ambositra,0.623115429464423,2023-02-09,02-09
3086,2023-02-09 12:00:00,Amoron I Mania,Ambositra,0.930943424350027,2023-02-09,02-09
3196,2023-02-09 15:00:00,Amoron I Mania,Ambositra,0.285620879191601,2023-02-09,02-09
3306,2023-02-09 18:00:00,Amoron I Mania,Ambositra,0.243419785576407,2023-02-09,02-09
3416,2023-02-09 21:00:00,Amoron I Mania,Ambositra,0.0360618985813254,2023-02-09,02-09
3526,2023-02-10 00:00:00,Amoron I Mania,Ambositra,0.0923468604092844,2023-02-10,02-10
3636,2023-02-10 03:00:00,Amoron I Mania,Ambositra,0.0560310642243936,2023-02-10,02-10
3746,2023-02-10 06:00:00,Amoron I Mania,Ambositra,0.0057553675880906,2023-02-10,02-10
3856,2023-02-10 09:00:00,Amoron I Mania,Ambositra,0.0046839813115254,2023-02-10,02-10
3966,2023-02-10 12:00:00,Amoron I Mania,Ambositra,0.0004762408744472,2023-02-10,02-10
4076,2023-02-10 15:00:00,Amoron I Mania,Ambositra,0.017343483278707,2023-02-10,02-10
4186,2023-02-10 18:00:00,Amoron I Mania,Ambositra,0.0902697571078674,2023-02-10,02-10
4296,2023-02-10 21:00:00,Amoron I Mania,Ambositra,0.003906771446614,2023-02-10,02-10
4406,2023-02-11 00:00:00,Amoron I Mania,Ambositra,5.1101132367666e-06,2023-02-11,02-11
4516,2023-02-11 03:00:00,Amoron I Mania,Ambositra,0.0001877707321769,2023-02-11,02-11
4626,2023-02-11 06:00:00,Amoron I Mania,Ambositra,0.0021413216622582,2023-02-11,02-11
4736,2023-02-11 09:00:00,Amoron I Mania,Ambositra,0.0525860210786609,2023-02-11,02-11
