,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
22,2023-02-06 00:00:00,Androy,Ambovombe-Androy,0.0046954532919794,2023-02-06,02-06
132,2023-02-06 03:00:00,Androy,Ambovombe-Androy,1.75121623262959e-05,2023-02-06,02-06
242,2023-02-06 06:00:00,Androy,Ambovombe-Androy,0.0037410268483462,2023-02-06,02-06
352,2023-02-06 09:00:00,Androy,Ambovombe-Androy,0.0426407129439452,2023-02-06,02-06
462,2023-02-06 12:00:00,Androy,Ambovombe-Androy,0.850047298809697,2023-02-06,02-06
572,2023-02-06 15:00:00,Androy,Ambovombe-Androy,2.20888135035976,2023-02-06,02-06
682,2023-02-06 18:00:00,Androy,Ambovombe-Androy,0.691983487908912,2023-02-06,02-06
792,2023-02-06 21:00:00,Androy,Ambovombe-Androy,0.144128557986972,2023-02-06,02-06
902,2023-02-07 00:00:00,Androy,Ambovombe-Androy,0.199534351193027,2023-02-07,02-07
1012,2023-02-07 03:00:00,Androy,Ambovombe-Androy,0.0213275597856601,2023-02-07,02-07
1122,2023-02-07 06:00:00,Androy,Ambovombe-Androy,0.0616245379772552,2023-02-07,02-07
1232,2023-02-07 09:00:00,Androy,Ambovombe-Androy,0.419362914676496,2023-02-07,02-07
1342,2023-02-07 12:00:00,Androy,Ambovombe-Androy,0.409267025673456,2023-02-07,02-07
1452,2023-02-07 15:00:00,Androy,Ambovombe-Androy,0.516279786411599,2023-02-07,02-07
1562,2023-02-07 18:00:00,Androy,Ambovombe-Androy,0.0882572374937713,2023-02-07,02-07
1672,2023-02-07 21:00:00,Androy,Ambovombe-Androy,0.0644738733152687,2023-02-07,02-07
1782,2023-02-08 00:00:00,Androy,Ambovombe-Androy,0.109742136886588,2023-02-08,02-08
1892,2023-02-08 03:00:00,Androy,Ambovombe-Androy,0.009506501792011,2023-02-08,02-08
2002,2023-02-08 06:00:00,Androy,Ambovombe-Androy,0.0476475833167665,2023-02-08,02-08
2112,2023-02-08 09:00:00,Androy,Ambovombe-Androy,0.106147773784438,2023-02-08,02-08
2222,2023-02-08 12:00:00,Androy,Ambovombe-Androy,2.35103929803345,2023-02-08,02-08
2332,2023-02-08 15:00:00,Androy,Ambovombe-Androy,2.93621012403961,2023-02-08,02-08
2442,2023-02-08 18:00:00,Androy,Ambovombe-Androy,2.04770301137959,2023-02-08,02-08
2552,2023-02-08 21:00:00,Androy,Ambovombe-Androy,0.529430594439251,2023-02-08,02-08
2662,2023-02-09 00:00:00,Androy,Ambovombe-Androy,0.302631515833414,2023-02-09,02-09
2772,2023-02-09 03:00:00,Androy,Ambovombe-Androy,0.0207643666807072,2023-02-09,02-09
2882,2023-02-09 06:00:00,Androy,Ambovombe-Androy,0.0021878132109505,2023-02-09,02-09
2992,2023-02-09 09:00:00,Androy,Ambovombe-Androy,0.0716829356143104,2023-02-09,02-09
3102,2023-02-09 12:00:00,Androy,Ambovombe-Androy,1.15548808276071,2023-02-09,02-09
3212,2023-02-09 15:00:00,Androy,Ambovombe-Androy,0.18078953125606,2023-02-09,02-09
3322,2023-02-09 18:00:00,Androy,Ambovombe-Androy,0.048703240416025,2023-02-09,02-09
3432,2023-02-09 21:00:00,Androy,Ambovombe-Androy,0.0004092985396518,2023-02-09,02-09
3542,2023-02-10 00:00:00,Androy,Ambovombe-Androy,0.0767180966443113,2023-02-10,02-10
3652,2023-02-10 03:00:00,Androy,Ambovombe-Androy,0.0002842376630532,2023-02-10,02-10
3762,2023-02-10 06:00:00,Androy,Ambovombe-Androy,4.63544519765205e-06,2023-02-10,02-10
3872,2023-02-10 09:00:00,Androy,Ambovombe-Androy,0.000840189661463,2023-02-10,02-10
3982,2023-02-10 12:00:00,Androy,Ambovombe-Androy,0.0001512516081627,2023-02-10,02-10
4092,2023-02-10 15:00:00,Androy,Ambovombe-Androy,2.67185816100161e-05,2023-02-10,02-10
4202,2023-02-10 18:00:00,Androy,Ambovombe-Androy,5.57894236408174e-06,2023-02-10,02-10
4312,2023-02-10 21:00:00,Androy,Ambovombe-Androy,4.74858710444287e-06,2023-02-10,02-10
4422,2023-02-11 00:00:00,Androy,Ambovombe-Androy,4.92896805027206e-06,2023-02-11,02-11
4532,2023-02-11 03:00:00,Androy,Ambovombe-Androy,4.53860909481974e-06,2023-02-11,02-11
4642,2023-02-11 06:00:00,Androy,Ambovombe-Androy,0.0033145739565186,2023-02-11,02-11
4752,2023-02-11 09:00:00,Androy,Ambovombe-Androy,0.0092187175300511,2023-02-11,02-11
4862,2023-02-11 12:00:00,Androy,Ambovombe-Androy,0.0045903170692709,2023-02-11,02-11
4972,2023-02-11 15:00:00,Androy,Ambovombe-Androy,3.97046862513219e-06,2023-02-11,02-11
5082,2023-02-11 18:00:00,Androy,Ambovombe-Androy,5.05826411474692e-06,2023-02-11,02-11
5192,2023-02-11 21:00:00,Androy,Ambovombe-Androy,5.04376581183782e-06,2023-02-11,02-11
5302,2023-02-12 00:00:00,Androy,Ambovombe-Androy,5.75330341234803e-06,2023-02-12,02-12
5412,2023-02-12 03:00:00,Androy,Ambovombe-Androy,0.0001014163855487,2023-02-12,02-12
5522,2023-02-12 06:00:00,Androy,Ambovombe-Androy,0.0044970315112119,2023-02-12,02-12
