,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
28,2023-02-06 00:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0179319443839157,2023-02-06,02-06
138,2023-02-06 03:00:00,Atsimo Andrefana,Ampanihy Ouest,0.018828486522113,2023-02-06,02-06
248,2023-02-06 06:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0122796843440839,2023-02-06,02-06
358,2023-02-06 09:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0999856454563206,2023-02-06,02-06
468,2023-02-06 12:00:00,Atsimo Andrefana,Ampanihy Ouest,0.492960023703357,2023-02-06,02-06
578,2023-02-06 15:00:00,Atsimo Andrefana,Ampanihy Ouest,0.235494636665807,2023-02-06,02-06
688,2023-02-06 18:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0462567073535984,2023-02-06,02-06
798,2023-02-06 21:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0340304803447393,2023-02-06,02-06
908,2023-02-07 00:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0179832466964043,2023-02-07,02-07
1018,2023-02-07 03:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0255089266524326,2023-02-07,02-07
1128,2023-02-07 06:00:00,Atsimo Andrefana,Ampanihy Ouest,0.268836090642878,2023-02-07,02-07
1238,2023-02-07 09:00:00,Atsimo Andrefana,Ampanihy Ouest,1.0019686496027,2023-02-07,02-07
1348,2023-02-07 12:00:00,Atsimo Andrefana,Ampanihy Ouest,2.12018297777673,2023-02-07,02-07
1458,2023-02-07 15:00:00,Atsimo Andrefana,Ampanihy Ouest,6.3255487718341,2023-02-07,02-07
1568,2023-02-07 18:00:00,Atsimo Andrefana,Ampanihy Ouest,2.17933123909878,2023-02-07,02-07
1678,2023-02-07 21:00:00,Atsimo Andrefana,Ampanihy Ouest,0.385002897819504,2023-02-07,02-07
1788,2023-02-08 00:00:00,Atsimo Andrefana,Ampanihy Ouest,0.257034930493683,2023-02-08,02-08
1898,2023-02-08 03:00:00,Atsimo Andrefana,Ampanihy Ouest,0.288763857785734,2023-02-08,02-08
2008,2023-02-08 06:00:00,Atsimo Andrefana,Ampanihy Ouest,0.169288699043429,2023-02-08,02-08
2118,2023-02-08 09:00:00,Atsimo Andrefana,Ampanihy Ouest,0.265324717556612,2023-02-08,02-08
2228,2023-02-08 12:00:00,Atsimo Andrefana,Ampanihy Ouest,2.40776093523474,2023-02-08,02-08
2338,2023-02-08 15:00:00,Atsimo Andrefana,Ampanihy Ouest,3.31944134533507,2023-02-08,02-08
2448,2023-02-08 18:00:00,Atsimo Andrefana,Ampanihy Ouest,1.54493724885346,2023-02-08,02-08
2558,2023-02-08 21:00:00,Atsimo Andrefana,Ampanihy Ouest,0.332551540151421,2023-02-08,02-08
2668,2023-02-09 00:00:00,Atsimo Andrefana,Ampanihy Ouest,0.144545660211968,2023-02-09,02-09
2778,2023-02-09 03:00:00,Atsimo Andrefana,Ampanihy Ouest,0.013930115108277,2023-02-09,02-09
2888,2023-02-09 06:00:00,Atsimo Andrefana,Ampanihy Ouest,0.018939392187167,2023-02-09,02-09
2998,2023-02-09 09:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0539228006564688,2023-02-09,02-09
3108,2023-02-09 12:00:00,Atsimo Andrefana,Ampanihy Ouest,2.04331341777604,2023-02-09,02-09
3218,2023-02-09 15:00:00,Atsimo Andrefana,Ampanihy Ouest,5.04434025700599,2023-02-09,02-09
3328,2023-02-09 18:00:00,Atsimo Andrefana,Ampanihy Ouest,0.851204451802693,2023-02-09,02-09
3438,2023-02-09 21:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0414897161338519,2023-02-09,02-09
3548,2023-02-10 00:00:00,Atsimo Andrefana,Ampanihy Ouest,0.007039055124978,2023-02-10,02-10
3658,2023-02-10 03:00:00,Atsimo Andrefana,Ampanihy Ouest,5.29725195678032e-06,2023-02-10,02-10
3768,2023-02-10 06:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0028903668042798,2023-02-10,02-10
3878,2023-02-10 09:00:00,Atsimo Andrefana,Ampanihy Ouest,0.020543587503894,2023-02-10,02-10
3988,2023-02-10 12:00:00,Atsimo Andrefana,Ampanihy Ouest,0.147354418612794,2023-02-10,02-10
4098,2023-02-10 15:00:00,Atsimo Andrefana,Ampanihy Ouest,0.368116006502659,2023-02-10,02-10
4208,2023-02-10 18:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0396971345600753,2023-02-10,02-10
4318,2023-02-10 21:00:00,Atsimo Andrefana,Ampanihy Ouest,8.32472826637652e-05,2023-02-10,02-10
4428,2023-02-11 00:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0002826766136264,2023-02-11,02-11
4538,2023-02-11 03:00:00,Atsimo Andrefana,Ampanihy Ouest,5.22707022078659e-06,2023-02-11,02-11
4648,2023-02-11 06:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0024069668153179,2023-02-11,02-11
4758,2023-02-11 09:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0170702460525638,2023-02-11,02-11
4868,2023-02-11 12:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0426344631472603,2023-02-11,02-11
4978,2023-02-11 15:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0194344472352658,2023-02-11,02-11
5088,2023-02-11 18:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0020006199357221,2023-02-11,02-11
5198,2023-02-11 21:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0001111679781309,2023-02-11,02-11
5308,2023-02-12 00:00:00,Atsimo Andrefana,Ampanihy Ouest,4.9542635679245e-06,2023-02-12,02-12
5418,2023-02-12 03:00:00,Atsimo Andrefana,Ampanihy Ouest,2.53677945179136e-05,2023-02-12,02-12
5528,2023-02-12 06:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0102821765816771,2023-02-12,02-12
5638,2023-02-12 09:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0103326382464729,2023-02-12,02-12
5748,2023-02-12 12:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0380647013854721,2023-02-12,02-12
5858,2023-02-12 15:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0478976030459466,2023-02-12,02-12
5968,2023-02-12 18:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0010743643794937,2023-02-12,02-12
6078,2023-02-12 21:00:00,Atsimo Andrefana,Ampanihy Ouest,0.003744886232459,2023-02-12,02-12
6188,2023-02-13 00:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0002849578406945,2023-02-13,02-13
6298,2023-02-13 03:00:00,Atsimo Andrefana,Ampanihy Ouest,3.73596087624521e-05,2023-02-13,02-13
6408,2023-02-13 06:00:00,Atsimo Andrefana,Ampanihy Ouest,0.010767530905508,2023-02-13,02-13
6518,2023-02-13 09:00:00,Atsimo Andrefana,Ampanihy Ouest,0.304012250111175,2023-02-13,02-13
6628,2023-02-13 12:00:00,Atsimo Andrefana,Ampanihy Ouest,1.22424607958047,2023-02-13,02-13
6738,2023-02-13 15:00:00,Atsimo Andrefana,Ampanihy Ouest,0.300993394776268,2023-02-13,02-13
6848,2023-02-13 18:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0029514597035418,2023-02-13,02-13
6958,2023-02-13 21:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0012798938920478,2023-02-13,02-13
7068,2023-02-14 00:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0181764986077526,2023-02-14,02-14
7178,2023-02-14 03:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0068119430641198,2023-02-14,02-14
7288,2023-02-14 06:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0016209866806014,2023-02-14,02-14
7398,2023-02-14 09:00:00,Atsimo Andrefana,Ampanihy Ouest,0.156682317401789,2023-02-14,02-14
7508,2023-02-14 12:00:00,Atsimo Andrefana,Ampanihy Ouest,0.575005678294996,2023-02-14,02-14
7618,2023-02-14 15:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0632438921769474,2023-02-14,02-14
7728,2023-02-14 18:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0003505947994594,2023-02-14,02-14
7838,2023-02-14 21:00:00,Atsimo Andrefana,Ampanihy Ouest,4.72374655225355e-06,2023-02-14,02-14
7948,2023-02-15 00:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0012076330310462,2023-02-15,02-15
8058,2023-02-15 03:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0029334373169821,2023-02-15,02-15
8168,2023-02-15 06:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0149982398436607,2023-02-15,02-15
8278,2023-02-15 09:00:00,Atsimo Andrefana,Ampanihy Ouest,0.636110711718768,2023-02-15,02-15
8388,2023-02-15 12:00:00,Atsimo Andrefana,Ampanihy Ouest,1.68064600626391,2023-02-15,02-15
8498,2023-02-15 15:00:00,Atsimo Andrefana,Ampanihy Ouest,0.882654075055768,2023-02-15,02-15
8608,2023-02-15 18:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0286094549213253,2023-02-15,02-15
8718,2023-02-15 21:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0002314473335307,2023-02-15,02-15
8828,2023-02-16 00:00:00,Atsimo Andrefana,Ampanihy Ouest,0.05242983962146,2023-02-16,02-16
8938,2023-02-16 03:00:00,Atsimo Andrefana,Ampanihy Ouest,0.030385112409156,2023-02-16,02-16
9048,2023-02-16 06:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0110604701234716,2023-02-16,02-16
9158,2023-02-16 09:00:00,Atsimo Andrefana,Ampanihy Ouest,0.24392482592704,2023-02-16,02-16
9268,2023-02-16 12:00:00,Atsimo Andrefana,Ampanihy Ouest,0.749770061665154,2023-02-16,02-16
9378,2023-02-16 15:00:00,Atsimo Andrefana,Ampanihy Ouest,1.20705941021493,2023-02-16,02-16
9488,2023-02-16 18:00:00,Atsimo Andrefana,Ampanihy Ouest,0.473290011563095,2023-02-16,02-16
9598,2023-02-16 21:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0602265703218544,2023-02-16,02-16
9708,2023-02-17 00:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0034357340130752,2023-02-17,02-17
9818,2023-02-17 03:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0055435968795791,2023-02-17,02-17
9928,2023-02-17 06:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0125245856591905,2023-02-17,02-17
10038,2023-02-17 09:00:00,Atsimo Andrefana,Ampanihy Ouest,0.11863564640972,2023-02-17,02-17
10148,2023-02-17 12:00:00,Atsimo Andrefana,Ampanihy Ouest,1.48513725885271,2023-02-17,02-17
10258,2023-02-17 15:00:00,Atsimo Andrefana,Ampanihy Ouest,2.34558855264255,2023-02-17,02-17
10368,2023-02-17 18:00:00,Atsimo Andrefana,Ampanihy Ouest,0.828242471009371,2023-02-17,02-17
10478,2023-02-17 21:00:00,Atsimo Andrefana,Ampanihy Ouest,0.229077671977955,2023-02-17,02-17
10588,2023-02-18 00:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0372958045933679,2023-02-18,02-18
10698,2023-02-18 03:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0306590321175147,2023-02-18,02-18
10808,2023-02-18 06:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0309318308708379,2023-02-18,02-18
10918,2023-02-18 09:00:00,Atsimo Andrefana,Ampanihy Ouest,0.057811041353979,2023-02-18,02-18
11028,2023-02-18 12:00:00,Atsimo Andrefana,Ampanihy Ouest,0.734424337486068,2023-02-18,02-18
11138,2023-02-18 15:00:00,Atsimo Andrefana,Ampanihy Ouest,0.375032337740793,2023-02-18,02-18
11248,2023-02-18 18:00:00,Atsimo Andrefana,Ampanihy Ouest,0.281835557424727,2023-02-18,02-18
11358,2023-02-18 21:00:00,Atsimo Andrefana,Ampanihy Ouest,0.046195147078707,2023-02-18,02-18
11468,2023-02-19 00:00:00,Atsimo Andrefana,Ampanihy Ouest,5.05966751876733e-06,2023-02-19,02-19
11578,2023-02-19 03:00:00,Atsimo Andrefana,Ampanihy Ouest,2.08527042085062e-05,2023-02-19,02-19
