,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
1,2023-02-06 00:00:00,Alaotra Mangoro,Amparafaravola,0.306033038174792,2023-02-06,02-06
111,2023-02-06 03:00:00,Alaotra Mangoro,Amparafaravola,0.153488990216283,2023-02-06,02-06
221,2023-02-06 06:00:00,Alaotra Mangoro,Amparafaravola,0.489131293426908,2023-02-06,02-06
331,2023-02-06 09:00:00,Alaotra Mangoro,Amparafaravola,1.19987016941886,2023-02-06,02-06
441,2023-02-06 12:00:00,Alaotra Mangoro,Amparafaravola,3.04499832897854,2023-02-06,02-06
551,2023-02-06 15:00:00,Alaotra Mangoro,Amparafaravola,0.340102412328997,2023-02-06,02-06
661,2023-02-06 18:00:00,Alaotra Mangoro,Amparafaravola,0.393352250373573,2023-02-06,02-06
771,2023-02-06 21:00:00,Alaotra Mangoro,Amparafaravola,0.796540863228438,2023-02-06,02-06
881,2023-02-07 00:00:00,Alaotra Mangoro,Amparafaravola,0.330511104034667,2023-02-07,02-07
991,2023-02-07 03:00:00,Alaotra Mangoro,Amparafaravola,0.272498632056522,2023-02-07,02-07
1101,2023-02-07 06:00:00,Alaotra Mangoro,Amparafaravola,0.315578784796526,2023-02-07,02-07
1211,2023-02-07 09:00:00,Alaotra Mangoro,Amparafaravola,0.298059818567708,2023-02-07,02-07
1321,2023-02-07 12:00:00,Alaotra Mangoro,Amparafaravola,0.332393641839735,2023-02-07,02-07
1431,2023-02-07 15:00:00,Alaotra Mangoro,Amparafaravola,0.0950748919975013,2023-02-07,02-07
1541,2023-02-07 18:00:00,Alaotra Mangoro,Amparafaravola,0.0890772331258631,2023-02-07,02-07
1651,2023-02-07 21:00:00,Alaotra Mangoro,Amparafaravola,0.0788207908175536,2023-02-07,02-07
1761,2023-02-08 00:00:00,Alaotra Mangoro,Amparafaravola,0.0563323241643957,2023-02-08,02-08
1871,2023-02-08 03:00:00,Alaotra Mangoro,Amparafaravola,0.101882343390025,2023-02-08,02-08
1981,2023-02-08 06:00:00,Alaotra Mangoro,Amparafaravola,0.164195181378454,2023-02-08,02-08
2091,2023-02-08 09:00:00,Alaotra Mangoro,Amparafaravola,0.283955231633445,2023-02-08,02-08
2201,2023-02-08 12:00:00,Alaotra Mangoro,Amparafaravola,0.38371395990689,2023-02-08,02-08
2311,2023-02-08 15:00:00,Alaotra Mangoro,Amparafaravola,0.0461401019987534,2023-02-08,02-08
2421,2023-02-08 18:00:00,Alaotra Mangoro,Amparafaravola,0.166113991044404,2023-02-08,02-08
2531,2023-02-08 21:00:00,Alaotra Mangoro,Amparafaravola,0.223915007994219,2023-02-08,02-08
2641,2023-02-09 00:00:00,Alaotra Mangoro,Amparafaravola,0.123130801192019,2023-02-09,02-09
2751,2023-02-09 03:00:00,Alaotra Mangoro,Amparafaravola,0.062324825374526,2023-02-09,02-09
2861,2023-02-09 06:00:00,Alaotra Mangoro,Amparafaravola,0.150954068223655,2023-02-09,02-09
2971,2023-02-09 09:00:00,Alaotra Mangoro,Amparafaravola,0.130677241270314,2023-02-09,02-09
3081,2023-02-09 12:00:00,Alaotra Mangoro,Amparafaravola,0.118294955555757,2023-02-09,02-09
3191,2023-02-09 15:00:00,Alaotra Mangoro,Amparafaravola,0.0722615987673635,2023-02-09,02-09
3301,2023-02-09 18:00:00,Alaotra Mangoro,Amparafaravola,0.0755550977541134,2023-02-09,02-09
3411,2023-02-09 21:00:00,Alaotra Mangoro,Amparafaravola,0.0595648267393699,2023-02-09,02-09
3521,2023-02-10 00:00:00,Alaotra Mangoro,Amparafaravola,0.160764335189015,2023-02-10,02-10
3631,2023-02-10 03:00:00,Alaotra Mangoro,Amparafaravola,0.206914724821399,2023-02-10,02-10
3741,2023-02-10 06:00:00,Alaotra Mangoro,Amparafaravola,0.314086568371567,2023-02-10,02-10
3851,2023-02-10 09:00:00,Alaotra Mangoro,Amparafaravola,0.245490091769898,2023-02-10,02-10
3961,2023-02-10 12:00:00,Alaotra Mangoro,Amparafaravola,0.240616234642221,2023-02-10,02-10
4071,2023-02-10 15:00:00,Alaotra Mangoro,Amparafaravola,0.0328609662523377,2023-02-10,02-10
4181,2023-02-10 18:00:00,Alaotra Mangoro,Amparafaravola,0.0463600387447514,2023-02-10,02-10
4291,2023-02-10 21:00:00,Alaotra Mangoro,Amparafaravola,0.0771765093973954,2023-02-10,02-10
4401,2023-02-11 00:00:00,Alaotra Mangoro,Amparafaravola,0.0393655708641745,2023-02-11,02-11
4511,2023-02-11 03:00:00,Alaotra Mangoro,Amparafaravola,0.0271904931563768,2023-02-11,02-11
4621,2023-02-11 06:00:00,Alaotra Mangoro,Amparafaravola,0.244276719570917,2023-02-11,02-11
4731,2023-02-11 09:00:00,Alaotra Mangoro,Amparafaravola,0.380112729371467,2023-02-11,02-11
4841,2023-02-11 12:00:00,Alaotra Mangoro,Amparafaravola,0.900547653592366,2023-02-11,02-11
4951,2023-02-11 15:00:00,Alaotra Mangoro,Amparafaravola,0.52202222176129,2023-02-11,02-11
5061,2023-02-11 18:00:00,Alaotra Mangoro,Amparafaravola,0.0135307733900845,2023-02-11,02-11
5171,2023-02-11 21:00:00,Alaotra Mangoro,Amparafaravola,0.0050221700003021,2023-02-11,02-11
5281,2023-02-12 00:00:00,Alaotra Mangoro,Amparafaravola,0.0008880074718035,2023-02-12,02-12
5391,2023-02-12 03:00:00,Alaotra Mangoro,Amparafaravola,0.0007594372509629,2023-02-12,02-12
5501,2023-02-12 06:00:00,Alaotra Mangoro,Amparafaravola,0.197035910630075,2023-02-12,02-12
5611,2023-02-12 09:00:00,Alaotra Mangoro,Amparafaravola,0.208387431196752,2023-02-12,02-12
5721,2023-02-12 12:00:00,Alaotra Mangoro,Amparafaravola,0.257289076501911,2023-02-12,02-12
5831,2023-02-12 15:00:00,Alaotra Mangoro,Amparafaravola,0.250216730055399,2023-02-12,02-12
5941,2023-02-12 18:00:00,Alaotra Mangoro,Amparafaravola,0.0524667432837305,2023-02-12,02-12
6051,2023-02-12 21:00:00,Alaotra Mangoro,Amparafaravola,0.0131611926204641,2023-02-12,02-12
6161,2023-02-13 00:00:00,Alaotra Mangoro,Amparafaravola,0.0216203486110317,2023-02-13,02-13
6271,2023-02-13 03:00:00,Alaotra Mangoro,Amparafaravola,0.0876466772708227,2023-02-13,02-13
6381,2023-02-13 06:00:00,Alaotra Mangoro,Amparafaravola,0.113882654314511,2023-02-13,02-13
6491,2023-02-13 09:00:00,Alaotra Mangoro,Amparafaravola,0.178488646406913,2023-02-13,02-13
6601,2023-02-13 12:00:00,Alaotra Mangoro,Amparafaravola,0.40664145378687,2023-02-13,02-13
6711,2023-02-13 15:00:00,Alaotra Mangoro,Amparafaravola,0.0726028548990143,2023-02-13,02-13
6821,2023-02-13 18:00:00,Alaotra Mangoro,Amparafaravola,0.0084176484699128,2023-02-13,02-13
6931,2023-02-13 21:00:00,Alaotra Mangoro,Amparafaravola,0.0058040481715579,2023-02-13,02-13
7041,2023-02-14 00:00:00,Alaotra Mangoro,Amparafaravola,0.0542844029230764,2023-02-14,02-14
7151,2023-02-14 03:00:00,Alaotra Mangoro,Amparafaravola,0.0060451105557149,2023-02-14,02-14
7261,2023-02-14 06:00:00,Alaotra Mangoro,Amparafaravola,0.002786556565843,2023-02-14,02-14
7371,2023-02-14 09:00:00,Alaotra Mangoro,Amparafaravola,0.0376134060847107,2023-02-14,02-14
7481,2023-02-14 12:00:00,Alaotra Mangoro,Amparafaravola,0.115344260171696,2023-02-14,02-14
7591,2023-02-14 15:00:00,Alaotra Mangoro,Amparafaravola,0.0294009297242155,2023-02-14,02-14
7701,2023-02-14 18:00:00,Alaotra Mangoro,Amparafaravola,0.0052173202260746,2023-02-14,02-14
7811,2023-02-14 21:00:00,Alaotra Mangoro,Amparafaravola,0.0001820870616938,2023-02-14,02-14
7921,2023-02-15 00:00:00,Alaotra Mangoro,Amparafaravola,0.0049619803205132,2023-02-15,02-15
8031,2023-02-15 03:00:00,Alaotra Mangoro,Amparafaravola,0.0187356849797652,2023-02-15,02-15
8141,2023-02-15 06:00:00,Alaotra Mangoro,Amparafaravola,0.0048628552307491,2023-02-15,02-15
8251,2023-02-15 09:00:00,Alaotra Mangoro,Amparafaravola,0.133288708831242,2023-02-15,02-15
8361,2023-02-15 12:00:00,Alaotra Mangoro,Amparafaravola,0.416961312579224,2023-02-15,02-15
8471,2023-02-15 15:00:00,Alaotra Mangoro,Amparafaravola,0.308362628729083,2023-02-15,02-15
8581,2023-02-15 18:00:00,Alaotra Mangoro,Amparafaravola,0.347661744126526,2023-02-15,02-15
8691,2023-02-15 21:00:00,Alaotra Mangoro,Amparafaravola,1.66089256575506,2023-02-15,02-15
8801,2023-02-16 00:00:00,Alaotra Mangoro,Amparafaravola,1.21316812023288,2023-02-16,02-16
8911,2023-02-16 03:00:00,Alaotra Mangoro,Amparafaravola,0.0295582134916913,2023-02-16,02-16
9021,2023-02-16 06:00:00,Alaotra Mangoro,Amparafaravola,0.0698994985039462,2023-02-16,02-16
