,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
90,2023-02-06 00:00:00,Sofia,Analalava,0.206114010704356,2023-02-06,02-06
200,2023-02-06 03:00:00,Sofia,Analalava,0.33074271037524,2023-02-06,02-06
310,2023-02-06 06:00:00,Sofia,Analalava,0.483619336297972,2023-02-06,02-06
420,2023-02-06 09:00:00,Sofia,Analalava,2.16591854408233,2023-02-06,02-06
530,2023-02-06 12:00:00,Sofia,Analalava,5.10850115638619,2023-02-06,02-06
640,2023-02-06 15:00:00,Sofia,Analalava,4.47433363405305,2023-02-06,02-06
750,2023-02-06 18:00:00,Sofia,Analalava,1.85701899305353,2023-02-06,02-06
860,2023-02-06 21:00:00,Sofia,Analalava,0.364088065457396,2023-02-06,02-06
970,2023-02-07 00:00:00,Sofia,Analalava,0.216862152357688,2023-02-07,02-07
1080,2023-02-07 03:00:00,Sofia,Analalava,0.0281839575307533,2023-02-07,02-07
1190,2023-02-07 06:00:00,Sofia,Analalava,0.436426760722111,2023-02-07,02-07
1300,2023-02-07 09:00:00,Sofia,Analalava,1.0581407339427,2023-02-07,02-07
1410,2023-02-07 12:00:00,Sofia,Analalava,6.00641171900119,2023-02-07,02-07
1520,2023-02-07 15:00:00,Sofia,Analalava,9.61126479981643,2023-02-07,02-07
1630,2023-02-07 18:00:00,Sofia,Analalava,5.92825049184317,2023-02-07,02-07
1740,2023-02-07 21:00:00,Sofia,Analalava,0.644420135626729,2023-02-07,02-07
1850,2023-02-08 00:00:00,Sofia,Analalava,0.0437068135448897,2023-02-08,02-08
1960,2023-02-08 03:00:00,Sofia,Analalava,0.0014607761260951,2023-02-08,02-08
2070,2023-02-08 06:00:00,Sofia,Analalava,0.0451026380473544,2023-02-08,02-08
2180,2023-02-08 09:00:00,Sofia,Analalava,0.742274158044195,2023-02-08,02-08
2290,2023-02-08 12:00:00,Sofia,Analalava,5.30086375602636,2023-02-08,02-08
2400,2023-02-08 15:00:00,Sofia,Analalava,13.8424757777455,2023-02-08,02-08
2510,2023-02-08 18:00:00,Sofia,Analalava,5.69868232746934,2023-02-08,02-08
2620,2023-02-08 21:00:00,Sofia,Analalava,1.48549527438814,2023-02-08,02-08
2730,2023-02-09 00:00:00,Sofia,Analalava,0.150311418324996,2023-02-09,02-09
2840,2023-02-09 03:00:00,Sofia,Analalava,0.0119051381192897,2023-02-09,02-09
2950,2023-02-09 06:00:00,Sofia,Analalava,0.0411708885971265,2023-02-09,02-09
3060,2023-02-09 09:00:00,Sofia,Analalava,1.63435531163521,2023-02-09,02-09
3170,2023-02-09 12:00:00,Sofia,Analalava,6.97331948853688,2023-02-09,02-09
3280,2023-02-09 15:00:00,Sofia,Analalava,6.67335609183487,2023-02-09,02-09
3390,2023-02-09 18:00:00,Sofia,Analalava,2.37935776324155,2023-02-09,02-09
3500,2023-02-09 21:00:00,Sofia,Analalava,0.871069482027725,2023-02-09,02-09
3610,2023-02-10 00:00:00,Sofia,Analalava,0.212941775506694,2023-02-10,02-10
3720,2023-02-10 03:00:00,Sofia,Analalava,0.0606848193477673,2023-02-10,02-10
3830,2023-02-10 06:00:00,Sofia,Analalava,0.0374061797166639,2023-02-10,02-10
3940,2023-02-10 09:00:00,Sofia,Analalava,0.319107475867559,2023-02-10,02-10
4050,2023-02-10 12:00:00,Sofia,Analalava,1.58753577662928,2023-02-10,02-10
4160,2023-02-10 15:00:00,Sofia,Analalava,3.73649760104448,2023-02-10,02-10
4270,2023-02-10 18:00:00,Sofia,Analalava,3.14626881043739,2023-02-10,02-10
4380,2023-02-10 21:00:00,Sofia,Analalava,0.860670899676497,2023-02-10,02-10
4490,2023-02-11 00:00:00,Sofia,Analalava,0.157938320214433,2023-02-11,02-11
4600,2023-02-11 03:00:00,Sofia,Analalava,0.0590946248386451,2023-02-11,02-11
4710,2023-02-11 06:00:00,Sofia,Analalava,0.0758918021878942,2023-02-11,02-11
4820,2023-02-11 09:00:00,Sofia,Analalava,0.659115783946767,2023-02-11,02-11
4930,2023-02-11 12:00:00,Sofia,Analalava,3.32141295862815,2023-02-11,02-11
5040,2023-02-11 15:00:00,Sofia,Analalava,1.54417827083053,2023-02-11,02-11
5150,2023-02-11 18:00:00,Sofia,Analalava,0.115665376051616,2023-02-11,02-11
5260,2023-02-11 21:00:00,Sofia,Analalava,0.0008773935124699,2023-02-11,02-11
5370,2023-02-12 00:00:00,Sofia,Analalava,0.0904893744130912,2023-02-12,02-12
5480,2023-02-12 03:00:00,Sofia,Analalava,0.222536401345541,2023-02-12,02-12
5590,2023-02-12 06:00:00,Sofia,Analalava,0.693716254262317,2023-02-12,02-12
5700,2023-02-12 09:00:00,Sofia,Analalava,0.715461612504441,2023-02-12,02-12
5810,2023-02-12 12:00:00,Sofia,Analalava,0.378221033220753,2023-02-12,02-12
5920,2023-02-12 15:00:00,Sofia,Analalava,0.0345366750955454,2023-02-12,02-12
6030,2023-02-12 18:00:00,Sofia,Analalava,0.321559756574833,2023-02-12,02-12
6140,2023-02-12 21:00:00,Sofia,Analalava,0.0749255298558712,2023-02-12,02-12
6250,2023-02-13 00:00:00,Sofia,Analalava,7.96236714973331e-05,2023-02-13,02-13
6360,2023-02-13 03:00:00,Sofia,Analalava,0.0001166789538915,2023-02-13,02-13
6470,2023-02-13 06:00:00,Sofia,Analalava,0.013636841155646,2023-02-13,02-13
6580,2023-02-13 09:00:00,Sofia,Analalava,0.252111051832836,2023-02-13,02-13
6690,2023-02-13 12:00:00,Sofia,Analalava,2.0639481397317,2023-02-13,02-13
6800,2023-02-13 15:00:00,Sofia,Analalava,3.12515470827451,2023-02-13,02-13
6910,2023-02-13 18:00:00,Sofia,Analalava,2.13034327270635,2023-02-13,02-13
7020,2023-02-13 21:00:00,Sofia,Analalava,1.042760690368,2023-02-13,02-13
7130,2023-02-14 00:00:00,Sofia,Analalava,0.349589427965789,2023-02-14,02-14
7240,2023-02-14 03:00:00,Sofia,Analalava,0.102287861398957,2023-02-14,02-14
7350,2023-02-14 06:00:00,Sofia,Analalava,0.096572398256721,2023-02-14,02-14
7460,2023-02-14 09:00:00,Sofia,Analalava,0.461501436455539,2023-02-14,02-14
7570,2023-02-14 12:00:00,Sofia,Analalava,0.805074234593545,2023-02-14,02-14
7680,2023-02-14 15:00:00,Sofia,Analalava,0.253426128559848,2023-02-14,02-14
7790,2023-02-14 18:00:00,Sofia,Analalava,0.576446595999623,2023-02-14,02-14
7900,2023-02-14 21:00:00,Sofia,Analalava,0.28899043114706,2023-02-14,02-14
8010,2023-02-15 00:00:00,Sofia,Analalava,0.042163102108545,2023-02-15,02-15
8120,2023-02-15 03:00:00,Sofia,Analalava,0.0207863398468798,2023-02-15,02-15
8230,2023-02-15 06:00:00,Sofia,Analalava,0.108415732941629,2023-02-15,02-15
8340,2023-02-15 09:00:00,Sofia,Analalava,0.683701298516148,2023-02-15,02-15
8450,2023-02-15 12:00:00,Sofia,Analalava,0.834551471346919,2023-02-15,02-15
8560,2023-02-15 15:00:00,Sofia,Analalava,0.699473283884326,2023-02-15,02-15
8670,2023-02-15 18:00:00,Sofia,Analalava,0.787976995691791,2023-02-15,02-15
8780,2023-02-15 21:00:00,Sofia,Analalava,0.536835525311651,2023-02-15,02-15
8890,2023-02-16 00:00:00,Sofia,Analalava,0.264373470814612,2023-02-16,02-16
9000,2023-02-16 03:00:00,Sofia,Analalava,0.201188674103309,2023-02-16,02-16
9110,2023-02-16 06:00:00,Sofia,Analalava,0.371268882425757,2023-02-16,02-16
9220,2023-02-16 09:00:00,Sofia,Analalava,0.614427741223863,2023-02-16,02-16
9330,2023-02-16 12:00:00,Sofia,Analalava,0.798508707591817,2023-02-16,02-16
9440,2023-02-16 15:00:00,Sofia,Analalava,0.446594161843428,2023-02-16,02-16
9550,2023-02-16 18:00:00,Sofia,Analalava,0.894487165526187,2023-02-16,02-16
9660,2023-02-16 21:00:00,Sofia,Analalava,0.33024314982252,2023-02-16,02-16
9770,2023-02-17 00:00:00,Sofia,Analalava,0.120211183705067,2023-02-17,02-17
9880,2023-02-17 03:00:00,Sofia,Analalava,0.143720576713461,2023-02-17,02-17
9990,2023-02-17 06:00:00,Sofia,Analalava,0.169523993530949,2023-02-17,02-17
10100,2023-02-17 09:00:00,Sofia,Analalava,0.272199683093102,2023-02-17,02-17
10210,2023-02-17 12:00:00,Sofia,Analalava,0.83073949145252,2023-02-17,02-17
10320,2023-02-17 15:00:00,Sofia,Analalava,2.14506503913874,2023-02-17,02-17
10430,2023-02-17 18:00:00,Sofia,Analalava,0.860811274796916,2023-02-17,02-17
10540,2023-02-17 21:00:00,Sofia,Analalava,0.558588984951836,2023-02-17,02-17
10650,2023-02-18 00:00:00,Sofia,Analalava,0.917872198713841,2023-02-18,02-18
10760,2023-02-18 03:00:00,Sofia,Analalava,0.0827336822116543,2023-02-18,02-18
10870,2023-02-18 06:00:00,Sofia,Analalava,0.322262976525913,2023-02-18,02-18
10980,2023-02-18 09:00:00,Sofia,Analalava,1.53007384544328,2023-02-18,02-18
11090,2023-02-18 12:00:00,Sofia,Analalava,4.25659245288172,2023-02-18,02-18
11200,2023-02-18 15:00:00,Sofia,Analalava,6.32031182533175,2023-02-18,02-18
11310,2023-02-18 18:00:00,Sofia,Analalava,4.82134701486052,2023-02-18,02-18
11420,2023-02-18 21:00:00,Sofia,Analalava,1.2322371170923,2023-02-18,02-18
11530,2023-02-19 00:00:00,Sofia,Analalava,0.984974679102553,2023-02-19,02-19
11640,2023-02-19 03:00:00,Sofia,Analalava,0.328223402304926,2023-02-19,02-19
11750,2023-02-19 06:00:00,Sofia,Analalava,0.130920737135792,2023-02-19,02-19
11860,2023-02-19 09:00:00,Sofia,Analalava,0.307268928718906,2023-02-19,02-19
11970,2023-02-19 12:00:00,Sofia,Analalava,0.527637533863451,2023-02-19,02-19
12080,2023-02-19 15:00:00,Sofia,Analalava,0.206896278169963,2023-02-19,02-19
12190,2023-02-19 18:00:00,Sofia,Analalava,0.149078158766975,2023-02-19,02-19
12300,2023-02-19 21:00:00,Sofia,Analalava,0.151416422781688,2023-02-19,02-19
12410,2023-02-20 00:00:00,Sofia,Analalava,0.0545780466684485,2023-02-20,02-20
12520,2023-02-20 03:00:00,Sofia,Analalava,0.0152679502992725,2023-02-20,02-20
12630,2023-02-20 06:00:00,Sofia,Analalava,0.0222452738950641,2023-02-20,02-20
12740,2023-02-20 09:00:00,Sofia,Analalava,0.0522002057652372,2023-02-20,02-20
12850,2023-02-20 12:00:00,Sofia,Analalava,0.238623156091868,2023-02-20,02-20
12960,2023-02-20 15:00:00,Sofia,Analalava,0.158124627849272,2023-02-20,02-20
13070,2023-02-20 18:00:00,Sofia,Analalava,0.160438968245042,2023-02-20,02-20
13180,2023-02-20 21:00:00,Sofia,Analalava,0.0817558287925163,2023-02-20,02-20
13290,2023-02-21 00:00:00,Sofia,Analalava,0.0579217448423948,2023-02-21,02-21
13400,2023-02-21 03:00:00,Sofia,Analalava,0.0628846502609309,2023-02-21,02-21
13510,2023-02-21 06:00:00,Sofia,Analalava,0.107902875426863,2023-02-21,02-21
