,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
86,2023-02-06 00:00:00,Sava,Andapa,0.174231848476543,2023-02-06,02-06
196,2023-02-06 03:00:00,Sava,Andapa,0.0836297181714956,2023-02-06,02-06
306,2023-02-06 06:00:00,Sava,Andapa,0.762278451318412,2023-02-06,02-06
416,2023-02-06 09:00:00,Sava,Andapa,1.36566411044663,2023-02-06,02-06
526,2023-02-06 12:00:00,Sava,Andapa,3.0962219569121,2023-02-06,02-06
636,2023-02-06 15:00:00,Sava,Andapa,1.38965726329951,2023-02-06,02-06
746,2023-02-06 18:00:00,Sava,Andapa,1.46845292287243,2023-02-06,02-06
856,2023-02-06 21:00:00,Sava,Andapa,0.190191935522897,2023-02-06,02-06
966,2023-02-07 00:00:00,Sava,Andapa,0.0127576645652487,2023-02-07,02-07
1076,2023-02-07 03:00:00,Sava,Andapa,0.178482998752451,2023-02-07,02-07
1186,2023-02-07 06:00:00,Sava,Andapa,1.69684292907462,2023-02-07,02-07
1296,2023-02-07 09:00:00,Sava,Andapa,3.29238729248912,2023-02-07,02-07
1406,2023-02-07 12:00:00,Sava,Andapa,1.47478927840712,2023-02-07,02-07
1516,2023-02-07 15:00:00,Sava,Andapa,0.625797612065563,2023-02-07,02-07
1626,2023-02-07 18:00:00,Sava,Andapa,1.18930457283686,2023-02-07,02-07
1736,2023-02-07 21:00:00,Sava,Andapa,0.38418676588225,2023-02-07,02-07
1846,2023-02-08 00:00:00,Sava,Andapa,0.001908473673629,2023-02-08,02-08
1956,2023-02-08 03:00:00,Sava,Andapa,0.0302323992568622,2023-02-08,02-08
2066,2023-02-08 06:00:00,Sava,Andapa,0.756299312339743,2023-02-08,02-08
2176,2023-02-08 09:00:00,Sava,Andapa,2.89243678109897,2023-02-08,02-08
2286,2023-02-08 12:00:00,Sava,Andapa,3.82937940596477,2023-02-08,02-08
2396,2023-02-08 15:00:00,Sava,Andapa,0.54758658158165,2023-02-08,02-08
2506,2023-02-08 18:00:00,Sava,Andapa,0.0809507259085926,2023-02-08,02-08
2616,2023-02-08 21:00:00,Sava,Andapa,0.0343218387035351,2023-02-08,02-08
2726,2023-02-09 00:00:00,Sava,Andapa,0.0217222361180403,2023-02-09,02-09
2836,2023-02-09 03:00:00,Sava,Andapa,0.090850341489312,2023-02-09,02-09
2946,2023-02-09 06:00:00,Sava,Andapa,0.762091819684625,2023-02-09,02-09
3056,2023-02-09 09:00:00,Sava,Andapa,1.82812898620378,2023-02-09,02-09
3166,2023-02-09 12:00:00,Sava,Andapa,1.80864875343301,2023-02-09,02-09
3276,2023-02-09 15:00:00,Sava,Andapa,0.6725077474021,2023-02-09,02-09
3386,2023-02-09 18:00:00,Sava,Andapa,0.267891307451095,2023-02-09,02-09
3496,2023-02-09 21:00:00,Sava,Andapa,0.314246497861097,2023-02-09,02-09
3606,2023-02-10 00:00:00,Sava,Andapa,0.0371080641666226,2023-02-10,02-10
3716,2023-02-10 03:00:00,Sava,Andapa,0.686824071318591,2023-02-10,02-10
3826,2023-02-10 06:00:00,Sava,Andapa,0.306164668172887,2023-02-10,02-10
3936,2023-02-10 09:00:00,Sava,Andapa,0.970414649243655,2023-02-10,02-10
4046,2023-02-10 12:00:00,Sava,Andapa,2.70839367117229,2023-02-10,02-10
4156,2023-02-10 15:00:00,Sava,Andapa,1.2735231472667,2023-02-10,02-10
4266,2023-02-10 18:00:00,Sava,Andapa,0.4159522270595,2023-02-10,02-10
4376,2023-02-10 21:00:00,Sava,Andapa,0.240513539432573,2023-02-10,02-10
4486,2023-02-11 00:00:00,Sava,Andapa,0.0442668664240832,2023-02-11,02-11
4596,2023-02-11 03:00:00,Sava,Andapa,0.0155044825436119,2023-02-11,02-11
4706,2023-02-11 06:00:00,Sava,Andapa,0.216589879560775,2023-02-11,02-11
4816,2023-02-11 09:00:00,Sava,Andapa,0.588437377778826,2023-02-11,02-11
4926,2023-02-11 12:00:00,Sava,Andapa,3.19416686398846,2023-02-11,02-11
5036,2023-02-11 15:00:00,Sava,Andapa,2.20204062846401,2023-02-11,02-11
5146,2023-02-11 18:00:00,Sava,Andapa,1.04299309219051,2023-02-11,02-11
5256,2023-02-11 21:00:00,Sava,Andapa,0.0244874381507445,2023-02-11,02-11
5366,2023-02-12 00:00:00,Sava,Andapa,0.243253944414932,2023-02-12,02-12
5476,2023-02-12 03:00:00,Sava,Andapa,0.0048336880973766,2023-02-12,02-12
5586,2023-02-12 06:00:00,Sava,Andapa,0.069429276518939,2023-02-12,02-12
5696,2023-02-12 09:00:00,Sava,Andapa,0.165010472632177,2023-02-12,02-12
5806,2023-02-12 12:00:00,Sava,Andapa,0.433241027429373,2023-02-12,02-12
5916,2023-02-12 15:00:00,Sava,Andapa,0.0960424308526657,2023-02-12,02-12
6026,2023-02-12 18:00:00,Sava,Andapa,0.0047296772292513,2023-02-12,02-12
6136,2023-02-12 21:00:00,Sava,Andapa,0.0059369392000843,2023-02-12,02-12
6246,2023-02-13 00:00:00,Sava,Andapa,0.0022763878129095,2023-02-13,02-13
6356,2023-02-13 03:00:00,Sava,Andapa,0.0245250061742735,2023-02-13,02-13
6466,2023-02-13 06:00:00,Sava,Andapa,0.764472049857628,2023-02-13,02-13
6576,2023-02-13 09:00:00,Sava,Andapa,3.52954663353739,2023-02-13,02-13
6686,2023-02-13 12:00:00,Sava,Andapa,4.93662318174973,2023-02-13,02-13
6796,2023-02-13 15:00:00,Sava,Andapa,3.44084977514954,2023-02-13,02-13
6906,2023-02-13 18:00:00,Sava,Andapa,0.884053212980664,2023-02-13,02-13
7016,2023-02-13 21:00:00,Sava,Andapa,0.121849914537617,2023-02-13,02-13
