,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
2,2023-02-06 00:00:00,Alaotra Mangoro,Andilamena,0.378351081474648,2023-02-06,02-06
112,2023-02-06 03:00:00,Alaotra Mangoro,Andilamena,0.100056916749963,2023-02-06,02-06
222,2023-02-06 06:00:00,Alaotra Mangoro,Andilamena,0.324928593582626,2023-02-06,02-06
332,2023-02-06 09:00:00,Alaotra Mangoro,Andilamena,1.63916574273571,2023-02-06,02-06
442,2023-02-06 12:00:00,Alaotra Mangoro,Andilamena,3.6975511853143,2023-02-06,02-06
552,2023-02-06 15:00:00,Alaotra Mangoro,Andilamena,2.41507377955349,2023-02-06,02-06
662,2023-02-06 18:00:00,Alaotra Mangoro,Andilamena,2.41565411059946,2023-02-06,02-06
772,2023-02-06 21:00:00,Alaotra Mangoro,Andilamena,1.49468892735513,2023-02-06,02-06
882,2023-02-07 00:00:00,Alaotra Mangoro,Andilamena,0.640398292547616,2023-02-07,02-07
992,2023-02-07 03:00:00,Alaotra Mangoro,Andilamena,0.274470748109707,2023-02-07,02-07
1102,2023-02-07 06:00:00,Alaotra Mangoro,Andilamena,0.176297183467796,2023-02-07,02-07
1212,2023-02-07 09:00:00,Alaotra Mangoro,Andilamena,2.45603023895819,2023-02-07,02-07
1322,2023-02-07 12:00:00,Alaotra Mangoro,Andilamena,1.75502624945511,2023-02-07,02-07
1432,2023-02-07 15:00:00,Alaotra Mangoro,Andilamena,0.229832723018262,2023-02-07,02-07
1542,2023-02-07 18:00:00,Alaotra Mangoro,Andilamena,0.0733394687022155,2023-02-07,02-07
1652,2023-02-07 21:00:00,Alaotra Mangoro,Andilamena,0.0721786917647478,2023-02-07,02-07
1762,2023-02-08 00:00:00,Alaotra Mangoro,Andilamena,0.0509034447513841,2023-02-08,02-08
1872,2023-02-08 03:00:00,Alaotra Mangoro,Andilamena,0.0501827979605878,2023-02-08,02-08
1982,2023-02-08 06:00:00,Alaotra Mangoro,Andilamena,0.117916723239432,2023-02-08,02-08
2092,2023-02-08 09:00:00,Alaotra Mangoro,Andilamena,0.270642352982577,2023-02-08,02-08
2202,2023-02-08 12:00:00,Alaotra Mangoro,Andilamena,0.330603735353179,2023-02-08,02-08
2312,2023-02-08 15:00:00,Alaotra Mangoro,Andilamena,0.0528858715915703,2023-02-08,02-08
2422,2023-02-08 18:00:00,Alaotra Mangoro,Andilamena,0.0467127952424562,2023-02-08,02-08
2532,2023-02-08 21:00:00,Alaotra Mangoro,Andilamena,0.137597874588209,2023-02-08,02-08
2642,2023-02-09 00:00:00,Alaotra Mangoro,Andilamena,0.154035798987934,2023-02-09,02-09
2752,2023-02-09 03:00:00,Alaotra Mangoro,Andilamena,0.0550712626018139,2023-02-09,02-09
2862,2023-02-09 06:00:00,Alaotra Mangoro,Andilamena,0.110553620798783,2023-02-09,02-09
2972,2023-02-09 09:00:00,Alaotra Mangoro,Andilamena,0.0622150219396644,2023-02-09,02-09
3082,2023-02-09 12:00:00,Alaotra Mangoro,Andilamena,0.0821919795362192,2023-02-09,02-09
3192,2023-02-09 15:00:00,Alaotra Mangoro,Andilamena,0.0684069764693049,2023-02-09,02-09
3302,2023-02-09 18:00:00,Alaotra Mangoro,Andilamena,0.0604241017244931,2023-02-09,02-09
3412,2023-02-09 21:00:00,Alaotra Mangoro,Andilamena,0.175722106175272,2023-02-09,02-09
3522,2023-02-10 00:00:00,Alaotra Mangoro,Andilamena,1.36262570883082,2023-02-10,02-10
3632,2023-02-10 03:00:00,Alaotra Mangoro,Andilamena,0.571395484951609,2023-02-10,02-10
3742,2023-02-10 06:00:00,Alaotra Mangoro,Andilamena,0.202056641846866,2023-02-10,02-10
3852,2023-02-10 09:00:00,Alaotra Mangoro,Andilamena,0.105870483789658,2023-02-10,02-10
3962,2023-02-10 12:00:00,Alaotra Mangoro,Andilamena,0.0892906440412844,2023-02-10,02-10
4072,2023-02-10 15:00:00,Alaotra Mangoro,Andilamena,0.0098524089416969,2023-02-10,02-10
4182,2023-02-10 18:00:00,Alaotra Mangoro,Andilamena,0.0151031226241685,2023-02-10,02-10
4292,2023-02-10 21:00:00,Alaotra Mangoro,Andilamena,0.0164417548912752,2023-02-10,02-10
4402,2023-02-11 00:00:00,Alaotra Mangoro,Andilamena,0.162012544928984,2023-02-11,02-11
4512,2023-02-11 03:00:00,Alaotra Mangoro,Andilamena,0.0798119903838597,2023-02-11,02-11
4622,2023-02-11 06:00:00,Alaotra Mangoro,Andilamena,0.0242426000841078,2023-02-11,02-11
4732,2023-02-11 09:00:00,Alaotra Mangoro,Andilamena,0.14027793225705,2023-02-11,02-11
4842,2023-02-11 12:00:00,Alaotra Mangoro,Andilamena,0.767677350112535,2023-02-11,02-11
4952,2023-02-11 15:00:00,Alaotra Mangoro,Andilamena,0.235234870497152,2023-02-11,02-11
5062,2023-02-11 18:00:00,Alaotra Mangoro,Andilamena,0.0359948067753066,2023-02-11,02-11
5172,2023-02-11 21:00:00,Alaotra Mangoro,Andilamena,0.0087310201797663,2023-02-11,02-11
5282,2023-02-12 00:00:00,Alaotra Mangoro,Andilamena,0.00023822770072,2023-02-12,02-12
5392,2023-02-12 03:00:00,Alaotra Mangoro,Andilamena,0.0003975563131461,2023-02-12,02-12
5502,2023-02-12 06:00:00,Alaotra Mangoro,Andilamena,0.0564849178217628,2023-02-12,02-12
5612,2023-02-12 09:00:00,Alaotra Mangoro,Andilamena,0.17263597580677,2023-02-12,02-12
5722,2023-02-12 12:00:00,Alaotra Mangoro,Andilamena,0.316478047279816,2023-02-12,02-12
5832,2023-02-12 15:00:00,Alaotra Mangoro,Andilamena,0.198712445335332,2023-02-12,02-12
5942,2023-02-12 18:00:00,Alaotra Mangoro,Andilamena,0.0393514468214562,2023-02-12,02-12
6052,2023-02-12 21:00:00,Alaotra Mangoro,Andilamena,0.0043447950729387,2023-02-12,02-12
