,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
10,2023-02-06 00:00:00,Analamanga,Andramasina,0.150822928695041,2023-02-06,02-06
120,2023-02-06 03:00:00,Analamanga,Andramasina,0.264716125450962,2023-02-06,02-06
230,2023-02-06 06:00:00,Analamanga,Andramasina,0.689602967264364,2023-02-06,02-06
340,2023-02-06 09:00:00,Analamanga,Andramasina,1.09365170048217,2023-02-06,02-06
450,2023-02-06 12:00:00,Analamanga,Andramasina,1.13061297067491,2023-02-06,02-06
560,2023-02-06 15:00:00,Analamanga,Andramasina,0.490037286479492,2023-02-06,02-06
670,2023-02-06 18:00:00,Analamanga,Andramasina,1.46034554262795,2023-02-06,02-06
780,2023-02-06 21:00:00,Analamanga,Andramasina,1.30125670606087,2023-02-06,02-06
890,2023-02-07 00:00:00,Analamanga,Andramasina,0.259612484498315,2023-02-07,02-07
1000,2023-02-07 03:00:00,Analamanga,Andramasina,0.287856938579353,2023-02-07,02-07
1110,2023-02-07 06:00:00,Analamanga,Andramasina,0.486396900702467,2023-02-07,02-07
1220,2023-02-07 09:00:00,Analamanga,Andramasina,0.489142777660163,2023-02-07,02-07
1330,2023-02-07 12:00:00,Analamanga,Andramasina,0.47233800086542,2023-02-07,02-07
1440,2023-02-07 15:00:00,Analamanga,Andramasina,0.145414431629303,2023-02-07,02-07
1550,2023-02-07 18:00:00,Analamanga,Andramasina,0.215494598361797,2023-02-07,02-07
1660,2023-02-07 21:00:00,Analamanga,Andramasina,0.335270844690967,2023-02-07,02-07
1770,2023-02-08 00:00:00,Analamanga,Andramasina,0.116609862685436,2023-02-08,02-08
1880,2023-02-08 03:00:00,Analamanga,Andramasina,0.0927112780336756,2023-02-08,02-08
1990,2023-02-08 06:00:00,Analamanga,Andramasina,0.181842887653537,2023-02-08,02-08
2100,2023-02-08 09:00:00,Analamanga,Andramasina,0.139689776389527,2023-02-08,02-08
2210,2023-02-08 12:00:00,Analamanga,Andramasina,1.41289450199942,2023-02-08,02-08
2320,2023-02-08 15:00:00,Analamanga,Andramasina,0.360350486701853,2023-02-08,02-08
2430,2023-02-08 18:00:00,Analamanga,Andramasina,0.176660451826008,2023-02-08,02-08
