,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
11,2023-02-06 00:00:00,Analamanga,Anjozorobe,0.722365429082168,2023-02-06,02-06
121,2023-02-06 03:00:00,Analamanga,Anjozorobe,0.11418147646111,2023-02-06,02-06
231,2023-02-06 06:00:00,Analamanga,Anjozorobe,0.463660606139063,2023-02-06,02-06
341,2023-02-06 09:00:00,Analamanga,Anjozorobe,1.69969093077973,2023-02-06,02-06
451,2023-02-06 12:00:00,Analamanga,Anjozorobe,3.66306391109498,2023-02-06,02-06
561,2023-02-06 15:00:00,Analamanga,Anjozorobe,2.03130708030595,2023-02-06,02-06
671,2023-02-06 18:00:00,Analamanga,Anjozorobe,0.659479672128549,2023-02-06,02-06
781,2023-02-06 21:00:00,Analamanga,Anjozorobe,0.856444387559817,2023-02-06,02-06
891,2023-02-07 00:00:00,Analamanga,Anjozorobe,1.46603286991406,2023-02-07,02-07
1001,2023-02-07 03:00:00,Analamanga,Anjozorobe,0.644701820357728,2023-02-07,02-07
1111,2023-02-07 06:00:00,Analamanga,Anjozorobe,0.402306378034032,2023-02-07,02-07
1221,2023-02-07 09:00:00,Analamanga,Anjozorobe,0.26607461878086,2023-02-07,02-07
1331,2023-02-07 12:00:00,Analamanga,Anjozorobe,0.189204881156518,2023-02-07,02-07
1441,2023-02-07 15:00:00,Analamanga,Anjozorobe,0.0488650356262067,2023-02-07,02-07
1551,2023-02-07 18:00:00,Analamanga,Anjozorobe,0.074383821240878,2023-02-07,02-07
1661,2023-02-07 21:00:00,Analamanga,Anjozorobe,0.0419466237449465,2023-02-07,02-07
1771,2023-02-08 00:00:00,Analamanga,Anjozorobe,0.0243487846974686,2023-02-08,02-08
1881,2023-02-08 03:00:00,Analamanga,Anjozorobe,0.0543540794468434,2023-02-08,02-08
1991,2023-02-08 06:00:00,Analamanga,Anjozorobe,0.13896134001914,2023-02-08,02-08
2101,2023-02-08 09:00:00,Analamanga,Anjozorobe,0.194411716115585,2023-02-08,02-08
2211,2023-02-08 12:00:00,Analamanga,Anjozorobe,0.616474005083767,2023-02-08,02-08
2321,2023-02-08 15:00:00,Analamanga,Anjozorobe,0.190271242535862,2023-02-08,02-08
2431,2023-02-08 18:00:00,Analamanga,Anjozorobe,0.0529539688502917,2023-02-08,02-08
2541,2023-02-08 21:00:00,Analamanga,Anjozorobe,0.243400322896353,2023-02-08,02-08
2651,2023-02-09 00:00:00,Analamanga,Anjozorobe,0.255678071081953,2023-02-09,02-09
2761,2023-02-09 03:00:00,Analamanga,Anjozorobe,0.0617146560610775,2023-02-09,02-09
2871,2023-02-09 06:00:00,Analamanga,Anjozorobe,0.138162353790264,2023-02-09,02-09
2981,2023-02-09 09:00:00,Analamanga,Anjozorobe,0.148733910338362,2023-02-09,02-09
3091,2023-02-09 12:00:00,Analamanga,Anjozorobe,0.456095245702985,2023-02-09,02-09
3201,2023-02-09 15:00:00,Analamanga,Anjozorobe,0.0581983758838268,2023-02-09,02-09
3311,2023-02-09 18:00:00,Analamanga,Anjozorobe,0.0162825897380055,2023-02-09,02-09
3421,2023-02-09 21:00:00,Analamanga,Anjozorobe,0.0046934778267215,2023-02-09,02-09
3531,2023-02-10 00:00:00,Analamanga,Anjozorobe,0.0012433297217924,2023-02-10,02-10
3641,2023-02-10 03:00:00,Analamanga,Anjozorobe,0.0611721660809692,2023-02-10,02-10
3751,2023-02-10 06:00:00,Analamanga,Anjozorobe,0.221847395135744,2023-02-10,02-10
3861,2023-02-10 09:00:00,Analamanga,Anjozorobe,0.136905555548839,2023-02-10,02-10
3971,2023-02-10 12:00:00,Analamanga,Anjozorobe,0.219275579759474,2023-02-10,02-10
4081,2023-02-10 15:00:00,Analamanga,Anjozorobe,0.248270521094595,2023-02-10,02-10
4191,2023-02-10 18:00:00,Analamanga,Anjozorobe,0.0156861288721573,2023-02-10,02-10
