,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
29,2023-02-06 00:00:00,Atsimo Andrefana,Ankazoabo,0.0183802310934742,2023-02-06,02-06
139,2023-02-06 03:00:00,Atsimo Andrefana,Ankazoabo,0.0305897995898373,2023-02-06,02-06
249,2023-02-06 06:00:00,Atsimo Andrefana,Ankazoabo,0.0375033432510188,2023-02-06,02-06
359,2023-02-06 09:00:00,Atsimo Andrefana,Ankazoabo,0.0485245882547602,2023-02-06,02-06
469,2023-02-06 12:00:00,Atsimo Andrefana,Ankazoabo,0.191946800706457,2023-02-06,02-06
579,2023-02-06 15:00:00,Atsimo Andrefana,Ankazoabo,0.672225492404047,2023-02-06,02-06
689,2023-02-06 18:00:00,Atsimo Andrefana,Ankazoabo,0.493591646131156,2023-02-06,02-06
799,2023-02-06 21:00:00,Atsimo Andrefana,Ankazoabo,0.0396528482079068,2023-02-06,02-06
909,2023-02-07 00:00:00,Atsimo Andrefana,Ankazoabo,1.13394541328395,2023-02-07,02-07
1019,2023-02-07 03:00:00,Atsimo Andrefana,Ankazoabo,0.326715071085015,2023-02-07,02-07
1129,2023-02-07 06:00:00,Atsimo Andrefana,Ankazoabo,0.093214445171532,2023-02-07,02-07
1239,2023-02-07 09:00:00,Atsimo Andrefana,Ankazoabo,0.985508119987296,2023-02-07,02-07
1349,2023-02-07 12:00:00,Atsimo Andrefana,Ankazoabo,5.85213957291985,2023-02-07,02-07
1459,2023-02-07 15:00:00,Atsimo Andrefana,Ankazoabo,4.66486903106191,2023-02-07,02-07
1569,2023-02-07 18:00:00,Atsimo Andrefana,Ankazoabo,4.23115853325086,2023-02-07,02-07
1679,2023-02-07 21:00:00,Atsimo Andrefana,Ankazoabo,1.25183271293909,2023-02-07,02-07
1789,2023-02-08 00:00:00,Atsimo Andrefana,Ankazoabo,0.220863990938982,2023-02-08,02-08
1899,2023-02-08 03:00:00,Atsimo Andrefana,Ankazoabo,0.108564219555719,2023-02-08,02-08
2009,2023-02-08 06:00:00,Atsimo Andrefana,Ankazoabo,0.101908341633107,2023-02-08,02-08
2119,2023-02-08 09:00:00,Atsimo Andrefana,Ankazoabo,0.0545701297638571,2023-02-08,02-08
2229,2023-02-08 12:00:00,Atsimo Andrefana,Ankazoabo,0.212624165351206,2023-02-08,02-08
2339,2023-02-08 15:00:00,Atsimo Andrefana,Ankazoabo,0.292676494268976,2023-02-08,02-08
2449,2023-02-08 18:00:00,Atsimo Andrefana,Ankazoabo,0.387222676884531,2023-02-08,02-08
2559,2023-02-08 21:00:00,Atsimo Andrefana,Ankazoabo,0.0954744394455867,2023-02-08,02-08
2669,2023-02-09 00:00:00,Atsimo Andrefana,Ankazoabo,0.0645270733406175,2023-02-09,02-09
2779,2023-02-09 03:00:00,Atsimo Andrefana,Ankazoabo,0.0208712514228837,2023-02-09,02-09
2889,2023-02-09 06:00:00,Atsimo Andrefana,Ankazoabo,0.0056586818598478,2023-02-09,02-09
2999,2023-02-09 09:00:00,Atsimo Andrefana,Ankazoabo,0.16396992547688,2023-02-09,02-09
3109,2023-02-09 12:00:00,Atsimo Andrefana,Ankazoabo,1.33747925427936,2023-02-09,02-09
3219,2023-02-09 15:00:00,Atsimo Andrefana,Ankazoabo,9.26457448032593,2023-02-09,02-09
3329,2023-02-09 18:00:00,Atsimo Andrefana,Ankazoabo,7.23564979006628,2023-02-09,02-09
3439,2023-02-09 21:00:00,Atsimo Andrefana,Ankazoabo,4.60466846239411,2023-02-09,02-09
3549,2023-02-10 00:00:00,Atsimo Andrefana,Ankazoabo,0.343944698647123,2023-02-10,02-10
3659,2023-02-10 03:00:00,Atsimo Andrefana,Ankazoabo,0.0257834508374799,2023-02-10,02-10
3769,2023-02-10 06:00:00,Atsimo Andrefana,Ankazoabo,0.0519484656264963,2023-02-10,02-10
3879,2023-02-10 09:00:00,Atsimo Andrefana,Ankazoabo,0.0368646679271478,2023-02-10,02-10
3989,2023-02-10 12:00:00,Atsimo Andrefana,Ankazoabo,0.106274147029388,2023-02-10,02-10
4099,2023-02-10 15:00:00,Atsimo Andrefana,Ankazoabo,0.102843678380878,2023-02-10,02-10
4209,2023-02-10 18:00:00,Atsimo Andrefana,Ankazoabo,0.0373864905144949,2023-02-10,02-10
4319,2023-02-10 21:00:00,Atsimo Andrefana,Ankazoabo,0.0229964119904308,2023-02-10,02-10
4429,2023-02-11 00:00:00,Atsimo Andrefana,Ankazoabo,0.0481958414902417,2023-02-11,02-11
4539,2023-02-11 03:00:00,Atsimo Andrefana,Ankazoabo,2.55821390910018e-05,2023-02-11,02-11
4649,2023-02-11 06:00:00,Atsimo Andrefana,Ankazoabo,0.0044296918618563,2023-02-11,02-11
4759,2023-02-11 09:00:00,Atsimo Andrefana,Ankazoabo,0.0336786578585761,2023-02-11,02-11
4869,2023-02-11 12:00:00,Atsimo Andrefana,Ankazoabo,0.147398193456783,2023-02-11,02-11
4979,2023-02-11 15:00:00,Atsimo Andrefana,Ankazoabo,0.172579361427448,2023-02-11,02-11
5089,2023-02-11 18:00:00,Atsimo Andrefana,Ankazoabo,0.156620682311548,2023-02-11,02-11
5199,2023-02-11 21:00:00,Atsimo Andrefana,Ankazoabo,1.2049447493513,2023-02-11,02-11
5309,2023-02-12 00:00:00,Atsimo Andrefana,Ankazoabo,0.201364016773313,2023-02-12,02-12
5419,2023-02-12 03:00:00,Atsimo Andrefana,Ankazoabo,0.000394854182201,2023-02-12,02-12
5529,2023-02-12 06:00:00,Atsimo Andrefana,Ankazoabo,0.021244577379989,2023-02-12,02-12
5639,2023-02-12 09:00:00,Atsimo Andrefana,Ankazoabo,0.0252198576768437,2023-02-12,02-12
5749,2023-02-12 12:00:00,Atsimo Andrefana,Ankazoabo,1.10262226283279,2023-02-12,02-12
5859,2023-02-12 15:00:00,Atsimo Andrefana,Ankazoabo,1.72416347721733,2023-02-12,02-12
5969,2023-02-12 18:00:00,Atsimo Andrefana,Ankazoabo,0.205858133505733,2023-02-12,02-12
6079,2023-02-12 21:00:00,Atsimo Andrefana,Ankazoabo,0.169829919167872,2023-02-12,02-12
6189,2023-02-13 00:00:00,Atsimo Andrefana,Ankazoabo,0.0673879933760459,2023-02-13,02-13
6299,2023-02-13 03:00:00,Atsimo Andrefana,Ankazoabo,0.0367655997847165,2023-02-13,02-13
6409,2023-02-13 06:00:00,Atsimo Andrefana,Ankazoabo,0.0543649042286261,2023-02-13,02-13
6519,2023-02-13 09:00:00,Atsimo Andrefana,Ankazoabo,0.136184746677331,2023-02-13,02-13
6629,2023-02-13 12:00:00,Atsimo Andrefana,Ankazoabo,0.104126980134893,2023-02-13,02-13
6739,2023-02-13 15:00:00,Atsimo Andrefana,Ankazoabo,0.211752195028539,2023-02-13,02-13
6849,2023-02-13 18:00:00,Atsimo Andrefana,Ankazoabo,0.3244666544717,2023-02-13,02-13
