,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
12,2023-02-06 00:00:00,Analamanga,Ankazobe,1.01040022958257,2023-02-06,02-06
122,2023-02-06 03:00:00,Analamanga,Ankazobe,0.194623997321204,2023-02-06,02-06
232,2023-02-06 06:00:00,Analamanga,Ankazobe,0.50077032655474,2023-02-06,02-06
342,2023-02-06 09:00:00,Analamanga,Ankazobe,0.885408669958865,2023-02-06,02-06
452,2023-02-06 12:00:00,Analamanga,Ankazobe,4.8737920330534,2023-02-06,02-06
562,2023-02-06 15:00:00,Analamanga,Ankazobe,4.35819703474937,2023-02-06,02-06
672,2023-02-06 18:00:00,Analamanga,Ankazobe,1.24144855848951,2023-02-06,02-06
782,2023-02-06 21:00:00,Analamanga,Ankazobe,1.86160445097785,2023-02-06,02-06
892,2023-02-07 00:00:00,Analamanga,Ankazobe,1.60259797752775,2023-02-07,02-07
1002,2023-02-07 03:00:00,Analamanga,Ankazobe,0.364120150381826,2023-02-07,02-07
1112,2023-02-07 06:00:00,Analamanga,Ankazobe,0.160380724191341,2023-02-07,02-07
1222,2023-02-07 09:00:00,Analamanga,Ankazobe,0.128606802054547,2023-02-07,02-07
1332,2023-02-07 12:00:00,Analamanga,Ankazobe,0.33953641414921,2023-02-07,02-07
1442,2023-02-07 15:00:00,Analamanga,Ankazobe,1.74778332408415,2023-02-07,02-07
1552,2023-02-07 18:00:00,Analamanga,Ankazobe,0.365414288569644,2023-02-07,02-07
1662,2023-02-07 21:00:00,Analamanga,Ankazobe,0.0414752152203371,2023-02-07,02-07
1772,2023-02-08 00:00:00,Analamanga,Ankazobe,0.0052190110330808,2023-02-08,02-08
1882,2023-02-08 03:00:00,Analamanga,Ankazobe,0.0095295165480241,2023-02-08,02-08
1992,2023-02-08 06:00:00,Analamanga,Ankazobe,0.109184136508371,2023-02-08,02-08
2102,2023-02-08 09:00:00,Analamanga,Ankazobe,0.118379331760066,2023-02-08,02-08
2212,2023-02-08 12:00:00,Analamanga,Ankazobe,0.891298781807012,2023-02-08,02-08
2322,2023-02-08 15:00:00,Analamanga,Ankazobe,1.4822798789537,2023-02-08,02-08
2432,2023-02-08 18:00:00,Analamanga,Ankazobe,1.47730677755934,2023-02-08,02-08
2542,2023-02-08 21:00:00,Analamanga,Ankazobe,0.674480224505356,2023-02-08,02-08
2652,2023-02-09 00:00:00,Analamanga,Ankazobe,0.255813681451731,2023-02-09,02-09
2762,2023-02-09 03:00:00,Analamanga,Ankazobe,0.167260505837586,2023-02-09,02-09
2872,2023-02-09 06:00:00,Analamanga,Ankazobe,0.106568717237237,2023-02-09,02-09
2982,2023-02-09 09:00:00,Analamanga,Ankazobe,0.0502229793117184,2023-02-09,02-09
3092,2023-02-09 12:00:00,Analamanga,Ankazobe,0.787569779178629,2023-02-09,02-09
3202,2023-02-09 15:00:00,Analamanga,Ankazobe,0.789442067567231,2023-02-09,02-09
3312,2023-02-09 18:00:00,Analamanga,Ankazobe,0.703963723108631,2023-02-09,02-09
3422,2023-02-09 21:00:00,Analamanga,Ankazobe,0.09540505068038,2023-02-09,02-09
3532,2023-02-10 00:00:00,Analamanga,Ankazobe,0.453864777940467,2023-02-10,02-10
3642,2023-02-10 03:00:00,Analamanga,Ankazobe,0.125839124497196,2023-02-10,02-10
3752,2023-02-10 06:00:00,Analamanga,Ankazobe,0.0337480184186433,2023-02-10,02-10
3862,2023-02-10 09:00:00,Analamanga,Ankazobe,0.0388064335989342,2023-02-10,02-10
3972,2023-02-10 12:00:00,Analamanga,Ankazobe,0.0760868355141473,2023-02-10,02-10
4082,2023-02-10 15:00:00,Analamanga,Ankazobe,0.0307874737288027,2023-02-10,02-10
4192,2023-02-10 18:00:00,Analamanga,Ankazobe,0.0247372626018301,2023-02-10,02-10
4302,2023-02-10 21:00:00,Analamanga,Ankazobe,0.0555262098513953,2023-02-10,02-10
4412,2023-02-11 00:00:00,Analamanga,Ankazobe,0.0298267783972816,2023-02-11,02-11
4522,2023-02-11 03:00:00,Analamanga,Ankazobe,0.0045830498495365,2023-02-11,02-11
4632,2023-02-11 06:00:00,Analamanga,Ankazobe,0.117395865279391,2023-02-11,02-11
4742,2023-02-11 09:00:00,Analamanga,Ankazobe,0.190389384970662,2023-02-11,02-11
4852,2023-02-11 12:00:00,Analamanga,Ankazobe,0.313891380701644,2023-02-11,02-11
4962,2023-02-11 15:00:00,Analamanga,Ankazobe,0.080660276820488,2023-02-11,02-11
5072,2023-02-11 18:00:00,Analamanga,Ankazobe,0.0421264734979945,2023-02-11,02-11
5182,2023-02-11 21:00:00,Analamanga,Ankazobe,0.0232751575601993,2023-02-11,02-11
5292,2023-02-12 00:00:00,Analamanga,Ankazobe,0.0021880803890808,2023-02-12,02-12
5402,2023-02-12 03:00:00,Analamanga,Ankazobe,0.0010972535678637,2023-02-12,02-12
5512,2023-02-12 06:00:00,Analamanga,Ankazobe,4.81476220584503e-06,2023-02-12,02-12
5622,2023-02-12 09:00:00,Analamanga,Ankazobe,0.0005497673048397,2023-02-12,02-12
5732,2023-02-12 12:00:00,Analamanga,Ankazobe,0.0011539673335695,2023-02-12,02-12
5842,2023-02-12 15:00:00,Analamanga,Ankazobe,0.0249551206458515,2023-02-12,02-12
5952,2023-02-12 18:00:00,Analamanga,Ankazobe,0.0451227276917603,2023-02-12,02-12
6062,2023-02-12 21:00:00,Analamanga,Ankazobe,0.0023132728132292,2023-02-12,02-12
6172,2023-02-13 00:00:00,Analamanga,Ankazobe,0.0025077921710555,2023-02-13,02-13
6282,2023-02-13 03:00:00,Analamanga,Ankazobe,0.001661576622582,2023-02-13,02-13
6392,2023-02-13 06:00:00,Analamanga,Ankazobe,0.0040146803217022,2023-02-13,02-13
6502,2023-02-13 09:00:00,Analamanga,Ankazobe,0.001056618826238,2023-02-13,02-13
6612,2023-02-13 12:00:00,Analamanga,Ankazobe,0.0042588581978414,2023-02-13,02-13
6722,2023-02-13 15:00:00,Analamanga,Ankazobe,0.0213650579416108,2023-02-13,02-13
6832,2023-02-13 18:00:00,Analamanga,Ankazobe,0.0264007946561006,2023-02-13,02-13
6942,2023-02-13 21:00:00,Analamanga,Ankazobe,0.0175730979050665,2023-02-13,02-13
7052,2023-02-14 00:00:00,Analamanga,Ankazobe,0.0007022533091279,2023-02-14,02-14
7162,2023-02-14 03:00:00,Analamanga,Ankazobe,0.0002156761157411,2023-02-14,02-14
7272,2023-02-14 06:00:00,Analamanga,Ankazobe,0.0027726781563339,2023-02-14,02-14
7382,2023-02-14 09:00:00,Analamanga,Ankazobe,0.029364690268377,2023-02-14,02-14
7492,2023-02-14 12:00:00,Analamanga,Ankazobe,0.0578415408619383,2023-02-14,02-14
7602,2023-02-14 15:00:00,Analamanga,Ankazobe,0.0905748622555455,2023-02-14,02-14
7712,2023-02-14 18:00:00,Analamanga,Ankazobe,0.12520682503501,2023-02-14,02-14
7822,2023-02-14 21:00:00,Analamanga,Ankazobe,0.0042391816933752,2023-02-14,02-14
7932,2023-02-15 00:00:00,Analamanga,Ankazobe,2.91842549234967e-05,2023-02-15,02-15
8042,2023-02-15 03:00:00,Analamanga,Ankazobe,2.18177129599181e-05,2023-02-15,02-15
8152,2023-02-15 06:00:00,Analamanga,Ankazobe,0.015299950783656,2023-02-15,02-15
8262,2023-02-15 09:00:00,Analamanga,Ankazobe,0.0379150705156269,2023-02-15,02-15
8372,2023-02-15 12:00:00,Analamanga,Ankazobe,1.2219998984453,2023-02-15,02-15
8482,2023-02-15 15:00:00,Analamanga,Ankazobe,2.0766547485043,2023-02-15,02-15
8592,2023-02-15 18:00:00,Analamanga,Ankazobe,2.5445333370819,2023-02-15,02-15
8702,2023-02-15 21:00:00,Analamanga,Ankazobe,0.377395245021696,2023-02-15,02-15
8812,2023-02-16 00:00:00,Analamanga,Ankazobe,0.114957851442424,2023-02-16,02-16
8922,2023-02-16 03:00:00,Analamanga,Ankazobe,0.0900058774304026,2023-02-16,02-16
9032,2023-02-16 06:00:00,Analamanga,Ankazobe,0.10432634149611,2023-02-16,02-16
9142,2023-02-16 09:00:00,Analamanga,Ankazobe,0.583137633286021,2023-02-16,02-16
9252,2023-02-16 12:00:00,Analamanga,Ankazobe,5.63914369700378,2023-02-16,02-16
9362,2023-02-16 15:00:00,Analamanga,Ankazobe,7.8268214926965,2023-02-16,02-16
9472,2023-02-16 18:00:00,Analamanga,Ankazobe,1.31288479740738,2023-02-16,02-16
9582,2023-02-16 21:00:00,Analamanga,Ankazobe,0.839026591520065,2023-02-16,02-16
9692,2023-02-17 00:00:00,Analamanga,Ankazobe,0.420937004589977,2023-02-17,02-17
9802,2023-02-17 03:00:00,Analamanga,Ankazobe,1.71957111138953,2023-02-17,02-17
9912,2023-02-17 06:00:00,Analamanga,Ankazobe,2.08666240557266,2023-02-17,02-17
10022,2023-02-17 09:00:00,Analamanga,Ankazobe,0.631003182341704,2023-02-17,02-17
10132,2023-02-17 12:00:00,Analamanga,Ankazobe,2.63524481329792,2023-02-17,02-17
10242,2023-02-17 15:00:00,Analamanga,Ankazobe,2.97263128965807,2023-02-17,02-17
10352,2023-02-17 18:00:00,Analamanga,Ankazobe,0.789576281348921,2023-02-17,02-17
10462,2023-02-17 21:00:00,Analamanga,Ankazobe,0.0341824284352531,2023-02-17,02-17
10572,2023-02-18 00:00:00,Analamanga,Ankazobe,0.0253426553161152,2023-02-18,02-18
10682,2023-02-18 03:00:00,Analamanga,Ankazobe,0.0266350867168512,2023-02-18,02-18
10792,2023-02-18 06:00:00,Analamanga,Ankazobe,0.0504558234745425,2023-02-18,02-18
10902,2023-02-18 09:00:00,Analamanga,Ankazobe,0.201265020236006,2023-02-18,02-18
11012,2023-02-18 12:00:00,Analamanga,Ankazobe,1.97794828420526,2023-02-18,02-18
11122,2023-02-18 15:00:00,Analamanga,Ankazobe,5.95448727068089,2023-02-18,02-18
11232,2023-02-18 18:00:00,Analamanga,Ankazobe,5.26061052659608,2023-02-18,02-18
11342,2023-02-18 21:00:00,Analamanga,Ankazobe,1.12742060454912,2023-02-18,02-18
11452,2023-02-19 00:00:00,Analamanga,Ankazobe,3.18306921143173,2023-02-19,02-19
11562,2023-02-19 03:00:00,Analamanga,Ankazobe,0.665968133270684,2023-02-19,02-19
11672,2023-02-19 06:00:00,Analamanga,Ankazobe,0.102768204515362,2023-02-19,02-19
11782,2023-02-19 09:00:00,Analamanga,Ankazobe,0.280110420844391,2023-02-19,02-19
11892,2023-02-19 12:00:00,Analamanga,Ankazobe,2.26300145351772,2023-02-19,02-19
12002,2023-02-19 15:00:00,Analamanga,Ankazobe,1.3024911144325,2023-02-19,02-19
12112,2023-02-19 18:00:00,Analamanga,Ankazobe,0.0203812818191099,2023-02-19,02-19
12222,2023-02-19 21:00:00,Analamanga,Ankazobe,0.0050677591679039,2023-02-19,02-19
12332,2023-02-20 00:00:00,Analamanga,Ankazobe,0.0015550902577215,2023-02-20,02-20
12442,2023-02-20 03:00:00,Analamanga,Ankazobe,0.0054489607229532,2023-02-20,02-20
12552,2023-02-20 06:00:00,Analamanga,Ankazobe,0.0010568458511084,2023-02-20,02-20
12662,2023-02-20 09:00:00,Analamanga,Ankazobe,5.13343944806944e-06,2023-02-20,02-20
12772,2023-02-20 12:00:00,Analamanga,Ankazobe,5.36981634936775e-06,2023-02-20,02-20
12882,2023-02-20 15:00:00,Analamanga,Ankazobe,4.36668227793592e-06,2023-02-20,02-20
12992,2023-02-20 18:00:00,Analamanga,Ankazobe,4.6192021038609e-06,2023-02-20,02-20
13102,2023-02-20 21:00:00,Analamanga,Ankazobe,5.28351996432651e-06,2023-02-20,02-20
13212,2023-02-21 00:00:00,Analamanga,Ankazobe,0.0002826213462729,2023-02-21,02-21
13322,2023-02-21 03:00:00,Analamanga,Ankazobe,5.86290455733736e-05,2023-02-21,02-21
13432,2023-02-21 06:00:00,Analamanga,Ankazobe,0.0149677960708328,2023-02-21,02-21
13542,2023-02-21 09:00:00,Analamanga,Ankazobe,0.0847908197064306,2023-02-21,02-21
13652,2023-02-21 12:00:00,Analamanga,Ankazobe,0.353981155252162,2023-02-21,02-21
13762,2023-02-21 15:00:00,Analamanga,Ankazobe,0.728341529181114,2023-02-21,02-21
13872,2023-02-21 18:00:00,Analamanga,Ankazobe,2.20798952208133,2023-02-21,02-21
13982,2023-02-21 21:00:00,Analamanga,Ankazobe,7.6801782996556,2023-02-21,02-21
14092,2023-02-22 00:00:00,Analamanga,Ankazobe,1.98355242502558,2023-02-22,02-22
14202,2023-02-22 03:00:00,Analamanga,Ankazobe,0.23689846649138,2023-02-22,02-22
14312,2023-02-22 06:00:00,Analamanga,Ankazobe,0.178352263164318,2023-02-22,02-22
14422,2023-02-22 09:00:00,Analamanga,Ankazobe,0.32979114637375,2023-02-22,02-22
14532,2023-02-22 12:00:00,Analamanga,Ankazobe,0.208448922813687,2023-02-22,02-22
14642,2023-02-22 15:00:00,Analamanga,Ankazobe,0.0802116967123848,2023-02-22,02-22
14752,2023-02-22 18:00:00,Analamanga,Ankazobe,0.0411721700484949,2023-02-22,02-22
14862,2023-02-22 21:00:00,Analamanga,Ankazobe,0.0335419645848698,2023-02-22,02-22
14972,2023-02-23 00:00:00,Analamanga,Ankazobe,0.0032438399688213,2023-02-23,02-23
15082,2023-02-23 03:00:00,Analamanga,Ankazobe,0.0143867642204207,2023-02-23,02-23
15192,2023-02-23 06:00:00,Analamanga,Ankazobe,0.388380396612003,2023-02-23,02-23
15302,2023-02-23 09:00:00,Analamanga,Ankazobe,3.46735684807187,2023-02-23,02-23
15412,2023-02-23 12:00:00,Analamanga,Ankazobe,4.46702212311599,2023-02-23,02-23
15522,2023-02-23 15:00:00,Analamanga,Ankazobe,1.21551125692768,2023-02-23,02-23
15632,2023-02-23 18:00:00,Analamanga,Ankazobe,0.302954071486249,2023-02-23,02-23
15742,2023-02-23 21:00:00,Analamanga,Ankazobe,0.107254717214153,2023-02-23,02-23
15852,2023-02-24 00:00:00,Analamanga,Ankazobe,0.0026607173856587,2023-02-24,02-24
15962,2023-02-24 03:00:00,Analamanga,Ankazobe,0.0175163603721144,2023-02-24,02-24
16072,2023-02-24 06:00:00,Analamanga,Ankazobe,0.008513937289756,2023-02-24,02-24
