,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
3,2023-02-06 00:00:00,Alaotra Mangoro,Anosibe-An'ala,1.05174758054879,2023-02-06,02-06
113,2023-02-06 03:00:00,Alaotra Mangoro,Anosibe-An'ala,1.1981373262873,2023-02-06,02-06
223,2023-02-06 06:00:00,Alaotra Mangoro,Anosibe-An'ala,1.16985612606368,2023-02-06,02-06
333,2023-02-06 09:00:00,Alaotra Mangoro,Anosibe-An'ala,1.68397618539893,2023-02-06,02-06
443,2023-02-06 12:00:00,Alaotra Mangoro,Anosibe-An'ala,2.49393593391142,2023-02-06,02-06
553,2023-02-06 15:00:00,Alaotra Mangoro,Anosibe-An'ala,1.28460092699,2023-02-06,02-06
663,2023-02-06 18:00:00,Alaotra Mangoro,Anosibe-An'ala,2.99528822016631,2023-02-06,02-06
773,2023-02-06 21:00:00,Alaotra Mangoro,Anosibe-An'ala,2.79679649701817,2023-02-06,02-06
883,2023-02-07 00:00:00,Alaotra Mangoro,Anosibe-An'ala,1.71490789937282,2023-02-07,02-07
993,2023-02-07 03:00:00,Alaotra Mangoro,Anosibe-An'ala,0.451705735268964,2023-02-07,02-07
1103,2023-02-07 06:00:00,Alaotra Mangoro,Anosibe-An'ala,1.12015977887252,2023-02-07,02-07
1213,2023-02-07 09:00:00,Alaotra Mangoro,Anosibe-An'ala,1.78908078716146,2023-02-07,02-07
1323,2023-02-07 12:00:00,Alaotra Mangoro,Anosibe-An'ala,1.49726052618886,2023-02-07,02-07
1433,2023-02-07 15:00:00,Alaotra Mangoro,Anosibe-An'ala,0.520591802189301,2023-02-07,02-07
1543,2023-02-07 18:00:00,Alaotra Mangoro,Anosibe-An'ala,0.324115815186815,2023-02-07,02-07
1653,2023-02-07 21:00:00,Alaotra Mangoro,Anosibe-An'ala,0.507198469402889,2023-02-07,02-07
1763,2023-02-08 00:00:00,Alaotra Mangoro,Anosibe-An'ala,0.551267557842948,2023-02-08,02-08
1873,2023-02-08 03:00:00,Alaotra Mangoro,Anosibe-An'ala,0.375735387451035,2023-02-08,02-08
1983,2023-02-08 06:00:00,Alaotra Mangoro,Anosibe-An'ala,0.318740781413605,2023-02-08,02-08
2093,2023-02-08 09:00:00,Alaotra Mangoro,Anosibe-An'ala,1.09609484032747,2023-02-08,02-08
2203,2023-02-08 12:00:00,Alaotra Mangoro,Anosibe-An'ala,2.20895974982462,2023-02-08,02-08
2313,2023-02-08 15:00:00,Alaotra Mangoro,Anosibe-An'ala,0.864924139224362,2023-02-08,02-08
2423,2023-02-08 18:00:00,Alaotra Mangoro,Anosibe-An'ala,0.516699863355219,2023-02-08,02-08
2533,2023-02-08 21:00:00,Alaotra Mangoro,Anosibe-An'ala,0.533428269770714,2023-02-08,02-08
2643,2023-02-09 00:00:00,Alaotra Mangoro,Anosibe-An'ala,0.67946364312714,2023-02-09,02-09
2753,2023-02-09 03:00:00,Alaotra Mangoro,Anosibe-An'ala,0.411730580783721,2023-02-09,02-09
2863,2023-02-09 06:00:00,Alaotra Mangoro,Anosibe-An'ala,0.907915114032221,2023-02-09,02-09
2973,2023-02-09 09:00:00,Alaotra Mangoro,Anosibe-An'ala,1.65226830551546,2023-02-09,02-09
3083,2023-02-09 12:00:00,Alaotra Mangoro,Anosibe-An'ala,1.34392319535497,2023-02-09,02-09
3193,2023-02-09 15:00:00,Alaotra Mangoro,Anosibe-An'ala,0.668337437515826,2023-02-09,02-09
3303,2023-02-09 18:00:00,Alaotra Mangoro,Anosibe-An'ala,0.429838147235084,2023-02-09,02-09
3413,2023-02-09 21:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0370252551001613,2023-02-09,02-09
3523,2023-02-10 00:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0003320187024655,2023-02-10,02-10
3633,2023-02-10 03:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0010460683479323,2023-02-10,02-10
3743,2023-02-10 06:00:00,Alaotra Mangoro,Anosibe-An'ala,0.1086967716595,2023-02-10,02-10
3853,2023-02-10 09:00:00,Alaotra Mangoro,Anosibe-An'ala,0.17310877591323,2023-02-10,02-10
3963,2023-02-10 12:00:00,Alaotra Mangoro,Anosibe-An'ala,0.156378993560793,2023-02-10,02-10
4073,2023-02-10 15:00:00,Alaotra Mangoro,Anosibe-An'ala,0.194530978250744,2023-02-10,02-10
4183,2023-02-10 18:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0826876004745524,2023-02-10,02-10
4293,2023-02-10 21:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0746827222246793,2023-02-10,02-10
4403,2023-02-11 00:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0297091327762852,2023-02-11,02-11
4513,2023-02-11 03:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0002156135742552,2023-02-11,02-11
4623,2023-02-11 06:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0060873701125577,2023-02-11,02-11
4733,2023-02-11 09:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0289189605900901,2023-02-11,02-11
4843,2023-02-11 12:00:00,Alaotra Mangoro,Anosibe-An'ala,0.044056627441023,2023-02-11,02-11
4953,2023-02-11 15:00:00,Alaotra Mangoro,Anosibe-An'ala,0.117800318754841,2023-02-11,02-11
5063,2023-02-11 18:00:00,Alaotra Mangoro,Anosibe-An'ala,0.126626407060636,2023-02-11,02-11
5173,2023-02-11 21:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0227273107351114,2023-02-11,02-11
5283,2023-02-12 00:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0005168081382483,2023-02-12,02-12
5393,2023-02-12 03:00:00,Alaotra Mangoro,Anosibe-An'ala,6.22398947598413e-05,2023-02-12,02-12
5503,2023-02-12 06:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0001054094488305,2023-02-12,02-12
5613,2023-02-12 09:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0003509643065626,2023-02-12,02-12
5723,2023-02-12 12:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0125319091045336,2023-02-12,02-12
5833,2023-02-12 15:00:00,Alaotra Mangoro,Anosibe-An'ala,0.105822063606562,2023-02-12,02-12
5943,2023-02-12 18:00:00,Alaotra Mangoro,Anosibe-An'ala,0.228165523554101,2023-02-12,02-12
6053,2023-02-12 21:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0115677036325602,2023-02-12,02-12
6163,2023-02-13 00:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0009458710167867,2023-02-13,02-13
6273,2023-02-13 03:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0118504552762412,2023-02-13,02-13
6383,2023-02-13 06:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0701111973855101,2023-02-13,02-13
6493,2023-02-13 09:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0261485854546966,2023-02-13,02-13
6603,2023-02-13 12:00:00,Alaotra Mangoro,Anosibe-An'ala,0.152037505538222,2023-02-13,02-13
6713,2023-02-13 15:00:00,Alaotra Mangoro,Anosibe-An'ala,0.243123885302339,2023-02-13,02-13
6823,2023-02-13 18:00:00,Alaotra Mangoro,Anosibe-An'ala,0.154097866262115,2023-02-13,02-13
6933,2023-02-13 21:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0387584057364923,2023-02-13,02-13
7043,2023-02-14 00:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0054441162501461,2023-02-14,02-14
7153,2023-02-14 03:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0183937661956103,2023-02-14,02-14
7263,2023-02-14 06:00:00,Alaotra Mangoro,Anosibe-An'ala,0.29398799562235,2023-02-14,02-14
7373,2023-02-14 09:00:00,Alaotra Mangoro,Anosibe-An'ala,0.397438639006092,2023-02-14,02-14
7483,2023-02-14 12:00:00,Alaotra Mangoro,Anosibe-An'ala,0.70869475411746,2023-02-14,02-14
7593,2023-02-14 15:00:00,Alaotra Mangoro,Anosibe-An'ala,0.16142515843967,2023-02-14,02-14
7703,2023-02-14 18:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0607653651143967,2023-02-14,02-14
7813,2023-02-14 21:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0093010807637862,2023-02-14,02-14
7923,2023-02-15 00:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0004827971933991,2023-02-15,02-15
8033,2023-02-15 03:00:00,Alaotra Mangoro,Anosibe-An'ala,0.0083372466906439,2023-02-15,02-15
8143,2023-02-15 06:00:00,Alaotra Mangoro,Anosibe-An'ala,0.101925175006424,2023-02-15,02-15
8253,2023-02-15 09:00:00,Alaotra Mangoro,Anosibe-An'ala,0.226709781643876,2023-02-15,02-15
8363,2023-02-15 12:00:00,Alaotra Mangoro,Anosibe-An'ala,1.11563571207322,2023-02-15,02-15
8473,2023-02-15 15:00:00,Alaotra Mangoro,Anosibe-An'ala,1.38049125160615,2023-02-15,02-15
8583,2023-02-15 18:00:00,Alaotra Mangoro,Anosibe-An'ala,0.314847389733283,2023-02-15,02-15
8693,2023-02-15 21:00:00,Alaotra Mangoro,Anosibe-An'ala,0.321835454388444,2023-02-15,02-15
8803,2023-02-16 00:00:00,Alaotra Mangoro,Anosibe-An'ala,0.241784364256697,2023-02-16,02-16
8913,2023-02-16 03:00:00,Alaotra Mangoro,Anosibe-An'ala,0.435440055131039,2023-02-16,02-16
9023,2023-02-16 06:00:00,Alaotra Mangoro,Anosibe-An'ala,1.23494961746231,2023-02-16,02-16
9133,2023-02-16 09:00:00,Alaotra Mangoro,Anosibe-An'ala,2.67361044576683,2023-02-16,02-16
9243,2023-02-16 12:00:00,Alaotra Mangoro,Anosibe-An'ala,2.43979205242552,2023-02-16,02-16
