,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
87,2023-02-06 00:00:00,Sava,Antalaha,0.476867775629467,2023-02-06,02-06
197,2023-02-06 03:00:00,Sava,Antalaha,0.634393332686661,2023-02-06,02-06
307,2023-02-06 06:00:00,Sava,Antalaha,1.3608100560558,2023-02-06,02-06
417,2023-02-06 09:00:00,Sava,Antalaha,2.22353427729104,2023-02-06,02-06
527,2023-02-06 12:00:00,Sava,Antalaha,3.75672493539429,2023-02-06,02-06
637,2023-02-06 15:00:00,Sava,Antalaha,2.2238315374195,2023-02-06,02-06
747,2023-02-06 18:00:00,Sava,Antalaha,2.61055914352243,2023-02-06,02-06
857,2023-02-06 21:00:00,Sava,Antalaha,1.35674901113841,2023-02-06,02-06
967,2023-02-07 00:00:00,Sava,Antalaha,0.759542928299072,2023-02-07,02-07
1077,2023-02-07 03:00:00,Sava,Antalaha,1.02143691950036,2023-02-07,02-07
1187,2023-02-07 06:00:00,Sava,Antalaha,4.86498197780396,2023-02-07,02-07
1297,2023-02-07 09:00:00,Sava,Antalaha,6.3403386719573,2023-02-07,02-07
1407,2023-02-07 12:00:00,Sava,Antalaha,4.46204695901894,2023-02-07,02-07
1517,2023-02-07 15:00:00,Sava,Antalaha,3.0095306953891,2023-02-07,02-07
1627,2023-02-07 18:00:00,Sava,Antalaha,2.95750124111535,2023-02-07,02-07
1737,2023-02-07 21:00:00,Sava,Antalaha,1.48248082749116,2023-02-07,02-07
1847,2023-02-08 00:00:00,Sava,Antalaha,0.611524259923468,2023-02-08,02-08
1957,2023-02-08 03:00:00,Sava,Antalaha,0.627653155120587,2023-02-08,02-08
2067,2023-02-08 06:00:00,Sava,Antalaha,2.39643702600934,2023-02-08,02-08
2177,2023-02-08 09:00:00,Sava,Antalaha,3.75348751911701,2023-02-08,02-08
2287,2023-02-08 12:00:00,Sava,Antalaha,1.991743640929,2023-02-08,02-08
2397,2023-02-08 15:00:00,Sava,Antalaha,1.11573058311378,2023-02-08,02-08
2507,2023-02-08 18:00:00,Sava,Antalaha,0.965804001143812,2023-02-08,02-08
2617,2023-02-08 21:00:00,Sava,Antalaha,1.49458043153221,2023-02-08,02-08
2727,2023-02-09 00:00:00,Sava,Antalaha,1.17186496232773,2023-02-09,02-09
2837,2023-02-09 03:00:00,Sava,Antalaha,0.760017043374005,2023-02-09,02-09
2947,2023-02-09 06:00:00,Sava,Antalaha,1.83779841854743,2023-02-09,02-09
3057,2023-02-09 09:00:00,Sava,Antalaha,2.73512610726175,2023-02-09,02-09
3167,2023-02-09 12:00:00,Sava,Antalaha,2.46340746000903,2023-02-09,02-09
3277,2023-02-09 15:00:00,Sava,Antalaha,1.68998911997789,2023-02-09,02-09
3387,2023-02-09 18:00:00,Sava,Antalaha,2.07207796682006,2023-02-09,02-09
3497,2023-02-09 21:00:00,Sava,Antalaha,1.96437347203027,2023-02-09,02-09
