,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
42,2023-02-06 00:00:00,Atsinanana,Antanambao Manampontsy,1.26243677855819,2023-02-06,02-06
152,2023-02-06 03:00:00,Atsinanana,Antanambao Manampontsy,1.34499906818382,2023-02-06,02-06
262,2023-02-06 06:00:00,Atsinanana,Antanambao Manampontsy,1.47376516943332,2023-02-06,02-06
372,2023-02-06 09:00:00,Atsinanana,Antanambao Manampontsy,1.71114655219717,2023-02-06,02-06
482,2023-02-06 12:00:00,Atsinanana,Antanambao Manampontsy,4.00138809068594,2023-02-06,02-06
592,2023-02-06 15:00:00,Atsinanana,Antanambao Manampontsy,2.06498493103427,2023-02-06,02-06
702,2023-02-06 18:00:00,Atsinanana,Antanambao Manampontsy,3.64698072253959,2023-02-06,02-06
812,2023-02-06 21:00:00,Atsinanana,Antanambao Manampontsy,4.85104609141708,2023-02-06,02-06
922,2023-02-07 00:00:00,Atsinanana,Antanambao Manampontsy,2.39895283060032,2023-02-07,02-07
1032,2023-02-07 03:00:00,Atsinanana,Antanambao Manampontsy,0.530995289690327,2023-02-07,02-07
1142,2023-02-07 06:00:00,Atsinanana,Antanambao Manampontsy,1.57874972064164,2023-02-07,02-07
1252,2023-02-07 09:00:00,Atsinanana,Antanambao Manampontsy,3.65182547089644,2023-02-07,02-07
1362,2023-02-07 12:00:00,Atsinanana,Antanambao Manampontsy,2.00047523199464,2023-02-07,02-07
1472,2023-02-07 15:00:00,Atsinanana,Antanambao Manampontsy,0.606681294430746,2023-02-07,02-07
1582,2023-02-07 18:00:00,Atsinanana,Antanambao Manampontsy,0.573805847176118,2023-02-07,02-07
1692,2023-02-07 21:00:00,Atsinanana,Antanambao Manampontsy,0.796151715592714,2023-02-07,02-07
1802,2023-02-08 00:00:00,Atsinanana,Antanambao Manampontsy,1.69168810316478,2023-02-08,02-08
1912,2023-02-08 03:00:00,Atsinanana,Antanambao Manampontsy,0.269957317924127,2023-02-08,02-08
2022,2023-02-08 06:00:00,Atsinanana,Antanambao Manampontsy,0.504065532964887,2023-02-08,02-08
2132,2023-02-08 09:00:00,Atsinanana,Antanambao Manampontsy,1.70658733148011,2023-02-08,02-08
2242,2023-02-08 12:00:00,Atsinanana,Antanambao Manampontsy,2.0075204487599,2023-02-08,02-08
2352,2023-02-08 15:00:00,Atsinanana,Antanambao Manampontsy,0.874634308414534,2023-02-08,02-08
2462,2023-02-08 18:00:00,Atsinanana,Antanambao Manampontsy,1.2087858402112,2023-02-08,02-08
2572,2023-02-08 21:00:00,Atsinanana,Antanambao Manampontsy,1.06835675954935,2023-02-08,02-08
2682,2023-02-09 00:00:00,Atsinanana,Antanambao Manampontsy,0.488212624151492,2023-02-09,02-09
2792,2023-02-09 03:00:00,Atsinanana,Antanambao Manampontsy,0.382537870941451,2023-02-09,02-09
2902,2023-02-09 06:00:00,Atsinanana,Antanambao Manampontsy,1.28325263340375,2023-02-09,02-09
3012,2023-02-09 09:00:00,Atsinanana,Antanambao Manampontsy,2.11852606351022,2023-02-09,02-09
3122,2023-02-09 12:00:00,Atsinanana,Antanambao Manampontsy,1.37580202331301,2023-02-09,02-09
3232,2023-02-09 15:00:00,Atsinanana,Antanambao Manampontsy,0.545784751063911,2023-02-09,02-09
3342,2023-02-09 18:00:00,Atsinanana,Antanambao Manampontsy,0.359647690714337,2023-02-09,02-09
3452,2023-02-09 21:00:00,Atsinanana,Antanambao Manampontsy,0.0079121164337266,2023-02-09,02-09
3562,2023-02-10 00:00:00,Atsinanana,Antanambao Manampontsy,4.2498460970819e-06,2023-02-10,02-10
3672,2023-02-10 03:00:00,Atsinanana,Antanambao Manampontsy,0.0005445667251478,2023-02-10,02-10
3782,2023-02-10 06:00:00,Atsinanana,Antanambao Manampontsy,0.252783882251242,2023-02-10,02-10
3892,2023-02-10 09:00:00,Atsinanana,Antanambao Manampontsy,0.401440386829199,2023-02-10,02-10
4002,2023-02-10 12:00:00,Atsinanana,Antanambao Manampontsy,0.933170258591417,2023-02-10,02-10
4112,2023-02-10 15:00:00,Atsinanana,Antanambao Manampontsy,0.31947835762403,2023-02-10,02-10
4222,2023-02-10 18:00:00,Atsinanana,Antanambao Manampontsy,0.0524169253825676,2023-02-10,02-10
4332,2023-02-10 21:00:00,Atsinanana,Antanambao Manampontsy,0.0575133260339499,2023-02-10,02-10
4442,2023-02-11 00:00:00,Atsinanana,Antanambao Manampontsy,0.0006860888272058,2023-02-11,02-11
4552,2023-02-11 03:00:00,Atsinanana,Antanambao Manampontsy,3.105653449893e-05,2023-02-11,02-11
4662,2023-02-11 06:00:00,Atsinanana,Antanambao Manampontsy,0.011865198914893,2023-02-11,02-11
