,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
13,2023-02-06 00:00:00,Analamanga,Antananarivo Atsimondrano,0.10186836142869,2023-02-06,02-06
123,2023-02-06 03:00:00,Analamanga,Antananarivo Atsimondrano,0.0820912694131645,2023-02-06,02-06
233,2023-02-06 06:00:00,Analamanga,Antananarivo Atsimondrano,0.262575207899014,2023-02-06,02-06
343,2023-02-06 09:00:00,Analamanga,Antananarivo Atsimondrano,0.563982382591348,2023-02-06,02-06
453,2023-02-06 12:00:00,Analamanga,Antananarivo Atsimondrano,0.484680063188231,2023-02-06,02-06
563,2023-02-06 15:00:00,Analamanga,Antananarivo Atsimondrano,1.40525280259317,2023-02-06,02-06
673,2023-02-06 18:00:00,Analamanga,Antananarivo Atsimondrano,1.07866881190178,2023-02-06,02-06
783,2023-02-06 21:00:00,Analamanga,Antananarivo Atsimondrano,0.423848633732026,2023-02-06,02-06
893,2023-02-07 00:00:00,Analamanga,Antananarivo Atsimondrano,0.446269334565538,2023-02-07,02-07
1003,2023-02-07 03:00:00,Analamanga,Antananarivo Atsimondrano,0.511970838066191,2023-02-07,02-07
1113,2023-02-07 06:00:00,Analamanga,Antananarivo Atsimondrano,0.655085799652928,2023-02-07,02-07
1223,2023-02-07 09:00:00,Analamanga,Antananarivo Atsimondrano,0.355331712518819,2023-02-07,02-07
1333,2023-02-07 12:00:00,Analamanga,Antananarivo Atsimondrano,0.194119266370156,2023-02-07,02-07
1443,2023-02-07 15:00:00,Analamanga,Antananarivo Atsimondrano,0.040440513791206,2023-02-07,02-07
1553,2023-02-07 18:00:00,Analamanga,Antananarivo Atsimondrano,0.0745772181544453,2023-02-07,02-07
1663,2023-02-07 21:00:00,Analamanga,Antananarivo Atsimondrano,0.276850832606821,2023-02-07,02-07
1773,2023-02-08 00:00:00,Analamanga,Antananarivo Atsimondrano,1.11329724369959,2023-02-08,02-08
1883,2023-02-08 03:00:00,Analamanga,Antananarivo Atsimondrano,0.108019888595057,2023-02-08,02-08
1993,2023-02-08 06:00:00,Analamanga,Antananarivo Atsimondrano,0.0555714686245968,2023-02-08,02-08
2103,2023-02-08 09:00:00,Analamanga,Antananarivo Atsimondrano,0.0842209090866769,2023-02-08,02-08
2213,2023-02-08 12:00:00,Analamanga,Antananarivo Atsimondrano,0.953636750598283,2023-02-08,02-08
2323,2023-02-08 15:00:00,Analamanga,Antananarivo Atsimondrano,0.0840882957563736,2023-02-08,02-08
2433,2023-02-08 18:00:00,Analamanga,Antananarivo Atsimondrano,0.0798578672111034,2023-02-08,02-08
2543,2023-02-08 21:00:00,Analamanga,Antananarivo Atsimondrano,0.221672446952046,2023-02-08,02-08
2653,2023-02-09 00:00:00,Analamanga,Antananarivo Atsimondrano,0.0744306944155445,2023-02-09,02-09
2763,2023-02-09 03:00:00,Analamanga,Antananarivo Atsimondrano,0.0308165257641425,2023-02-09,02-09
2873,2023-02-09 06:00:00,Analamanga,Antananarivo Atsimondrano,0.247310816737202,2023-02-09,02-09
2983,2023-02-09 09:00:00,Analamanga,Antananarivo Atsimondrano,0.213001482693168,2023-02-09,02-09
