,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
14,2023-02-06 00:00:00,Analamanga,Antananarivo Avaradrano,0.198267109234751,2023-02-06,02-06
124,2023-02-06 03:00:00,Analamanga,Antananarivo Avaradrano,0.392686163915122,2023-02-06,02-06
234,2023-02-06 06:00:00,Analamanga,Antananarivo Avaradrano,0.565372881146946,2023-02-06,02-06
344,2023-02-06 09:00:00,Analamanga,Antananarivo Avaradrano,0.891595485753247,2023-02-06,02-06
454,2023-02-06 12:00:00,Analamanga,Antananarivo Avaradrano,1.06098678081928,2023-02-06,02-06
564,2023-02-06 15:00:00,Analamanga,Antananarivo Avaradrano,1.36104162511349,2023-02-06,02-06
674,2023-02-06 18:00:00,Analamanga,Antananarivo Avaradrano,1.19820903727253,2023-02-06,02-06
784,2023-02-06 21:00:00,Analamanga,Antananarivo Avaradrano,0.475917782958797,2023-02-06,02-06
894,2023-02-07 00:00:00,Analamanga,Antananarivo Avaradrano,0.426481580993693,2023-02-07,02-07
1004,2023-02-07 03:00:00,Analamanga,Antananarivo Avaradrano,0.506919012970424,2023-02-07,02-07
1114,2023-02-07 06:00:00,Analamanga,Antananarivo Avaradrano,0.493697245555398,2023-02-07,02-07
1224,2023-02-07 09:00:00,Analamanga,Antananarivo Avaradrano,0.196936064191894,2023-02-07,02-07
1334,2023-02-07 12:00:00,Analamanga,Antananarivo Avaradrano,0.128385167984691,2023-02-07,02-07
1444,2023-02-07 15:00:00,Analamanga,Antananarivo Avaradrano,0.103694174613338,2023-02-07,02-07
1554,2023-02-07 18:00:00,Analamanga,Antananarivo Avaradrano,0.12400075972047,2023-02-07,02-07
1664,2023-02-07 21:00:00,Analamanga,Antananarivo Avaradrano,0.539009395171888,2023-02-07,02-07
1774,2023-02-08 00:00:00,Analamanga,Antananarivo Avaradrano,0.5064421729351,2023-02-08,02-08
1884,2023-02-08 03:00:00,Analamanga,Antananarivo Avaradrano,0.0892668744033602,2023-02-08,02-08
1994,2023-02-08 06:00:00,Analamanga,Antananarivo Avaradrano,0.101814547520397,2023-02-08,02-08
2104,2023-02-08 09:00:00,Analamanga,Antananarivo Avaradrano,0.110353599111217,2023-02-08,02-08
2214,2023-02-08 12:00:00,Analamanga,Antananarivo Avaradrano,0.554180544909156,2023-02-08,02-08
2324,2023-02-08 15:00:00,Analamanga,Antananarivo Avaradrano,0.16205940600152,2023-02-08,02-08
2434,2023-02-08 18:00:00,Analamanga,Antananarivo Avaradrano,0.171317339974589,2023-02-08,02-08
2544,2023-02-08 21:00:00,Analamanga,Antananarivo Avaradrano,0.293903514044359,2023-02-08,02-08
2654,2023-02-09 00:00:00,Analamanga,Antananarivo Avaradrano,0.167194715784197,2023-02-09,02-09
2764,2023-02-09 03:00:00,Analamanga,Antananarivo Avaradrano,0.09611787452429,2023-02-09,02-09
2874,2023-02-09 06:00:00,Analamanga,Antananarivo Avaradrano,0.428468911185129,2023-02-09,02-09
2984,2023-02-09 09:00:00,Analamanga,Antananarivo Avaradrano,0.288518102881166,2023-02-09,02-09
3094,2023-02-09 12:00:00,Analamanga,Antananarivo Avaradrano,0.246502190820008,2023-02-09,02-09
3204,2023-02-09 15:00:00,Analamanga,Antananarivo Avaradrano,0.243080628428808,2023-02-09,02-09
3314,2023-02-09 18:00:00,Analamanga,Antananarivo Avaradrano,0.430098123507508,2023-02-09,02-09
3424,2023-02-09 21:00:00,Analamanga,Antananarivo Avaradrano,0.0278990923293999,2023-02-09,02-09
3534,2023-02-10 00:00:00,Analamanga,Antananarivo Avaradrano,0.0100355295414504,2023-02-10,02-10
3644,2023-02-10 03:00:00,Analamanga,Antananarivo Avaradrano,0.028460956078821,2023-02-10,02-10
3754,2023-02-10 06:00:00,Analamanga,Antananarivo Avaradrano,0.12144319314809,2023-02-10,02-10
3864,2023-02-10 09:00:00,Analamanga,Antananarivo Avaradrano,0.0900037673584718,2023-02-10,02-10
