,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
98,2023-02-06 00:00:00,Vakinankaratra,Antanifotsy,0.278472942577747,2023-02-06,02-06
208,2023-02-06 03:00:00,Vakinankaratra,Antanifotsy,0.143765774307002,2023-02-06,02-06
318,2023-02-06 06:00:00,Vakinankaratra,Antanifotsy,0.520253411735981,2023-02-06,02-06
428,2023-02-06 09:00:00,Vakinankaratra,Antanifotsy,1.22848310202692,2023-02-06,02-06
538,2023-02-06 12:00:00,Vakinankaratra,Antanifotsy,2.52900555001151,2023-02-06,02-06
648,2023-02-06 15:00:00,Vakinankaratra,Antanifotsy,0.829216927831742,2023-02-06,02-06
758,2023-02-06 18:00:00,Vakinankaratra,Antanifotsy,0.587572522011424,2023-02-06,02-06
868,2023-02-06 21:00:00,Vakinankaratra,Antanifotsy,1.51540075259758,2023-02-06,02-06
978,2023-02-07 00:00:00,Vakinankaratra,Antanifotsy,0.696651675769737,2023-02-07,02-07
1088,2023-02-07 03:00:00,Vakinankaratra,Antanifotsy,0.356549087683491,2023-02-07,02-07
1198,2023-02-07 06:00:00,Vakinankaratra,Antanifotsy,0.416256887350196,2023-02-07,02-07
1308,2023-02-07 09:00:00,Vakinankaratra,Antanifotsy,0.700992379321878,2023-02-07,02-07
1418,2023-02-07 12:00:00,Vakinankaratra,Antanifotsy,0.714785897334178,2023-02-07,02-07
1528,2023-02-07 15:00:00,Vakinankaratra,Antanifotsy,0.222016223854063,2023-02-07,02-07
1638,2023-02-07 18:00:00,Vakinankaratra,Antanifotsy,0.230347270674359,2023-02-07,02-07
1748,2023-02-07 21:00:00,Vakinankaratra,Antanifotsy,0.0853796857342017,2023-02-07,02-07
1858,2023-02-08 00:00:00,Vakinankaratra,Antanifotsy,0.0602093117419057,2023-02-08,02-08
1968,2023-02-08 03:00:00,Vakinankaratra,Antanifotsy,0.0608199216367211,2023-02-08,02-08
2078,2023-02-08 06:00:00,Vakinankaratra,Antanifotsy,0.177857114405085,2023-02-08,02-08
2188,2023-02-08 09:00:00,Vakinankaratra,Antanifotsy,0.141055414876274,2023-02-08,02-08
2298,2023-02-08 12:00:00,Vakinankaratra,Antanifotsy,0.671531532300063,2023-02-08,02-08
2408,2023-02-08 15:00:00,Vakinankaratra,Antanifotsy,0.253491182397388,2023-02-08,02-08
2518,2023-02-08 18:00:00,Vakinankaratra,Antanifotsy,0.21832438857214,2023-02-08,02-08
2628,2023-02-08 21:00:00,Vakinankaratra,Antanifotsy,0.195235348586441,2023-02-08,02-08
2738,2023-02-09 00:00:00,Vakinankaratra,Antanifotsy,0.321158308195523,2023-02-09,02-09
2848,2023-02-09 03:00:00,Vakinankaratra,Antanifotsy,0.120025468705885,2023-02-09,02-09
2958,2023-02-09 06:00:00,Vakinankaratra,Antanifotsy,0.35295046322594,2023-02-09,02-09
3068,2023-02-09 09:00:00,Vakinankaratra,Antanifotsy,0.374362239401447,2023-02-09,02-09
3178,2023-02-09 12:00:00,Vakinankaratra,Antanifotsy,0.696254003566887,2023-02-09,02-09
3288,2023-02-09 15:00:00,Vakinankaratra,Antanifotsy,0.351462965484153,2023-02-09,02-09
3398,2023-02-09 18:00:00,Vakinankaratra,Antanifotsy,0.163986550834334,2023-02-09,02-09
3508,2023-02-09 21:00:00,Vakinankaratra,Antanifotsy,0.0501455829563873,2023-02-09,02-09
3618,2023-02-10 00:00:00,Vakinankaratra,Antanifotsy,0.0008648366425544,2023-02-10,02-10
3728,2023-02-10 03:00:00,Vakinankaratra,Antanifotsy,0.0038307513011834,2023-02-10,02-10
3838,2023-02-10 06:00:00,Vakinankaratra,Antanifotsy,0.0002888078899839,2023-02-10,02-10
3948,2023-02-10 09:00:00,Vakinankaratra,Antanifotsy,0.0034741048248878,2023-02-10,02-10
4058,2023-02-10 12:00:00,Vakinankaratra,Antanifotsy,0.0148297537189837,2023-02-10,02-10
4168,2023-02-10 15:00:00,Vakinankaratra,Antanifotsy,0.106100724300352,2023-02-10,02-10
4278,2023-02-10 18:00:00,Vakinankaratra,Antanifotsy,0.0421775052180657,2023-02-10,02-10
4388,2023-02-10 21:00:00,Vakinankaratra,Antanifotsy,0.103481703234138,2023-02-10,02-10
4498,2023-02-11 00:00:00,Vakinankaratra,Antanifotsy,0.0208346457466877,2023-02-11,02-11
4608,2023-02-11 03:00:00,Vakinankaratra,Antanifotsy,0.0004051287452547,2023-02-11,02-11
4718,2023-02-11 06:00:00,Vakinankaratra,Antanifotsy,0.000454360043827,2023-02-11,02-11
4828,2023-02-11 09:00:00,Vakinankaratra,Antanifotsy,0.0191413868160453,2023-02-11,02-11
4938,2023-02-11 12:00:00,Vakinankaratra,Antanifotsy,0.10176811875471,2023-02-11,02-11
5048,2023-02-11 15:00:00,Vakinankaratra,Antanifotsy,0.31586283521476,2023-02-11,02-11
5158,2023-02-11 18:00:00,Vakinankaratra,Antanifotsy,0.19155651661836,2023-02-11,02-11
5268,2023-02-11 21:00:00,Vakinankaratra,Antanifotsy,0.0194119220518937,2023-02-11,02-11
5378,2023-02-12 00:00:00,Vakinankaratra,Antanifotsy,0.000730423126907,2023-02-12,02-12
5488,2023-02-12 03:00:00,Vakinankaratra,Antanifotsy,0.0002987152301312,2023-02-12,02-12
5598,2023-02-12 06:00:00,Vakinankaratra,Antanifotsy,4.9295978477368e-06,2023-02-12,02-12
5708,2023-02-12 09:00:00,Vakinankaratra,Antanifotsy,4.4704289533771e-06,2023-02-12,02-12
5818,2023-02-12 12:00:00,Vakinankaratra,Antanifotsy,0.0005280103964301,2023-02-12,02-12
5928,2023-02-12 15:00:00,Vakinankaratra,Antanifotsy,0.0329895458148363,2023-02-12,02-12
6038,2023-02-12 18:00:00,Vakinankaratra,Antanifotsy,0.0317277557131512,2023-02-12,02-12
6148,2023-02-12 21:00:00,Vakinankaratra,Antanifotsy,0.00868499608791,2023-02-12,02-12
6258,2023-02-13 00:00:00,Vakinankaratra,Antanifotsy,0.0008420971034166,2023-02-13,02-13
6368,2023-02-13 03:00:00,Vakinankaratra,Antanifotsy,0.0011219055942582,2023-02-13,02-13
6478,2023-02-13 06:00:00,Vakinankaratra,Antanifotsy,0.0010908368724183,2023-02-13,02-13
6588,2023-02-13 09:00:00,Vakinankaratra,Antanifotsy,0.000134926958708,2023-02-13,02-13
