,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
77,2023-02-06 00:00:00,Melaky,Antsalova,0.247935562437499,2023-02-06,02-06
187,2023-02-06 03:00:00,Melaky,Antsalova,0.0149338948902995,2023-02-06,02-06
297,2023-02-06 06:00:00,Melaky,Antsalova,0.0245010064414809,2023-02-06,02-06
407,2023-02-06 09:00:00,Melaky,Antsalova,0.933169936673471,2023-02-06,02-06
517,2023-02-06 12:00:00,Melaky,Antsalova,3.48229669264354,2023-02-06,02-06
627,2023-02-06 15:00:00,Melaky,Antsalova,6.12957088816644,2023-02-06,02-06
737,2023-02-06 18:00:00,Melaky,Antsalova,4.96077607303655,2023-02-06,02-06
847,2023-02-06 21:00:00,Melaky,Antsalova,3.51549423119286,2023-02-06,02-06
957,2023-02-07 00:00:00,Melaky,Antsalova,2.34190918889553,2023-02-07,02-07
1067,2023-02-07 03:00:00,Melaky,Antsalova,1.27363226225897,2023-02-07,02-07
1177,2023-02-07 06:00:00,Melaky,Antsalova,0.234757196317526,2023-02-07,02-07
1287,2023-02-07 09:00:00,Melaky,Antsalova,1.28280056559206,2023-02-07,02-07
1397,2023-02-07 12:00:00,Melaky,Antsalova,2.20019762156642,2023-02-07,02-07
1507,2023-02-07 15:00:00,Melaky,Antsalova,0.655028531063524,2023-02-07,02-07
1617,2023-02-07 18:00:00,Melaky,Antsalova,0.764050735316247,2023-02-07,02-07
1727,2023-02-07 21:00:00,Melaky,Antsalova,1.66994693661185,2023-02-07,02-07
1837,2023-02-08 00:00:00,Melaky,Antsalova,1.16730059698113,2023-02-08,02-08
1947,2023-02-08 03:00:00,Melaky,Antsalova,0.527080577861166,2023-02-08,02-08
2057,2023-02-08 06:00:00,Melaky,Antsalova,0.0251395209763031,2023-02-08,02-08
2167,2023-02-08 09:00:00,Melaky,Antsalova,0.103293740266904,2023-02-08,02-08
2277,2023-02-08 12:00:00,Melaky,Antsalova,3.25052351752758,2023-02-08,02-08
2387,2023-02-08 15:00:00,Melaky,Antsalova,6.95844696099263,2023-02-08,02-08
2497,2023-02-08 18:00:00,Melaky,Antsalova,5.35134079586237,2023-02-08,02-08
2607,2023-02-08 21:00:00,Melaky,Antsalova,5.75148858762629,2023-02-08,02-08
2717,2023-02-09 00:00:00,Melaky,Antsalova,1.60632159936788,2023-02-09,02-09
2827,2023-02-09 03:00:00,Melaky,Antsalova,0.100528557194191,2023-02-09,02-09
2937,2023-02-09 06:00:00,Melaky,Antsalova,0.134206096089224,2023-02-09,02-09
3047,2023-02-09 09:00:00,Melaky,Antsalova,0.2343596476426,2023-02-09,02-09
3157,2023-02-09 12:00:00,Melaky,Antsalova,7.78146027296602,2023-02-09,02-09
3267,2023-02-09 15:00:00,Melaky,Antsalova,7.54168787847662,2023-02-09,02-09
3377,2023-02-09 18:00:00,Melaky,Antsalova,5.45620906824765,2023-02-09,02-09
3487,2023-02-09 21:00:00,Melaky,Antsalova,2.43082533854243,2023-02-09,02-09
3597,2023-02-10 00:00:00,Melaky,Antsalova,0.510275308843359,2023-02-10,02-10
3707,2023-02-10 03:00:00,Melaky,Antsalova,0.041720849408417,2023-02-10,02-10
3817,2023-02-10 06:00:00,Melaky,Antsalova,0.0205054571527652,2023-02-10,02-10
3927,2023-02-10 09:00:00,Melaky,Antsalova,0.0371524188762958,2023-02-10,02-10
4037,2023-02-10 12:00:00,Melaky,Antsalova,0.0947590998009412,2023-02-10,02-10
4147,2023-02-10 15:00:00,Melaky,Antsalova,0.0402320910504729,2023-02-10,02-10
4257,2023-02-10 18:00:00,Melaky,Antsalova,0.022970103595757,2023-02-10,02-10
4367,2023-02-10 21:00:00,Melaky,Antsalova,0.221788645131307,2023-02-10,02-10
4477,2023-02-11 00:00:00,Melaky,Antsalova,1.77587705601644,2023-02-11,02-11
4587,2023-02-11 03:00:00,Melaky,Antsalova,2.27179129532019,2023-02-11,02-11
4697,2023-02-11 06:00:00,Melaky,Antsalova,0.85740213730987,2023-02-11,02-11
4807,2023-02-11 09:00:00,Melaky,Antsalova,0.479544924011026,2023-02-11,02-11
4917,2023-02-11 12:00:00,Melaky,Antsalova,0.664748057195359,2023-02-11,02-11
5027,2023-02-11 15:00:00,Melaky,Antsalova,0.104496157830238,2023-02-11,02-11
5137,2023-02-11 18:00:00,Melaky,Antsalova,0.0387848451414878,2023-02-11,02-11
5247,2023-02-11 21:00:00,Melaky,Antsalova,0.0158301803978068,2023-02-11,02-11
5357,2023-02-12 00:00:00,Melaky,Antsalova,0.0545532154425078,2023-02-12,02-12
5467,2023-02-12 03:00:00,Melaky,Antsalova,0.0260651522129011,2023-02-12,02-12
5577,2023-02-12 06:00:00,Melaky,Antsalova,0.134435154129293,2023-02-12,02-12
5687,2023-02-12 09:00:00,Melaky,Antsalova,0.369632906896887,2023-02-12,02-12
5797,2023-02-12 12:00:00,Melaky,Antsalova,0.815284489351516,2023-02-12,02-12
5907,2023-02-12 15:00:00,Melaky,Antsalova,1.85829034937473,2023-02-12,02-12
6017,2023-02-12 18:00:00,Melaky,Antsalova,0.726433049217554,2023-02-12,02-12
6127,2023-02-12 21:00:00,Melaky,Antsalova,0.156196401525121,2023-02-12,02-12
6237,2023-02-13 00:00:00,Melaky,Antsalova,0.74217898892067,2023-02-13,02-13
6347,2023-02-13 03:00:00,Melaky,Antsalova,0.07179583814644,2023-02-13,02-13
6457,2023-02-13 06:00:00,Melaky,Antsalova,0.0955837424691828,2023-02-13,02-13
6567,2023-02-13 09:00:00,Melaky,Antsalova,0.078210816177593,2023-02-13,02-13
6677,2023-02-13 12:00:00,Melaky,Antsalova,0.281463937457941,2023-02-13,02-13
6787,2023-02-13 15:00:00,Melaky,Antsalova,0.238385486632173,2023-02-13,02-13
6897,2023-02-13 18:00:00,Melaky,Antsalova,0.0224156690461821,2023-02-13,02-13
