,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
100,2023-02-06 00:00:00,Vakinankaratra,Antsirabe II,0.153704784185443,2023-02-06,02-06
210,2023-02-06 03:00:00,Vakinankaratra,Antsirabe II,0.0666027120517,2023-02-06,02-06
320,2023-02-06 06:00:00,Vakinankaratra,Antsirabe II,0.321525794036342,2023-02-06,02-06
430,2023-02-06 09:00:00,Vakinankaratra,Antsirabe II,1.88704774227327,2023-02-06,02-06
540,2023-02-06 12:00:00,Vakinankaratra,Antsirabe II,6.18669759494546,2023-02-06,02-06
650,2023-02-06 15:00:00,Vakinankaratra,Antsirabe II,2.17837481191078,2023-02-06,02-06
760,2023-02-06 18:00:00,Vakinankaratra,Antsirabe II,0.418526574113892,2023-02-06,02-06
870,2023-02-06 21:00:00,Vakinankaratra,Antsirabe II,0.605012443726477,2023-02-06,02-06
980,2023-02-07 00:00:00,Vakinankaratra,Antsirabe II,0.693209445205234,2023-02-07,02-07
1090,2023-02-07 03:00:00,Vakinankaratra,Antsirabe II,0.125766253885914,2023-02-07,02-07
1200,2023-02-07 06:00:00,Vakinankaratra,Antsirabe II,0.193499589662837,2023-02-07,02-07
1310,2023-02-07 09:00:00,Vakinankaratra,Antsirabe II,0.427308422672745,2023-02-07,02-07
1420,2023-02-07 12:00:00,Vakinankaratra,Antsirabe II,0.874272597801831,2023-02-07,02-07
1530,2023-02-07 15:00:00,Vakinankaratra,Antsirabe II,0.0608305822344213,2023-02-07,02-07
1640,2023-02-07 18:00:00,Vakinankaratra,Antsirabe II,0.0633629662587064,2023-02-07,02-07
1750,2023-02-07 21:00:00,Vakinankaratra,Antsirabe II,0.031802119006423,2023-02-07,02-07
1860,2023-02-08 00:00:00,Vakinankaratra,Antsirabe II,0.0437835858117425,2023-02-08,02-08
1970,2023-02-08 03:00:00,Vakinankaratra,Antsirabe II,0.0144523545016494,2023-02-08,02-08
2080,2023-02-08 06:00:00,Vakinankaratra,Antsirabe II,0.0232591402929519,2023-02-08,02-08
2190,2023-02-08 09:00:00,Vakinankaratra,Antsirabe II,0.153677164751571,2023-02-08,02-08
2300,2023-02-08 12:00:00,Vakinankaratra,Antsirabe II,0.936304213830938,2023-02-08,02-08
2410,2023-02-08 15:00:00,Vakinankaratra,Antsirabe II,0.441506220774381,2023-02-08,02-08
2520,2023-02-08 18:00:00,Vakinankaratra,Antsirabe II,0.127973679630288,2023-02-08,02-08
2630,2023-02-08 21:00:00,Vakinankaratra,Antsirabe II,0.170085584461365,2023-02-08,02-08
2740,2023-02-09 00:00:00,Vakinankaratra,Antsirabe II,0.150868503526157,2023-02-09,02-09
2850,2023-02-09 03:00:00,Vakinankaratra,Antsirabe II,0.0271199632324683,2023-02-09,02-09
2960,2023-02-09 06:00:00,Vakinankaratra,Antsirabe II,0.0851246299368896,2023-02-09,02-09
3070,2023-02-09 09:00:00,Vakinankaratra,Antsirabe II,0.172977823979201,2023-02-09,02-09
3180,2023-02-09 12:00:00,Vakinankaratra,Antsirabe II,0.764113066239667,2023-02-09,02-09
3290,2023-02-09 15:00:00,Vakinankaratra,Antsirabe II,0.555379335391436,2023-02-09,02-09
3400,2023-02-09 18:00:00,Vakinankaratra,Antsirabe II,0.0760569837875664,2023-02-09,02-09
3510,2023-02-09 21:00:00,Vakinankaratra,Antsirabe II,0.0204434922299064,2023-02-09,02-09
3620,2023-02-10 00:00:00,Vakinankaratra,Antsirabe II,0.0060723790261165,2023-02-10,02-10
3730,2023-02-10 03:00:00,Vakinankaratra,Antsirabe II,0.0015753277896336,2023-02-10,02-10
3840,2023-02-10 06:00:00,Vakinankaratra,Antsirabe II,0.0020666035808339,2023-02-10,02-10
3950,2023-02-10 09:00:00,Vakinankaratra,Antsirabe II,0.0109919732861707,2023-02-10,02-10
4060,2023-02-10 12:00:00,Vakinankaratra,Antsirabe II,0.0590618779027389,2023-02-10,02-10
4170,2023-02-10 15:00:00,Vakinankaratra,Antsirabe II,0.0768585296919691,2023-02-10,02-10
4280,2023-02-10 18:00:00,Vakinankaratra,Antsirabe II,0.0135890284993524,2023-02-10,02-10
4390,2023-02-10 21:00:00,Vakinankaratra,Antsirabe II,0.0195532753081668,2023-02-10,02-10
4500,2023-02-11 00:00:00,Vakinankaratra,Antsirabe II,0.0002079851616619,2023-02-11,02-11
4610,2023-02-11 03:00:00,Vakinankaratra,Antsirabe II,5.53474908330194e-05,2023-02-11,02-11
4720,2023-02-11 06:00:00,Vakinankaratra,Antsirabe II,0.002891228536812,2023-02-11,02-11
4830,2023-02-11 09:00:00,Vakinankaratra,Antsirabe II,0.0173963872670277,2023-02-11,02-11
4940,2023-02-11 12:00:00,Vakinankaratra,Antsirabe II,0.339376340425351,2023-02-11,02-11
5050,2023-02-11 15:00:00,Vakinankaratra,Antsirabe II,0.467774875391194,2023-02-11,02-11
5160,2023-02-11 18:00:00,Vakinankaratra,Antsirabe II,0.122047526691028,2023-02-11,02-11
5270,2023-02-11 21:00:00,Vakinankaratra,Antsirabe II,0.0163191859863456,2023-02-11,02-11
5380,2023-02-12 00:00:00,Vakinankaratra,Antsirabe II,0.0003476579592603,2023-02-12,02-12
5490,2023-02-12 03:00:00,Vakinankaratra,Antsirabe II,8.41486212068602e-05,2023-02-12,02-12
5600,2023-02-12 06:00:00,Vakinankaratra,Antsirabe II,4.01338278923346e-06,2023-02-12,02-12
5710,2023-02-12 09:00:00,Vakinankaratra,Antsirabe II,3.87010336651102e-06,2023-02-12,02-12
5820,2023-02-12 12:00:00,Vakinankaratra,Antsirabe II,0.0004349822917467,2023-02-12,02-12
5930,2023-02-12 15:00:00,Vakinankaratra,Antsirabe II,0.0079313520210511,2023-02-12,02-12
6040,2023-02-12 18:00:00,Vakinankaratra,Antsirabe II,0.0034347213475722,2023-02-12,02-12
6150,2023-02-12 21:00:00,Vakinankaratra,Antsirabe II,0.0018887397018261,2023-02-12,02-12
6260,2023-02-13 00:00:00,Vakinankaratra,Antsirabe II,0.0003808424630931,2023-02-13,02-13
6370,2023-02-13 03:00:00,Vakinankaratra,Antsirabe II,0.0001685174546487,2023-02-13,02-13
6480,2023-02-13 06:00:00,Vakinankaratra,Antsirabe II,1.41474605618936e-05,2023-02-13,02-13
6590,2023-02-13 09:00:00,Vakinankaratra,Antsirabe II,0.0002995119025201,2023-02-13,02-13
6700,2023-02-13 12:00:00,Vakinankaratra,Antsirabe II,0.010277493565809,2023-02-13,02-13
6810,2023-02-13 15:00:00,Vakinankaratra,Antsirabe II,0.0123491569665139,2023-02-13,02-13
6920,2023-02-13 18:00:00,Vakinankaratra,Antsirabe II,0.0135633736271816,2023-02-13,02-13
7030,2023-02-13 21:00:00,Vakinankaratra,Antsirabe II,0.0102379960387581,2023-02-13,02-13
7140,2023-02-14 00:00:00,Vakinankaratra,Antsirabe II,0.0004036165444868,2023-02-14,02-14
7250,2023-02-14 03:00:00,Vakinankaratra,Antsirabe II,3.71437965203886e-05,2023-02-14,02-14
7360,2023-02-14 06:00:00,Vakinankaratra,Antsirabe II,0.0041809039514349,2023-02-14,02-14
7470,2023-02-14 09:00:00,Vakinankaratra,Antsirabe II,0.0538128267735769,2023-02-14,02-14
7580,2023-02-14 12:00:00,Vakinankaratra,Antsirabe II,0.397710152304448,2023-02-14,02-14
7690,2023-02-14 15:00:00,Vakinankaratra,Antsirabe II,0.271662768836984,2023-02-14,02-14
7800,2023-02-14 18:00:00,Vakinankaratra,Antsirabe II,0.128689037506853,2023-02-14,02-14
7910,2023-02-14 21:00:00,Vakinankaratra,Antsirabe II,0.0118362250834015,2023-02-14,02-14
8020,2023-02-15 00:00:00,Vakinankaratra,Antsirabe II,0.0011460610144042,2023-02-15,02-15
8130,2023-02-15 03:00:00,Vakinankaratra,Antsirabe II,3.26325939765767e-05,2023-02-15,02-15
8240,2023-02-15 06:00:00,Vakinankaratra,Antsirabe II,0.0187514794043913,2023-02-15,02-15
8350,2023-02-15 09:00:00,Vakinankaratra,Antsirabe II,0.170991076447535,2023-02-15,02-15
8460,2023-02-15 12:00:00,Vakinankaratra,Antsirabe II,1.70119054522871,2023-02-15,02-15
8570,2023-02-15 15:00:00,Vakinankaratra,Antsirabe II,2.15466980091246,2023-02-15,02-15
8680,2023-02-15 18:00:00,Vakinankaratra,Antsirabe II,0.183329687641083,2023-02-15,02-15
8790,2023-02-15 21:00:00,Vakinankaratra,Antsirabe II,0.021388236777452,2023-02-15,02-15
8900,2023-02-16 00:00:00,Vakinankaratra,Antsirabe II,0.0095024110430487,2023-02-16,02-16
9010,2023-02-16 03:00:00,Vakinankaratra,Antsirabe II,0.0519092533378052,2023-02-16,02-16
9120,2023-02-16 06:00:00,Vakinankaratra,Antsirabe II,0.616074484125104,2023-02-16,02-16
9230,2023-02-16 09:00:00,Vakinankaratra,Antsirabe II,3.58279003903685,2023-02-16,02-16
9340,2023-02-16 12:00:00,Vakinankaratra,Antsirabe II,7.64223573711681,2023-02-16,02-16
9450,2023-02-16 15:00:00,Vakinankaratra,Antsirabe II,13.6909929842425,2023-02-16,02-16
9560,2023-02-16 18:00:00,Vakinankaratra,Antsirabe II,5.72272340810109,2023-02-16,02-16
9670,2023-02-16 21:00:00,Vakinankaratra,Antsirabe II,0.986666260869242,2023-02-16,02-16
9780,2023-02-17 00:00:00,Vakinankaratra,Antsirabe II,0.485002080021608,2023-02-17,02-17
9890,2023-02-17 03:00:00,Vakinankaratra,Antsirabe II,0.0304305697512894,2023-02-17,02-17
10000,2023-02-17 06:00:00,Vakinankaratra,Antsirabe II,0.190280201136256,2023-02-17,02-17
10110,2023-02-17 09:00:00,Vakinankaratra,Antsirabe II,0.92132677850769,2023-02-17,02-17
10220,2023-02-17 12:00:00,Vakinankaratra,Antsirabe II,3.89885096232984,2023-02-17,02-17
10330,2023-02-17 15:00:00,Vakinankaratra,Antsirabe II,2.35019032997788,2023-02-17,02-17
10440,2023-02-17 18:00:00,Vakinankaratra,Antsirabe II,0.203314275285938,2023-02-17,02-17
10550,2023-02-17 21:00:00,Vakinankaratra,Antsirabe II,0.0275241931363859,2023-02-17,02-17
10660,2023-02-18 00:00:00,Vakinankaratra,Antsirabe II,0.0079158651515963,2023-02-18,02-18
10770,2023-02-18 03:00:00,Vakinankaratra,Antsirabe II,0.0006806562305428,2023-02-18,02-18
10880,2023-02-18 06:00:00,Vakinankaratra,Antsirabe II,0.10976210805466,2023-02-18,02-18
10990,2023-02-18 09:00:00,Vakinankaratra,Antsirabe II,1.08816641737687,2023-02-18,02-18
11100,2023-02-18 12:00:00,Vakinankaratra,Antsirabe II,3.22479321587446,2023-02-18,02-18
11210,2023-02-18 15:00:00,Vakinankaratra,Antsirabe II,3.06775732511786,2023-02-18,02-18
11320,2023-02-18 18:00:00,Vakinankaratra,Antsirabe II,0.249084758119273,2023-02-18,02-18
