,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
99,2023-02-06 00:00:00,Vakinankaratra,Antsirabe I,0.151361261203419,2023-02-06,02-06
209,2023-02-06 03:00:00,Vakinankaratra,Antsirabe I,0.063589996250812,2023-02-06,02-06
319,2023-02-06 06:00:00,Vakinankaratra,Antsirabe I,0.201442168385256,2023-02-06,02-06
429,2023-02-06 09:00:00,Vakinankaratra,Antsirabe I,1.0585603635991,2023-02-06,02-06
539,2023-02-06 12:00:00,Vakinankaratra,Antsirabe I,8.81691903818864,2023-02-06,02-06
649,2023-02-06 15:00:00,Vakinankaratra,Antsirabe I,1.82136454782449,2023-02-06,02-06
759,2023-02-06 18:00:00,Vakinankaratra,Antsirabe I,0.682245757430792,2023-02-06,02-06
869,2023-02-06 21:00:00,Vakinankaratra,Antsirabe I,0.486645330267493,2023-02-06,02-06
979,2023-02-07 00:00:00,Vakinankaratra,Antsirabe I,0.299306317581795,2023-02-07,02-07
1089,2023-02-07 03:00:00,Vakinankaratra,Antsirabe I,0.0500355748226866,2023-02-07,02-07
1199,2023-02-07 06:00:00,Vakinankaratra,Antsirabe I,0.136632565816399,2023-02-07,02-07
1309,2023-02-07 09:00:00,Vakinankaratra,Antsirabe I,0.505861546786036,2023-02-07,02-07
1419,2023-02-07 12:00:00,Vakinankaratra,Antsirabe I,0.718072067131288,2023-02-07,02-07
1529,2023-02-07 15:00:00,Vakinankaratra,Antsirabe I,0.090536248695571,2023-02-07,02-07
1639,2023-02-07 18:00:00,Vakinankaratra,Antsirabe I,0.0917690306669101,2023-02-07,02-07
1749,2023-02-07 21:00:00,Vakinankaratra,Antsirabe I,0.0093825465883128,2023-02-07,02-07
1859,2023-02-08 00:00:00,Vakinankaratra,Antsirabe I,0.0009450314100831,2023-02-08,02-08
1969,2023-02-08 03:00:00,Vakinankaratra,Antsirabe I,0.0029328050441108,2023-02-08,02-08
2079,2023-02-08 06:00:00,Vakinankaratra,Antsirabe I,0.0042083311709575,2023-02-08,02-08
2189,2023-02-08 09:00:00,Vakinankaratra,Antsirabe I,0.193348913453519,2023-02-08,02-08
2299,2023-02-08 12:00:00,Vakinankaratra,Antsirabe I,0.374182833882514,2023-02-08,02-08
2409,2023-02-08 15:00:00,Vakinankaratra,Antsirabe I,0.227602980623487,2023-02-08,02-08
2519,2023-02-08 18:00:00,Vakinankaratra,Antsirabe I,0.121060827339534,2023-02-08,02-08
2629,2023-02-08 21:00:00,Vakinankaratra,Antsirabe I,0.191492575628217,2023-02-08,02-08
2739,2023-02-09 00:00:00,Vakinankaratra,Antsirabe I,0.104030471818987,2023-02-09,02-09
2849,2023-02-09 03:00:00,Vakinankaratra,Antsirabe I,0.0065400913590565,2023-02-09,02-09
2959,2023-02-09 06:00:00,Vakinankaratra,Antsirabe I,0.0225122483097948,2023-02-09,02-09
3069,2023-02-09 09:00:00,Vakinankaratra,Antsirabe I,0.13029150076909,2023-02-09,02-09
3179,2023-02-09 12:00:00,Vakinankaratra,Antsirabe I,0.806300266063772,2023-02-09,02-09
3289,2023-02-09 15:00:00,Vakinankaratra,Antsirabe I,0.63183279329678,2023-02-09,02-09
3399,2023-02-09 18:00:00,Vakinankaratra,Antsirabe I,0.10021243308438,2023-02-09,02-09
3509,2023-02-09 21:00:00,Vakinankaratra,Antsirabe I,0.0056093100574798,2023-02-09,02-09
3619,2023-02-10 00:00:00,Vakinankaratra,Antsirabe I,7.761234883219e-06,2023-02-10,02-10
3729,2023-02-10 03:00:00,Vakinankaratra,Antsirabe I,1.19965989142656e-07,2023-02-10,02-10
3839,2023-02-10 06:00:00,Vakinankaratra,Antsirabe I,0.0019733795779757,2023-02-10,02-10
3949,2023-02-10 09:00:00,Vakinankaratra,Antsirabe I,0.0266185674699955,2023-02-10,02-10
4059,2023-02-10 12:00:00,Vakinankaratra,Antsirabe I,0.0695034610689618,2023-02-10,02-10
4169,2023-02-10 15:00:00,Vakinankaratra,Antsirabe I,0.037410331889987,2023-02-10,02-10
4279,2023-02-10 18:00:00,Vakinankaratra,Antsirabe I,0.0164658825960942,2023-02-10,02-10
4389,2023-02-10 21:00:00,Vakinankaratra,Antsirabe I,0.0391792896552943,2023-02-10,02-10
4499,2023-02-11 00:00:00,Vakinankaratra,Antsirabe I,5.9528392739594e-06,2023-02-11,02-11
4609,2023-02-11 03:00:00,Vakinankaratra,Antsirabe I,7.27054430171847e-06,2023-02-11,02-11
4719,2023-02-11 06:00:00,Vakinankaratra,Antsirabe I,0.0096993274055421,2023-02-11,02-11
4829,2023-02-11 09:00:00,Vakinankaratra,Antsirabe I,0.0410493182134815,2023-02-11,02-11
4939,2023-02-11 12:00:00,Vakinankaratra,Antsirabe I,0.0587046954897232,2023-02-11,02-11
5049,2023-02-11 15:00:00,Vakinankaratra,Antsirabe I,0.288182529213373,2023-02-11,02-11
5159,2023-02-11 18:00:00,Vakinankaratra,Antsirabe I,0.0442096520564519,2023-02-11,02-11
5269,2023-02-11 21:00:00,Vakinankaratra,Antsirabe I,0.0214337451034226,2023-02-11,02-11
5379,2023-02-12 00:00:00,Vakinankaratra,Antsirabe I,0.0002544927410781,2023-02-12,02-12
5489,2023-02-12 03:00:00,Vakinankaratra,Antsirabe I,2.56934436038136e-06,2023-02-12,02-12
5599,2023-02-12 06:00:00,Vakinankaratra,Antsirabe I,4.72052488476038e-06,2023-02-12,02-12
5709,2023-02-12 09:00:00,Vakinankaratra,Antsirabe I,7.21134711056948e-07,2023-02-12,02-12
5819,2023-02-12 12:00:00,Vakinankaratra,Antsirabe I,2.91451578959823e-06,2023-02-12,02-12
5929,2023-02-12 15:00:00,Vakinankaratra,Antsirabe I,0.0210935773793608,2023-02-12,02-12
6039,2023-02-12 18:00:00,Vakinankaratra,Antsirabe I,0.0041017362964339,2023-02-12,02-12
6149,2023-02-12 21:00:00,Vakinankaratra,Antsirabe I,0.0010193160269409,2023-02-12,02-12
6259,2023-02-13 00:00:00,Vakinankaratra,Antsirabe I,0.0007606537546962,2023-02-13,02-13
6369,2023-02-13 03:00:00,Vakinankaratra,Antsirabe I,8.6416257545352e-06,2023-02-13,02-13
6479,2023-02-13 06:00:00,Vakinankaratra,Antsirabe I,2.37149652093649e-06,2023-02-13,02-13
6589,2023-02-13 09:00:00,Vakinankaratra,Antsirabe I,1.53027940541506e-06,2023-02-13,02-13
6699,2023-02-13 12:00:00,Vakinankaratra,Antsirabe I,0.0096954593318514,2023-02-13,02-13
6809,2023-02-13 15:00:00,Vakinankaratra,Antsirabe I,0.011311725131236,2023-02-13,02-13
6919,2023-02-13 18:00:00,Vakinankaratra,Antsirabe I,0.0038791231927461,2023-02-13,02-13
7029,2023-02-13 21:00:00,Vakinankaratra,Antsirabe I,0.001257368014194,2023-02-13,02-13
7139,2023-02-14 00:00:00,Vakinankaratra,Antsirabe I,4.65731136500835e-06,2023-02-14,02-14
7249,2023-02-14 03:00:00,Vakinankaratra,Antsirabe I,5.76226739212871e-06,2023-02-14,02-14
7359,2023-02-14 06:00:00,Vakinankaratra,Antsirabe I,0.0005212497198954,2023-02-14,02-14
7469,2023-02-14 09:00:00,Vakinankaratra,Antsirabe I,0.0561901415931061,2023-02-14,02-14
7579,2023-02-14 12:00:00,Vakinankaratra,Antsirabe I,0.796899195760489,2023-02-14,02-14
7689,2023-02-14 15:00:00,Vakinankaratra,Antsirabe I,0.122085893293843,2023-02-14,02-14
7799,2023-02-14 18:00:00,Vakinankaratra,Antsirabe I,0.105470653157681,2023-02-14,02-14
7909,2023-02-14 21:00:00,Vakinankaratra,Antsirabe I,0.0129635696066543,2023-02-14,02-14
8019,2023-02-15 00:00:00,Vakinankaratra,Antsirabe I,0.0005222057807259,2023-02-15,02-15
8129,2023-02-15 03:00:00,Vakinankaratra,Antsirabe I,1.51456333696842e-06,2023-02-15,02-15
8239,2023-02-15 06:00:00,Vakinankaratra,Antsirabe I,0.0463995166355744,2023-02-15,02-15
8349,2023-02-15 09:00:00,Vakinankaratra,Antsirabe I,0.102697095775511,2023-02-15,02-15
8459,2023-02-15 12:00:00,Vakinankaratra,Antsirabe I,2.31744254002115,2023-02-15,02-15
8569,2023-02-15 15:00:00,Vakinankaratra,Antsirabe I,1.86431520973565,2023-02-15,02-15
8679,2023-02-15 18:00:00,Vakinankaratra,Antsirabe I,0.175740606093314,2023-02-15,02-15
8789,2023-02-15 21:00:00,Vakinankaratra,Antsirabe I,0.0268024540273473,2023-02-15,02-15
8899,2023-02-16 00:00:00,Vakinankaratra,Antsirabe I,0.0034138376940973,2023-02-16,02-16
9009,2023-02-16 03:00:00,Vakinankaratra,Antsirabe I,0.0233937676530331,2023-02-16,02-16
9119,2023-02-16 06:00:00,Vakinankaratra,Antsirabe I,0.577740641485434,2023-02-16,02-16
9229,2023-02-16 09:00:00,Vakinankaratra,Antsirabe I,6.81611203087959,2023-02-16,02-16
9339,2023-02-16 12:00:00,Vakinankaratra,Antsirabe I,6.57722733303672,2023-02-16,02-16
9449,2023-02-16 15:00:00,Vakinankaratra,Antsirabe I,12.1090905576129,2023-02-16,02-16
9559,2023-02-16 18:00:00,Vakinankaratra,Antsirabe I,3.05122382607078,2023-02-16,02-16
9669,2023-02-16 21:00:00,Vakinankaratra,Antsirabe I,0.680121718731243,2023-02-16,02-16
9779,2023-02-17 00:00:00,Vakinankaratra,Antsirabe I,0.54607127601048,2023-02-17,02-17
9889,2023-02-17 03:00:00,Vakinankaratra,Antsirabe I,0.0272676229360513,2023-02-17,02-17
9999,2023-02-17 06:00:00,Vakinankaratra,Antsirabe I,0.0828629410243593,2023-02-17,02-17
10109,2023-02-17 09:00:00,Vakinankaratra,Antsirabe I,1.17565516318427,2023-02-17,02-17
10219,2023-02-17 12:00:00,Vakinankaratra,Antsirabe I,1.4016259011114,2023-02-17,02-17
10329,2023-02-17 15:00:00,Vakinankaratra,Antsirabe I,0.942906257230789,2023-02-17,02-17
10439,2023-02-17 18:00:00,Vakinankaratra,Antsirabe I,0.0654446830158122,2023-02-17,02-17
10549,2023-02-17 21:00:00,Vakinankaratra,Antsirabe I,0.0017711283871904,2023-02-17,02-17
10659,2023-02-18 00:00:00,Vakinankaratra,Antsirabe I,0.0012556836009025,2023-02-18,02-18
10769,2023-02-18 03:00:00,Vakinankaratra,Antsirabe I,0.0005149782518856,2023-02-18,02-18
10879,2023-02-18 06:00:00,Vakinankaratra,Antsirabe I,0.102577851735987,2023-02-18,02-18
