,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
61,2023-02-06 00:00:00,Diana,Antsiranana II,0.133652859939159,2023-02-06,02-06
171,2023-02-06 03:00:00,Diana,Antsiranana II,0.239156860630545,2023-02-06,02-06
281,2023-02-06 06:00:00,Diana,Antsiranana II,0.383167420128464,2023-02-06,02-06
391,2023-02-06 09:00:00,Diana,Antsiranana II,3.61667877217341,2023-02-06,02-06
501,2023-02-06 12:00:00,Diana,Antsiranana II,4.45986783495561,2023-02-06,02-06
611,2023-02-06 15:00:00,Diana,Antsiranana II,1.52718813078633,2023-02-06,02-06
721,2023-02-06 18:00:00,Diana,Antsiranana II,0.586175726201489,2023-02-06,02-06
831,2023-02-06 21:00:00,Diana,Antsiranana II,0.0410932197610641,2023-02-06,02-06
941,2023-02-07 00:00:00,Diana,Antsiranana II,0.122336681914102,2023-02-07,02-07
1051,2023-02-07 03:00:00,Diana,Antsiranana II,0.787922939698264,2023-02-07,02-07
1161,2023-02-07 06:00:00,Diana,Antsiranana II,2.62392714736957,2023-02-07,02-07
1271,2023-02-07 09:00:00,Diana,Antsiranana II,5.39201942471166,2023-02-07,02-07
1381,2023-02-07 12:00:00,Diana,Antsiranana II,2.94566366945963,2023-02-07,02-07
1491,2023-02-07 15:00:00,Diana,Antsiranana II,1.9998487635839,2023-02-07,02-07
1601,2023-02-07 18:00:00,Diana,Antsiranana II,0.454765934189264,2023-02-07,02-07
1711,2023-02-07 21:00:00,Diana,Antsiranana II,0.352383802555657,2023-02-07,02-07
1821,2023-02-08 00:00:00,Diana,Antsiranana II,0.0763899032427515,2023-02-08,02-08
1931,2023-02-08 03:00:00,Diana,Antsiranana II,0.0202443406943025,2023-02-08,02-08
2041,2023-02-08 06:00:00,Diana,Antsiranana II,0.226225200468778,2023-02-08,02-08
2151,2023-02-08 09:00:00,Diana,Antsiranana II,1.10885472874054,2023-02-08,02-08
2261,2023-02-08 12:00:00,Diana,Antsiranana II,3.01231854144846,2023-02-08,02-08
2371,2023-02-08 15:00:00,Diana,Antsiranana II,0.910578119687529,2023-02-08,02-08
2481,2023-02-08 18:00:00,Diana,Antsiranana II,0.224898390495218,2023-02-08,02-08
2591,2023-02-08 21:00:00,Diana,Antsiranana II,0.148548630368896,2023-02-08,02-08
2701,2023-02-09 00:00:00,Diana,Antsiranana II,0.0442270940687093,2023-02-09,02-09
2811,2023-02-09 03:00:00,Diana,Antsiranana II,0.0006869415480953,2023-02-09,02-09
2921,2023-02-09 06:00:00,Diana,Antsiranana II,0.0686255410404152,2023-02-09,02-09
3031,2023-02-09 09:00:00,Diana,Antsiranana II,1.30944801094399,2023-02-09,02-09
3141,2023-02-09 12:00:00,Diana,Antsiranana II,2.31986486787339,2023-02-09,02-09
3251,2023-02-09 15:00:00,Diana,Antsiranana II,0.918905427802302,2023-02-09,02-09
3361,2023-02-09 18:00:00,Diana,Antsiranana II,0.565345502736616,2023-02-09,02-09
3471,2023-02-09 21:00:00,Diana,Antsiranana II,0.207929369133328,2023-02-09,02-09
3581,2023-02-10 00:00:00,Diana,Antsiranana II,0.0928950047831879,2023-02-10,02-10
3691,2023-02-10 03:00:00,Diana,Antsiranana II,0.127590369378837,2023-02-10,02-10
3801,2023-02-10 06:00:00,Diana,Antsiranana II,0.237376451419873,2023-02-10,02-10
3911,2023-02-10 09:00:00,Diana,Antsiranana II,0.604285952121588,2023-02-10,02-10
4021,2023-02-10 12:00:00,Diana,Antsiranana II,1.39108475456144,2023-02-10,02-10
4131,2023-02-10 15:00:00,Diana,Antsiranana II,0.280003061361559,2023-02-10,02-10
4241,2023-02-10 18:00:00,Diana,Antsiranana II,0.112248853228003,2023-02-10,02-10
4351,2023-02-10 21:00:00,Diana,Antsiranana II,0.0774225627524882,2023-02-10,02-10
4461,2023-02-11 00:00:00,Diana,Antsiranana II,0.111208759839388,2023-02-11,02-11
4571,2023-02-11 03:00:00,Diana,Antsiranana II,0.0165212112776418,2023-02-11,02-11
4681,2023-02-11 06:00:00,Diana,Antsiranana II,0.0488783049022055,2023-02-11,02-11
