,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
60,2023-02-06 00:00:00,Diana,Antsiranana I,0.0108887218520977,2023-02-06,02-06
170,2023-02-06 03:00:00,Diana,Antsiranana I,0.270392042875756,2023-02-06,02-06
280,2023-02-06 06:00:00,Diana,Antsiranana I,0.519101729267277,2023-02-06,02-06
390,2023-02-06 09:00:00,Diana,Antsiranana I,1.47296005202224,2023-02-06,02-06
500,2023-02-06 12:00:00,Diana,Antsiranana I,6.07021260226611,2023-02-06,02-06
610,2023-02-06 15:00:00,Diana,Antsiranana I,1.80009877908742,2023-02-06,02-06
720,2023-02-06 18:00:00,Diana,Antsiranana I,0.420897326490376,2023-02-06,02-06
830,2023-02-06 21:00:00,Diana,Antsiranana I,0.0255006471998058,2023-02-06,02-06
940,2023-02-07 00:00:00,Diana,Antsiranana I,0.969710831996053,2023-02-07,02-07
1050,2023-02-07 03:00:00,Diana,Antsiranana I,1.91899740224471,2023-02-07,02-07
1160,2023-02-07 06:00:00,Diana,Antsiranana I,0.977251962409355,2023-02-07,02-07
1270,2023-02-07 09:00:00,Diana,Antsiranana I,5.72594199015293,2023-02-07,02-07
1380,2023-02-07 12:00:00,Diana,Antsiranana I,2.36021738144336,2023-02-07,02-07
1490,2023-02-07 15:00:00,Diana,Antsiranana I,1.1137000953895,2023-02-07,02-07
1600,2023-02-07 18:00:00,Diana,Antsiranana I,0.62545315164607,2023-02-07,02-07
1710,2023-02-07 21:00:00,Diana,Antsiranana I,0.0748710444895551,2023-02-07,02-07
1820,2023-02-08 00:00:00,Diana,Antsiranana I,0.001570715685375,2023-02-08,02-08
1930,2023-02-08 03:00:00,Diana,Antsiranana I,0.0051074923248961,2023-02-08,02-08
2040,2023-02-08 06:00:00,Diana,Antsiranana I,0.0962810118799098,2023-02-08,02-08
2150,2023-02-08 09:00:00,Diana,Antsiranana I,0.572373996081296,2023-02-08,02-08
2260,2023-02-08 12:00:00,Diana,Antsiranana I,1.68422398436815,2023-02-08,02-08
2370,2023-02-08 15:00:00,Diana,Antsiranana I,0.301347133645322,2023-02-08,02-08
2480,2023-02-08 18:00:00,Diana,Antsiranana I,0.181715925922617,2023-02-08,02-08
2590,2023-02-08 21:00:00,Diana,Antsiranana I,0.053911657887511,2023-02-08,02-08
2700,2023-02-09 00:00:00,Diana,Antsiranana I,0.0062408950761891,2023-02-09,02-09
2810,2023-02-09 03:00:00,Diana,Antsiranana I,0.0007624530117027,2023-02-09,02-09
2920,2023-02-09 06:00:00,Diana,Antsiranana I,0.0349204886588268,2023-02-09,02-09
3030,2023-02-09 09:00:00,Diana,Antsiranana I,0.465913412626833,2023-02-09,02-09
3140,2023-02-09 12:00:00,Diana,Antsiranana I,0.578664764936548,2023-02-09,02-09
3250,2023-02-09 15:00:00,Diana,Antsiranana I,0.127809050900396,2023-02-09,02-09
