,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
91,2023-02-06 00:00:00,Sofia,Antsohihy,0.199246878761276,2023-02-06,02-06
201,2023-02-06 03:00:00,Sofia,Antsohihy,0.0672101148634172,2023-02-06,02-06
311,2023-02-06 06:00:00,Sofia,Antsohihy,0.26413466992487,2023-02-06,02-06
421,2023-02-06 09:00:00,Sofia,Antsohihy,1.86025347972357,2023-02-06,02-06
531,2023-02-06 12:00:00,Sofia,Antsohihy,9.18681063297313,2023-02-06,02-06
641,2023-02-06 15:00:00,Sofia,Antsohihy,9.08745713586345,2023-02-06,02-06
751,2023-02-06 18:00:00,Sofia,Antsohihy,3.25588833080837,2023-02-06,02-06
861,2023-02-06 21:00:00,Sofia,Antsohihy,0.989867402798576,2023-02-06,02-06
971,2023-02-07 00:00:00,Sofia,Antsohihy,0.150843086920781,2023-02-07,02-07
1081,2023-02-07 03:00:00,Sofia,Antsohihy,0.0044215170981748,2023-02-07,02-07
1191,2023-02-07 06:00:00,Sofia,Antsohihy,0.832333546155984,2023-02-07,02-07
1301,2023-02-07 09:00:00,Sofia,Antsohihy,3.41696943473156,2023-02-07,02-07
1411,2023-02-07 12:00:00,Sofia,Antsohihy,6.13775175588813,2023-02-07,02-07
1521,2023-02-07 15:00:00,Sofia,Antsohihy,8.46575513492884,2023-02-07,02-07
1631,2023-02-07 18:00:00,Sofia,Antsohihy,3.90509494358997,2023-02-07,02-07
1741,2023-02-07 21:00:00,Sofia,Antsohihy,0.225164525081665,2023-02-07,02-07
1851,2023-02-08 00:00:00,Sofia,Antsohihy,0.0856627900275493,2023-02-08,02-08
1961,2023-02-08 03:00:00,Sofia,Antsohihy,0.0003164781231955,2023-02-08,02-08
2071,2023-02-08 06:00:00,Sofia,Antsohihy,0.0670848452434989,2023-02-08,02-08
2181,2023-02-08 09:00:00,Sofia,Antsohihy,1.14669345818437,2023-02-08,02-08
2291,2023-02-08 12:00:00,Sofia,Antsohihy,9.72988684236061,2023-02-08,02-08
2401,2023-02-08 15:00:00,Sofia,Antsohihy,9.4381621757951,2023-02-08,02-08
2511,2023-02-08 18:00:00,Sofia,Antsohihy,1.5728503091434,2023-02-08,02-08
2621,2023-02-08 21:00:00,Sofia,Antsohihy,0.478336776909134,2023-02-08,02-08
2731,2023-02-09 00:00:00,Sofia,Antsohihy,0.148012124317153,2023-02-09,02-09
2841,2023-02-09 03:00:00,Sofia,Antsohihy,0.0917329039529716,2023-02-09,02-09
2951,2023-02-09 06:00:00,Sofia,Antsohihy,0.0052226216733887,2023-02-09,02-09
3061,2023-02-09 09:00:00,Sofia,Antsohihy,0.557163309230662,2023-02-09,02-09
3171,2023-02-09 12:00:00,Sofia,Antsohihy,7.77993725675652,2023-02-09,02-09
3281,2023-02-09 15:00:00,Sofia,Antsohihy,4.68879159846877,2023-02-09,02-09
3391,2023-02-09 18:00:00,Sofia,Antsohihy,0.679824544980032,2023-02-09,02-09
3501,2023-02-09 21:00:00,Sofia,Antsohihy,0.117584007888714,2023-02-09,02-09
3611,2023-02-10 00:00:00,Sofia,Antsohihy,0.159865831320242,2023-02-10,02-10
3721,2023-02-10 03:00:00,Sofia,Antsohihy,0.0160453577892196,2023-02-10,02-10
3831,2023-02-10 06:00:00,Sofia,Antsohihy,0.0212340729904543,2023-02-10,02-10
3941,2023-02-10 09:00:00,Sofia,Antsohihy,0.119041457823364,2023-02-10,02-10
