,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
73,2023-02-06 00:00:00,Itasy,Arivonimamo,0.066361074479452,2023-02-06,02-06
183,2023-02-06 03:00:00,Itasy,Arivonimamo,0.0277318204559075,2023-02-06,02-06
293,2023-02-06 06:00:00,Itasy,Arivonimamo,0.183046309455919,2023-02-06,02-06
403,2023-02-06 09:00:00,Itasy,Arivonimamo,0.506191569993583,2023-02-06,02-06
513,2023-02-06 12:00:00,Itasy,Arivonimamo,1.39642581792238,2023-02-06,02-06
623,2023-02-06 15:00:00,Itasy,Arivonimamo,3.08253737843673,2023-02-06,02-06
733,2023-02-06 18:00:00,Itasy,Arivonimamo,0.588616862136405,2023-02-06,02-06
843,2023-02-06 21:00:00,Itasy,Arivonimamo,0.358481917188813,2023-02-06,02-06
953,2023-02-07 00:00:00,Itasy,Arivonimamo,0.373457384419938,2023-02-07,02-07
1063,2023-02-07 03:00:00,Itasy,Arivonimamo,0.398514086613432,2023-02-07,02-07
1173,2023-02-07 06:00:00,Itasy,Arivonimamo,0.319725813739933,2023-02-07,02-07
1283,2023-02-07 09:00:00,Itasy,Arivonimamo,0.306447528791614,2023-02-07,02-07
1393,2023-02-07 12:00:00,Itasy,Arivonimamo,0.134380370444463,2023-02-07,02-07
1503,2023-02-07 15:00:00,Itasy,Arivonimamo,0.0495614930599307,2023-02-07,02-07
1613,2023-02-07 18:00:00,Itasy,Arivonimamo,0.0821924196905457,2023-02-07,02-07
1723,2023-02-07 21:00:00,Itasy,Arivonimamo,0.140881392689577,2023-02-07,02-07
1833,2023-02-08 00:00:00,Itasy,Arivonimamo,0.738274670493168,2023-02-08,02-08
1943,2023-02-08 03:00:00,Itasy,Arivonimamo,0.0588259596494027,2023-02-08,02-08
2053,2023-02-08 06:00:00,Itasy,Arivonimamo,0.0132275157530482,2023-02-08,02-08
2163,2023-02-08 09:00:00,Itasy,Arivonimamo,0.152113189253335,2023-02-08,02-08
2273,2023-02-08 12:00:00,Itasy,Arivonimamo,1.70907633229702,2023-02-08,02-08
2383,2023-02-08 15:00:00,Itasy,Arivonimamo,0.158814630513856,2023-02-08,02-08
2493,2023-02-08 18:00:00,Itasy,Arivonimamo,0.055384813916559,2023-02-08,02-08
2603,2023-02-08 21:00:00,Itasy,Arivonimamo,0.190417267180358,2023-02-08,02-08
2713,2023-02-09 00:00:00,Itasy,Arivonimamo,0.0633634607734469,2023-02-09,02-09
2823,2023-02-09 03:00:00,Itasy,Arivonimamo,0.0445325815623316,2023-02-09,02-09
2933,2023-02-09 06:00:00,Itasy,Arivonimamo,0.209476413519587,2023-02-09,02-09
3043,2023-02-09 09:00:00,Itasy,Arivonimamo,0.159238350849288,2023-02-09,02-09
3153,2023-02-09 12:00:00,Itasy,Arivonimamo,0.456435692748831,2023-02-09,02-09
3263,2023-02-09 15:00:00,Itasy,Arivonimamo,0.113042263702179,2023-02-09,02-09
3373,2023-02-09 18:00:00,Itasy,Arivonimamo,0.111001097081074,2023-02-09,02-09
3483,2023-02-09 21:00:00,Itasy,Arivonimamo,0.2828975931004,2023-02-09,02-09
3593,2023-02-10 00:00:00,Itasy,Arivonimamo,0.236451023972283,2023-02-10,02-10
3703,2023-02-10 03:00:00,Itasy,Arivonimamo,0.0085515548901942,2023-02-10,02-10
3813,2023-02-10 06:00:00,Itasy,Arivonimamo,0.0535735054640099,2023-02-10,02-10
3923,2023-02-10 09:00:00,Itasy,Arivonimamo,0.0116284292928564,2023-02-10,02-10
4033,2023-02-10 12:00:00,Itasy,Arivonimamo,0.028125288290903,2023-02-10,02-10
4143,2023-02-10 15:00:00,Itasy,Arivonimamo,0.246215694649921,2023-02-10,02-10
4253,2023-02-10 18:00:00,Itasy,Arivonimamo,0.0388947470812127,2023-02-10,02-10
4363,2023-02-10 21:00:00,Itasy,Arivonimamo,0.0391810395056382,2023-02-10,02-10
4473,2023-02-11 00:00:00,Itasy,Arivonimamo,4.22226420293252e-05,2023-02-11,02-11
4583,2023-02-11 03:00:00,Itasy,Arivonimamo,0.0009540841099806,2023-02-11,02-11
4693,2023-02-11 06:00:00,Itasy,Arivonimamo,0.0118034455770006,2023-02-11,02-11
4803,2023-02-11 09:00:00,Itasy,Arivonimamo,0.0013480813979792,2023-02-11,02-11
4913,2023-02-11 12:00:00,Itasy,Arivonimamo,0.0269702332094312,2023-02-11,02-11
5023,2023-02-11 15:00:00,Itasy,Arivonimamo,0.0584479017959287,2023-02-11,02-11
5133,2023-02-11 18:00:00,Itasy,Arivonimamo,0.0991002558924568,2023-02-11,02-11
5243,2023-02-11 21:00:00,Itasy,Arivonimamo,0.0318900283464851,2023-02-11,02-11
5353,2023-02-12 00:00:00,Itasy,Arivonimamo,0.0035596770506041,2023-02-12,02-12
5463,2023-02-12 03:00:00,Itasy,Arivonimamo,0.0004145427451779,2023-02-12,02-12
5573,2023-02-12 06:00:00,Itasy,Arivonimamo,0.0161134639017594,2023-02-12,02-12
5683,2023-02-12 09:00:00,Itasy,Arivonimamo,5.27827069163322e-06,2023-02-12,02-12
5793,2023-02-12 12:00:00,Itasy,Arivonimamo,4.92222995186846e-06,2023-02-12,02-12
5903,2023-02-12 15:00:00,Itasy,Arivonimamo,5.34002901986241e-06,2023-02-12,02-12
6013,2023-02-12 18:00:00,Itasy,Arivonimamo,0.028878654690925,2023-02-12,02-12
6123,2023-02-12 21:00:00,Itasy,Arivonimamo,0.0104593622420604,2023-02-12,02-12
6233,2023-02-13 00:00:00,Itasy,Arivonimamo,0.0023233870936868,2023-02-13,02-13
6343,2023-02-13 03:00:00,Itasy,Arivonimamo,0.018405581296732,2023-02-13,02-13
6453,2023-02-13 06:00:00,Itasy,Arivonimamo,4.90563688799739e-06,2023-02-13,02-13
6563,2023-02-13 09:00:00,Itasy,Arivonimamo,4.70713712275028e-06,2023-02-13,02-13
6673,2023-02-13 12:00:00,Itasy,Arivonimamo,0.0093355315000129,2023-02-13,02-13
6783,2023-02-13 15:00:00,Itasy,Arivonimamo,0.0133474070384788,2023-02-13,02-13
6893,2023-02-13 18:00:00,Itasy,Arivonimamo,0.0578591279763108,2023-02-13,02-13
7003,2023-02-13 21:00:00,Itasy,Arivonimamo,0.0177731555420905,2023-02-13,02-13
7113,2023-02-14 00:00:00,Itasy,Arivonimamo,0.0018706128078823,2023-02-14,02-14
7223,2023-02-14 03:00:00,Itasy,Arivonimamo,0.0002624132360021,2023-02-14,02-14
7333,2023-02-14 06:00:00,Itasy,Arivonimamo,0.0094397371130374,2023-02-14,02-14
7443,2023-02-14 09:00:00,Itasy,Arivonimamo,0.0934285071057578,2023-02-14,02-14
7553,2023-02-14 12:00:00,Itasy,Arivonimamo,0.240358692015676,2023-02-14,02-14
7663,2023-02-14 15:00:00,Itasy,Arivonimamo,0.632088647868174,2023-02-14,02-14
7773,2023-02-14 18:00:00,Itasy,Arivonimamo,0.249842807619522,2023-02-14,02-14
7883,2023-02-14 21:00:00,Itasy,Arivonimamo,0.0025744320669521,2023-02-14,02-14
7993,2023-02-15 00:00:00,Itasy,Arivonimamo,0.0034227405053873,2023-02-15,02-15
8103,2023-02-15 03:00:00,Itasy,Arivonimamo,0.0005494833885071,2023-02-15,02-15
8213,2023-02-15 06:00:00,Itasy,Arivonimamo,0.0045788085980651,2023-02-15,02-15
8323,2023-02-15 09:00:00,Itasy,Arivonimamo,0.0149115917699722,2023-02-15,02-15
8433,2023-02-15 12:00:00,Itasy,Arivonimamo,1.86870691796842,2023-02-15,02-15
8543,2023-02-15 15:00:00,Itasy,Arivonimamo,1.83816303124962,2023-02-15,02-15
8653,2023-02-15 18:00:00,Itasy,Arivonimamo,0.37471874122275,2023-02-15,02-15
8763,2023-02-15 21:00:00,Itasy,Arivonimamo,0.169107120216358,2023-02-15,02-15
8873,2023-02-16 00:00:00,Itasy,Arivonimamo,0.0436679870743925,2023-02-16,02-16
8983,2023-02-16 03:00:00,Itasy,Arivonimamo,0.0423583801331309,2023-02-16,02-16
9093,2023-02-16 06:00:00,Itasy,Arivonimamo,0.271264594618697,2023-02-16,02-16
9203,2023-02-16 09:00:00,Itasy,Arivonimamo,0.264457033434883,2023-02-16,02-16
9313,2023-02-16 12:00:00,Itasy,Arivonimamo,7.89621051709789,2023-02-16,02-16
9423,2023-02-16 15:00:00,Itasy,Arivonimamo,26.1524629152341,2023-02-16,02-16
9533,2023-02-16 18:00:00,Itasy,Arivonimamo,12.4501709149064,2023-02-16,02-16
9643,2023-02-16 21:00:00,Itasy,Arivonimamo,0.548104588353696,2023-02-16,02-16
9753,2023-02-17 00:00:00,Itasy,Arivonimamo,0.267642475738345,2023-02-17,02-17
9863,2023-02-17 03:00:00,Itasy,Arivonimamo,2.98811476497212,2023-02-17,02-17
9973,2023-02-17 06:00:00,Itasy,Arivonimamo,3.66311358370585,2023-02-17,02-17
10083,2023-02-17 09:00:00,Itasy,Arivonimamo,0.241644891611456,2023-02-17,02-17
10193,2023-02-17 12:00:00,Itasy,Arivonimamo,4.45639855921424,2023-02-17,02-17
10303,2023-02-17 15:00:00,Itasy,Arivonimamo,2.36690072990799,2023-02-17,02-17
10413,2023-02-17 18:00:00,Itasy,Arivonimamo,0.401755964530942,2023-02-17,02-17
10523,2023-02-17 21:00:00,Itasy,Arivonimamo,0.171567106786339,2023-02-17,02-17
10633,2023-02-18 00:00:00,Itasy,Arivonimamo,0.0225670930114575,2023-02-18,02-18
10743,2023-02-18 03:00:00,Itasy,Arivonimamo,0.0044679267021517,2023-02-18,02-18
10853,2023-02-18 06:00:00,Itasy,Arivonimamo,0.0652760464504051,2023-02-18,02-18
10963,2023-02-18 09:00:00,Itasy,Arivonimamo,0.112493013687587,2023-02-18,02-18
11073,2023-02-18 12:00:00,Itasy,Arivonimamo,3.86512886672669,2023-02-18,02-18
11183,2023-02-18 15:00:00,Itasy,Arivonimamo,4.93458215437131,2023-02-18,02-18
11293,2023-02-18 18:00:00,Itasy,Arivonimamo,0.436116889472275,2023-02-18,02-18
11403,2023-02-18 21:00:00,Itasy,Arivonimamo,0.50387409319325,2023-02-18,02-18
11513,2023-02-19 00:00:00,Itasy,Arivonimamo,0.413899276770341,2023-02-19,02-19
11623,2023-02-19 03:00:00,Itasy,Arivonimamo,0.0095349200147514,2023-02-19,02-19
11733,2023-02-19 06:00:00,Itasy,Arivonimamo,0.0430749813366371,2023-02-19,02-19
11843,2023-02-19 09:00:00,Itasy,Arivonimamo,0.0908056058688089,2023-02-19,02-19
11953,2023-02-19 12:00:00,Itasy,Arivonimamo,0.0229188515959928,2023-02-19,02-19
12063,2023-02-19 15:00:00,Itasy,Arivonimamo,0.0116019321295122,2023-02-19,02-19
12173,2023-02-19 18:00:00,Itasy,Arivonimamo,0.0012207415381756,2023-02-19,02-19
12283,2023-02-19 21:00:00,Itasy,Arivonimamo,0.0025471238652244,2023-02-19,02-19
12393,2023-02-20 00:00:00,Itasy,Arivonimamo,0.0042479065790151,2023-02-20,02-20
12503,2023-02-20 03:00:00,Itasy,Arivonimamo,0.0006986153622468,2023-02-20,02-20
12613,2023-02-20 06:00:00,Itasy,Arivonimamo,5.68453300123413e-06,2023-02-20,02-20
12723,2023-02-20 09:00:00,Itasy,Arivonimamo,4.15010921036204e-06,2023-02-20,02-20
12833,2023-02-20 12:00:00,Itasy,Arivonimamo,4.61114492888252e-06,2023-02-20,02-20
12943,2023-02-20 15:00:00,Itasy,Arivonimamo,6.44728230933348e-06,2023-02-20,02-20
13053,2023-02-20 18:00:00,Itasy,Arivonimamo,0.0002141746575944,2023-02-20,02-20
13163,2023-02-20 21:00:00,Itasy,Arivonimamo,0.000140194396954,2023-02-20,02-20
13273,2023-02-21 00:00:00,Itasy,Arivonimamo,0.0030810917999285,2023-02-21,02-21
13383,2023-02-21 03:00:00,Itasy,Arivonimamo,4.7593687971433e-06,2023-02-21,02-21
13493,2023-02-21 06:00:00,Itasy,Arivonimamo,0.0911375767590168,2023-02-21,02-21
13603,2023-02-21 09:00:00,Itasy,Arivonimamo,0.273716547425526,2023-02-21,02-21
13713,2023-02-21 12:00:00,Itasy,Arivonimamo,1.61542534777351,2023-02-21,02-21
13823,2023-02-21 15:00:00,Itasy,Arivonimamo,3.41615874678052,2023-02-21,02-21
13933,2023-02-21 18:00:00,Itasy,Arivonimamo,6.92787990000021,2023-02-21,02-21
14043,2023-02-21 21:00:00,Itasy,Arivonimamo,4.70641453311546,2023-02-21,02-21
14153,2023-02-22 00:00:00,Itasy,Arivonimamo,2.6203712950383,2023-02-22,02-22
14263,2023-02-22 03:00:00,Itasy,Arivonimamo,0.53257444020904,2023-02-22,02-22
14373,2023-02-22 06:00:00,Itasy,Arivonimamo,0.285422022213849,2023-02-22,02-22
