,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
92,2023-02-06 00:00:00,Sofia,Bealanana,0.19021335080054,2023-02-06,02-06
202,2023-02-06 03:00:00,Sofia,Bealanana,0.0605770318829205,2023-02-06,02-06
312,2023-02-06 06:00:00,Sofia,Bealanana,0.373350145221463,2023-02-06,02-06
422,2023-02-06 09:00:00,Sofia,Bealanana,4.71475804876536,2023-02-06,02-06
532,2023-02-06 12:00:00,Sofia,Bealanana,7.73402274806826,2023-02-06,02-06
642,2023-02-06 15:00:00,Sofia,Bealanana,2.66241456484568,2023-02-06,02-06
752,2023-02-06 18:00:00,Sofia,Bealanana,0.396150899211144,2023-02-06,02-06
862,2023-02-06 21:00:00,Sofia,Bealanana,0.0499577112028159,2023-02-06,02-06
972,2023-02-07 00:00:00,Sofia,Bealanana,0.0024457725095479,2023-02-07,02-07
1082,2023-02-07 03:00:00,Sofia,Bealanana,0.0208312718605157,2023-02-07,02-07
1192,2023-02-07 06:00:00,Sofia,Bealanana,0.646563187566893,2023-02-07,02-07
1302,2023-02-07 09:00:00,Sofia,Bealanana,3.95880895318052,2023-02-07,02-07
1412,2023-02-07 12:00:00,Sofia,Bealanana,3.74996800229045,2023-02-07,02-07
1522,2023-02-07 15:00:00,Sofia,Bealanana,1.82139071081578,2023-02-07,02-07
1632,2023-02-07 18:00:00,Sofia,Bealanana,0.334074404728848,2023-02-07,02-07
1742,2023-02-07 21:00:00,Sofia,Bealanana,0.0760310609091123,2023-02-07,02-07
1852,2023-02-08 00:00:00,Sofia,Bealanana,0.0046504794299835,2023-02-08,02-08
1962,2023-02-08 03:00:00,Sofia,Bealanana,0.0099569563473258,2023-02-08,02-08
2072,2023-02-08 06:00:00,Sofia,Bealanana,0.176457111105265,2023-02-08,02-08
2182,2023-02-08 09:00:00,Sofia,Bealanana,1.78207766827316,2023-02-08,02-08
2292,2023-02-08 12:00:00,Sofia,Bealanana,4.44872964358884,2023-02-08,02-08
2402,2023-02-08 15:00:00,Sofia,Bealanana,1.5816003475359,2023-02-08,02-08
2512,2023-02-08 18:00:00,Sofia,Bealanana,0.383398650390778,2023-02-08,02-08
