,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
93,2023-02-06 00:00:00,Sofia,Befandriana Nord,0.201235349715908,2023-02-06,02-06
203,2023-02-06 03:00:00,Sofia,Befandriana Nord,0.0566691637275079,2023-02-06,02-06
313,2023-02-06 06:00:00,Sofia,Befandriana Nord,0.222268291127157,2023-02-06,02-06
423,2023-02-06 09:00:00,Sofia,Befandriana Nord,1.35767633257293,2023-02-06,02-06
533,2023-02-06 12:00:00,Sofia,Befandriana Nord,8.68833698460367,2023-02-06,02-06
643,2023-02-06 15:00:00,Sofia,Befandriana Nord,9.3743539973565,2023-02-06,02-06
753,2023-02-06 18:00:00,Sofia,Befandriana Nord,2.36550739126228,2023-02-06,02-06
863,2023-02-06 21:00:00,Sofia,Befandriana Nord,0.866456801326039,2023-02-06,02-06
973,2023-02-07 00:00:00,Sofia,Befandriana Nord,0.0908763233363922,2023-02-07,02-07
1083,2023-02-07 03:00:00,Sofia,Befandriana Nord,0.0428399644733872,2023-02-07,02-07
1193,2023-02-07 06:00:00,Sofia,Befandriana Nord,0.620730724247742,2023-02-07,02-07
1303,2023-02-07 09:00:00,Sofia,Befandriana Nord,3.19714963568013,2023-02-07,02-07
1413,2023-02-07 12:00:00,Sofia,Befandriana Nord,6.36021546079045,2023-02-07,02-07
1523,2023-02-07 15:00:00,Sofia,Befandriana Nord,1.80525632162493,2023-02-07,02-07
1633,2023-02-07 18:00:00,Sofia,Befandriana Nord,0.773518414726775,2023-02-07,02-07
1743,2023-02-07 21:00:00,Sofia,Befandriana Nord,0.199769092295595,2023-02-07,02-07
1853,2023-02-08 00:00:00,Sofia,Befandriana Nord,0.0220087592422619,2023-02-08,02-08
1963,2023-02-08 03:00:00,Sofia,Befandriana Nord,0.0637517969995602,2023-02-08,02-08
2073,2023-02-08 06:00:00,Sofia,Befandriana Nord,0.179847306646958,2023-02-08,02-08
2183,2023-02-08 09:00:00,Sofia,Befandriana Nord,0.831002888467322,2023-02-08,02-08
2293,2023-02-08 12:00:00,Sofia,Befandriana Nord,2.70899068577197,2023-02-08,02-08
2403,2023-02-08 15:00:00,Sofia,Befandriana Nord,0.831350102175125,2023-02-08,02-08
2513,2023-02-08 18:00:00,Sofia,Befandriana Nord,0.229233281686136,2023-02-08,02-08
2623,2023-02-08 21:00:00,Sofia,Befandriana Nord,0.130775658783693,2023-02-08,02-08
