,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
37,2023-02-06 00:00:00,Atsimo Atsinanana,Befotaka,0.189379600247291,2023-02-06,02-06
147,2023-02-06 03:00:00,Atsimo Atsinanana,Befotaka,0.164293266681489,2023-02-06,02-06
257,2023-02-06 06:00:00,Atsimo Atsinanana,Befotaka,0.356351508539713,2023-02-06,02-06
367,2023-02-06 09:00:00,Atsimo Atsinanana,Befotaka,1.35461445851834,2023-02-06,02-06
477,2023-02-06 12:00:00,Atsimo Atsinanana,Befotaka,3.0768651127272,2023-02-06,02-06
587,2023-02-06 15:00:00,Atsimo Atsinanana,Befotaka,1.26535357242101,2023-02-06,02-06
697,2023-02-06 18:00:00,Atsimo Atsinanana,Befotaka,0.78052490389091,2023-02-06,02-06
807,2023-02-06 21:00:00,Atsimo Atsinanana,Befotaka,1.32428433537716,2023-02-06,02-06
917,2023-02-07 00:00:00,Atsimo Atsinanana,Befotaka,1.23818116491505,2023-02-07,02-07
1027,2023-02-07 03:00:00,Atsimo Atsinanana,Befotaka,1.25375320805276,2023-02-07,02-07
1137,2023-02-07 06:00:00,Atsimo Atsinanana,Befotaka,0.896460753221375,2023-02-07,02-07
1247,2023-02-07 09:00:00,Atsimo Atsinanana,Befotaka,0.626704760732052,2023-02-07,02-07
1357,2023-02-07 12:00:00,Atsimo Atsinanana,Befotaka,0.302169894213633,2023-02-07,02-07
1467,2023-02-07 15:00:00,Atsimo Atsinanana,Befotaka,0.0372431839467026,2023-02-07,02-07
1577,2023-02-07 18:00:00,Atsimo Atsinanana,Befotaka,0.142705680146658,2023-02-07,02-07
1687,2023-02-07 21:00:00,Atsimo Atsinanana,Befotaka,0.248830653719294,2023-02-07,02-07
1797,2023-02-08 00:00:00,Atsimo Atsinanana,Befotaka,0.074768763188816,2023-02-08,02-08
1907,2023-02-08 03:00:00,Atsimo Atsinanana,Befotaka,0.0689201354417795,2023-02-08,02-08
2017,2023-02-08 06:00:00,Atsimo Atsinanana,Befotaka,0.27011659949009,2023-02-08,02-08
2127,2023-02-08 09:00:00,Atsimo Atsinanana,Befotaka,0.530252741321844,2023-02-08,02-08
2237,2023-02-08 12:00:00,Atsimo Atsinanana,Befotaka,0.791969704616349,2023-02-08,02-08
2347,2023-02-08 15:00:00,Atsimo Atsinanana,Befotaka,0.793633434622704,2023-02-08,02-08
2457,2023-02-08 18:00:00,Atsimo Atsinanana,Befotaka,0.709145952243125,2023-02-08,02-08
2567,2023-02-08 21:00:00,Atsimo Atsinanana,Befotaka,0.334883063445644,2023-02-08,02-08
2677,2023-02-09 00:00:00,Atsimo Atsinanana,Befotaka,0.280824017330694,2023-02-09,02-09
2787,2023-02-09 03:00:00,Atsimo Atsinanana,Befotaka,0.255451729290265,2023-02-09,02-09
2897,2023-02-09 06:00:00,Atsimo Atsinanana,Befotaka,0.277287218347192,2023-02-09,02-09
3007,2023-02-09 09:00:00,Atsimo Atsinanana,Befotaka,0.16594467854787,2023-02-09,02-09
3117,2023-02-09 12:00:00,Atsimo Atsinanana,Befotaka,0.439921820423721,2023-02-09,02-09
3227,2023-02-09 15:00:00,Atsimo Atsinanana,Befotaka,0.0811637874440445,2023-02-09,02-09
3337,2023-02-09 18:00:00,Atsimo Atsinanana,Befotaka,0.0158785248796145,2023-02-09,02-09
3447,2023-02-09 21:00:00,Atsimo Atsinanana,Befotaka,0.0105755586177111,2023-02-09,02-09
3557,2023-02-10 00:00:00,Atsimo Atsinanana,Befotaka,0.0815762287005782,2023-02-10,02-10
3667,2023-02-10 03:00:00,Atsimo Atsinanana,Befotaka,4.97912076146652e-05,2023-02-10,02-10
