,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
23,2023-02-06 00:00:00,Androy,Bekily,0.0532658426321198,2023-02-06,02-06
133,2023-02-06 03:00:00,Androy,Bekily,0.0442218823686004,2023-02-06,02-06
243,2023-02-06 06:00:00,Androy,Bekily,0.0177376056441951,2023-02-06,02-06
353,2023-02-06 09:00:00,Androy,Bekily,0.170612975519129,2023-02-06,02-06
463,2023-02-06 12:00:00,Androy,Bekily,0.739138690371684,2023-02-06,02-06
573,2023-02-06 15:00:00,Androy,Bekily,0.773913804399727,2023-02-06,02-06
683,2023-02-06 18:00:00,Androy,Bekily,0.433723620485601,2023-02-06,02-06
793,2023-02-06 21:00:00,Androy,Bekily,0.207330277234283,2023-02-06,02-06
903,2023-02-07 00:00:00,Androy,Bekily,0.0739668799418046,2023-02-07,02-07
1013,2023-02-07 03:00:00,Androy,Bekily,0.0175596164867044,2023-02-07,02-07
1123,2023-02-07 06:00:00,Androy,Bekily,0.313585235752154,2023-02-07,02-07
1233,2023-02-07 09:00:00,Androy,Bekily,0.551935788686658,2023-02-07,02-07
1343,2023-02-07 12:00:00,Androy,Bekily,0.471888283691315,2023-02-07,02-07
1453,2023-02-07 15:00:00,Androy,Bekily,0.888233100669188,2023-02-07,02-07
1563,2023-02-07 18:00:00,Androy,Bekily,0.276081103062647,2023-02-07,02-07
1673,2023-02-07 21:00:00,Androy,Bekily,0.0868397017745951,2023-02-07,02-07
1783,2023-02-08 00:00:00,Androy,Bekily,0.0215010406073118,2023-02-08,02-08
1893,2023-02-08 03:00:00,Androy,Bekily,0.0006786236393287,2023-02-08,02-08
2003,2023-02-08 06:00:00,Androy,Bekily,0.0164803701363569,2023-02-08,02-08
2113,2023-02-08 09:00:00,Androy,Bekily,0.134234899529093,2023-02-08,02-08
2223,2023-02-08 12:00:00,Androy,Bekily,2.7983735906323,2023-02-08,02-08
2333,2023-02-08 15:00:00,Androy,Bekily,7.94715882848602,2023-02-08,02-08
2443,2023-02-08 18:00:00,Androy,Bekily,3.5211020526219,2023-02-08,02-08
2553,2023-02-08 21:00:00,Androy,Bekily,0.24233493587235,2023-02-08,02-08
2663,2023-02-09 00:00:00,Androy,Bekily,0.123307060967416,2023-02-09,02-09
2773,2023-02-09 03:00:00,Androy,Bekily,0.0843938707447134,2023-02-09,02-09
2883,2023-02-09 06:00:00,Androy,Bekily,0.0672854366495686,2023-02-09,02-09
2993,2023-02-09 09:00:00,Androy,Bekily,0.0340145719860312,2023-02-09,02-09
3103,2023-02-09 12:00:00,Androy,Bekily,3.89212501685942,2023-02-09,02-09
3213,2023-02-09 15:00:00,Androy,Bekily,1.51529076945464,2023-02-09,02-09
3323,2023-02-09 18:00:00,Androy,Bekily,0.232720970015074,2023-02-09,02-09
3433,2023-02-09 21:00:00,Androy,Bekily,0.0673459446921317,2023-02-09,02-09
3543,2023-02-10 00:00:00,Androy,Bekily,0.0302868776177706,2023-02-10,02-10
3653,2023-02-10 03:00:00,Androy,Bekily,0.0103198607238334,2023-02-10,02-10
3763,2023-02-10 06:00:00,Androy,Bekily,0.0098998685188721,2023-02-10,02-10
3873,2023-02-10 09:00:00,Androy,Bekily,0.0122830662944051,2023-02-10,02-10
3983,2023-02-10 12:00:00,Androy,Bekily,0.0152654850863592,2023-02-10,02-10
4093,2023-02-10 15:00:00,Androy,Bekily,0.072775557436872,2023-02-10,02-10
4203,2023-02-10 18:00:00,Androy,Bekily,0.0076417929620135,2023-02-10,02-10
4313,2023-02-10 21:00:00,Androy,Bekily,0.0002007325190704,2023-02-10,02-10
4423,2023-02-11 00:00:00,Androy,Bekily,0.0006447212518799,2023-02-11,02-11
4533,2023-02-11 03:00:00,Androy,Bekily,4.98954444950403e-06,2023-02-11,02-11
4643,2023-02-11 06:00:00,Androy,Bekily,0.0116815286482749,2023-02-11,02-11
4753,2023-02-11 09:00:00,Androy,Bekily,0.0332687068784739,2023-02-11,02-11
4863,2023-02-11 12:00:00,Androy,Bekily,0.0447810462102034,2023-02-11,02-11
4973,2023-02-11 15:00:00,Androy,Bekily,0.0056414029000565,2023-02-11,02-11
5083,2023-02-11 18:00:00,Androy,Bekily,0.0010024800945376,2023-02-11,02-11
5193,2023-02-11 21:00:00,Androy,Bekily,4.6094240577415e-06,2023-02-11,02-11
5303,2023-02-12 00:00:00,Androy,Bekily,5.46562084711568e-06,2023-02-12,02-12
5413,2023-02-12 03:00:00,Androy,Bekily,1.54944624058729e-05,2023-02-12,02-12
5523,2023-02-12 06:00:00,Androy,Bekily,0.016565932006965,2023-02-12,02-12
5633,2023-02-12 09:00:00,Androy,Bekily,0.0101687345020256,2023-02-12,02-12
5743,2023-02-12 12:00:00,Androy,Bekily,0.0007205043396869,2023-02-12,02-12
5853,2023-02-12 15:00:00,Androy,Bekily,4.04646122005097e-06,2023-02-12,02-12
5963,2023-02-12 18:00:00,Androy,Bekily,9.56204346229517e-05,2023-02-12,02-12
6073,2023-02-12 21:00:00,Androy,Bekily,4.04920239478003e-06,2023-02-12,02-12
6183,2023-02-13 00:00:00,Androy,Bekily,5.43883990842936e-06,2023-02-13,02-13
6293,2023-02-13 03:00:00,Androy,Bekily,5.25799141330428e-06,2023-02-13,02-13
6403,2023-02-13 06:00:00,Androy,Bekily,0.0056826362378223,2023-02-13,02-13
6513,2023-02-13 09:00:00,Androy,Bekily,0.0170072012345393,2023-02-13,02-13
6623,2023-02-13 12:00:00,Androy,Bekily,0.352166242272117,2023-02-13,02-13
6733,2023-02-13 15:00:00,Androy,Bekily,0.200246132311931,2023-02-13,02-13
6843,2023-02-13 18:00:00,Androy,Bekily,0.000721511066902,2023-02-13,02-13
6953,2023-02-13 21:00:00,Androy,Bekily,0.0011743805479518,2023-02-13,02-13
7063,2023-02-14 00:00:00,Androy,Bekily,5.09084473082493e-06,2023-02-14,02-14
7173,2023-02-14 03:00:00,Androy,Bekily,5.24627272212921e-06,2023-02-14,02-14
7283,2023-02-14 06:00:00,Androy,Bekily,3.26397360389143e-05,2023-02-14,02-14
7393,2023-02-14 09:00:00,Androy,Bekily,0.0005057569955973,2023-02-14,02-14
7503,2023-02-14 12:00:00,Androy,Bekily,0.0003634390223576,2023-02-14,02-14
7613,2023-02-14 15:00:00,Androy,Bekily,0.0335859271310551,2023-02-14,02-14
7723,2023-02-14 18:00:00,Androy,Bekily,0.0017676511616987,2023-02-14,02-14
7833,2023-02-14 21:00:00,Androy,Bekily,3.23515065924026e-05,2023-02-14,02-14
