,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
81,2023-02-06 00:00:00,Menabe,Belo Sur Tsiribihina,0.146076163287302,2023-02-06,02-06
191,2023-02-06 03:00:00,Menabe,Belo Sur Tsiribihina,0.0015824013304047,2023-02-06,02-06
301,2023-02-06 06:00:00,Menabe,Belo Sur Tsiribihina,0.0330042870199951,2023-02-06,02-06
411,2023-02-06 09:00:00,Menabe,Belo Sur Tsiribihina,0.216745643207105,2023-02-06,02-06
521,2023-02-06 12:00:00,Menabe,Belo Sur Tsiribihina,2.35255985665786,2023-02-06,02-06
631,2023-02-06 15:00:00,Menabe,Belo Sur Tsiribihina,3.33107581257183,2023-02-06,02-06
741,2023-02-06 18:00:00,Menabe,Belo Sur Tsiribihina,5.09773372374441,2023-02-06,02-06
851,2023-02-06 21:00:00,Menabe,Belo Sur Tsiribihina,7.20238044129784,2023-02-06,02-06
961,2023-02-07 00:00:00,Menabe,Belo Sur Tsiribihina,4.13820986530439,2023-02-07,02-07
1071,2023-02-07 03:00:00,Menabe,Belo Sur Tsiribihina,1.04410224775561,2023-02-07,02-07
1181,2023-02-07 06:00:00,Menabe,Belo Sur Tsiribihina,0.244919940147049,2023-02-07,02-07
1291,2023-02-07 09:00:00,Menabe,Belo Sur Tsiribihina,0.652862879311536,2023-02-07,02-07
1401,2023-02-07 12:00:00,Menabe,Belo Sur Tsiribihina,4.89780949956826,2023-02-07,02-07
1511,2023-02-07 15:00:00,Menabe,Belo Sur Tsiribihina,5.53754739959721,2023-02-07,02-07
1621,2023-02-07 18:00:00,Menabe,Belo Sur Tsiribihina,4.53237635739274,2023-02-07,02-07
1731,2023-02-07 21:00:00,Menabe,Belo Sur Tsiribihina,6.1936049777886,2023-02-07,02-07
1841,2023-02-08 00:00:00,Menabe,Belo Sur Tsiribihina,1.93993342268154,2023-02-08,02-08
1951,2023-02-08 03:00:00,Menabe,Belo Sur Tsiribihina,0.25673958122292,2023-02-08,02-08
2061,2023-02-08 06:00:00,Menabe,Belo Sur Tsiribihina,0.053351757078952,2023-02-08,02-08
2171,2023-02-08 09:00:00,Menabe,Belo Sur Tsiribihina,0.0280205193300978,2023-02-08,02-08
2281,2023-02-08 12:00:00,Menabe,Belo Sur Tsiribihina,1.88617291891869,2023-02-08,02-08
2391,2023-02-08 15:00:00,Menabe,Belo Sur Tsiribihina,9.47905208678618,2023-02-08,02-08
2501,2023-02-08 18:00:00,Menabe,Belo Sur Tsiribihina,6.4174545723962,2023-02-08,02-08
2611,2023-02-08 21:00:00,Menabe,Belo Sur Tsiribihina,3.17251603072766,2023-02-08,02-08
2721,2023-02-09 00:00:00,Menabe,Belo Sur Tsiribihina,1.13840366475736,2023-02-09,02-09
2831,2023-02-09 03:00:00,Menabe,Belo Sur Tsiribihina,0.0556902419578846,2023-02-09,02-09
2941,2023-02-09 06:00:00,Menabe,Belo Sur Tsiribihina,0.145331889268538,2023-02-09,02-09
3051,2023-02-09 09:00:00,Menabe,Belo Sur Tsiribihina,0.151547345792471,2023-02-09,02-09
3161,2023-02-09 12:00:00,Menabe,Belo Sur Tsiribihina,6.99639576436568,2023-02-09,02-09
3271,2023-02-09 15:00:00,Menabe,Belo Sur Tsiribihina,10.2874601543145,2023-02-09,02-09
3381,2023-02-09 18:00:00,Menabe,Belo Sur Tsiribihina,7.82721868120322,2023-02-09,02-09
3491,2023-02-09 21:00:00,Menabe,Belo Sur Tsiribihina,3.74295126607039,2023-02-09,02-09
3601,2023-02-10 00:00:00,Menabe,Belo Sur Tsiribihina,1.34287863173556,2023-02-10,02-10
3711,2023-02-10 03:00:00,Menabe,Belo Sur Tsiribihina,0.12616765286657,2023-02-10,02-10
3821,2023-02-10 06:00:00,Menabe,Belo Sur Tsiribihina,0.0595766480948762,2023-02-10,02-10
3931,2023-02-10 09:00:00,Menabe,Belo Sur Tsiribihina,0.0267015460190391,2023-02-10,02-10
4041,2023-02-10 12:00:00,Menabe,Belo Sur Tsiribihina,0.18580159478006,2023-02-10,02-10
4151,2023-02-10 15:00:00,Menabe,Belo Sur Tsiribihina,0.0078213297657545,2023-02-10,02-10
4261,2023-02-10 18:00:00,Menabe,Belo Sur Tsiribihina,0.0864007448510486,2023-02-10,02-10
4371,2023-02-10 21:00:00,Menabe,Belo Sur Tsiribihina,0.265871316360597,2023-02-10,02-10
4481,2023-02-11 00:00:00,Menabe,Belo Sur Tsiribihina,3.33688963927767,2023-02-11,02-11
4591,2023-02-11 03:00:00,Menabe,Belo Sur Tsiribihina,2.95625409628059,2023-02-11,02-11
4701,2023-02-11 06:00:00,Menabe,Belo Sur Tsiribihina,0.696907170566299,2023-02-11,02-11
4811,2023-02-11 09:00:00,Menabe,Belo Sur Tsiribihina,0.313164501892649,2023-02-11,02-11
4921,2023-02-11 12:00:00,Menabe,Belo Sur Tsiribihina,0.637445760063094,2023-02-11,02-11
5031,2023-02-11 15:00:00,Menabe,Belo Sur Tsiribihina,0.281229381945142,2023-02-11,02-11
5141,2023-02-11 18:00:00,Menabe,Belo Sur Tsiribihina,3.17814292321632,2023-02-11,02-11
5251,2023-02-11 21:00:00,Menabe,Belo Sur Tsiribihina,1.97922881182732,2023-02-11,02-11
5361,2023-02-12 00:00:00,Menabe,Belo Sur Tsiribihina,0.228756874849376,2023-02-12,02-12
5471,2023-02-12 03:00:00,Menabe,Belo Sur Tsiribihina,0.0065499677559059,2023-02-12,02-12
5581,2023-02-12 06:00:00,Menabe,Belo Sur Tsiribihina,0.0481008655196467,2023-02-12,02-12
5691,2023-02-12 09:00:00,Menabe,Belo Sur Tsiribihina,0.231615644104964,2023-02-12,02-12
5801,2023-02-12 12:00:00,Menabe,Belo Sur Tsiribihina,1.72212558534674,2023-02-12,02-12
5911,2023-02-12 15:00:00,Menabe,Belo Sur Tsiribihina,2.39556809075122,2023-02-12,02-12
6021,2023-02-12 18:00:00,Menabe,Belo Sur Tsiribihina,1.37112327615785,2023-02-12,02-12
6131,2023-02-12 21:00:00,Menabe,Belo Sur Tsiribihina,1.8416390823969,2023-02-12,02-12
6241,2023-02-13 00:00:00,Menabe,Belo Sur Tsiribihina,1.22784571546243,2023-02-13,02-13
6351,2023-02-13 03:00:00,Menabe,Belo Sur Tsiribihina,0.208560298619833,2023-02-13,02-13
6461,2023-02-13 06:00:00,Menabe,Belo Sur Tsiribihina,0.15868614275207,2023-02-13,02-13
6571,2023-02-13 09:00:00,Menabe,Belo Sur Tsiribihina,0.382385934738148,2023-02-13,02-13
6681,2023-02-13 12:00:00,Menabe,Belo Sur Tsiribihina,0.293119297688998,2023-02-13,02-13
6791,2023-02-13 15:00:00,Menabe,Belo Sur Tsiribihina,0.155589380881044,2023-02-13,02-13
6901,2023-02-13 18:00:00,Menabe,Belo Sur Tsiribihina,0.152892094244153,2023-02-13,02-13
7011,2023-02-13 21:00:00,Menabe,Belo Sur Tsiribihina,0.601713142997195,2023-02-13,02-13
7121,2023-02-14 00:00:00,Menabe,Belo Sur Tsiribihina,0.87035351065638,2023-02-14,02-14
7231,2023-02-14 03:00:00,Menabe,Belo Sur Tsiribihina,0.244382956369116,2023-02-14,02-14
7341,2023-02-14 06:00:00,Menabe,Belo Sur Tsiribihina,0.0391322624499855,2023-02-14,02-14
7451,2023-02-14 09:00:00,Menabe,Belo Sur Tsiribihina,0.508458703209352,2023-02-14,02-14
7561,2023-02-14 12:00:00,Menabe,Belo Sur Tsiribihina,1.06093645189129,2023-02-14,02-14
7671,2023-02-14 15:00:00,Menabe,Belo Sur Tsiribihina,0.140689433111487,2023-02-14,02-14
7781,2023-02-14 18:00:00,Menabe,Belo Sur Tsiribihina,0.425468900988241,2023-02-14,02-14
7891,2023-02-14 21:00:00,Menabe,Belo Sur Tsiribihina,0.108181877714849,2023-02-14,02-14
8001,2023-02-15 00:00:00,Menabe,Belo Sur Tsiribihina,0.827881346573978,2023-02-15,02-15
8111,2023-02-15 03:00:00,Menabe,Belo Sur Tsiribihina,0.642971979230745,2023-02-15,02-15
8221,2023-02-15 06:00:00,Menabe,Belo Sur Tsiribihina,0.591336274895345,2023-02-15,02-15
8331,2023-02-15 09:00:00,Menabe,Belo Sur Tsiribihina,0.33896247702839,2023-02-15,02-15
8441,2023-02-15 12:00:00,Menabe,Belo Sur Tsiribihina,1.92562042566116,2023-02-15,02-15
8551,2023-02-15 15:00:00,Menabe,Belo Sur Tsiribihina,1.96522079600425,2023-02-15,02-15
8661,2023-02-15 18:00:00,Menabe,Belo Sur Tsiribihina,3.05867392765033,2023-02-15,02-15
8771,2023-02-15 21:00:00,Menabe,Belo Sur Tsiribihina,2.24673640365911,2023-02-15,02-15
8881,2023-02-16 00:00:00,Menabe,Belo Sur Tsiribihina,1.81225943071288,2023-02-16,02-16
8991,2023-02-16 03:00:00,Menabe,Belo Sur Tsiribihina,0.673465980892241,2023-02-16,02-16
9101,2023-02-16 06:00:00,Menabe,Belo Sur Tsiribihina,0.966904094365686,2023-02-16,02-16
9211,2023-02-16 09:00:00,Menabe,Belo Sur Tsiribihina,0.888526297958486,2023-02-16,02-16
9321,2023-02-16 12:00:00,Menabe,Belo Sur Tsiribihina,0.810989765485454,2023-02-16,02-16
9431,2023-02-16 15:00:00,Menabe,Belo Sur Tsiribihina,1.00501825809838,2023-02-16,02-16
9541,2023-02-16 18:00:00,Menabe,Belo Sur Tsiribihina,0.110965896032319,2023-02-16,02-16
9651,2023-02-16 21:00:00,Menabe,Belo Sur Tsiribihina,0.141974584119881,2023-02-16,02-16
9761,2023-02-17 00:00:00,Menabe,Belo Sur Tsiribihina,0.0160700113380752,2023-02-17,02-17
9871,2023-02-17 03:00:00,Menabe,Belo Sur Tsiribihina,0.0017089816426639,2023-02-17,02-17
9981,2023-02-17 06:00:00,Menabe,Belo Sur Tsiribihina,0.121011343541528,2023-02-17,02-17
10091,2023-02-17 09:00:00,Menabe,Belo Sur Tsiribihina,1.02872695145368,2023-02-17,02-17
10201,2023-02-17 12:00:00,Menabe,Belo Sur Tsiribihina,1.81986520386657,2023-02-17,02-17
10311,2023-02-17 15:00:00,Menabe,Belo Sur Tsiribihina,0.224890321837259,2023-02-17,02-17
10421,2023-02-17 18:00:00,Menabe,Belo Sur Tsiribihina,0.0138667435385287,2023-02-17,02-17
10531,2023-02-17 21:00:00,Menabe,Belo Sur Tsiribihina,0.002557539175648,2023-02-17,02-17
10641,2023-02-18 00:00:00,Menabe,Belo Sur Tsiribihina,0.0026180312552777,2023-02-18,02-18
