,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
24,2023-02-06 00:00:00,Androy,Beloha,0.0059694686167252,2023-02-06,02-06
134,2023-02-06 03:00:00,Androy,Beloha,5.00633226086696e-06,2023-02-06,02-06
244,2023-02-06 06:00:00,Androy,Beloha,0.0277290802332573,2023-02-06,02-06
354,2023-02-06 09:00:00,Androy,Beloha,0.16861847845139,2023-02-06,02-06
464,2023-02-06 12:00:00,Androy,Beloha,0.74113043481096,2023-02-06,02-06
574,2023-02-06 15:00:00,Androy,Beloha,0.107610704074614,2023-02-06,02-06
684,2023-02-06 18:00:00,Androy,Beloha,0.715846145529455,2023-02-06,02-06
794,2023-02-06 21:00:00,Androy,Beloha,0.0570942763860027,2023-02-06,02-06
904,2023-02-07 00:00:00,Androy,Beloha,0.0002521977798702,2023-02-07,02-07
1014,2023-02-07 03:00:00,Androy,Beloha,0.0146835234675867,2023-02-07,02-07
1124,2023-02-07 06:00:00,Androy,Beloha,0.102175356505904,2023-02-07,02-07
1234,2023-02-07 09:00:00,Androy,Beloha,0.514048366462036,2023-02-07,02-07
1344,2023-02-07 12:00:00,Androy,Beloha,0.442255837660438,2023-02-07,02-07
1454,2023-02-07 15:00:00,Androy,Beloha,2.24198236382023,2023-02-07,02-07
1564,2023-02-07 18:00:00,Androy,Beloha,0.881235982194388,2023-02-07,02-07
1674,2023-02-07 21:00:00,Androy,Beloha,0.267933253291994,2023-02-07,02-07
1784,2023-02-08 00:00:00,Androy,Beloha,0.103109109355137,2023-02-08,02-08
1894,2023-02-08 03:00:00,Androy,Beloha,0.063190811391299,2023-02-08,02-08
2004,2023-02-08 06:00:00,Androy,Beloha,0.21594340147761,2023-02-08,02-08
2114,2023-02-08 09:00:00,Androy,Beloha,0.113954302253357,2023-02-08,02-08
2224,2023-02-08 12:00:00,Androy,Beloha,2.79624358089641,2023-02-08,02-08
2334,2023-02-08 15:00:00,Androy,Beloha,3.59294130596487,2023-02-08,02-08
2444,2023-02-08 18:00:00,Androy,Beloha,0.898584589133194,2023-02-08,02-08
2554,2023-02-08 21:00:00,Androy,Beloha,0.301203379527821,2023-02-08,02-08
2664,2023-02-09 00:00:00,Androy,Beloha,0.45895448254499,2023-02-09,02-09
2774,2023-02-09 03:00:00,Androy,Beloha,0.0980733421165496,2023-02-09,02-09
