,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
30,2023-02-06 00:00:00,Atsimo Andrefana,Benenitra,0.115732996743949,2023-02-06,02-06
140,2023-02-06 03:00:00,Atsimo Andrefana,Benenitra,0.0348615442411616,2023-02-06,02-06
250,2023-02-06 06:00:00,Atsimo Andrefana,Benenitra,0.0343861407525718,2023-02-06,02-06
360,2023-02-06 09:00:00,Atsimo Andrefana,Benenitra,0.0569017278687217,2023-02-06,02-06
470,2023-02-06 12:00:00,Atsimo Andrefana,Benenitra,0.517628146138472,2023-02-06,02-06
580,2023-02-06 15:00:00,Atsimo Andrefana,Benenitra,2.0916141501795,2023-02-06,02-06
690,2023-02-06 18:00:00,Atsimo Andrefana,Benenitra,0.646809129481717,2023-02-06,02-06
800,2023-02-06 21:00:00,Atsimo Andrefana,Benenitra,0.0695055426271537,2023-02-06,02-06
910,2023-02-07 00:00:00,Atsimo Andrefana,Benenitra,0.0377077132803746,2023-02-07,02-07
1020,2023-02-07 03:00:00,Atsimo Andrefana,Benenitra,0.254260392302874,2023-02-07,02-07
1130,2023-02-07 06:00:00,Atsimo Andrefana,Benenitra,0.415138743865566,2023-02-07,02-07
1240,2023-02-07 09:00:00,Atsimo Andrefana,Benenitra,0.29847033525435,2023-02-07,02-07
1350,2023-02-07 12:00:00,Atsimo Andrefana,Benenitra,2.4741500917649,2023-02-07,02-07
1460,2023-02-07 15:00:00,Atsimo Andrefana,Benenitra,2.49471655685771,2023-02-07,02-07
1570,2023-02-07 18:00:00,Atsimo Andrefana,Benenitra,0.800993942058621,2023-02-07,02-07
1680,2023-02-07 21:00:00,Atsimo Andrefana,Benenitra,0.258661116424124,2023-02-07,02-07
1790,2023-02-08 00:00:00,Atsimo Andrefana,Benenitra,0.117735323105127,2023-02-08,02-08
1900,2023-02-08 03:00:00,Atsimo Andrefana,Benenitra,0.011996610458785,2023-02-08,02-08
2010,2023-02-08 06:00:00,Atsimo Andrefana,Benenitra,0.002519315357905,2023-02-08,02-08
