,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
31,2023-02-06 00:00:00,Atsimo Andrefana,Beroroha,0.720790667490292,2023-02-06,02-06
141,2023-02-06 03:00:00,Atsimo Andrefana,Beroroha,0.0785144458814102,2023-02-06,02-06
251,2023-02-06 06:00:00,Atsimo Andrefana,Beroroha,0.0586966925593515,2023-02-06,02-06
361,2023-02-06 09:00:00,Atsimo Andrefana,Beroroha,0.0276121372835405,2023-02-06,02-06
471,2023-02-06 12:00:00,Atsimo Andrefana,Beroroha,0.550466154174501,2023-02-06,02-06
581,2023-02-06 15:00:00,Atsimo Andrefana,Beroroha,4.59174919414363,2023-02-06,02-06
691,2023-02-06 18:00:00,Atsimo Andrefana,Beroroha,1.82283387737334,2023-02-06,02-06
801,2023-02-06 21:00:00,Atsimo Andrefana,Beroroha,0.13610834955216,2023-02-06,02-06
911,2023-02-07 00:00:00,Atsimo Andrefana,Beroroha,0.772546742197847,2023-02-07,02-07
1021,2023-02-07 03:00:00,Atsimo Andrefana,Beroroha,0.118155761771959,2023-02-07,02-07
1131,2023-02-07 06:00:00,Atsimo Andrefana,Beroroha,0.293814516050588,2023-02-07,02-07
1241,2023-02-07 09:00:00,Atsimo Andrefana,Beroroha,1.1075861379959,2023-02-07,02-07
1351,2023-02-07 12:00:00,Atsimo Andrefana,Beroroha,6.64785544931692,2023-02-07,02-07
1461,2023-02-07 15:00:00,Atsimo Andrefana,Beroroha,6.99192421576754,2023-02-07,02-07
1571,2023-02-07 18:00:00,Atsimo Andrefana,Beroroha,5.16258418888083,2023-02-07,02-07
1681,2023-02-07 21:00:00,Atsimo Andrefana,Beroroha,1.36450672394767,2023-02-07,02-07
1791,2023-02-08 00:00:00,Atsimo Andrefana,Beroroha,0.352801945102328,2023-02-08,02-08
1901,2023-02-08 03:00:00,Atsimo Andrefana,Beroroha,0.450995366865755,2023-02-08,02-08
2011,2023-02-08 06:00:00,Atsimo Andrefana,Beroroha,0.177094232211857,2023-02-08,02-08
2121,2023-02-08 09:00:00,Atsimo Andrefana,Beroroha,0.0295192552039225,2023-02-08,02-08
2231,2023-02-08 12:00:00,Atsimo Andrefana,Beroroha,0.272650540390714,2023-02-08,02-08
2341,2023-02-08 15:00:00,Atsimo Andrefana,Beroroha,4.13831620289329,2023-02-08,02-08
2451,2023-02-08 18:00:00,Atsimo Andrefana,Beroroha,2.42862320899803,2023-02-08,02-08
2561,2023-02-08 21:00:00,Atsimo Andrefana,Beroroha,0.217793962907308,2023-02-08,02-08
2671,2023-02-09 00:00:00,Atsimo Andrefana,Beroroha,0.0507732507930996,2023-02-09,02-09
2781,2023-02-09 03:00:00,Atsimo Andrefana,Beroroha,0.0333015102041827,2023-02-09,02-09
2891,2023-02-09 06:00:00,Atsimo Andrefana,Beroroha,0.0655548730719602,2023-02-09,02-09
3001,2023-02-09 09:00:00,Atsimo Andrefana,Beroroha,0.0705898693440759,2023-02-09,02-09
3111,2023-02-09 12:00:00,Atsimo Andrefana,Beroroha,2.07105650538688,2023-02-09,02-09
3221,2023-02-09 15:00:00,Atsimo Andrefana,Beroroha,7.09170358767733,2023-02-09,02-09
3331,2023-02-09 18:00:00,Atsimo Andrefana,Beroroha,4.90385104774214,2023-02-09,02-09
3441,2023-02-09 21:00:00,Atsimo Andrefana,Beroroha,1.77026933025991,2023-02-09,02-09
3551,2023-02-10 00:00:00,Atsimo Andrefana,Beroroha,1.1475337929669,2023-02-10,02-10
3661,2023-02-10 03:00:00,Atsimo Andrefana,Beroroha,0.078435122774863,2023-02-10,02-10
3771,2023-02-10 06:00:00,Atsimo Andrefana,Beroroha,0.0315132335199451,2023-02-10,02-10
3881,2023-02-10 09:00:00,Atsimo Andrefana,Beroroha,0.0127224820871561,2023-02-10,02-10
3991,2023-02-10 12:00:00,Atsimo Andrefana,Beroroha,0.068156757950419,2023-02-10,02-10
4101,2023-02-10 15:00:00,Atsimo Andrefana,Beroroha,0.0869096482065288,2023-02-10,02-10
4211,2023-02-10 18:00:00,Atsimo Andrefana,Beroroha,0.0588825046170314,2023-02-10,02-10
4321,2023-02-10 21:00:00,Atsimo Andrefana,Beroroha,0.0768598752729304,2023-02-10,02-10
4431,2023-02-11 00:00:00,Atsimo Andrefana,Beroroha,0.0801976124712382,2023-02-11,02-11
4541,2023-02-11 03:00:00,Atsimo Andrefana,Beroroha,6.51669088256312e-05,2023-02-11,02-11
4651,2023-02-11 06:00:00,Atsimo Andrefana,Beroroha,0.0159574429253553,2023-02-11,02-11
4761,2023-02-11 09:00:00,Atsimo Andrefana,Beroroha,0.055818387333602,2023-02-11,02-11
4871,2023-02-11 12:00:00,Atsimo Andrefana,Beroroha,0.112526954995701,2023-02-11,02-11
4981,2023-02-11 15:00:00,Atsimo Andrefana,Beroroha,0.700456562435647,2023-02-11,02-11
5091,2023-02-11 18:00:00,Atsimo Andrefana,Beroroha,8.26009989434442,2023-02-11,02-11
5201,2023-02-11 21:00:00,Atsimo Andrefana,Beroroha,7.27299685486287,2023-02-11,02-11
5311,2023-02-12 00:00:00,Atsimo Andrefana,Beroroha,1.35461791618764,2023-02-12,02-12
