,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
78,2023-02-06 00:00:00,Melaky,Besalampy,0.21869059493347,2023-02-06,02-06
188,2023-02-06 03:00:00,Melaky,Besalampy,0.0549332684044979,2023-02-06,02-06
298,2023-02-06 06:00:00,Melaky,Besalampy,0.0736204115024008,2023-02-06,02-06
408,2023-02-06 09:00:00,Melaky,Besalampy,0.822895604900075,2023-02-06,02-06
518,2023-02-06 12:00:00,Melaky,Besalampy,2.16476592568746,2023-02-06,02-06
628,2023-02-06 15:00:00,Melaky,Besalampy,3.81895093563707,2023-02-06,02-06
738,2023-02-06 18:00:00,Melaky,Besalampy,2.94049886803344,2023-02-06,02-06
848,2023-02-06 21:00:00,Melaky,Besalampy,1.22872226124966,2023-02-06,02-06
958,2023-02-07 00:00:00,Melaky,Besalampy,0.740550377900662,2023-02-07,02-07
1068,2023-02-07 03:00:00,Melaky,Besalampy,1.28371549833191,2023-02-07,02-07
1178,2023-02-07 06:00:00,Melaky,Besalampy,0.796999336066045,2023-02-07,02-07
1288,2023-02-07 09:00:00,Melaky,Besalampy,0.94205576747891,2023-02-07,02-07
1398,2023-02-07 12:00:00,Melaky,Besalampy,1.75488935573619,2023-02-07,02-07
1508,2023-02-07 15:00:00,Melaky,Besalampy,0.258010853137889,2023-02-07,02-07
1618,2023-02-07 18:00:00,Melaky,Besalampy,0.426203632054204,2023-02-07,02-07
1728,2023-02-07 21:00:00,Melaky,Besalampy,0.314481991532516,2023-02-07,02-07
1838,2023-02-08 00:00:00,Melaky,Besalampy,0.0401394831664291,2023-02-08,02-08
1948,2023-02-08 03:00:00,Melaky,Besalampy,0.0088915128511765,2023-02-08,02-08
2058,2023-02-08 06:00:00,Melaky,Besalampy,0.0141644530519346,2023-02-08,02-08
2168,2023-02-08 09:00:00,Melaky,Besalampy,0.165907508795358,2023-02-08,02-08
2278,2023-02-08 12:00:00,Melaky,Besalampy,2.24649560075531,2023-02-08,02-08
2388,2023-02-08 15:00:00,Melaky,Besalampy,1.52585931611982,2023-02-08,02-08
2498,2023-02-08 18:00:00,Melaky,Besalampy,1.59504144823968,2023-02-08,02-08
2608,2023-02-08 21:00:00,Melaky,Besalampy,3.66962961552357,2023-02-08,02-08
2718,2023-02-09 00:00:00,Melaky,Besalampy,1.40923822597087,2023-02-09,02-09
2828,2023-02-09 03:00:00,Melaky,Besalampy,0.123692973552484,2023-02-09,02-09
2938,2023-02-09 06:00:00,Melaky,Besalampy,0.0521178298762059,2023-02-09,02-09
3048,2023-02-09 09:00:00,Melaky,Besalampy,0.592087398182027,2023-02-09,02-09
3158,2023-02-09 12:00:00,Melaky,Besalampy,4.72009814224201,2023-02-09,02-09
3268,2023-02-09 15:00:00,Melaky,Besalampy,1.49918163657862,2023-02-09,02-09
3378,2023-02-09 18:00:00,Melaky,Besalampy,1.09340762450231,2023-02-09,02-09
3488,2023-02-09 21:00:00,Melaky,Besalampy,3.091932809997,2023-02-09,02-09
3598,2023-02-10 00:00:00,Melaky,Besalampy,0.540285628257903,2023-02-10,02-10
3708,2023-02-10 03:00:00,Melaky,Besalampy,0.0695042910373055,2023-02-10,02-10
3818,2023-02-10 06:00:00,Melaky,Besalampy,0.0181251306983064,2023-02-10,02-10
