,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
101,2023-02-06 00:00:00,Vakinankaratra,Betafo,0.394341721465545,2023-02-06,02-06
211,2023-02-06 03:00:00,Vakinankaratra,Betafo,0.220090085021885,2023-02-06,02-06
321,2023-02-06 06:00:00,Vakinankaratra,Betafo,0.326651725128093,2023-02-06,02-06
431,2023-02-06 09:00:00,Vakinankaratra,Betafo,5.77379876765855,2023-02-06,02-06
541,2023-02-06 12:00:00,Vakinankaratra,Betafo,9.53887570094417,2023-02-06,02-06
651,2023-02-06 15:00:00,Vakinankaratra,Betafo,3.67481683347973,2023-02-06,02-06
761,2023-02-06 18:00:00,Vakinankaratra,Betafo,3.75600812975816,2023-02-06,02-06
871,2023-02-06 21:00:00,Vakinankaratra,Betafo,1.04536483875709,2023-02-06,02-06
981,2023-02-07 00:00:00,Vakinankaratra,Betafo,0.602393133781983,2023-02-07,02-07
1091,2023-02-07 03:00:00,Vakinankaratra,Betafo,0.133929175918456,2023-02-07,02-07
1201,2023-02-07 06:00:00,Vakinankaratra,Betafo,0.256090467466441,2023-02-07,02-07
1311,2023-02-07 09:00:00,Vakinankaratra,Betafo,2.80335065790652,2023-02-07,02-07
1421,2023-02-07 12:00:00,Vakinankaratra,Betafo,2.90961024221698,2023-02-07,02-07
1531,2023-02-07 15:00:00,Vakinankaratra,Betafo,0.376430217116805,2023-02-07,02-07
1641,2023-02-07 18:00:00,Vakinankaratra,Betafo,0.309839459340687,2023-02-07,02-07
1751,2023-02-07 21:00:00,Vakinankaratra,Betafo,0.295162132734965,2023-02-07,02-07
1861,2023-02-08 00:00:00,Vakinankaratra,Betafo,0.0878503041258747,2023-02-08,02-08
1971,2023-02-08 03:00:00,Vakinankaratra,Betafo,0.0005045207400274,2023-02-08,02-08
2081,2023-02-08 06:00:00,Vakinankaratra,Betafo,0.0118660121557436,2023-02-08,02-08
2191,2023-02-08 09:00:00,Vakinankaratra,Betafo,0.349888728354459,2023-02-08,02-08
2301,2023-02-08 12:00:00,Vakinankaratra,Betafo,6.46959213451649,2023-02-08,02-08
2411,2023-02-08 15:00:00,Vakinankaratra,Betafo,4.97696683609725,2023-02-08,02-08
