,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
32,2023-02-06 00:00:00,Atsimo Andrefana,Betioky Atsimo,0.0003390330363929,2023-02-06,02-06
142,2023-02-06 03:00:00,Atsimo Andrefana,Betioky Atsimo,0.0017245794679703,2023-02-06,02-06
252,2023-02-06 06:00:00,Atsimo Andrefana,Betioky Atsimo,0.0069391550421382,2023-02-06,02-06
362,2023-02-06 09:00:00,Atsimo Andrefana,Betioky Atsimo,0.0500050937665427,2023-02-06,02-06
472,2023-02-06 12:00:00,Atsimo Andrefana,Betioky Atsimo,0.277780654135027,2023-02-06,02-06
582,2023-02-06 15:00:00,Atsimo Andrefana,Betioky Atsimo,0.450807377538877,2023-02-06,02-06
692,2023-02-06 18:00:00,Atsimo Andrefana,Betioky Atsimo,0.115988503857183,2023-02-06,02-06
802,2023-02-06 21:00:00,Atsimo Andrefana,Betioky Atsimo,0.0437310080077233,2023-02-06,02-06
912,2023-02-07 00:00:00,Atsimo Andrefana,Betioky Atsimo,0.002404779470193,2023-02-07,02-07
1022,2023-02-07 03:00:00,Atsimo Andrefana,Betioky Atsimo,0.167163595538919,2023-02-07,02-07
1132,2023-02-07 06:00:00,Atsimo Andrefana,Betioky Atsimo,0.592056627154151,2023-02-07,02-07
1242,2023-02-07 09:00:00,Atsimo Andrefana,Betioky Atsimo,0.408963942162726,2023-02-07,02-07
1352,2023-02-07 12:00:00,Atsimo Andrefana,Betioky Atsimo,5.30823802410824,2023-02-07,02-07
1462,2023-02-07 15:00:00,Atsimo Andrefana,Betioky Atsimo,4.88455392646886,2023-02-07,02-07
1572,2023-02-07 18:00:00,Atsimo Andrefana,Betioky Atsimo,1.48689243906743,2023-02-07,02-07
1682,2023-02-07 21:00:00,Atsimo Andrefana,Betioky Atsimo,0.369087912707723,2023-02-07,02-07
1792,2023-02-08 00:00:00,Atsimo Andrefana,Betioky Atsimo,0.190016966084451,2023-02-08,02-08
1902,2023-02-08 03:00:00,Atsimo Andrefana,Betioky Atsimo,0.0752030937974009,2023-02-08,02-08
2012,2023-02-08 06:00:00,Atsimo Andrefana,Betioky Atsimo,0.0334831793393408,2023-02-08,02-08
2122,2023-02-08 09:00:00,Atsimo Andrefana,Betioky Atsimo,0.041230158268341,2023-02-08,02-08
