,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
26,2023-02-06 00:00:00,Anosy,Betroka,0.151592229970074,2023-02-06,02-06
136,2023-02-06 03:00:00,Anosy,Betroka,0.0222811134060707,2023-02-06,02-06
246,2023-02-06 06:00:00,Anosy,Betroka,0.0414808444277055,2023-02-06,02-06
356,2023-02-06 09:00:00,Anosy,Betroka,0.176655502032324,2023-02-06,02-06
466,2023-02-06 12:00:00,Anosy,Betroka,0.514877475925996,2023-02-06,02-06
576,2023-02-06 15:00:00,Anosy,Betroka,1.28510043972084,2023-02-06,02-06
686,2023-02-06 18:00:00,Anosy,Betroka,0.961343803313717,2023-02-06,02-06
796,2023-02-06 21:00:00,Anosy,Betroka,0.546774499393145,2023-02-06,02-06
906,2023-02-07 00:00:00,Anosy,Betroka,0.207106356172666,2023-02-07,02-07
1016,2023-02-07 03:00:00,Anosy,Betroka,0.125927495073573,2023-02-07,02-07
1126,2023-02-07 06:00:00,Anosy,Betroka,0.16395733357201,2023-02-07,02-07
1236,2023-02-07 09:00:00,Anosy,Betroka,0.146528661163757,2023-02-07,02-07
1346,2023-02-07 12:00:00,Anosy,Betroka,0.171036170800331,2023-02-07,02-07
1456,2023-02-07 15:00:00,Anosy,Betroka,0.236637531064038,2023-02-07,02-07
1566,2023-02-07 18:00:00,Anosy,Betroka,0.294949089564368,2023-02-07,02-07
1676,2023-02-07 21:00:00,Anosy,Betroka,0.127345861192911,2023-02-07,02-07
1786,2023-02-08 00:00:00,Anosy,Betroka,0.0109195531103531,2023-02-08,02-08
1896,2023-02-08 03:00:00,Anosy,Betroka,0.0110111940760914,2023-02-08,02-08
2006,2023-02-08 06:00:00,Anosy,Betroka,0.0159710344403303,2023-02-08,02-08
2116,2023-02-08 09:00:00,Anosy,Betroka,0.203074260661569,2023-02-08,02-08
2226,2023-02-08 12:00:00,Anosy,Betroka,1.90297543743032,2023-02-08,02-08
2336,2023-02-08 15:00:00,Anosy,Betroka,1.42290559667019,2023-02-08,02-08
2446,2023-02-08 18:00:00,Anosy,Betroka,0.375103297948238,2023-02-08,02-08
2556,2023-02-08 21:00:00,Anosy,Betroka,0.14642141980203,2023-02-08,02-08
2666,2023-02-09 00:00:00,Anosy,Betroka,0.058867185647107,2023-02-09,02-09
2776,2023-02-09 03:00:00,Anosy,Betroka,0.0905463424722137,2023-02-09,02-09
2886,2023-02-09 06:00:00,Anosy,Betroka,0.110278302763558,2023-02-09,02-09
2996,2023-02-09 09:00:00,Anosy,Betroka,0.0471853732177224,2023-02-09,02-09
3106,2023-02-09 12:00:00,Anosy,Betroka,1.01906275337745,2023-02-09,02-09
3216,2023-02-09 15:00:00,Anosy,Betroka,0.205243860299367,2023-02-09,02-09
3326,2023-02-09 18:00:00,Anosy,Betroka,0.0438695900126925,2023-02-09,02-09
3436,2023-02-09 21:00:00,Anosy,Betroka,0.0121299457391839,2023-02-09,02-09
3546,2023-02-10 00:00:00,Anosy,Betroka,0.0047541437813722,2023-02-10,02-10
3656,2023-02-10 03:00:00,Anosy,Betroka,0.0005330914959738,2023-02-10,02-10
3766,2023-02-10 06:00:00,Anosy,Betroka,0.0012326623512561,2023-02-10,02-10
3876,2023-02-10 09:00:00,Anosy,Betroka,0.0149186126497521,2023-02-10,02-10
3986,2023-02-10 12:00:00,Anosy,Betroka,0.0461847356861251,2023-02-10,02-10
4096,2023-02-10 15:00:00,Anosy,Betroka,0.0569969733468959,2023-02-10,02-10
4206,2023-02-10 18:00:00,Anosy,Betroka,0.0118364466704451,2023-02-10,02-10
4316,2023-02-10 21:00:00,Anosy,Betroka,0.0024894652430151,2023-02-10,02-10
4426,2023-02-11 00:00:00,Anosy,Betroka,0.000800952518103,2023-02-11,02-11
4536,2023-02-11 03:00:00,Anosy,Betroka,0.0002185725430446,2023-02-11,02-11
4646,2023-02-11 06:00:00,Anosy,Betroka,0.0025148383188099,2023-02-11,02-11
4756,2023-02-11 09:00:00,Anosy,Betroka,0.0279304236149774,2023-02-11,02-11
4866,2023-02-11 12:00:00,Anosy,Betroka,0.0812064486600604,2023-02-11,02-11
