,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
43,2023-02-06 00:00:00,Atsinanana,Brickaville,1.64064628435405,2023-02-06,02-06
153,2023-02-06 03:00:00,Atsinanana,Brickaville,1.27038471978793,2023-02-06,02-06
263,2023-02-06 06:00:00,Atsinanana,Brickaville,1.45189987369919,2023-02-06,02-06
373,2023-02-06 09:00:00,Atsinanana,Brickaville,3.06698526560371,2023-02-06,02-06
483,2023-02-06 12:00:00,Atsinanana,Brickaville,2.99524756692117,2023-02-06,02-06
593,2023-02-06 15:00:00,Atsinanana,Brickaville,6.43254124916751,2023-02-06,02-06
703,2023-02-06 18:00:00,Atsinanana,Brickaville,13.4556794733232,2023-02-06,02-06
813,2023-02-06 21:00:00,Atsinanana,Brickaville,5.33197560055203,2023-02-06,02-06
923,2023-02-07 00:00:00,Atsinanana,Brickaville,1.79733150503069,2023-02-07,02-07
1033,2023-02-07 03:00:00,Atsinanana,Brickaville,0.577664095896762,2023-02-07,02-07
1143,2023-02-07 06:00:00,Atsinanana,Brickaville,1.38739237924403,2023-02-07,02-07
1253,2023-02-07 09:00:00,Atsinanana,Brickaville,1.98129071409772,2023-02-07,02-07
1363,2023-02-07 12:00:00,Atsinanana,Brickaville,1.51178135369185,2023-02-07,02-07
1473,2023-02-07 15:00:00,Atsinanana,Brickaville,0.924949337826745,2023-02-07,02-07
1583,2023-02-07 18:00:00,Atsinanana,Brickaville,1.00034597033254,2023-02-07,02-07
1693,2023-02-07 21:00:00,Atsinanana,Brickaville,2.24563961896664,2023-02-07,02-07
1803,2023-02-08 00:00:00,Atsinanana,Brickaville,0.846350499520883,2023-02-08,02-08
1913,2023-02-08 03:00:00,Atsinanana,Brickaville,0.84329379159555,2023-02-08,02-08
2023,2023-02-08 06:00:00,Atsinanana,Brickaville,1.70153760577086,2023-02-08,02-08
2133,2023-02-08 09:00:00,Atsinanana,Brickaville,3.59155516636833,2023-02-08,02-08
2243,2023-02-08 12:00:00,Atsinanana,Brickaville,2.93390131152277,2023-02-08,02-08
2353,2023-02-08 15:00:00,Atsinanana,Brickaville,2.07623507134638,2023-02-08,02-08
2463,2023-02-08 18:00:00,Atsinanana,Brickaville,2.42262902260356,2023-02-08,02-08
2573,2023-02-08 21:00:00,Atsinanana,Brickaville,2.20446632602252,2023-02-08,02-08
2683,2023-02-09 00:00:00,Atsinanana,Brickaville,1.04054475443925,2023-02-09,02-09
2793,2023-02-09 03:00:00,Atsinanana,Brickaville,0.682556283459152,2023-02-09,02-09
