,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
7,2023-02-06 00:00:00,Amoron I Mania,Fandriana,0.206388523884877,2023-02-06,02-06
117,2023-02-06 03:00:00,Amoron I Mania,Fandriana,0.170657540787943,2023-02-06,02-06
227,2023-02-06 06:00:00,Amoron I Mania,Fandriana,1.32417317959603,2023-02-06,02-06
337,2023-02-06 09:00:00,Amoron I Mania,Fandriana,2.08729733854508,2023-02-06,02-06
447,2023-02-06 12:00:00,Amoron I Mania,Fandriana,5.02822452436177,2023-02-06,02-06
557,2023-02-06 15:00:00,Amoron I Mania,Fandriana,2.21705690674839,2023-02-06,02-06
667,2023-02-06 18:00:00,Amoron I Mania,Fandriana,0.692900908473683,2023-02-06,02-06
777,2023-02-06 21:00:00,Amoron I Mania,Fandriana,1.00082221440358,2023-02-06,02-06
887,2023-02-07 00:00:00,Amoron I Mania,Fandriana,1.13997508730053,2023-02-07,02-07
997,2023-02-07 03:00:00,Amoron I Mania,Fandriana,0.590105937940902,2023-02-07,02-07
1107,2023-02-07 06:00:00,Amoron I Mania,Fandriana,0.26719405368816,2023-02-07,02-07
1217,2023-02-07 09:00:00,Amoron I Mania,Fandriana,0.490818210589503,2023-02-07,02-07
1327,2023-02-07 12:00:00,Amoron I Mania,Fandriana,1.25293241413065,2023-02-07,02-07
1437,2023-02-07 15:00:00,Amoron I Mania,Fandriana,0.368756746937594,2023-02-07,02-07
1547,2023-02-07 18:00:00,Amoron I Mania,Fandriana,0.252120568545682,2023-02-07,02-07
1657,2023-02-07 21:00:00,Amoron I Mania,Fandriana,0.0327807514603544,2023-02-07,02-07
1767,2023-02-08 00:00:00,Amoron I Mania,Fandriana,0.126036676152389,2023-02-08,02-08
1877,2023-02-08 03:00:00,Amoron I Mania,Fandriana,0.0182273411283907,2023-02-08,02-08
1987,2023-02-08 06:00:00,Amoron I Mania,Fandriana,0.0805014372637839,2023-02-08,02-08
2097,2023-02-08 09:00:00,Amoron I Mania,Fandriana,0.165045554712905,2023-02-08,02-08
2207,2023-02-08 12:00:00,Amoron I Mania,Fandriana,0.948061704601921,2023-02-08,02-08
2317,2023-02-08 15:00:00,Amoron I Mania,Fandriana,0.311874385953783,2023-02-08,02-08
2427,2023-02-08 18:00:00,Amoron I Mania,Fandriana,0.219872269960194,2023-02-08,02-08
2537,2023-02-08 21:00:00,Amoron I Mania,Fandriana,0.0958326140381886,2023-02-08,02-08
2647,2023-02-09 00:00:00,Amoron I Mania,Fandriana,0.116855866649482,2023-02-09,02-09
2757,2023-02-09 03:00:00,Amoron I Mania,Fandriana,0.128829260218864,2023-02-09,02-09
2867,2023-02-09 06:00:00,Amoron I Mania,Fandriana,0.284928886881588,2023-02-09,02-09
2977,2023-02-09 09:00:00,Amoron I Mania,Fandriana,0.445047840543434,2023-02-09,02-09
3087,2023-02-09 12:00:00,Amoron I Mania,Fandriana,0.599988108065813,2023-02-09,02-09
3197,2023-02-09 15:00:00,Amoron I Mania,Fandriana,0.254983196883634,2023-02-09,02-09
3307,2023-02-09 18:00:00,Amoron I Mania,Fandriana,0.135464899992497,2023-02-09,02-09
3417,2023-02-09 21:00:00,Amoron I Mania,Fandriana,0.020620323984124,2023-02-09,02-09
3527,2023-02-10 00:00:00,Amoron I Mania,Fandriana,5.20242610946298e-06,2023-02-10,02-10
3637,2023-02-10 03:00:00,Amoron I Mania,Fandriana,0.0886118203879481,2023-02-10,02-10
3747,2023-02-10 06:00:00,Amoron I Mania,Fandriana,0.0003143449614167,2023-02-10,02-10
3857,2023-02-10 09:00:00,Amoron I Mania,Fandriana,0.0025998848018628,2023-02-10,02-10
3967,2023-02-10 12:00:00,Amoron I Mania,Fandriana,5.09969265151181e-06,2023-02-10,02-10
4077,2023-02-10 15:00:00,Amoron I Mania,Fandriana,0.0060873199836351,2023-02-10,02-10
4187,2023-02-10 18:00:00,Amoron I Mania,Fandriana,0.0460419953298314,2023-02-10,02-10
4297,2023-02-10 21:00:00,Amoron I Mania,Fandriana,0.0378307881428076,2023-02-10,02-10
4407,2023-02-11 00:00:00,Amoron I Mania,Fandriana,0.0002434058696962,2023-02-11,02-11
4517,2023-02-11 03:00:00,Amoron I Mania,Fandriana,4.4976079248284e-06,2023-02-11,02-11
4627,2023-02-11 06:00:00,Amoron I Mania,Fandriana,0.0014000305611836,2023-02-11,02-11
4737,2023-02-11 09:00:00,Amoron I Mania,Fandriana,0.0262420888144621,2023-02-11,02-11
4847,2023-02-11 12:00:00,Amoron I Mania,Fandriana,0.150322560092287,2023-02-11,02-11
4957,2023-02-11 15:00:00,Amoron I Mania,Fandriana,0.467870179453473,2023-02-11,02-11
5067,2023-02-11 18:00:00,Amoron I Mania,Fandriana,0.161296625269307,2023-02-11,02-11
5177,2023-02-11 21:00:00,Amoron I Mania,Fandriana,0.0079975887262997,2023-02-11,02-11
5287,2023-02-12 00:00:00,Amoron I Mania,Fandriana,0.0001643973182102,2023-02-12,02-12
5397,2023-02-12 03:00:00,Amoron I Mania,Fandriana,4.0532598320983e-06,2023-02-12,02-12
5507,2023-02-12 06:00:00,Amoron I Mania,Fandriana,2.81454627647212e-05,2023-02-12,02-12
5617,2023-02-12 09:00:00,Amoron I Mania,Fandriana,5.3088480949794e-06,2023-02-12,02-12
5727,2023-02-12 12:00:00,Amoron I Mania,Fandriana,0.0032349609996584,2023-02-12,02-12
5837,2023-02-12 15:00:00,Amoron I Mania,Fandriana,0.014120168469258,2023-02-12,02-12
5947,2023-02-12 18:00:00,Amoron I Mania,Fandriana,0.032433825872814,2023-02-12,02-12
6057,2023-02-12 21:00:00,Amoron I Mania,Fandriana,0.0043827374159407,2023-02-12,02-12
6167,2023-02-13 00:00:00,Amoron I Mania,Fandriana,4.86205528049093e-06,2023-02-13,02-13
6277,2023-02-13 03:00:00,Amoron I Mania,Fandriana,0.0006111609982326,2023-02-13,02-13
6387,2023-02-13 06:00:00,Amoron I Mania,Fandriana,0.0019745574651384,2023-02-13,02-13
6497,2023-02-13 09:00:00,Amoron I Mania,Fandriana,0.0065498022197157,2023-02-13,02-13
6607,2023-02-13 12:00:00,Amoron I Mania,Fandriana,0.0680549944701948,2023-02-13,02-13
6717,2023-02-13 15:00:00,Amoron I Mania,Fandriana,0.0662309012228721,2023-02-13,02-13
6827,2023-02-13 18:00:00,Amoron I Mania,Fandriana,0.0581938344832069,2023-02-13,02-13
6937,2023-02-13 21:00:00,Amoron I Mania,Fandriana,0.0255735581036118,2023-02-13,02-13
7047,2023-02-14 00:00:00,Amoron I Mania,Fandriana,0.0016216206744215,2023-02-14,02-14
7157,2023-02-14 03:00:00,Amoron I Mania,Fandriana,0.0007263781092325,2023-02-14,02-14
7267,2023-02-14 06:00:00,Amoron I Mania,Fandriana,0.0328086804212561,2023-02-14,02-14
7377,2023-02-14 09:00:00,Amoron I Mania,Fandriana,0.157457327411976,2023-02-14,02-14
7487,2023-02-14 12:00:00,Amoron I Mania,Fandriana,0.408329562982544,2023-02-14,02-14
7597,2023-02-14 15:00:00,Amoron I Mania,Fandriana,0.0652605827107388,2023-02-14,02-14
7707,2023-02-14 18:00:00,Amoron I Mania,Fandriana,0.0407560603190704,2023-02-14,02-14
7817,2023-02-14 21:00:00,Amoron I Mania,Fandriana,0.0083141416299009,2023-02-14,02-14
7927,2023-02-15 00:00:00,Amoron I Mania,Fandriana,4.89300031116919e-06,2023-02-15,02-15
8037,2023-02-15 03:00:00,Amoron I Mania,Fandriana,9.66166967133942e-05,2023-02-15,02-15
8147,2023-02-15 06:00:00,Amoron I Mania,Fandriana,0.0040065170645615,2023-02-15,02-15
8257,2023-02-15 09:00:00,Amoron I Mania,Fandriana,0.0565731752063393,2023-02-15,02-15
8367,2023-02-15 12:00:00,Amoron I Mania,Fandriana,0.256168906344101,2023-02-15,02-15
8477,2023-02-15 15:00:00,Amoron I Mania,Fandriana,1.45307828075142,2023-02-15,02-15
8587,2023-02-15 18:00:00,Amoron I Mania,Fandriana,0.223406076786647,2023-02-15,02-15
8697,2023-02-15 21:00:00,Amoron I Mania,Fandriana,0.0253272994948355,2023-02-15,02-15
8807,2023-02-16 00:00:00,Amoron I Mania,Fandriana,0.0522319335355668,2023-02-16,02-16
8917,2023-02-16 03:00:00,Amoron I Mania,Fandriana,0.0718029152424271,2023-02-16,02-16
9027,2023-02-16 06:00:00,Amoron I Mania,Fandriana,0.638932685049153,2023-02-16,02-16
9137,2023-02-16 09:00:00,Amoron I Mania,Fandriana,3.40425117652692,2023-02-16,02-16
