,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
38,2023-02-06 00:00:00,Atsimo Atsinanana,Farafangana,1.06234243264529,2023-02-06,02-06
148,2023-02-06 03:00:00,Atsimo Atsinanana,Farafangana,1.10798514488852,2023-02-06,02-06
258,2023-02-06 06:00:00,Atsimo Atsinanana,Farafangana,3.86696661271465,2023-02-06,02-06
368,2023-02-06 09:00:00,Atsimo Atsinanana,Farafangana,4.99865579392645,2023-02-06,02-06
478,2023-02-06 12:00:00,Atsimo Atsinanana,Farafangana,8.4323149557919,2023-02-06,02-06
588,2023-02-06 15:00:00,Atsimo Atsinanana,Farafangana,9.05791303020184,2023-02-06,02-06
698,2023-02-06 18:00:00,Atsimo Atsinanana,Farafangana,6.77030148788132,2023-02-06,02-06
808,2023-02-06 21:00:00,Atsimo Atsinanana,Farafangana,3.61253815145756,2023-02-06,02-06
918,2023-02-07 00:00:00,Atsimo Atsinanana,Farafangana,5.77561175941325,2023-02-07,02-07
1028,2023-02-07 03:00:00,Atsimo Atsinanana,Farafangana,4.7046989934291,2023-02-07,02-07
1138,2023-02-07 06:00:00,Atsimo Atsinanana,Farafangana,2.8736195077848,2023-02-07,02-07
1248,2023-02-07 09:00:00,Atsimo Atsinanana,Farafangana,1.4192614586791,2023-02-07,02-07
1358,2023-02-07 12:00:00,Atsimo Atsinanana,Farafangana,1.07256448785968,2023-02-07,02-07
1468,2023-02-07 15:00:00,Atsimo Atsinanana,Farafangana,0.914464080977874,2023-02-07,02-07
1578,2023-02-07 18:00:00,Atsimo Atsinanana,Farafangana,1.76241800540447,2023-02-07,02-07
1688,2023-02-07 21:00:00,Atsimo Atsinanana,Farafangana,3.60625908903845,2023-02-07,02-07
1798,2023-02-08 00:00:00,Atsimo Atsinanana,Farafangana,0.512792712865727,2023-02-08,02-08
1908,2023-02-08 03:00:00,Atsimo Atsinanana,Farafangana,0.631564764298673,2023-02-08,02-08
2018,2023-02-08 06:00:00,Atsimo Atsinanana,Farafangana,1.57262152742381,2023-02-08,02-08
2128,2023-02-08 09:00:00,Atsimo Atsinanana,Farafangana,1.55907619229887,2023-02-08,02-08
2238,2023-02-08 12:00:00,Atsimo Atsinanana,Farafangana,2.15489098935116,2023-02-08,02-08
2348,2023-02-08 15:00:00,Atsimo Atsinanana,Farafangana,2.28809066738177,2023-02-08,02-08
2458,2023-02-08 18:00:00,Atsimo Atsinanana,Farafangana,2.24607588120125,2023-02-08,02-08
2568,2023-02-08 21:00:00,Atsimo Atsinanana,Farafangana,2.67749330269726,2023-02-08,02-08
2678,2023-02-09 00:00:00,Atsimo Atsinanana,Farafangana,2.38474342707438,2023-02-09,02-09
2788,2023-02-09 03:00:00,Atsimo Atsinanana,Farafangana,0.805354007563437,2023-02-09,02-09
2898,2023-02-09 06:00:00,Atsimo Atsinanana,Farafangana,0.734307882291129,2023-02-09,02-09
3008,2023-02-09 09:00:00,Atsimo Atsinanana,Farafangana,0.626923385874155,2023-02-09,02-09
3118,2023-02-09 12:00:00,Atsimo Atsinanana,Farafangana,0.469360599160912,2023-02-09,02-09
3228,2023-02-09 15:00:00,Atsimo Atsinanana,Farafangana,0.0366705209162319,2023-02-09,02-09
3338,2023-02-09 18:00:00,Atsimo Atsinanana,Farafangana,0.257662547000412,2023-02-09,02-09
3448,2023-02-09 21:00:00,Atsimo Atsinanana,Farafangana,0.131433110465878,2023-02-09,02-09
3558,2023-02-10 00:00:00,Atsimo Atsinanana,Farafangana,0.03649729424554,2023-02-10,02-10
3668,2023-02-10 03:00:00,Atsimo Atsinanana,Farafangana,0.0630537388060475,2023-02-10,02-10
3778,2023-02-10 06:00:00,Atsimo Atsinanana,Farafangana,0.0595740587474817,2023-02-10,02-10
3888,2023-02-10 09:00:00,Atsimo Atsinanana,Farafangana,0.0409908107661371,2023-02-10,02-10
3998,2023-02-10 12:00:00,Atsimo Atsinanana,Farafangana,0.0246779833638963,2023-02-10,02-10
4108,2023-02-10 15:00:00,Atsimo Atsinanana,Farafangana,0.0010234951769234,2023-02-10,02-10
4218,2023-02-10 18:00:00,Atsimo Atsinanana,Farafangana,0.0098168218246428,2023-02-10,02-10
4328,2023-02-10 21:00:00,Atsimo Atsinanana,Farafangana,0.0309669901350086,2023-02-10,02-10
4438,2023-02-11 00:00:00,Atsimo Atsinanana,Farafangana,0.0312301060403115,2023-02-11,02-11
4548,2023-02-11 03:00:00,Atsimo Atsinanana,Farafangana,0.0475531960012934,2023-02-11,02-11
4658,2023-02-11 06:00:00,Atsimo Atsinanana,Farafangana,0.0276007091112357,2023-02-11,02-11
4768,2023-02-11 09:00:00,Atsimo Atsinanana,Farafangana,0.0206361538463777,2023-02-11,02-11
4878,2023-02-11 12:00:00,Atsimo Atsinanana,Farafangana,0.0060295173461781,2023-02-11,02-11
4988,2023-02-11 15:00:00,Atsimo Atsinanana,Farafangana,0.0060973791599584,2023-02-11,02-11
