,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
102,2023-02-06 00:00:00,Vakinankaratra,Faratsiho,0.376678525542101,2023-02-06,02-06
212,2023-02-06 03:00:00,Vakinankaratra,Faratsiho,0.1889618658221,2023-02-06,02-06
322,2023-02-06 06:00:00,Vakinankaratra,Faratsiho,0.395294818585492,2023-02-06,02-06
432,2023-02-06 09:00:00,Vakinankaratra,Faratsiho,3.0393015373505,2023-02-06,02-06
542,2023-02-06 12:00:00,Vakinankaratra,Faratsiho,5.42105391061427,2023-02-06,02-06
652,2023-02-06 15:00:00,Vakinankaratra,Faratsiho,8.06235288911472,2023-02-06,02-06
762,2023-02-06 18:00:00,Vakinankaratra,Faratsiho,1.93545358055203,2023-02-06,02-06
872,2023-02-06 21:00:00,Vakinankaratra,Faratsiho,0.361973639841274,2023-02-06,02-06
982,2023-02-07 00:00:00,Vakinankaratra,Faratsiho,0.210950383156374,2023-02-07,02-07
1092,2023-02-07 03:00:00,Vakinankaratra,Faratsiho,0.292827938727843,2023-02-07,02-07
1202,2023-02-07 06:00:00,Vakinankaratra,Faratsiho,0.155698294583571,2023-02-07,02-07
1312,2023-02-07 09:00:00,Vakinankaratra,Faratsiho,0.172810925143387,2023-02-07,02-07
1422,2023-02-07 12:00:00,Vakinankaratra,Faratsiho,0.206642612790935,2023-02-07,02-07
1532,2023-02-07 15:00:00,Vakinankaratra,Faratsiho,0.179030592625221,2023-02-07,02-07
1642,2023-02-07 18:00:00,Vakinankaratra,Faratsiho,0.305705859503873,2023-02-07,02-07
1752,2023-02-07 21:00:00,Vakinankaratra,Faratsiho,0.10891352002235,2023-02-07,02-07
1862,2023-02-08 00:00:00,Vakinankaratra,Faratsiho,0.251413325587397,2023-02-08,02-08
1972,2023-02-08 03:00:00,Vakinankaratra,Faratsiho,0.0035766254843431,2023-02-08,02-08
2082,2023-02-08 06:00:00,Vakinankaratra,Faratsiho,0.0380158708465066,2023-02-08,02-08
2192,2023-02-08 09:00:00,Vakinankaratra,Faratsiho,1.55979214951067,2023-02-08,02-08
2302,2023-02-08 12:00:00,Vakinankaratra,Faratsiho,4.65014715840602,2023-02-08,02-08
2412,2023-02-08 15:00:00,Vakinankaratra,Faratsiho,0.664598382143167,2023-02-08,02-08
2522,2023-02-08 18:00:00,Vakinankaratra,Faratsiho,0.214932335420813,2023-02-08,02-08
2632,2023-02-08 21:00:00,Vakinankaratra,Faratsiho,0.117149061290547,2023-02-08,02-08
2742,2023-02-09 00:00:00,Vakinankaratra,Faratsiho,0.0199853461989037,2023-02-09,02-09
2852,2023-02-09 03:00:00,Vakinankaratra,Faratsiho,0.0084308864829568,2023-02-09,02-09
2962,2023-02-09 06:00:00,Vakinankaratra,Faratsiho,0.0497278272934422,2023-02-09,02-09
3072,2023-02-09 09:00:00,Vakinankaratra,Faratsiho,0.319818500970381,2023-02-09,02-09
3182,2023-02-09 12:00:00,Vakinankaratra,Faratsiho,2.60328917025917,2023-02-09,02-09
3292,2023-02-09 15:00:00,Vakinankaratra,Faratsiho,0.449966778033687,2023-02-09,02-09
3402,2023-02-09 18:00:00,Vakinankaratra,Faratsiho,0.135976799821947,2023-02-09,02-09
3512,2023-02-09 21:00:00,Vakinankaratra,Faratsiho,0.221114456431036,2023-02-09,02-09
3622,2023-02-10 00:00:00,Vakinankaratra,Faratsiho,0.193142739758032,2023-02-10,02-10
3732,2023-02-10 03:00:00,Vakinankaratra,Faratsiho,0.151841010045781,2023-02-10,02-10
3842,2023-02-10 06:00:00,Vakinankaratra,Faratsiho,0.0035316603436299,2023-02-10,02-10
3952,2023-02-10 09:00:00,Vakinankaratra,Faratsiho,0.0248492407811093,2023-02-10,02-10
4062,2023-02-10 12:00:00,Vakinankaratra,Faratsiho,1.13936719588716,2023-02-10,02-10
4172,2023-02-10 15:00:00,Vakinankaratra,Faratsiho,1.33283917186439,2023-02-10,02-10
4282,2023-02-10 18:00:00,Vakinankaratra,Faratsiho,0.0503977768650443,2023-02-10,02-10
4392,2023-02-10 21:00:00,Vakinankaratra,Faratsiho,0.0366924417663968,2023-02-10,02-10
4502,2023-02-11 00:00:00,Vakinankaratra,Faratsiho,4.31522836579996e-06,2023-02-11,02-11
4612,2023-02-11 03:00:00,Vakinankaratra,Faratsiho,4.20198022552273e-06,2023-02-11,02-11
4722,2023-02-11 06:00:00,Vakinankaratra,Faratsiho,0.010761882421588,2023-02-11,02-11
4832,2023-02-11 09:00:00,Vakinankaratra,Faratsiho,0.0479499726652113,2023-02-11,02-11
4942,2023-02-11 12:00:00,Vakinankaratra,Faratsiho,0.353775555743863,2023-02-11,02-11
5052,2023-02-11 15:00:00,Vakinankaratra,Faratsiho,0.184002656116397,2023-02-11,02-11
5162,2023-02-11 18:00:00,Vakinankaratra,Faratsiho,0.197141943862388,2023-02-11,02-11
5272,2023-02-11 21:00:00,Vakinankaratra,Faratsiho,0.0377428329392227,2023-02-11,02-11
5382,2023-02-12 00:00:00,Vakinankaratra,Faratsiho,0.0026795515235896,2023-02-12,02-12
5492,2023-02-12 03:00:00,Vakinankaratra,Faratsiho,5.768913337413e-06,2023-02-12,02-12
5602,2023-02-12 06:00:00,Vakinankaratra,Faratsiho,4.2682171196622e-06,2023-02-12,02-12
5712,2023-02-12 09:00:00,Vakinankaratra,Faratsiho,0.0006906269597547,2023-02-12,02-12
5822,2023-02-12 12:00:00,Vakinankaratra,Faratsiho,0.0202412798021482,2023-02-12,02-12
5932,2023-02-12 15:00:00,Vakinankaratra,Faratsiho,0.0717334677636459,2023-02-12,02-12
6042,2023-02-12 18:00:00,Vakinankaratra,Faratsiho,0.0418739394757294,2023-02-12,02-12
6152,2023-02-12 21:00:00,Vakinankaratra,Faratsiho,0.0030714785611695,2023-02-12,02-12
6262,2023-02-13 00:00:00,Vakinankaratra,Faratsiho,0.0004076623796101,2023-02-13,02-13
6372,2023-02-13 03:00:00,Vakinankaratra,Faratsiho,1.87372412149082e-05,2023-02-13,02-13
6482,2023-02-13 06:00:00,Vakinankaratra,Faratsiho,0.0153816415455795,2023-02-13,02-13
6592,2023-02-13 09:00:00,Vakinankaratra,Faratsiho,0.0102225471568732,2023-02-13,02-13
6702,2023-02-13 12:00:00,Vakinankaratra,Faratsiho,0.0064632398322882,2023-02-13,02-13
6812,2023-02-13 15:00:00,Vakinankaratra,Faratsiho,0.0538299552589545,2023-02-13,02-13
6922,2023-02-13 18:00:00,Vakinankaratra,Faratsiho,0.293856010827071,2023-02-13,02-13
7032,2023-02-13 21:00:00,Vakinankaratra,Faratsiho,0.0277803571388016,2023-02-13,02-13
7142,2023-02-14 00:00:00,Vakinankaratra,Faratsiho,0.0031643646310412,2023-02-14,02-14
7252,2023-02-14 03:00:00,Vakinankaratra,Faratsiho,1.85993130264037e-05,2023-02-14,02-14
7362,2023-02-14 06:00:00,Vakinankaratra,Faratsiho,0.0060077376170631,2023-02-14,02-14
7472,2023-02-14 09:00:00,Vakinankaratra,Faratsiho,0.10245024994947,2023-02-14,02-14
7582,2023-02-14 12:00:00,Vakinankaratra,Faratsiho,0.904419565210393,2023-02-14,02-14
7692,2023-02-14 15:00:00,Vakinankaratra,Faratsiho,3.60290046976126,2023-02-14,02-14
7802,2023-02-14 18:00:00,Vakinankaratra,Faratsiho,0.335991891145514,2023-02-14,02-14
7912,2023-02-14 21:00:00,Vakinankaratra,Faratsiho,0.0486210149589597,2023-02-14,02-14
8022,2023-02-15 00:00:00,Vakinankaratra,Faratsiho,0.0101757707649513,2023-02-15,02-15
8132,2023-02-15 03:00:00,Vakinankaratra,Faratsiho,7.09528343149406e-05,2023-02-15,02-15
8242,2023-02-15 06:00:00,Vakinankaratra,Faratsiho,0.160790418576011,2023-02-15,02-15
8352,2023-02-15 09:00:00,Vakinankaratra,Faratsiho,0.797199393009685,2023-02-15,02-15
8462,2023-02-15 12:00:00,Vakinankaratra,Faratsiho,6.71854565804482,2023-02-15,02-15
8572,2023-02-15 15:00:00,Vakinankaratra,Faratsiho,2.19729071449461,2023-02-15,02-15
8682,2023-02-15 18:00:00,Vakinankaratra,Faratsiho,0.239493209721438,2023-02-15,02-15
8792,2023-02-15 21:00:00,Vakinankaratra,Faratsiho,0.0812196781215094,2023-02-15,02-15
8902,2023-02-16 00:00:00,Vakinankaratra,Faratsiho,0.0192923278253361,2023-02-16,02-16
9012,2023-02-16 03:00:00,Vakinankaratra,Faratsiho,0.028277382008074,2023-02-16,02-16
9122,2023-02-16 06:00:00,Vakinankaratra,Faratsiho,0.423902748464196,2023-02-16,02-16
9232,2023-02-16 09:00:00,Vakinankaratra,Faratsiho,5.34765789800611,2023-02-16,02-16
9342,2023-02-16 12:00:00,Vakinankaratra,Faratsiho,7.54649062114699,2023-02-16,02-16
9452,2023-02-16 15:00:00,Vakinankaratra,Faratsiho,7.97064268971821,2023-02-16,02-16
9562,2023-02-16 18:00:00,Vakinankaratra,Faratsiho,6.87716452117242,2023-02-16,02-16
9672,2023-02-16 21:00:00,Vakinankaratra,Faratsiho,1.75831344043699,2023-02-16,02-16
9782,2023-02-17 00:00:00,Vakinankaratra,Faratsiho,0.618938218312585,2023-02-17,02-17
9892,2023-02-17 03:00:00,Vakinankaratra,Faratsiho,0.0582398274119067,2023-02-17,02-17
10002,2023-02-17 06:00:00,Vakinankaratra,Faratsiho,0.132390605073477,2023-02-17,02-17
10112,2023-02-17 09:00:00,Vakinankaratra,Faratsiho,0.950882158543476,2023-02-17,02-17
10222,2023-02-17 12:00:00,Vakinankaratra,Faratsiho,2.4175555985284,2023-02-17,02-17
10332,2023-02-17 15:00:00,Vakinankaratra,Faratsiho,1.09166154092493,2023-02-17,02-17
10442,2023-02-17 18:00:00,Vakinankaratra,Faratsiho,0.0863277273807291,2023-02-17,02-17
10552,2023-02-17 21:00:00,Vakinankaratra,Faratsiho,0.0249784522422808,2023-02-17,02-17
10662,2023-02-18 00:00:00,Vakinankaratra,Faratsiho,0.005978524674634,2023-02-18,02-18
10772,2023-02-18 03:00:00,Vakinankaratra,Faratsiho,0.0005578002447317,2023-02-18,02-18
10882,2023-02-18 06:00:00,Vakinankaratra,Faratsiho,0.0652367466416977,2023-02-18,02-18
10992,2023-02-18 09:00:00,Vakinankaratra,Faratsiho,0.258780741235515,2023-02-18,02-18
11102,2023-02-18 12:00:00,Vakinankaratra,Faratsiho,0.277585811115226,2023-02-18,02-18
11212,2023-02-18 15:00:00,Vakinankaratra,Faratsiho,2.40518346125507,2023-02-18,02-18
11322,2023-02-18 18:00:00,Vakinankaratra,Faratsiho,1.05500654722838,2023-02-18,02-18
11432,2023-02-18 21:00:00,Vakinankaratra,Faratsiho,5.90459783965215,2023-02-18,02-18
11542,2023-02-19 00:00:00,Vakinankaratra,Faratsiho,0.795149251876865,2023-02-19,02-19
11652,2023-02-19 03:00:00,Vakinankaratra,Faratsiho,0.164624186246382,2023-02-19,02-19
11762,2023-02-19 06:00:00,Vakinankaratra,Faratsiho,0.148571754141492,2023-02-19,02-19
11872,2023-02-19 09:00:00,Vakinankaratra,Faratsiho,0.650111782025573,2023-02-19,02-19
11982,2023-02-19 12:00:00,Vakinankaratra,Faratsiho,2.92192617795594,2023-02-19,02-19
12092,2023-02-19 15:00:00,Vakinankaratra,Faratsiho,0.104605457382551,2023-02-19,02-19
12202,2023-02-19 18:00:00,Vakinankaratra,Faratsiho,0.0153492977363331,2023-02-19,02-19
12312,2023-02-19 21:00:00,Vakinankaratra,Faratsiho,0.001798419322928,2023-02-19,02-19
12422,2023-02-20 00:00:00,Vakinankaratra,Faratsiho,0.0040127164513037,2023-02-20,02-20
12532,2023-02-20 03:00:00,Vakinankaratra,Faratsiho,0.018369225829648,2023-02-20,02-20
12642,2023-02-20 06:00:00,Vakinankaratra,Faratsiho,0.0209895989357713,2023-02-20,02-20
12752,2023-02-20 09:00:00,Vakinankaratra,Faratsiho,0.0552777119275347,2023-02-20,02-20
12862,2023-02-20 12:00:00,Vakinankaratra,Faratsiho,0.0485346424633034,2023-02-20,02-20
12972,2023-02-20 15:00:00,Vakinankaratra,Faratsiho,0.0307225666097913,2023-02-20,02-20
13082,2023-02-20 18:00:00,Vakinankaratra,Faratsiho,0.0310459783650003,2023-02-20,02-20
13192,2023-02-20 21:00:00,Vakinankaratra,Faratsiho,0.0025548085618271,2023-02-20,02-20
13302,2023-02-21 00:00:00,Vakinankaratra,Faratsiho,0.0034323997713406,2023-02-21,02-21
13412,2023-02-21 03:00:00,Vakinankaratra,Faratsiho,0.0183393909623299,2023-02-21,02-21
13522,2023-02-21 06:00:00,Vakinankaratra,Faratsiho,0.0130662002655513,2023-02-21,02-21
13632,2023-02-21 09:00:00,Vakinankaratra,Faratsiho,0.064004099688164,2023-02-21,02-21
13742,2023-02-21 12:00:00,Vakinankaratra,Faratsiho,1.51212767034303,2023-02-21,02-21
13852,2023-02-21 15:00:00,Vakinankaratra,Faratsiho,7.0675138296039,2023-02-21,02-21
13962,2023-02-21 18:00:00,Vakinankaratra,Faratsiho,13.3201089482241,2023-02-21,02-21
14072,2023-02-21 21:00:00,Vakinankaratra,Faratsiho,14.3938499209129,2023-02-21,02-21
14182,2023-02-22 00:00:00,Vakinankaratra,Faratsiho,5.9799193819704,2023-02-22,02-22
14292,2023-02-22 03:00:00,Vakinankaratra,Faratsiho,2.01361270274912,2023-02-22,02-22
14402,2023-02-22 06:00:00,Vakinankaratra,Faratsiho,0.332558697479887,2023-02-22,02-22
14512,2023-02-22 09:00:00,Vakinankaratra,Faratsiho,0.361197911065948,2023-02-22,02-22
14622,2023-02-22 12:00:00,Vakinankaratra,Faratsiho,0.469989920373979,2023-02-22,02-22
14732,2023-02-22 15:00:00,Vakinankaratra,Faratsiho,0.192989111460252,2023-02-22,02-22
14842,2023-02-22 18:00:00,Vakinankaratra,Faratsiho,0.0322238448151278,2023-02-22,02-22
14952,2023-02-22 21:00:00,Vakinankaratra,Faratsiho,0.0033203326747752,2023-02-22,02-22
15062,2023-02-23 00:00:00,Vakinankaratra,Faratsiho,0.0013145617147743,2023-02-23,02-23
15172,2023-02-23 03:00:00,Vakinankaratra,Faratsiho,0.0019201094777706,2023-02-23,02-23
15282,2023-02-23 06:00:00,Vakinankaratra,Faratsiho,0.105976266057148,2023-02-23,02-23
15392,2023-02-23 09:00:00,Vakinankaratra,Faratsiho,2.68288894900573,2023-02-23,02-23
15502,2023-02-23 12:00:00,Vakinankaratra,Faratsiho,2.63869898848455,2023-02-23,02-23
15612,2023-02-23 15:00:00,Vakinankaratra,Faratsiho,0.578474897240727,2023-02-23,02-23
15722,2023-02-23 18:00:00,Vakinankaratra,Faratsiho,0.309201349939137,2023-02-23,02-23
15832,2023-02-23 21:00:00,Vakinankaratra,Faratsiho,0.283046537058373,2023-02-23,02-23
15942,2023-02-24 00:00:00,Vakinankaratra,Faratsiho,0.0205078995512689,2023-02-24,02-24
16052,2023-02-24 03:00:00,Vakinankaratra,Faratsiho,0.002930887748816,2023-02-24,02-24
16162,2023-02-24 06:00:00,Vakinankaratra,Faratsiho,0.0666537248454166,2023-02-24,02-24
16272,2023-02-24 09:00:00,Vakinankaratra,Faratsiho,0.676728278867599,2023-02-24,02-24
16382,2023-02-24 12:00:00,Vakinankaratra,Faratsiho,0.992161466887303,2023-02-24,02-24
16492,2023-02-24 15:00:00,Vakinankaratra,Faratsiho,0.117931490503799,2023-02-24,02-24
16602,2023-02-24 18:00:00,Vakinankaratra,Faratsiho,0.0217641708749237,2023-02-24,02-24
16712,2023-02-24 21:00:00,Vakinankaratra,Faratsiho,0.0030213601661243,2023-02-24,02-24
16822,2023-02-25 00:00:00,Vakinankaratra,Faratsiho,5.1852925132741e-06,2023-02-25,02-25
16932,2023-02-25 03:00:00,Vakinankaratra,Faratsiho,4.36353730037808e-06,2023-02-25,02-25
17042,2023-02-25 06:00:00,Vakinankaratra,Faratsiho,0.0002706695847925,2023-02-25,02-25
17152,2023-02-25 09:00:00,Vakinankaratra,Faratsiho,0.0824642207110574,2023-02-25,02-25
17262,2023-02-25 12:00:00,Vakinankaratra,Faratsiho,0.344928022956832,2023-02-25,02-25
17372,2023-02-25 15:00:00,Vakinankaratra,Faratsiho,0.029404766176252,2023-02-25,02-25
17482,2023-02-25 18:00:00,Vakinankaratra,Faratsiho,0.0006570731399252,2023-02-25,02-25
17592,2023-02-25 21:00:00,Vakinankaratra,Faratsiho,0.0004022924592444,2023-02-25,02-25
17702,2023-02-26 00:00:00,Vakinankaratra,Faratsiho,0.0008359481340876,2023-02-26,02-26
17812,2023-02-26 03:00:00,Vakinankaratra,Faratsiho,1.88323080211001e-05,2023-02-26,02-26
17922,2023-02-26 06:00:00,Vakinankaratra,Faratsiho,5.71135623270975e-06,2023-02-26,02-26
18032,2023-02-26 09:00:00,Vakinankaratra,Faratsiho,0.0646029814242331,2023-02-26,02-26
18142,2023-02-26 12:00:00,Vakinankaratra,Faratsiho,0.27644232386956,2023-02-26,02-26
18252,2023-02-26 15:00:00,Vakinankaratra,Faratsiho,0.171354612585513,2023-02-26,02-26
18362,2023-02-26 18:00:00,Vakinankaratra,Faratsiho,0.155587435617824,2023-02-26,02-26
18472,2023-02-26 21:00:00,Vakinankaratra,Faratsiho,0.0433766895131318,2023-02-26,02-26
18582,2023-02-27 00:00:00,Vakinankaratra,Faratsiho,5.17563346554251e-06,2023-02-27,02-27
18692,2023-02-27 03:00:00,Vakinankaratra,Faratsiho,6.34144286296385e-05,2023-02-27,02-27
18802,2023-02-27 06:00:00,Vakinankaratra,Faratsiho,0.0416884696631528,2023-02-27,02-27
18912,2023-02-27 09:00:00,Vakinankaratra,Faratsiho,0.181383893297821,2023-02-27,02-27
19022,2023-02-27 12:00:00,Vakinankaratra,Faratsiho,0.512817379398792,2023-02-27,02-27
19132,2023-02-27 15:00:00,Vakinankaratra,Faratsiho,0.200663467085071,2023-02-27,02-27
19242,2023-02-27 18:00:00,Vakinankaratra,Faratsiho,0.376007007530836,2023-02-27,02-27
19352,2023-02-27 21:00:00,Vakinankaratra,Faratsiho,0.0164543698295293,2023-02-27,02-27
19462,2023-02-28 00:00:00,Vakinankaratra,Faratsiho,3.45186186570893e-05,2023-02-28,02-28
19572,2023-02-28 03:00:00,Vakinankaratra,Faratsiho,5.05349667304579e-06,2023-02-28,02-28
19682,2023-02-28 06:00:00,Vakinankaratra,Faratsiho,0.0560672471936628,2023-02-28,02-28
19792,2023-02-28 09:00:00,Vakinankaratra,Faratsiho,0.223375571128118,2023-02-28,02-28
19902,2023-02-28 12:00:00,Vakinankaratra,Faratsiho,1.5213199620005,2023-02-28,02-28
20012,2023-02-28 15:00:00,Vakinankaratra,Faratsiho,1.4916634995367,2023-02-28,02-28
20122,2023-02-28 18:00:00,Vakinankaratra,Faratsiho,0.703176696240381,2023-02-28,02-28
20232,2023-02-28 21:00:00,Vakinankaratra,Faratsiho,0.243671436759862,2023-02-28,02-28
20342,2023-03-01 00:00:00,Vakinankaratra,Faratsiho,0.0596959588206921,2023-03-01,03-01
20452,2023-03-01 03:00:00,Vakinankaratra,Faratsiho,0.0147069172714563,2023-03-01,03-01
20562,2023-03-01 06:00:00,Vakinankaratra,Faratsiho,0.215653987419928,2023-03-01,03-01
20672,2023-03-01 09:00:00,Vakinankaratra,Faratsiho,1.40995021336986,2023-03-01,03-01
20782,2023-03-01 12:00:00,Vakinankaratra,Faratsiho,2.35699691197164,2023-03-01,03-01
20892,2023-03-01 15:00:00,Vakinankaratra,Faratsiho,2.26681651669102,2023-03-01,03-01
21002,2023-03-01 18:00:00,Vakinankaratra,Faratsiho,0.526484911049278,2023-03-01,03-01
21112,2023-03-01 21:00:00,Vakinankaratra,Faratsiho,0.111012765216669,2023-03-01,03-01
21222,2023-03-02 00:00:00,Vakinankaratra,Faratsiho,0.0357145151835592,2023-03-02,03-02
