,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
56,2023-02-06 00:00:00,Bongolava,Fenoarivobe,1.49856601322037,2023-02-06,02-06
166,2023-02-06 03:00:00,Bongolava,Fenoarivobe,0.45600881608617,2023-02-06,02-06
276,2023-02-06 06:00:00,Bongolava,Fenoarivobe,0.198319776236848,2023-02-06,02-06
386,2023-02-06 09:00:00,Bongolava,Fenoarivobe,0.621065430879031,2023-02-06,02-06
496,2023-02-06 12:00:00,Bongolava,Fenoarivobe,2.4700952602665,2023-02-06,02-06
606,2023-02-06 15:00:00,Bongolava,Fenoarivobe,3.86499219360976,2023-02-06,02-06
716,2023-02-06 18:00:00,Bongolava,Fenoarivobe,1.59638769873732,2023-02-06,02-06
826,2023-02-06 21:00:00,Bongolava,Fenoarivobe,2.47199088247726,2023-02-06,02-06
936,2023-02-07 00:00:00,Bongolava,Fenoarivobe,1.92364635892741,2023-02-07,02-07
1046,2023-02-07 03:00:00,Bongolava,Fenoarivobe,0.200726071928835,2023-02-07,02-07
1156,2023-02-07 06:00:00,Bongolava,Fenoarivobe,0.0971938421679956,2023-02-07,02-07
1266,2023-02-07 09:00:00,Bongolava,Fenoarivobe,0.37424792297968,2023-02-07,02-07
1376,2023-02-07 12:00:00,Bongolava,Fenoarivobe,0.551202923676649,2023-02-07,02-07
1486,2023-02-07 15:00:00,Bongolava,Fenoarivobe,1.71142965073453,2023-02-07,02-07
1596,2023-02-07 18:00:00,Bongolava,Fenoarivobe,0.520093860581429,2023-02-07,02-07
1706,2023-02-07 21:00:00,Bongolava,Fenoarivobe,0.0670778125557782,2023-02-07,02-07
1816,2023-02-08 00:00:00,Bongolava,Fenoarivobe,0.0434328921255656,2023-02-08,02-08
1926,2023-02-08 03:00:00,Bongolava,Fenoarivobe,0.0245813061464726,2023-02-08,02-08
2036,2023-02-08 06:00:00,Bongolava,Fenoarivobe,0.0119369009690773,2023-02-08,02-08
2146,2023-02-08 09:00:00,Bongolava,Fenoarivobe,0.061708042184667,2023-02-08,02-08
2256,2023-02-08 12:00:00,Bongolava,Fenoarivobe,0.914311625701856,2023-02-08,02-08
2366,2023-02-08 15:00:00,Bongolava,Fenoarivobe,4.99204671706557,2023-02-08,02-08
2476,2023-02-08 18:00:00,Bongolava,Fenoarivobe,8.65188539230416,2023-02-08,02-08
2586,2023-02-08 21:00:00,Bongolava,Fenoarivobe,6.26424497207035,2023-02-08,02-08
2696,2023-02-09 00:00:00,Bongolava,Fenoarivobe,0.982442748299541,2023-02-09,02-09
2806,2023-02-09 03:00:00,Bongolava,Fenoarivobe,0.163772537242732,2023-02-09,02-09
