,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
65,2023-02-06 00:00:00,Haute Matsiatra,Fianarantsoa I,0.364873349491972,2023-02-06,02-06
175,2023-02-06 03:00:00,Haute Matsiatra,Fianarantsoa I,0.164216488657985,2023-02-06,02-06
285,2023-02-06 06:00:00,Haute Matsiatra,Fianarantsoa I,0.589074974530377,2023-02-06,02-06
395,2023-02-06 09:00:00,Haute Matsiatra,Fianarantsoa I,1.09502118692035,2023-02-06,02-06
505,2023-02-06 12:00:00,Haute Matsiatra,Fianarantsoa I,2.8423892048886,2023-02-06,02-06
615,2023-02-06 15:00:00,Haute Matsiatra,Fianarantsoa I,1.87769528286299,2023-02-06,02-06
725,2023-02-06 18:00:00,Haute Matsiatra,Fianarantsoa I,0.974265967844985,2023-02-06,02-06
835,2023-02-06 21:00:00,Haute Matsiatra,Fianarantsoa I,1.18243900564266,2023-02-06,02-06
945,2023-02-07 00:00:00,Haute Matsiatra,Fianarantsoa I,1.24133614153834,2023-02-07,02-07
1055,2023-02-07 03:00:00,Haute Matsiatra,Fianarantsoa I,0.508150608104188,2023-02-07,02-07
1165,2023-02-07 06:00:00,Haute Matsiatra,Fianarantsoa I,0.608425131125841,2023-02-07,02-07
1275,2023-02-07 09:00:00,Haute Matsiatra,Fianarantsoa I,0.753837693540845,2023-02-07,02-07
1385,2023-02-07 12:00:00,Haute Matsiatra,Fianarantsoa I,0.211950072902255,2023-02-07,02-07
1495,2023-02-07 15:00:00,Haute Matsiatra,Fianarantsoa I,0.578943001222797,2023-02-07,02-07
1605,2023-02-07 18:00:00,Haute Matsiatra,Fianarantsoa I,0.244783491303679,2023-02-07,02-07
1715,2023-02-07 21:00:00,Haute Matsiatra,Fianarantsoa I,0.0129779133130796,2023-02-07,02-07
1825,2023-02-08 00:00:00,Haute Matsiatra,Fianarantsoa I,0.0326561167021282,2023-02-08,02-08
1935,2023-02-08 03:00:00,Haute Matsiatra,Fianarantsoa I,0.0294559122412466,2023-02-08,02-08
2045,2023-02-08 06:00:00,Haute Matsiatra,Fianarantsoa I,0.032292194548063,2023-02-08,02-08
2155,2023-02-08 09:00:00,Haute Matsiatra,Fianarantsoa I,0.0749970731558278,2023-02-08,02-08
2265,2023-02-08 12:00:00,Haute Matsiatra,Fianarantsoa I,0.550768432731275,2023-02-08,02-08
2375,2023-02-08 15:00:00,Haute Matsiatra,Fianarantsoa I,0.246354992268607,2023-02-08,02-08
2485,2023-02-08 18:00:00,Haute Matsiatra,Fianarantsoa I,0.173294692940544,2023-02-08,02-08
2595,2023-02-08 21:00:00,Haute Matsiatra,Fianarantsoa I,0.0862783779739402,2023-02-08,02-08
2705,2023-02-09 00:00:00,Haute Matsiatra,Fianarantsoa I,0.0404543765471317,2023-02-09,02-09
2815,2023-02-09 03:00:00,Haute Matsiatra,Fianarantsoa I,0.194923643080983,2023-02-09,02-09
2925,2023-02-09 06:00:00,Haute Matsiatra,Fianarantsoa I,0.239635101228487,2023-02-09,02-09
3035,2023-02-09 09:00:00,Haute Matsiatra,Fianarantsoa I,0.188792517234106,2023-02-09,02-09
3145,2023-02-09 12:00:00,Haute Matsiatra,Fianarantsoa I,0.181917671929114,2023-02-09,02-09
3255,2023-02-09 15:00:00,Haute Matsiatra,Fianarantsoa I,0.0523725338280201,2023-02-09,02-09
3365,2023-02-09 18:00:00,Haute Matsiatra,Fianarantsoa I,0.0483841527602635,2023-02-09,02-09
3475,2023-02-09 21:00:00,Haute Matsiatra,Fianarantsoa I,0.167418592842296,2023-02-09,02-09
3585,2023-02-10 00:00:00,Haute Matsiatra,Fianarantsoa I,0.673279297188856,2023-02-10,02-10
3695,2023-02-10 03:00:00,Haute Matsiatra,Fianarantsoa I,0.81048811407527,2023-02-10,02-10
3805,2023-02-10 06:00:00,Haute Matsiatra,Fianarantsoa I,0.0935374192195013,2023-02-10,02-10
3915,2023-02-10 09:00:00,Haute Matsiatra,Fianarantsoa I,2.22923699766397e-06,2023-02-10,02-10
4025,2023-02-10 12:00:00,Haute Matsiatra,Fianarantsoa I,5.13420673087239e-06,2023-02-10,02-10
4135,2023-02-10 15:00:00,Haute Matsiatra,Fianarantsoa I,0.0057736112503334,2023-02-10,02-10
4245,2023-02-10 18:00:00,Haute Matsiatra,Fianarantsoa I,0.0009572868002578,2023-02-10,02-10
4355,2023-02-10 21:00:00,Haute Matsiatra,Fianarantsoa I,0.0003039888106286,2023-02-10,02-10
4465,2023-02-11 00:00:00,Haute Matsiatra,Fianarantsoa I,3.99543205276132e-06,2023-02-11,02-11
4575,2023-02-11 03:00:00,Haute Matsiatra,Fianarantsoa I,4.88414661958814e-06,2023-02-11,02-11
4685,2023-02-11 06:00:00,Haute Matsiatra,Fianarantsoa I,0.0154457348980941,2023-02-11,02-11
4795,2023-02-11 09:00:00,Haute Matsiatra,Fianarantsoa I,0.0819103636895306,2023-02-11,02-11
4905,2023-02-11 12:00:00,Haute Matsiatra,Fianarantsoa I,0.285651232814416,2023-02-11,02-11
5015,2023-02-11 15:00:00,Haute Matsiatra,Fianarantsoa I,0.492349845531862,2023-02-11,02-11
5125,2023-02-11 18:00:00,Haute Matsiatra,Fianarantsoa I,0.606498942477629,2023-02-11,02-11
5235,2023-02-11 21:00:00,Haute Matsiatra,Fianarantsoa I,0.0298023041104898,2023-02-11,02-11
5345,2023-02-12 00:00:00,Haute Matsiatra,Fianarantsoa I,5.97687903791666e-06,2023-02-12,02-12
5455,2023-02-12 03:00:00,Haute Matsiatra,Fianarantsoa I,0.0003069749218411,2023-02-12,02-12
5565,2023-02-12 06:00:00,Haute Matsiatra,Fianarantsoa I,1.40717020258307e-06,2023-02-12,02-12
5675,2023-02-12 09:00:00,Haute Matsiatra,Fianarantsoa I,1.40926567837596e-06,2023-02-12,02-12
5785,2023-02-12 12:00:00,Haute Matsiatra,Fianarantsoa I,4.65137418359518e-06,2023-02-12,02-12
5895,2023-02-12 15:00:00,Haute Matsiatra,Fianarantsoa I,0.0039593593683093,2023-02-12,02-12
6005,2023-02-12 18:00:00,Haute Matsiatra,Fianarantsoa I,0.0267901954357512,2023-02-12,02-12
6115,2023-02-12 21:00:00,Haute Matsiatra,Fianarantsoa I,0.0016195003991015,2023-02-12,02-12
6225,2023-02-13 00:00:00,Haute Matsiatra,Fianarantsoa I,9.10554081201553e-06,2023-02-13,02-13
6335,2023-02-13 03:00:00,Haute Matsiatra,Fianarantsoa I,2.15834006667137e-07,2023-02-13,02-13
6445,2023-02-13 06:00:00,Haute Matsiatra,Fianarantsoa I,3.24449501931667e-06,2023-02-13,02-13
6555,2023-02-13 09:00:00,Haute Matsiatra,Fianarantsoa I,7.17968214303255e-06,2023-02-13,02-13
6665,2023-02-13 12:00:00,Haute Matsiatra,Fianarantsoa I,0.0158555894740857,2023-02-13,02-13
6775,2023-02-13 15:00:00,Haute Matsiatra,Fianarantsoa I,0.0007928192499093,2023-02-13,02-13
6885,2023-02-13 18:00:00,Haute Matsiatra,Fianarantsoa I,0.0203705276362598,2023-02-13,02-13
6995,2023-02-13 21:00:00,Haute Matsiatra,Fianarantsoa I,0.0148850580444559,2023-02-13,02-13
7105,2023-02-14 00:00:00,Haute Matsiatra,Fianarantsoa I,0.0003113920101895,2023-02-14,02-14
7215,2023-02-14 03:00:00,Haute Matsiatra,Fianarantsoa I,2.36585037782788e-06,2023-02-14,02-14
7325,2023-02-14 06:00:00,Haute Matsiatra,Fianarantsoa I,0.005260546633508,2023-02-14,02-14
7435,2023-02-14 09:00:00,Haute Matsiatra,Fianarantsoa I,0.160564599849749,2023-02-14,02-14
7545,2023-02-14 12:00:00,Haute Matsiatra,Fianarantsoa I,0.124354923143983,2023-02-14,02-14
7655,2023-02-14 15:00:00,Haute Matsiatra,Fianarantsoa I,0.0185285176848993,2023-02-14,02-14
7765,2023-02-14 18:00:00,Haute Matsiatra,Fianarantsoa I,0.0200207599555142,2023-02-14,02-14
7875,2023-02-14 21:00:00,Haute Matsiatra,Fianarantsoa I,0.0013035740703344,2023-02-14,02-14
7985,2023-02-15 00:00:00,Haute Matsiatra,Fianarantsoa I,6.17973273620009e-06,2023-02-15,02-15
8095,2023-02-15 03:00:00,Haute Matsiatra,Fianarantsoa I,0.0003076706198044,2023-02-15,02-15
8205,2023-02-15 06:00:00,Haute Matsiatra,Fianarantsoa I,0.0029179555131122,2023-02-15,02-15
8315,2023-02-15 09:00:00,Haute Matsiatra,Fianarantsoa I,0.0320350738475099,2023-02-15,02-15
8425,2023-02-15 12:00:00,Haute Matsiatra,Fianarantsoa I,0.201263587339781,2023-02-15,02-15
8535,2023-02-15 15:00:00,Haute Matsiatra,Fianarantsoa I,0.273366132227238,2023-02-15,02-15
8645,2023-02-15 18:00:00,Haute Matsiatra,Fianarantsoa I,0.382430598663632,2023-02-15,02-15
8755,2023-02-15 21:00:00,Haute Matsiatra,Fianarantsoa I,0.301039384154137,2023-02-15,02-15
8865,2023-02-16 00:00:00,Haute Matsiatra,Fianarantsoa I,0.0427126060822047,2023-02-16,02-16
8975,2023-02-16 03:00:00,Haute Matsiatra,Fianarantsoa I,0.139933575468604,2023-02-16,02-16
9085,2023-02-16 06:00:00,Haute Matsiatra,Fianarantsoa I,0.104382977355272,2023-02-16,02-16
9195,2023-02-16 09:00:00,Haute Matsiatra,Fianarantsoa I,0.310151830723044,2023-02-16,02-16
9305,2023-02-16 12:00:00,Haute Matsiatra,Fianarantsoa I,5.75472010177327,2023-02-16,02-16
9415,2023-02-16 15:00:00,Haute Matsiatra,Fianarantsoa I,6.70240325073246,2023-02-16,02-16
9525,2023-02-16 18:00:00,Haute Matsiatra,Fianarantsoa I,1.62482107791584,2023-02-16,02-16
9635,2023-02-16 21:00:00,Haute Matsiatra,Fianarantsoa I,0.392117049603257,2023-02-16,02-16
9745,2023-02-17 00:00:00,Haute Matsiatra,Fianarantsoa I,0.0463066942756996,2023-02-17,02-17
9855,2023-02-17 03:00:00,Haute Matsiatra,Fianarantsoa I,0.022625882003922,2023-02-17,02-17
9965,2023-02-17 06:00:00,Haute Matsiatra,Fianarantsoa I,0.256707320862915,2023-02-17,02-17
10075,2023-02-17 09:00:00,Haute Matsiatra,Fianarantsoa I,1.64531214954332,2023-02-17,02-17
10185,2023-02-17 12:00:00,Haute Matsiatra,Fianarantsoa I,3.26196624350268,2023-02-17,02-17
10295,2023-02-17 15:00:00,Haute Matsiatra,Fianarantsoa I,1.69140407210216,2023-02-17,02-17
10405,2023-02-17 18:00:00,Haute Matsiatra,Fianarantsoa I,0.0869280133629218,2023-02-17,02-17
10515,2023-02-17 21:00:00,Haute Matsiatra,Fianarantsoa I,0.0940452567301691,2023-02-17,02-17
10625,2023-02-18 00:00:00,Haute Matsiatra,Fianarantsoa I,0.0318142622709274,2023-02-18,02-18
10735,2023-02-18 03:00:00,Haute Matsiatra,Fianarantsoa I,5.7163939345628e-05,2023-02-18,02-18
10845,2023-02-18 06:00:00,Haute Matsiatra,Fianarantsoa I,0.139312025392428,2023-02-18,02-18
10955,2023-02-18 09:00:00,Haute Matsiatra,Fianarantsoa I,0.523681075603236,2023-02-18,02-18
11065,2023-02-18 12:00:00,Haute Matsiatra,Fianarantsoa I,6.37395646644291,2023-02-18,02-18
11175,2023-02-18 15:00:00,Haute Matsiatra,Fianarantsoa I,3.5066674129921,2023-02-18,02-18
11285,2023-02-18 18:00:00,Haute Matsiatra,Fianarantsoa I,0.331387049634941,2023-02-18,02-18
11395,2023-02-18 21:00:00,Haute Matsiatra,Fianarantsoa I,0.0032758165034465,2023-02-18,02-18
11505,2023-02-19 00:00:00,Haute Matsiatra,Fianarantsoa I,0.200392027501948,2023-02-19,02-19
11615,2023-02-19 03:00:00,Haute Matsiatra,Fianarantsoa I,0.0179933714680374,2023-02-19,02-19
11725,2023-02-19 06:00:00,Haute Matsiatra,Fianarantsoa I,0.056160987878684,2023-02-19,02-19
11835,2023-02-19 09:00:00,Haute Matsiatra,Fianarantsoa I,0.192054260405712,2023-02-19,02-19
11945,2023-02-19 12:00:00,Haute Matsiatra,Fianarantsoa I,0.084218613570556,2023-02-19,02-19
12055,2023-02-19 15:00:00,Haute Matsiatra,Fianarantsoa I,0.0263503459864296,2023-02-19,02-19
12165,2023-02-19 18:00:00,Haute Matsiatra,Fianarantsoa I,0.0050014246953651,2023-02-19,02-19
12275,2023-02-19 21:00:00,Haute Matsiatra,Fianarantsoa I,0.0070491334190592,2023-02-19,02-19
12385,2023-02-20 00:00:00,Haute Matsiatra,Fianarantsoa I,0.0016198027296923,2023-02-20,02-20
12495,2023-02-20 03:00:00,Haute Matsiatra,Fianarantsoa I,0.0003134154248982,2023-02-20,02-20
12605,2023-02-20 06:00:00,Haute Matsiatra,Fianarantsoa I,9.34541458263993e-06,2023-02-20,02-20
12715,2023-02-20 09:00:00,Haute Matsiatra,Fianarantsoa I,8.21793219074607e-06,2023-02-20,02-20
12825,2023-02-20 12:00:00,Haute Matsiatra,Fianarantsoa I,6.14684540778399e-06,2023-02-20,02-20
12935,2023-02-20 15:00:00,Haute Matsiatra,Fianarantsoa I,6.63218088448048e-07,2023-02-20,02-20
13045,2023-02-20 18:00:00,Haute Matsiatra,Fianarantsoa I,0.0029596373788081,2023-02-20,02-20
13155,2023-02-20 21:00:00,Haute Matsiatra,Fianarantsoa I,0.0009598603355698,2023-02-20,02-20
13265,2023-02-21 00:00:00,Haute Matsiatra,Fianarantsoa I,0.102184187911917,2023-02-21,02-21
13375,2023-02-21 03:00:00,Haute Matsiatra,Fianarantsoa I,0.0013072779402136,2023-02-21,02-21
13485,2023-02-21 06:00:00,Haute Matsiatra,Fianarantsoa I,0.222498552175239,2023-02-21,02-21
13595,2023-02-21 09:00:00,Haute Matsiatra,Fianarantsoa I,0.109461321553681,2023-02-21,02-21
13705,2023-02-21 12:00:00,Haute Matsiatra,Fianarantsoa I,0.836486024782062,2023-02-21,02-21
13815,2023-02-21 15:00:00,Haute Matsiatra,Fianarantsoa I,6.58082193235168,2023-02-21,02-21
13925,2023-02-21 18:00:00,Haute Matsiatra,Fianarantsoa I,22.3127958198311,2023-02-21,02-21
14035,2023-02-21 21:00:00,Haute Matsiatra,Fianarantsoa I,15.8493490484543,2023-02-21,02-21
14145,2023-02-22 00:00:00,Haute Matsiatra,Fianarantsoa I,5.87192569620675,2023-02-22,02-22
14255,2023-02-22 03:00:00,Haute Matsiatra,Fianarantsoa I,4.03390723111806,2023-02-22,02-22
14365,2023-02-22 06:00:00,Haute Matsiatra,Fianarantsoa I,0.313340494176373,2023-02-22,02-22
14475,2023-02-22 09:00:00,Haute Matsiatra,Fianarantsoa I,1.25965125684161,2023-02-22,02-22
14585,2023-02-22 12:00:00,Haute Matsiatra,Fianarantsoa I,1.60033461538842,2023-02-22,02-22
14695,2023-02-22 15:00:00,Haute Matsiatra,Fianarantsoa I,0.457816334906966,2023-02-22,02-22
14805,2023-02-22 18:00:00,Haute Matsiatra,Fianarantsoa I,0.0523675458971411,2023-02-22,02-22
14915,2023-02-22 21:00:00,Haute Matsiatra,Fianarantsoa I,0.0056612418848089,2023-02-22,02-22
15025,2023-02-23 00:00:00,Haute Matsiatra,Fianarantsoa I,0.0063551366329193,2023-02-23,02-23
15135,2023-02-23 03:00:00,Haute Matsiatra,Fianarantsoa I,0.018176160636358,2023-02-23,02-23
15245,2023-02-23 06:00:00,Haute Matsiatra,Fianarantsoa I,0.166115818021353,2023-02-23,02-23
