,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
70,2023-02-06 00:00:00,Ihorombe,Iakora,0.196196213661767,2023-02-06,02-06
180,2023-02-06 03:00:00,Ihorombe,Iakora,0.317713465233713,2023-02-06,02-06
290,2023-02-06 06:00:00,Ihorombe,Iakora,0.338386168583958,2023-02-06,02-06
400,2023-02-06 09:00:00,Ihorombe,Iakora,0.580060718158309,2023-02-06,02-06
510,2023-02-06 12:00:00,Ihorombe,Iakora,1.33038883190143,2023-02-06,02-06
620,2023-02-06 15:00:00,Ihorombe,Iakora,1.55798610102073,2023-02-06,02-06
730,2023-02-06 18:00:00,Ihorombe,Iakora,3.6309578694299,2023-02-06,02-06
840,2023-02-06 21:00:00,Ihorombe,Iakora,1.89628751864994,2023-02-06,02-06
950,2023-02-07 00:00:00,Ihorombe,Iakora,1.25608020208892,2023-02-07,02-07
1060,2023-02-07 03:00:00,Ihorombe,Iakora,0.931499999367301,2023-02-07,02-07
1170,2023-02-07 06:00:00,Ihorombe,Iakora,1.07974527524263,2023-02-07,02-07
1280,2023-02-07 09:00:00,Ihorombe,Iakora,0.835463880622563,2023-02-07,02-07
1390,2023-02-07 12:00:00,Ihorombe,Iakora,0.507926605871609,2023-02-07,02-07
1500,2023-02-07 15:00:00,Ihorombe,Iakora,0.465642183957818,2023-02-07,02-07
1610,2023-02-07 18:00:00,Ihorombe,Iakora,0.325759644365845,2023-02-07,02-07
1720,2023-02-07 21:00:00,Ihorombe,Iakora,0.201557008220238,2023-02-07,02-07
1830,2023-02-08 00:00:00,Ihorombe,Iakora,0.0811391705662429,2023-02-08,02-08
1940,2023-02-08 03:00:00,Ihorombe,Iakora,0.146723452574071,2023-02-08,02-08
2050,2023-02-08 06:00:00,Ihorombe,Iakora,0.340096497301649,2023-02-08,02-08
2160,2023-02-08 09:00:00,Ihorombe,Iakora,0.832830183404057,2023-02-08,02-08
2270,2023-02-08 12:00:00,Ihorombe,Iakora,0.62659399538595,2023-02-08,02-08
