,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
104,2023-02-06 00:00:00,Vatovavy Fitovinany,Ifanadiana,0.556453430792317,2023-02-06,02-06
214,2023-02-06 03:00:00,Vatovavy Fitovinany,Ifanadiana,0.923110953557839,2023-02-06,02-06
324,2023-02-06 06:00:00,Vatovavy Fitovinany,Ifanadiana,1.36557586037431,2023-02-06,02-06
434,2023-02-06 09:00:00,Vatovavy Fitovinany,Ifanadiana,3.84122883917093,2023-02-06,02-06
544,2023-02-06 12:00:00,Vatovavy Fitovinany,Ifanadiana,8.57635456745287,2023-02-06,02-06
654,2023-02-06 15:00:00,Vatovavy Fitovinany,Ifanadiana,2.80437471520375,2023-02-06,02-06
764,2023-02-06 18:00:00,Vatovavy Fitovinany,Ifanadiana,3.22720585714149,2023-02-06,02-06
874,2023-02-06 21:00:00,Vatovavy Fitovinany,Ifanadiana,4.35725232746164,2023-02-06,02-06
984,2023-02-07 00:00:00,Vatovavy Fitovinany,Ifanadiana,1.78946434704224,2023-02-07,02-07
1094,2023-02-07 03:00:00,Vatovavy Fitovinany,Ifanadiana,1.49996345368152,2023-02-07,02-07
1204,2023-02-07 06:00:00,Vatovavy Fitovinany,Ifanadiana,1.37949703203905,2023-02-07,02-07
1314,2023-02-07 09:00:00,Vatovavy Fitovinany,Ifanadiana,1.24066738771131,2023-02-07,02-07
1424,2023-02-07 12:00:00,Vatovavy Fitovinany,Ifanadiana,1.10003365555552,2023-02-07,02-07
1534,2023-02-07 15:00:00,Vatovavy Fitovinany,Ifanadiana,0.571433843841078,2023-02-07,02-07
1644,2023-02-07 18:00:00,Vatovavy Fitovinany,Ifanadiana,0.563896204817438,2023-02-07,02-07
1754,2023-02-07 21:00:00,Vatovavy Fitovinany,Ifanadiana,0.145685850955916,2023-02-07,02-07
1864,2023-02-08 00:00:00,Vatovavy Fitovinany,Ifanadiana,0.0130346970468321,2023-02-08,02-08
1974,2023-02-08 03:00:00,Vatovavy Fitovinany,Ifanadiana,0.0324271132070434,2023-02-08,02-08
2084,2023-02-08 06:00:00,Vatovavy Fitovinany,Ifanadiana,0.267040144936319,2023-02-08,02-08
2194,2023-02-08 09:00:00,Vatovavy Fitovinany,Ifanadiana,1.23953802873182,2023-02-08,02-08
2304,2023-02-08 12:00:00,Vatovavy Fitovinany,Ifanadiana,2.94074438088779,2023-02-08,02-08
2414,2023-02-08 15:00:00,Vatovavy Fitovinany,Ifanadiana,1.23657290685086,2023-02-08,02-08
2524,2023-02-08 18:00:00,Vatovavy Fitovinany,Ifanadiana,1.04140086904997,2023-02-08,02-08
2634,2023-02-08 21:00:00,Vatovavy Fitovinany,Ifanadiana,0.521192574777695,2023-02-08,02-08
2744,2023-02-09 00:00:00,Vatovavy Fitovinany,Ifanadiana,0.219925838591093,2023-02-09,02-09
2854,2023-02-09 03:00:00,Vatovavy Fitovinany,Ifanadiana,0.545183745945585,2023-02-09,02-09
2964,2023-02-09 06:00:00,Vatovavy Fitovinany,Ifanadiana,1.40631754072178,2023-02-09,02-09
3074,2023-02-09 09:00:00,Vatovavy Fitovinany,Ifanadiana,2.33583375006428,2023-02-09,02-09
3184,2023-02-09 12:00:00,Vatovavy Fitovinany,Ifanadiana,1.8382382232487,2023-02-09,02-09
3294,2023-02-09 15:00:00,Vatovavy Fitovinany,Ifanadiana,0.581527159693103,2023-02-09,02-09
3404,2023-02-09 18:00:00,Vatovavy Fitovinany,Ifanadiana,0.51788519320133,2023-02-09,02-09
3514,2023-02-09 21:00:00,Vatovavy Fitovinany,Ifanadiana,0.060971599743318,2023-02-09,02-09
3624,2023-02-10 00:00:00,Vatovavy Fitovinany,Ifanadiana,0.457171807885649,2023-02-10,02-10
3734,2023-02-10 03:00:00,Vatovavy Fitovinany,Ifanadiana,0.0644099879325094,2023-02-10,02-10
3844,2023-02-10 06:00:00,Vatovavy Fitovinany,Ifanadiana,0.152779852858443,2023-02-10,02-10
3954,2023-02-10 09:00:00,Vatovavy Fitovinany,Ifanadiana,0.0719586239771589,2023-02-10,02-10
4064,2023-02-10 12:00:00,Vatovavy Fitovinany,Ifanadiana,0.0288339803639032,2023-02-10,02-10
4174,2023-02-10 15:00:00,Vatovavy Fitovinany,Ifanadiana,0.0877444039420773,2023-02-10,02-10
4284,2023-02-10 18:00:00,Vatovavy Fitovinany,Ifanadiana,0.034408129974241,2023-02-10,02-10
4394,2023-02-10 21:00:00,Vatovavy Fitovinany,Ifanadiana,0.0031335936646963,2023-02-10,02-10
4504,2023-02-11 00:00:00,Vatovavy Fitovinany,Ifanadiana,0.0005559737071641,2023-02-11,02-11
4614,2023-02-11 03:00:00,Vatovavy Fitovinany,Ifanadiana,0.0010021646483116,2023-02-11,02-11
4724,2023-02-11 06:00:00,Vatovavy Fitovinany,Ifanadiana,0.0044444585219025,2023-02-11,02-11
4834,2023-02-11 09:00:00,Vatovavy Fitovinany,Ifanadiana,0.059349513710271,2023-02-11,02-11
4944,2023-02-11 12:00:00,Vatovavy Fitovinany,Ifanadiana,0.180013367935317,2023-02-11,02-11
5054,2023-02-11 15:00:00,Vatovavy Fitovinany,Ifanadiana,0.246321717058035,2023-02-11,02-11
