,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
71,2023-02-06 00:00:00,Ihorombe,Ihosy,0.14305614845616,2023-02-06,02-06
181,2023-02-06 03:00:00,Ihorombe,Ihosy,0.0399205208823874,2023-02-06,02-06
291,2023-02-06 06:00:00,Ihorombe,Ihosy,0.0881484879908578,2023-02-06,02-06
401,2023-02-06 09:00:00,Ihorombe,Ihosy,0.154433099869084,2023-02-06,02-06
511,2023-02-06 12:00:00,Ihorombe,Ihosy,0.875877106875267,2023-02-06,02-06
621,2023-02-06 15:00:00,Ihorombe,Ihosy,2.17546026784131,2023-02-06,02-06
731,2023-02-06 18:00:00,Ihorombe,Ihosy,1.20726253437911,2023-02-06,02-06
841,2023-02-06 21:00:00,Ihorombe,Ihosy,0.307232178311675,2023-02-06,02-06
951,2023-02-07 00:00:00,Ihorombe,Ihosy,0.258068697550951,2023-02-07,02-07
1061,2023-02-07 03:00:00,Ihorombe,Ihosy,0.186106755925938,2023-02-07,02-07
1171,2023-02-07 06:00:00,Ihorombe,Ihosy,0.140947499115094,2023-02-07,02-07
1281,2023-02-07 09:00:00,Ihorombe,Ihosy,0.195161674512066,2023-02-07,02-07
1391,2023-02-07 12:00:00,Ihorombe,Ihosy,1.00465331013031,2023-02-07,02-07
1501,2023-02-07 15:00:00,Ihorombe,Ihosy,1.3598230012896,2023-02-07,02-07
1611,2023-02-07 18:00:00,Ihorombe,Ihosy,0.893370107880991,2023-02-07,02-07
1721,2023-02-07 21:00:00,Ihorombe,Ihosy,0.274163799555062,2023-02-07,02-07
1831,2023-02-08 00:00:00,Ihorombe,Ihosy,0.0470955220316321,2023-02-08,02-08
1941,2023-02-08 03:00:00,Ihorombe,Ihosy,0.0821550415407879,2023-02-08,02-08
2051,2023-02-08 06:00:00,Ihorombe,Ihosy,0.0263533462702439,2023-02-08,02-08
2161,2023-02-08 09:00:00,Ihorombe,Ihosy,0.0983433117415441,2023-02-08,02-08
2271,2023-02-08 12:00:00,Ihorombe,Ihosy,0.651798081099725,2023-02-08,02-08
2381,2023-02-08 15:00:00,Ihorombe,Ihosy,0.966769557364134,2023-02-08,02-08
2491,2023-02-08 18:00:00,Ihorombe,Ihosy,0.231809396143318,2023-02-08,02-08
2601,2023-02-08 21:00:00,Ihorombe,Ihosy,0.223053466476614,2023-02-08,02-08
2711,2023-02-09 00:00:00,Ihorombe,Ihosy,0.0390903068041824,2023-02-09,02-09
2821,2023-02-09 03:00:00,Ihorombe,Ihosy,0.158499950447061,2023-02-09,02-09
2931,2023-02-09 06:00:00,Ihorombe,Ihosy,0.198372496690583,2023-02-09,02-09
3041,2023-02-09 09:00:00,Ihorombe,Ihosy,0.191814854129723,2023-02-09,02-09
3151,2023-02-09 12:00:00,Ihorombe,Ihosy,1.23647629483896,2023-02-09,02-09
3261,2023-02-09 15:00:00,Ihorombe,Ihosy,0.570363684163031,2023-02-09,02-09
3371,2023-02-09 18:00:00,Ihorombe,Ihosy,0.547932209660583,2023-02-09,02-09
3481,2023-02-09 21:00:00,Ihorombe,Ihosy,0.218403314532086,2023-02-09,02-09
3591,2023-02-10 00:00:00,Ihorombe,Ihosy,0.31799909672723,2023-02-10,02-10
3701,2023-02-10 03:00:00,Ihorombe,Ihosy,0.0128107774325813,2023-02-10,02-10
3811,2023-02-10 06:00:00,Ihorombe,Ihosy,0.0100343382982105,2023-02-10,02-10
3921,2023-02-10 09:00:00,Ihorombe,Ihosy,0.0317582186405541,2023-02-10,02-10
4031,2023-02-10 12:00:00,Ihorombe,Ihosy,0.232474855584052,2023-02-10,02-10
4141,2023-02-10 15:00:00,Ihorombe,Ihosy,0.223057636247935,2023-02-10,02-10
4251,2023-02-10 18:00:00,Ihorombe,Ihosy,0.020543139895489,2023-02-10,02-10
4361,2023-02-10 21:00:00,Ihorombe,Ihosy,0.0018916903479974,2023-02-10,02-10
4471,2023-02-11 00:00:00,Ihorombe,Ihosy,0.0061151545509443,2023-02-11,02-11
4581,2023-02-11 03:00:00,Ihorombe,Ihosy,0.0030817115307008,2023-02-11,02-11
4691,2023-02-11 06:00:00,Ihorombe,Ihosy,0.0024592452751941,2023-02-11,02-11
4801,2023-02-11 09:00:00,Ihorombe,Ihosy,0.0074020691739475,2023-02-11,02-11
4911,2023-02-11 12:00:00,Ihorombe,Ihosy,0.0200147819948161,2023-02-11,02-11
5021,2023-02-11 15:00:00,Ihorombe,Ihosy,0.0342648746970029,2023-02-11,02-11
5131,2023-02-11 18:00:00,Ihorombe,Ihosy,0.143027129896071,2023-02-11,02-11
5241,2023-02-11 21:00:00,Ihorombe,Ihosy,0.122103064596601,2023-02-11,02-11
5351,2023-02-12 00:00:00,Ihorombe,Ihosy,0.0271930040537984,2023-02-12,02-12
5461,2023-02-12 03:00:00,Ihorombe,Ihosy,0.0053659086697734,2023-02-12,02-12
5571,2023-02-12 06:00:00,Ihorombe,Ihosy,0.0043164509562898,2023-02-12,02-12
5681,2023-02-12 09:00:00,Ihorombe,Ihosy,0.0128066602177665,2023-02-12,02-12
5791,2023-02-12 12:00:00,Ihorombe,Ihosy,0.056118166418006,2023-02-12,02-12
5901,2023-02-12 15:00:00,Ihorombe,Ihosy,0.472762289716837,2023-02-12,02-12
6011,2023-02-12 18:00:00,Ihorombe,Ihosy,0.0518957381645551,2023-02-12,02-12
6121,2023-02-12 21:00:00,Ihorombe,Ihosy,0.0488235153102112,2023-02-12,02-12
6231,2023-02-13 00:00:00,Ihorombe,Ihosy,0.0078405174018124,2023-02-13,02-13
6341,2023-02-13 03:00:00,Ihorombe,Ihosy,0.0027014313131533,2023-02-13,02-13
6451,2023-02-13 06:00:00,Ihorombe,Ihosy,0.0003587683344364,2023-02-13,02-13
6561,2023-02-13 09:00:00,Ihorombe,Ihosy,0.0057420908212846,2023-02-13,02-13
6671,2023-02-13 12:00:00,Ihorombe,Ihosy,0.0207036668935865,2023-02-13,02-13
6781,2023-02-13 15:00:00,Ihorombe,Ihosy,0.392705222211673,2023-02-13,02-13
6891,2023-02-13 18:00:00,Ihorombe,Ihosy,0.0954473928227675,2023-02-13,02-13
7001,2023-02-13 21:00:00,Ihorombe,Ihosy,0.0071017874562064,2023-02-13,02-13
7111,2023-02-14 00:00:00,Ihorombe,Ihosy,0.0008691737496923,2023-02-14,02-14
7221,2023-02-14 03:00:00,Ihorombe,Ihosy,0.001573511075139,2023-02-14,02-14
7331,2023-02-14 06:00:00,Ihorombe,Ihosy,0.0001727005575524,2023-02-14,02-14
