,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
66,2023-02-06 00:00:00,Haute Matsiatra,Ikalamavony,0.351589602891265,2023-02-06,02-06
176,2023-02-06 03:00:00,Haute Matsiatra,Ikalamavony,0.14516314332997,2023-02-06,02-06
286,2023-02-06 06:00:00,Haute Matsiatra,Ikalamavony,0.265960768483386,2023-02-06,02-06
396,2023-02-06 09:00:00,Haute Matsiatra,Ikalamavony,0.360959528147875,2023-02-06,02-06
506,2023-02-06 12:00:00,Haute Matsiatra,Ikalamavony,2.76526383010018,2023-02-06,02-06
616,2023-02-06 15:00:00,Haute Matsiatra,Ikalamavony,4.58688590534422,2023-02-06,02-06
726,2023-02-06 18:00:00,Haute Matsiatra,Ikalamavony,1.99398362669751,2023-02-06,02-06
836,2023-02-06 21:00:00,Haute Matsiatra,Ikalamavony,0.708080976831475,2023-02-06,02-06
946,2023-02-07 00:00:00,Haute Matsiatra,Ikalamavony,0.340394494689776,2023-02-07,02-07
1056,2023-02-07 03:00:00,Haute Matsiatra,Ikalamavony,0.147430548000808,2023-02-07,02-07
1166,2023-02-07 06:00:00,Haute Matsiatra,Ikalamavony,0.0679719399911052,2023-02-07,02-07
1276,2023-02-07 09:00:00,Haute Matsiatra,Ikalamavony,0.0833435276062924,2023-02-07,02-07
1386,2023-02-07 12:00:00,Haute Matsiatra,Ikalamavony,2.97505285895039,2023-02-07,02-07
1496,2023-02-07 15:00:00,Haute Matsiatra,Ikalamavony,3.5200562825943,2023-02-07,02-07
1606,2023-02-07 18:00:00,Haute Matsiatra,Ikalamavony,1.15955675972877,2023-02-07,02-07
1716,2023-02-07 21:00:00,Haute Matsiatra,Ikalamavony,0.198269455118276,2023-02-07,02-07
1826,2023-02-08 00:00:00,Haute Matsiatra,Ikalamavony,0.0524744128289194,2023-02-08,02-08
1936,2023-02-08 03:00:00,Haute Matsiatra,Ikalamavony,0.0382001842365429,2023-02-08,02-08
2046,2023-02-08 06:00:00,Haute Matsiatra,Ikalamavony,0.0056867838018284,2023-02-08,02-08
2156,2023-02-08 09:00:00,Haute Matsiatra,Ikalamavony,0.0273200987347123,2023-02-08,02-08
2266,2023-02-08 12:00:00,Haute Matsiatra,Ikalamavony,0.60264382120717,2023-02-08,02-08
2376,2023-02-08 15:00:00,Haute Matsiatra,Ikalamavony,3.70840761335112,2023-02-08,02-08
2486,2023-02-08 18:00:00,Haute Matsiatra,Ikalamavony,1.27608790555193,2023-02-08,02-08
2596,2023-02-08 21:00:00,Haute Matsiatra,Ikalamavony,0.187565280321916,2023-02-08,02-08
2706,2023-02-09 00:00:00,Haute Matsiatra,Ikalamavony,0.0128656350713138,2023-02-09,02-09
2816,2023-02-09 03:00:00,Haute Matsiatra,Ikalamavony,0.0099076559143569,2023-02-09,02-09
2926,2023-02-09 06:00:00,Haute Matsiatra,Ikalamavony,0.067045361363602,2023-02-09,02-09
