,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
105,2023-02-06 00:00:00,Vatovavy Fitovinany,Ikongo,0.566371420545038,2023-02-06,02-06
215,2023-02-06 03:00:00,Vatovavy Fitovinany,Ikongo,0.456261708061211,2023-02-06,02-06
325,2023-02-06 06:00:00,Vatovavy Fitovinany,Ikongo,1.26035183271626,2023-02-06,02-06
435,2023-02-06 09:00:00,Vatovavy Fitovinany,Ikongo,3.71287032809807,2023-02-06,02-06
545,2023-02-06 12:00:00,Vatovavy Fitovinany,Ikongo,5.62404420447536,2023-02-06,02-06
655,2023-02-06 15:00:00,Vatovavy Fitovinany,Ikongo,3.06391690893797,2023-02-06,02-06
765,2023-02-06 18:00:00,Vatovavy Fitovinany,Ikongo,3.18592315617483,2023-02-06,02-06
875,2023-02-06 21:00:00,Vatovavy Fitovinany,Ikongo,4.17933586962055,2023-02-06,02-06
985,2023-02-07 00:00:00,Vatovavy Fitovinany,Ikongo,3.14359234186821,2023-02-07,02-07
1095,2023-02-07 03:00:00,Vatovavy Fitovinany,Ikongo,1.90970124409534,2023-02-07,02-07
1205,2023-02-07 06:00:00,Vatovavy Fitovinany,Ikongo,1.36326222296339,2023-02-07,02-07
1315,2023-02-07 09:00:00,Vatovavy Fitovinany,Ikongo,1.0037174992403,2023-02-07,02-07
1425,2023-02-07 12:00:00,Vatovavy Fitovinany,Ikongo,1.16368501043879,2023-02-07,02-07
1535,2023-02-07 15:00:00,Vatovavy Fitovinany,Ikongo,0.367359100074973,2023-02-07,02-07
1645,2023-02-07 18:00:00,Vatovavy Fitovinany,Ikongo,0.420211119893938,2023-02-07,02-07
1755,2023-02-07 21:00:00,Vatovavy Fitovinany,Ikongo,0.308303806432523,2023-02-07,02-07
1865,2023-02-08 00:00:00,Vatovavy Fitovinany,Ikongo,0.0754447235260159,2023-02-08,02-08
1975,2023-02-08 03:00:00,Vatovavy Fitovinany,Ikongo,0.123208815520629,2023-02-08,02-08
2085,2023-02-08 06:00:00,Vatovavy Fitovinany,Ikongo,0.305923604008276,2023-02-08,02-08
2195,2023-02-08 09:00:00,Vatovavy Fitovinany,Ikongo,1.54658641176065,2023-02-08,02-08
2305,2023-02-08 12:00:00,Vatovavy Fitovinany,Ikongo,4.0116663495684,2023-02-08,02-08
2415,2023-02-08 15:00:00,Vatovavy Fitovinany,Ikongo,1.24928100083256,2023-02-08,02-08
2525,2023-02-08 18:00:00,Vatovavy Fitovinany,Ikongo,0.769484948324971,2023-02-08,02-08
2635,2023-02-08 21:00:00,Vatovavy Fitovinany,Ikongo,0.697314230587799,2023-02-08,02-08
2745,2023-02-09 00:00:00,Vatovavy Fitovinany,Ikongo,0.183793499222957,2023-02-09,02-09
2855,2023-02-09 03:00:00,Vatovavy Fitovinany,Ikongo,0.555493970729876,2023-02-09,02-09
2965,2023-02-09 06:00:00,Vatovavy Fitovinany,Ikongo,1.27343833116349,2023-02-09,02-09
3075,2023-02-09 09:00:00,Vatovavy Fitovinany,Ikongo,1.79428914133925,2023-02-09,02-09
3185,2023-02-09 12:00:00,Vatovavy Fitovinany,Ikongo,1.54743583144387,2023-02-09,02-09
3295,2023-02-09 15:00:00,Vatovavy Fitovinany,Ikongo,0.415509953345172,2023-02-09,02-09
3405,2023-02-09 18:00:00,Vatovavy Fitovinany,Ikongo,0.288392974727321,2023-02-09,02-09
3515,2023-02-09 21:00:00,Vatovavy Fitovinany,Ikongo,0.454341127660591,2023-02-09,02-09
3625,2023-02-10 00:00:00,Vatovavy Fitovinany,Ikongo,0.934223815016448,2023-02-10,02-10
3735,2023-02-10 03:00:00,Vatovavy Fitovinany,Ikongo,0.0020066335937008,2023-02-10,02-10
3845,2023-02-10 06:00:00,Vatovavy Fitovinany,Ikongo,0.0076134089170955,2023-02-10,02-10
3955,2023-02-10 09:00:00,Vatovavy Fitovinany,Ikongo,0.0100611710734665,2023-02-10,02-10
4065,2023-02-10 12:00:00,Vatovavy Fitovinany,Ikongo,0.356192589902785,2023-02-10,02-10
4175,2023-02-10 15:00:00,Vatovavy Fitovinany,Ikongo,0.0775210515083745,2023-02-10,02-10
4285,2023-02-10 18:00:00,Vatovavy Fitovinany,Ikongo,0.0175562133034691,2023-02-10,02-10
4395,2023-02-10 21:00:00,Vatovavy Fitovinany,Ikongo,0.0010636370023712,2023-02-10,02-10
4505,2023-02-11 00:00:00,Vatovavy Fitovinany,Ikongo,0.0009610042907297,2023-02-11,02-11
4615,2023-02-11 03:00:00,Vatovavy Fitovinany,Ikongo,0.0007322801137343,2023-02-11,02-11
4725,2023-02-11 06:00:00,Vatovavy Fitovinany,Ikongo,0.0039482052647508,2023-02-11,02-11
4835,2023-02-11 09:00:00,Vatovavy Fitovinany,Ikongo,0.0623394859326072,2023-02-11,02-11
4945,2023-02-11 12:00:00,Vatovavy Fitovinany,Ikongo,0.360339632444084,2023-02-11,02-11
5055,2023-02-11 15:00:00,Vatovavy Fitovinany,Ikongo,0.328452064879239,2023-02-11,02-11
5165,2023-02-11 18:00:00,Vatovavy Fitovinany,Ikongo,0.0401226420491003,2023-02-11,02-11
5275,2023-02-11 21:00:00,Vatovavy Fitovinany,Ikongo,0.0054564808076247,2023-02-11,02-11
5385,2023-02-12 00:00:00,Vatovavy Fitovinany,Ikongo,0.0001676143379881,2023-02-12,02-12
5495,2023-02-12 03:00:00,Vatovavy Fitovinany,Ikongo,0.0002242067293263,2023-02-12,02-12
5605,2023-02-12 06:00:00,Vatovavy Fitovinany,Ikongo,0.0028210139088332,2023-02-12,02-12
5715,2023-02-12 09:00:00,Vatovavy Fitovinany,Ikongo,0.017623847106006,2023-02-12,02-12
5825,2023-02-12 12:00:00,Vatovavy Fitovinany,Ikongo,0.406270143212751,2023-02-12,02-12
5935,2023-02-12 15:00:00,Vatovavy Fitovinany,Ikongo,0.297281602020375,2023-02-12,02-12
6045,2023-02-12 18:00:00,Vatovavy Fitovinany,Ikongo,0.0901226474298164,2023-02-12,02-12
6155,2023-02-12 21:00:00,Vatovavy Fitovinany,Ikongo,0.0244844775809906,2023-02-12,02-12
6265,2023-02-13 00:00:00,Vatovavy Fitovinany,Ikongo,0.0011095704184845,2023-02-13,02-13
6375,2023-02-13 03:00:00,Vatovavy Fitovinany,Ikongo,0.0046398074040189,2023-02-13,02-13
6485,2023-02-13 06:00:00,Vatovavy Fitovinany,Ikongo,0.0998843147233129,2023-02-13,02-13
6595,2023-02-13 09:00:00,Vatovavy Fitovinany,Ikongo,0.185115425633267,2023-02-13,02-13
6705,2023-02-13 12:00:00,Vatovavy Fitovinany,Ikongo,0.220124079943635,2023-02-13,02-13
6815,2023-02-13 15:00:00,Vatovavy Fitovinany,Ikongo,0.221984429466538,2023-02-13,02-13
6925,2023-02-13 18:00:00,Vatovavy Fitovinany,Ikongo,0.164928416335024,2023-02-13,02-13
7035,2023-02-13 21:00:00,Vatovavy Fitovinany,Ikongo,0.0249818313797005,2023-02-13,02-13
7145,2023-02-14 00:00:00,Vatovavy Fitovinany,Ikongo,0.0023227970441803,2023-02-14,02-14
7255,2023-02-14 03:00:00,Vatovavy Fitovinany,Ikongo,0.0094111719471402,2023-02-14,02-14
7365,2023-02-14 06:00:00,Vatovavy Fitovinany,Ikongo,0.17637915818952,2023-02-14,02-14
7475,2023-02-14 09:00:00,Vatovavy Fitovinany,Ikongo,0.338035641524475,2023-02-14,02-14
7585,2023-02-14 12:00:00,Vatovavy Fitovinany,Ikongo,0.912846732847393,2023-02-14,02-14
7695,2023-02-14 15:00:00,Vatovavy Fitovinany,Ikongo,0.464156332693528,2023-02-14,02-14
7805,2023-02-14 18:00:00,Vatovavy Fitovinany,Ikongo,0.158047930237371,2023-02-14,02-14
7915,2023-02-14 21:00:00,Vatovavy Fitovinany,Ikongo,0.0444734454224817,2023-02-14,02-14
8025,2023-02-15 00:00:00,Vatovavy Fitovinany,Ikongo,0.0074351755017414,2023-02-15,02-15
8135,2023-02-15 03:00:00,Vatovavy Fitovinany,Ikongo,0.0172403216967359,2023-02-15,02-15
8245,2023-02-15 06:00:00,Vatovavy Fitovinany,Ikongo,0.106318816661369,2023-02-15,02-15
8355,2023-02-15 09:00:00,Vatovavy Fitovinany,Ikongo,0.329834556069691,2023-02-15,02-15
