,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
67,2023-02-06 00:00:00,Haute Matsiatra,Isandra,0.252808709216135,2023-02-06,02-06
177,2023-02-06 03:00:00,Haute Matsiatra,Isandra,0.23712503627493,2023-02-06,02-06
287,2023-02-06 06:00:00,Haute Matsiatra,Isandra,0.753932540797078,2023-02-06,02-06
397,2023-02-06 09:00:00,Haute Matsiatra,Isandra,1.04678025882458,2023-02-06,02-06
507,2023-02-06 12:00:00,Haute Matsiatra,Isandra,3.42122664741791,2023-02-06,02-06
617,2023-02-06 15:00:00,Haute Matsiatra,Isandra,2.09892552358162,2023-02-06,02-06
727,2023-02-06 18:00:00,Haute Matsiatra,Isandra,1.10093247439098,2023-02-06,02-06
837,2023-02-06 21:00:00,Haute Matsiatra,Isandra,0.66134983981134,2023-02-06,02-06
947,2023-02-07 00:00:00,Haute Matsiatra,Isandra,0.75769336671378,2023-02-07,02-07
1057,2023-02-07 03:00:00,Haute Matsiatra,Isandra,0.539115830335173,2023-02-07,02-07
1167,2023-02-07 06:00:00,Haute Matsiatra,Isandra,0.355564172480213,2023-02-07,02-07
1277,2023-02-07 09:00:00,Haute Matsiatra,Isandra,0.378669422098689,2023-02-07,02-07
1387,2023-02-07 12:00:00,Haute Matsiatra,Isandra,0.595597121218981,2023-02-07,02-07
1497,2023-02-07 15:00:00,Haute Matsiatra,Isandra,0.734507300197782,2023-02-07,02-07
1607,2023-02-07 18:00:00,Haute Matsiatra,Isandra,0.336974877541334,2023-02-07,02-07
1717,2023-02-07 21:00:00,Haute Matsiatra,Isandra,0.0217440791205842,2023-02-07,02-07
1827,2023-02-08 00:00:00,Haute Matsiatra,Isandra,0.0030025984425182,2023-02-08,02-08
1937,2023-02-08 03:00:00,Haute Matsiatra,Isandra,0.0091244858922436,2023-02-08,02-08
2047,2023-02-08 06:00:00,Haute Matsiatra,Isandra,0.0129923081046648,2023-02-08,02-08
2157,2023-02-08 09:00:00,Haute Matsiatra,Isandra,0.095157002882016,2023-02-08,02-08
2267,2023-02-08 12:00:00,Haute Matsiatra,Isandra,0.337756796739995,2023-02-08,02-08
2377,2023-02-08 15:00:00,Haute Matsiatra,Isandra,0.162600536756641,2023-02-08,02-08
2487,2023-02-08 18:00:00,Haute Matsiatra,Isandra,0.413696722323287,2023-02-08,02-08
2597,2023-02-08 21:00:00,Haute Matsiatra,Isandra,0.215608267933765,2023-02-08,02-08
2707,2023-02-09 00:00:00,Haute Matsiatra,Isandra,0.0234426414773969,2023-02-09,02-09
2817,2023-02-09 03:00:00,Haute Matsiatra,Isandra,0.0697991863972592,2023-02-09,02-09
2927,2023-02-09 06:00:00,Haute Matsiatra,Isandra,0.0750744605161758,2023-02-09,02-09
3037,2023-02-09 09:00:00,Haute Matsiatra,Isandra,0.177074133037505,2023-02-09,02-09
3147,2023-02-09 12:00:00,Haute Matsiatra,Isandra,0.269375339086929,2023-02-09,02-09
3257,2023-02-09 15:00:00,Haute Matsiatra,Isandra,0.0588087886201472,2023-02-09,02-09
3367,2023-02-09 18:00:00,Haute Matsiatra,Isandra,0.0811232833763246,2023-02-09,02-09
3477,2023-02-09 21:00:00,Haute Matsiatra,Isandra,0.228295192603996,2023-02-09,02-09
3587,2023-02-10 00:00:00,Haute Matsiatra,Isandra,0.4566654090886,2023-02-10,02-10
3697,2023-02-10 03:00:00,Haute Matsiatra,Isandra,0.326300466184462,2023-02-10,02-10
3807,2023-02-10 06:00:00,Haute Matsiatra,Isandra,0.0940162876239893,2023-02-10,02-10
3917,2023-02-10 09:00:00,Haute Matsiatra,Isandra,0.0034236059450036,2023-02-10,02-10
4027,2023-02-10 12:00:00,Haute Matsiatra,Isandra,0.0005645585796711,2023-02-10,02-10
4137,2023-02-10 15:00:00,Haute Matsiatra,Isandra,0.0239860805979168,2023-02-10,02-10
4247,2023-02-10 18:00:00,Haute Matsiatra,Isandra,0.0243252099608071,2023-02-10,02-10
4357,2023-02-10 21:00:00,Haute Matsiatra,Isandra,3.14448261633515e-05,2023-02-10,02-10
4467,2023-02-11 00:00:00,Haute Matsiatra,Isandra,3.27891691333868e-06,2023-02-11,02-11
4577,2023-02-11 03:00:00,Haute Matsiatra,Isandra,6.02465165271001e-06,2023-02-11,02-11
4687,2023-02-11 06:00:00,Haute Matsiatra,Isandra,0.0112082131778483,2023-02-11,02-11
4797,2023-02-11 09:00:00,Haute Matsiatra,Isandra,0.0420425203046761,2023-02-11,02-11
4907,2023-02-11 12:00:00,Haute Matsiatra,Isandra,0.495272275113331,2023-02-11,02-11
5017,2023-02-11 15:00:00,Haute Matsiatra,Isandra,0.503462063820652,2023-02-11,02-11
5127,2023-02-11 18:00:00,Haute Matsiatra,Isandra,0.359924069076607,2023-02-11,02-11
5237,2023-02-11 21:00:00,Haute Matsiatra,Isandra,0.0109051825870252,2023-02-11,02-11
5347,2023-02-12 00:00:00,Haute Matsiatra,Isandra,0.0002305883205157,2023-02-12,02-12
5457,2023-02-12 03:00:00,Haute Matsiatra,Isandra,0.0001584113448519,2023-02-12,02-12
5567,2023-02-12 06:00:00,Haute Matsiatra,Isandra,5.13537088409066e-05,2023-02-12,02-12
5677,2023-02-12 09:00:00,Haute Matsiatra,Isandra,7.34555069357157e-05,2023-02-12,02-12
5787,2023-02-12 12:00:00,Haute Matsiatra,Isandra,4.73376448181543e-06,2023-02-12,02-12
5897,2023-02-12 15:00:00,Haute Matsiatra,Isandra,0.0020827308656986,2023-02-12,02-12
6007,2023-02-12 18:00:00,Haute Matsiatra,Isandra,0.0112787356801246,2023-02-12,02-12
6117,2023-02-12 21:00:00,Haute Matsiatra,Isandra,0.000819091245913,2023-02-12,02-12
6227,2023-02-13 00:00:00,Haute Matsiatra,Isandra,5.14316541904753e-06,2023-02-13,02-13
6337,2023-02-13 03:00:00,Haute Matsiatra,Isandra,5.48623078926043e-06,2023-02-13,02-13
6447,2023-02-13 06:00:00,Haute Matsiatra,Isandra,0.0001237956034442,2023-02-13,02-13
6557,2023-02-13 09:00:00,Haute Matsiatra,Isandra,4.76166182620959e-06,2023-02-13,02-13
6667,2023-02-13 12:00:00,Haute Matsiatra,Isandra,0.0021310044103302,2023-02-13,02-13
6777,2023-02-13 15:00:00,Haute Matsiatra,Isandra,0.0017861712681637,2023-02-13,02-13
6887,2023-02-13 18:00:00,Haute Matsiatra,Isandra,0.0081595206548544,2023-02-13,02-13
6997,2023-02-13 21:00:00,Haute Matsiatra,Isandra,0.0058700074388814,2023-02-13,02-13
