,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
72,2023-02-06 00:00:00,Ihorombe,Ivohibe,0.152193324681751,2023-02-06,02-06
182,2023-02-06 03:00:00,Ihorombe,Ivohibe,0.223463071010835,2023-02-06,02-06
292,2023-02-06 06:00:00,Ihorombe,Ivohibe,0.727691795385908,2023-02-06,02-06
402,2023-02-06 09:00:00,Ihorombe,Ivohibe,1.510499081098,2023-02-06,02-06
512,2023-02-06 12:00:00,Ihorombe,Ivohibe,3.19366250653892,2023-02-06,02-06
622,2023-02-06 15:00:00,Ihorombe,Ivohibe,2.46636864881331,2023-02-06,02-06
732,2023-02-06 18:00:00,Ihorombe,Ivohibe,3.52505771272914,2023-02-06,02-06
842,2023-02-06 21:00:00,Ihorombe,Ivohibe,2.00291278182627,2023-02-06,02-06
952,2023-02-07 00:00:00,Ihorombe,Ivohibe,1.89339672894168,2023-02-07,02-07
1062,2023-02-07 03:00:00,Ihorombe,Ivohibe,1.07006899314461,2023-02-07,02-07
1172,2023-02-07 06:00:00,Ihorombe,Ivohibe,0.792502285569514,2023-02-07,02-07
1282,2023-02-07 09:00:00,Ihorombe,Ivohibe,0.52284424498181,2023-02-07,02-07
1392,2023-02-07 12:00:00,Ihorombe,Ivohibe,0.323031180950286,2023-02-07,02-07
1502,2023-02-07 15:00:00,Ihorombe,Ivohibe,0.375260783759203,2023-02-07,02-07
1612,2023-02-07 18:00:00,Ihorombe,Ivohibe,0.346998932115783,2023-02-07,02-07
1722,2023-02-07 21:00:00,Ihorombe,Ivohibe,0.365668452176339,2023-02-07,02-07
1832,2023-02-08 00:00:00,Ihorombe,Ivohibe,0.0643916620434826,2023-02-08,02-08
1942,2023-02-08 03:00:00,Ihorombe,Ivohibe,0.162752073129492,2023-02-08,02-08
2052,2023-02-08 06:00:00,Ihorombe,Ivohibe,0.220841925834783,2023-02-08,02-08
2162,2023-02-08 09:00:00,Ihorombe,Ivohibe,0.882798382462505,2023-02-08,02-08
2272,2023-02-08 12:00:00,Ihorombe,Ivohibe,2.62989077360314,2023-02-08,02-08
2382,2023-02-08 15:00:00,Ihorombe,Ivohibe,0.355197534793804,2023-02-08,02-08
2492,2023-02-08 18:00:00,Ihorombe,Ivohibe,0.266582340343647,2023-02-08,02-08
2602,2023-02-08 21:00:00,Ihorombe,Ivohibe,0.365018719649494,2023-02-08,02-08
2712,2023-02-09 00:00:00,Ihorombe,Ivohibe,0.0909217477478945,2023-02-09,02-09
2822,2023-02-09 03:00:00,Ihorombe,Ivohibe,0.500419708053079,2023-02-09,02-09
2932,2023-02-09 06:00:00,Ihorombe,Ivohibe,0.673901587546999,2023-02-09,02-09
3042,2023-02-09 09:00:00,Ihorombe,Ivohibe,0.70094243911291,2023-02-09,02-09
3152,2023-02-09 12:00:00,Ihorombe,Ivohibe,0.544059291794455,2023-02-09,02-09
3262,2023-02-09 15:00:00,Ihorombe,Ivohibe,0.125309806208335,2023-02-09,02-09
3372,2023-02-09 18:00:00,Ihorombe,Ivohibe,0.0398474686616713,2023-02-09,02-09
3482,2023-02-09 21:00:00,Ihorombe,Ivohibe,0.0284523840803702,2023-02-09,02-09
3592,2023-02-10 00:00:00,Ihorombe,Ivohibe,0.154648199594751,2023-02-10,02-10
3702,2023-02-10 03:00:00,Ihorombe,Ivohibe,0.0743545561410046,2023-02-10,02-10
3812,2023-02-10 06:00:00,Ihorombe,Ivohibe,0.002426558305926,2023-02-10,02-10
