,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
68,2023-02-06 00:00:00,Haute Matsiatra,Lalangina,0.481998109801983,2023-02-06,02-06
178,2023-02-06 03:00:00,Haute Matsiatra,Lalangina,0.453187410163486,2023-02-06,02-06
288,2023-02-06 06:00:00,Haute Matsiatra,Lalangina,0.692074534237488,2023-02-06,02-06
398,2023-02-06 09:00:00,Haute Matsiatra,Lalangina,1.5039216144489,2023-02-06,02-06
508,2023-02-06 12:00:00,Haute Matsiatra,Lalangina,4.82574237716229,2023-02-06,02-06
618,2023-02-06 15:00:00,Haute Matsiatra,Lalangina,2.48184839431067,2023-02-06,02-06
728,2023-02-06 18:00:00,Haute Matsiatra,Lalangina,1.5079927639583,2023-02-06,02-06
838,2023-02-06 21:00:00,Haute Matsiatra,Lalangina,2.43176970200794,2023-02-06,02-06
948,2023-02-07 00:00:00,Haute Matsiatra,Lalangina,1.50251342335509,2023-02-07,02-07
1058,2023-02-07 03:00:00,Haute Matsiatra,Lalangina,0.732252113566372,2023-02-07,02-07
1168,2023-02-07 06:00:00,Haute Matsiatra,Lalangina,0.958666784986336,2023-02-07,02-07
1278,2023-02-07 09:00:00,Haute Matsiatra,Lalangina,0.931609344584609,2023-02-07,02-07
1388,2023-02-07 12:00:00,Haute Matsiatra,Lalangina,0.489375482610841,2023-02-07,02-07
1498,2023-02-07 15:00:00,Haute Matsiatra,Lalangina,0.163436899317377,2023-02-07,02-07
1608,2023-02-07 18:00:00,Haute Matsiatra,Lalangina,0.182591231895559,2023-02-07,02-07
1718,2023-02-07 21:00:00,Haute Matsiatra,Lalangina,0.033640769103335,2023-02-07,02-07
1828,2023-02-08 00:00:00,Haute Matsiatra,Lalangina,0.0061246099260946,2023-02-08,02-08
1938,2023-02-08 03:00:00,Haute Matsiatra,Lalangina,0.0442816585871494,2023-02-08,02-08
2048,2023-02-08 06:00:00,Haute Matsiatra,Lalangina,0.111295714495807,2023-02-08,02-08
2158,2023-02-08 09:00:00,Haute Matsiatra,Lalangina,0.285272482724395,2023-02-08,02-08
2268,2023-02-08 12:00:00,Haute Matsiatra,Lalangina,1.34291255890599,2023-02-08,02-08
2378,2023-02-08 15:00:00,Haute Matsiatra,Lalangina,0.597853575011767,2023-02-08,02-08
2488,2023-02-08 18:00:00,Haute Matsiatra,Lalangina,0.227849333838094,2023-02-08,02-08
2598,2023-02-08 21:00:00,Haute Matsiatra,Lalangina,0.185694951635216,2023-02-08,02-08
2708,2023-02-09 00:00:00,Haute Matsiatra,Lalangina,0.140833362413105,2023-02-09,02-09
2818,2023-02-09 03:00:00,Haute Matsiatra,Lalangina,0.458809714046462,2023-02-09,02-09
2928,2023-02-09 06:00:00,Haute Matsiatra,Lalangina,0.493047719239257,2023-02-09,02-09
3038,2023-02-09 09:00:00,Haute Matsiatra,Lalangina,0.384927082580462,2023-02-09,02-09
3148,2023-02-09 12:00:00,Haute Matsiatra,Lalangina,0.460815276426729,2023-02-09,02-09
3258,2023-02-09 15:00:00,Haute Matsiatra,Lalangina,0.273655831639189,2023-02-09,02-09
3368,2023-02-09 18:00:00,Haute Matsiatra,Lalangina,0.237103250304547,2023-02-09,02-09
3478,2023-02-09 21:00:00,Haute Matsiatra,Lalangina,0.0691583760457838,2023-02-09,02-09
3588,2023-02-10 00:00:00,Haute Matsiatra,Lalangina,0.32552427961491,2023-02-10,02-10
3698,2023-02-10 03:00:00,Haute Matsiatra,Lalangina,0.292817812089601,2023-02-10,02-10
3808,2023-02-10 06:00:00,Haute Matsiatra,Lalangina,0.316374393749154,2023-02-10,02-10
3918,2023-02-10 09:00:00,Haute Matsiatra,Lalangina,5.4141144371695e-06,2023-02-10,02-10
4028,2023-02-10 12:00:00,Haute Matsiatra,Lalangina,0.0004764348074483,2023-02-10,02-10
4138,2023-02-10 15:00:00,Haute Matsiatra,Lalangina,0.0291956762278763,2023-02-10,02-10
4248,2023-02-10 18:00:00,Haute Matsiatra,Lalangina,0.0154533662134781,2023-02-10,02-10
4358,2023-02-10 21:00:00,Haute Matsiatra,Lalangina,0.001696737761247,2023-02-10,02-10
4468,2023-02-11 00:00:00,Haute Matsiatra,Lalangina,4.75227393002974e-06,2023-02-11,02-11
