,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
49,2023-02-06 00:00:00,Betsiboka,Maevatanana,4.34894137894944,2023-02-06,02-06
159,2023-02-06 03:00:00,Betsiboka,Maevatanana,2.3132962641938,2023-02-06,02-06
269,2023-02-06 06:00:00,Betsiboka,Maevatanana,1.13559231192614,2023-02-06,02-06
379,2023-02-06 09:00:00,Betsiboka,Maevatanana,1.02368085572216,2023-02-06,02-06
489,2023-02-06 12:00:00,Betsiboka,Maevatanana,2.71419066954156,2023-02-06,02-06
599,2023-02-06 15:00:00,Betsiboka,Maevatanana,3.79777012677246,2023-02-06,02-06
709,2023-02-06 18:00:00,Betsiboka,Maevatanana,7.61768476930159,2023-02-06,02-06
819,2023-02-06 21:00:00,Betsiboka,Maevatanana,10.3236370234727,2023-02-06,02-06
929,2023-02-07 00:00:00,Betsiboka,Maevatanana,3.29773673668878,2023-02-07,02-07
1039,2023-02-07 03:00:00,Betsiboka,Maevatanana,0.284847398489986,2023-02-07,02-07
1149,2023-02-07 06:00:00,Betsiboka,Maevatanana,0.618657489679361,2023-02-07,02-07
1259,2023-02-07 09:00:00,Betsiboka,Maevatanana,1.15587184789494,2023-02-07,02-07
1369,2023-02-07 12:00:00,Betsiboka,Maevatanana,3.76693922571453,2023-02-07,02-07
1479,2023-02-07 15:00:00,Betsiboka,Maevatanana,6.08306927667353,2023-02-07,02-07
1589,2023-02-07 18:00:00,Betsiboka,Maevatanana,0.911145543533749,2023-02-07,02-07
1699,2023-02-07 21:00:00,Betsiboka,Maevatanana,0.0430778627894725,2023-02-07,02-07
1809,2023-02-08 00:00:00,Betsiboka,Maevatanana,0.0007609794919609,2023-02-08,02-08
1919,2023-02-08 03:00:00,Betsiboka,Maevatanana,0.0004516882721198,2023-02-08,02-08
2029,2023-02-08 06:00:00,Betsiboka,Maevatanana,0.0105166534495571,2023-02-08,02-08
2139,2023-02-08 09:00:00,Betsiboka,Maevatanana,0.0281830900695353,2023-02-08,02-08
2249,2023-02-08 12:00:00,Betsiboka,Maevatanana,2.48084292889787,2023-02-08,02-08
2359,2023-02-08 15:00:00,Betsiboka,Maevatanana,6.69063817086405,2023-02-08,02-08
2469,2023-02-08 18:00:00,Betsiboka,Maevatanana,5.67095516981908,2023-02-08,02-08
2579,2023-02-08 21:00:00,Betsiboka,Maevatanana,4.36209318295888,2023-02-08,02-08
2689,2023-02-09 00:00:00,Betsiboka,Maevatanana,0.850564542369723,2023-02-09,02-09
