,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
82,2023-02-06 00:00:00,Menabe,Mahabo,0.502688691073742,2023-02-06,02-06
192,2023-02-06 03:00:00,Menabe,Mahabo,0.361359837761002,2023-02-06,02-06
302,2023-02-06 06:00:00,Menabe,Mahabo,0.124748288615981,2023-02-06,02-06
412,2023-02-06 09:00:00,Menabe,Mahabo,0.023723333557614,2023-02-06,02-06
522,2023-02-06 12:00:00,Menabe,Mahabo,0.268564108250221,2023-02-06,02-06
632,2023-02-06 15:00:00,Menabe,Mahabo,0.598893222352788,2023-02-06,02-06
742,2023-02-06 18:00:00,Menabe,Mahabo,0.799422179755723,2023-02-06,02-06
852,2023-02-06 21:00:00,Menabe,Mahabo,1.29142701454087,2023-02-06,02-06
962,2023-02-07 00:00:00,Menabe,Mahabo,1.27253496266094,2023-02-07,02-07
1072,2023-02-07 03:00:00,Menabe,Mahabo,0.077807772545936,2023-02-07,02-07
1182,2023-02-07 06:00:00,Menabe,Mahabo,0.298377251778888,2023-02-07,02-07
1292,2023-02-07 09:00:00,Menabe,Mahabo,0.782171791142776,2023-02-07,02-07
1402,2023-02-07 12:00:00,Menabe,Mahabo,5.87503146564162,2023-02-07,02-07
1512,2023-02-07 15:00:00,Menabe,Mahabo,9.55526045992777,2023-02-07,02-07
1622,2023-02-07 18:00:00,Menabe,Mahabo,5.92609494842806,2023-02-07,02-07
1732,2023-02-07 21:00:00,Menabe,Mahabo,3.38600170631887,2023-02-07,02-07
1842,2023-02-08 00:00:00,Menabe,Mahabo,0.739185583847376,2023-02-08,02-08
1952,2023-02-08 03:00:00,Menabe,Mahabo,0.231494116527725,2023-02-08,02-08
2062,2023-02-08 06:00:00,Menabe,Mahabo,0.0404907826788954,2023-02-08,02-08
2172,2023-02-08 09:00:00,Menabe,Mahabo,0.0969794462395147,2023-02-08,02-08
2282,2023-02-08 12:00:00,Menabe,Mahabo,0.931865661809495,2023-02-08,02-08
2392,2023-02-08 15:00:00,Menabe,Mahabo,6.40754608341152,2023-02-08,02-08
2502,2023-02-08 18:00:00,Menabe,Mahabo,4.56198272554843,2023-02-08,02-08
2612,2023-02-08 21:00:00,Menabe,Mahabo,1.34002963878198,2023-02-08,02-08
2722,2023-02-09 00:00:00,Menabe,Mahabo,0.0914609068188753,2023-02-09,02-09
2832,2023-02-09 03:00:00,Menabe,Mahabo,0.0944195122634156,2023-02-09,02-09
2942,2023-02-09 06:00:00,Menabe,Mahabo,0.0898409826092971,2023-02-09,02-09
3052,2023-02-09 09:00:00,Menabe,Mahabo,0.135550963683412,2023-02-09,02-09
3162,2023-02-09 12:00:00,Menabe,Mahabo,4.05893269100209,2023-02-09,02-09
3272,2023-02-09 15:00:00,Menabe,Mahabo,9.81574812594505,2023-02-09,02-09
3382,2023-02-09 18:00:00,Menabe,Mahabo,5.8551480872268,2023-02-09,02-09
3492,2023-02-09 21:00:00,Menabe,Mahabo,3.10917367870744,2023-02-09,02-09
3602,2023-02-10 00:00:00,Menabe,Mahabo,1.11410210667821,2023-02-10,02-10
3712,2023-02-10 03:00:00,Menabe,Mahabo,0.0930327732179664,2023-02-10,02-10
3822,2023-02-10 06:00:00,Menabe,Mahabo,0.0527712414916764,2023-02-10,02-10
3932,2023-02-10 09:00:00,Menabe,Mahabo,0.0561651045105293,2023-02-10,02-10
4042,2023-02-10 12:00:00,Menabe,Mahabo,0.364842154682638,2023-02-10,02-10
4152,2023-02-10 15:00:00,Menabe,Mahabo,0.0525958118024959,2023-02-10,02-10
4262,2023-02-10 18:00:00,Menabe,Mahabo,0.200114239102257,2023-02-10,02-10
4372,2023-02-10 21:00:00,Menabe,Mahabo,0.617931863198029,2023-02-10,02-10
4482,2023-02-11 00:00:00,Menabe,Mahabo,1.29947802124338,2023-02-11,02-11
4592,2023-02-11 03:00:00,Menabe,Mahabo,0.0136158548725339,2023-02-11,02-11
4702,2023-02-11 06:00:00,Menabe,Mahabo,0.0449768712188905,2023-02-11,02-11
4812,2023-02-11 09:00:00,Menabe,Mahabo,0.0241133894529552,2023-02-11,02-11
