,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
52,2023-02-06 00:00:00,Boeny,Mahajanga II,4.03820271282911,2023-02-06,02-06
162,2023-02-06 03:00:00,Boeny,Mahajanga II,1.4484986643358,2023-02-06,02-06
272,2023-02-06 06:00:00,Boeny,Mahajanga II,0.959562503942856,2023-02-06,02-06
382,2023-02-06 09:00:00,Boeny,Mahajanga II,0.219859907362417,2023-02-06,02-06
492,2023-02-06 12:00:00,Boeny,Mahajanga II,0.957752050691364,2023-02-06,02-06
602,2023-02-06 15:00:00,Boeny,Mahajanga II,1.17685838775545,2023-02-06,02-06
712,2023-02-06 18:00:00,Boeny,Mahajanga II,1.88154747912791,2023-02-06,02-06
822,2023-02-06 21:00:00,Boeny,Mahajanga II,0.836290025876312,2023-02-06,02-06
932,2023-02-07 00:00:00,Boeny,Mahajanga II,0.204252119245655,2023-02-07,02-07
1042,2023-02-07 03:00:00,Boeny,Mahajanga II,0.0715629812202235,2023-02-07,02-07
1152,2023-02-07 06:00:00,Boeny,Mahajanga II,0.747983061252787,2023-02-07,02-07
1262,2023-02-07 09:00:00,Boeny,Mahajanga II,1.54061599191784,2023-02-07,02-07
1372,2023-02-07 12:00:00,Boeny,Mahajanga II,2.30406010262782,2023-02-07,02-07
1482,2023-02-07 15:00:00,Boeny,Mahajanga II,3.12024577448809,2023-02-07,02-07
1592,2023-02-07 18:00:00,Boeny,Mahajanga II,2.93711880936639,2023-02-07,02-07
1702,2023-02-07 21:00:00,Boeny,Mahajanga II,0.574842448163176,2023-02-07,02-07
1812,2023-02-08 00:00:00,Boeny,Mahajanga II,0.11895163290532,2023-02-08,02-08
1922,2023-02-08 03:00:00,Boeny,Mahajanga II,0.0046691130122692,2023-02-08,02-08
2032,2023-02-08 06:00:00,Boeny,Mahajanga II,0.0256004523749963,2023-02-08,02-08
2142,2023-02-08 09:00:00,Boeny,Mahajanga II,0.255161273068885,2023-02-08,02-08
2252,2023-02-08 12:00:00,Boeny,Mahajanga II,2.11990714124574,2023-02-08,02-08
2362,2023-02-08 15:00:00,Boeny,Mahajanga II,7.43372167053877,2023-02-08,02-08
2472,2023-02-08 18:00:00,Boeny,Mahajanga II,5.19037172874214,2023-02-08,02-08
2582,2023-02-08 21:00:00,Boeny,Mahajanga II,1.12094911377985,2023-02-08,02-08
2692,2023-02-09 00:00:00,Boeny,Mahajanga II,0.0594499333514605,2023-02-09,02-09
2802,2023-02-09 03:00:00,Boeny,Mahajanga II,0.0034652664794632,2023-02-09,02-09
2912,2023-02-09 06:00:00,Boeny,Mahajanga II,0.0041786749895503,2023-02-09,02-09
3022,2023-02-09 09:00:00,Boeny,Mahajanga II,0.0092941301551125,2023-02-09,02-09
3132,2023-02-09 12:00:00,Boeny,Mahajanga II,1.23412489443563,2023-02-09,02-09
3242,2023-02-09 15:00:00,Boeny,Mahajanga II,7.96948656329613,2023-02-09,02-09
3352,2023-02-09 18:00:00,Boeny,Mahajanga II,16.1575269602997,2023-02-09,02-09
3462,2023-02-09 21:00:00,Boeny,Mahajanga II,2.59249711156221,2023-02-09,02-09
3572,2023-02-10 00:00:00,Boeny,Mahajanga II,0.33542667198983,2023-02-10,02-10
3682,2023-02-10 03:00:00,Boeny,Mahajanga II,0.0391527666786981,2023-02-10,02-10
3792,2023-02-10 06:00:00,Boeny,Mahajanga II,0.0229419300974369,2023-02-10,02-10
3902,2023-02-10 09:00:00,Boeny,Mahajanga II,0.0188789270256033,2023-02-10,02-10
4012,2023-02-10 12:00:00,Boeny,Mahajanga II,0.0536649187220397,2023-02-10,02-10
4122,2023-02-10 15:00:00,Boeny,Mahajanga II,1.10394083132695,2023-02-10,02-10
4232,2023-02-10 18:00:00,Boeny,Mahajanga II,0.759995688288189,2023-02-10,02-10
4342,2023-02-10 21:00:00,Boeny,Mahajanga II,1.47000057890404,2023-02-10,02-10
4452,2023-02-11 00:00:00,Boeny,Mahajanga II,1.78541597326587,2023-02-11,02-11
4562,2023-02-11 03:00:00,Boeny,Mahajanga II,0.504486053169807,2023-02-11,02-11
4672,2023-02-11 06:00:00,Boeny,Mahajanga II,0.0281696899555533,2023-02-11,02-11
4782,2023-02-11 09:00:00,Boeny,Mahajanga II,0.302961130992782,2023-02-11,02-11
4892,2023-02-11 12:00:00,Boeny,Mahajanga II,1.22182501105751,2023-02-11,02-11
5002,2023-02-11 15:00:00,Boeny,Mahajanga II,0.0404915433922192,2023-02-11,02-11
5112,2023-02-11 18:00:00,Boeny,Mahajanga II,0.0186016398720534,2023-02-11,02-11
5222,2023-02-11 21:00:00,Boeny,Mahajanga II,0.0211210004877435,2023-02-11,02-11
